DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2002-04-21,30-145,DAL,HOME,MIN,W (+7),0,35:44,6,13,0.462,3,9,0.333,3,4,0.75,0,3,3,7,1,0,0,3,18,16.5,18,Nick Van Exel
2002-04-24,30-148,DAL,HOME,MIN,W (+12),0,29:36,7,12,0.583,2,4,0.5,1,2,0.5,0,2,2,5,0,0,1,5,17,12.1,4,Nick Van Exel
2002-04-28,30-152,DAL,AWAY,MIN,W (+13),0,27:28,1,13,0.077,1,4,0.25,0,0,,0,2,2,2,1,0,2,2,3,-5.5,11,Nick Van Exel
2002-05-04,30-158,DAL,AWAY,SAC,L (-17),0,30:36,7,15,0.467,0,4,0.0,1,1,1.0,1,2,3,3,1,0,2,4,15,8.1,-1,Nick Van Exel
2002-05-06,30-160,DAL,AWAY,SAC,W (+8),0,34:53,8,18,0.444,0,4,0.0,3,5,0.6,0,3,3,2,0,0,3,4,19,6.5,16,Nick Van Exel
2002-05-09,30-163,DAL,HOME,SAC,L (-6),0,38:58,3,11,0.273,1,3,0.333,0,0,,2,3,5,2,1,0,2,3,7,2.0,3,Nick Van Exel
2002-05-11,30-165,DAL,HOME,SAC,L (-2),1,36:55,2,10,0.2,0,3,0.0,0,0,,4,1,5,6,2,0,1,3,4,4.9,-4,Nick Van Exel
2002-05-13,30-167,DAL,AWAY,SAC,L (-13),0,28:17,3,9,0.333,0,3,0.0,0,0,,0,1,1,4,2,0,1,2,6,4.2,-11,Nick Van Exel
2006-04-22,34-146,SAS,HOME,SAC,W (+34),0,17:33,3,8,.375,3,4,.750,2,2,1.000,0,0,0,1,1,0,1,3,11,6.1,+12,Nick Van Exel
2006-04-25,34-149,SAS,HOME,SAC,W (+9),0,9:50,0,5,.000,0,2,.000,3,3,1.000,0,0,0,1,0,0,0,1,3,-0.2,-6,Nick Van Exel
2006-04-28,34-152,SAS,AWAY,SAC,L (-1),0,9:08,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,1,0,-0.8,-3,Nick Van Exel
2006-05-02,34-156,SAS,HOME,SAC,W (+11),0,14:19,0,2,.000,0,0,,2,2,1.000,1,3,4,4,0,0,2,2,2,2.2,+6,Nick Van Exel
2006-05-05,34-159,SAS,AWAY,SAC,W (+22),0,11:34,0,2,.000,0,1,.000,2,2,1.000,0,2,2,1,1,0,1,1,2,1.5,-7,Nick Van Exel
2006-05-07,34-161,SAS,HOME,DAL,W (+2),0,11:33,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,1,0,2,0.7,+4,Nick Van Exel
2006-05-09,34-163,SAS,HOME,DAL,L (-22),0,5:07,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,-6,Nick Van Exel
2006-05-13,34-167,SAS,AWAY,DAL,L (-1),0,11:40,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,0,1,2,3.0,+5,Nick Van Exel
2006-05-15,34-169,SAS,AWAY,DAL,L (-5),0,7:23,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,5,2,-0.7,-4,Nick Van Exel
2006-05-17,34-171,SAS,HOME,DAL,W (+1),0,13:02,0,2,.000,0,1,.000,0,0,,0,0,0,4,0,0,0,0,0,1.4,-6,Nick Van Exel
2006-05-19,34-173,SAS,AWAY,DAL,W (+5),0,14:18,1,2,.500,0,0,,0,0,,0,2,2,1,0,1,0,0,2,3.0,0,Nick Van Exel
2006-05-22,34-176,SAS,HOME,DAL,L (-8),0,7:56,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-0.1,-4,Nick Van Exel
2003-04-19,31-143,DAL,HOME,POR,W (+10),0,23:57,3,8,0.375,1,3,0.333,1,2,0.5,1,0,1,4,0,0,2,1,8,4.3,-1,Nick Van Exel
2003-04-23,31-147,DAL,HOME,POR,W (+4),0,30:40,5,11,0.455,2,7,0.286,0,0,,1,1,2,6,1,0,1,0,12,11.5,8,Nick Van Exel
2003-04-25,31-149,DAL,AWAY,POR,W (+12),0,31:46,7,18,0.389,0,5,0.0,0,0,,0,4,4,7,1,0,0,3,14,10.1,0,Nick Van Exel
2003-04-27,31-151,DAL,AWAY,POR,L (-19),0,27:15,7,16,0.438,2,5,0.4,2,2,1.0,1,2,3,7,1,0,1,1,18,15.4,-10,Nick Van Exel
2003-04-30,31-154,DAL,HOME,POR,L (-4),0,33:00,9,18,0.5,2,5,0.4,5,6,0.833,0,0,0,5,1,0,2,3,25,16.9,-5,Nick Van Exel
2003-05-02,31-156,DAL,AWAY,POR,L (-22),0,16:58,1,3,0.333,0,0,,2,2,1.0,1,1,2,3,0,0,2,1,4,3.0,-27,Nick Van Exel
2003-05-04,31-158,DAL,HOME,POR,W (+12),0,31:20,10,15,0.667,3,5,0.6,3,4,0.75,1,2,3,3,1,0,2,2,26,20.7,16,Nick Van Exel
2003-05-06,31-160,DAL,HOME,SAC,L (-11),0,33:42,9,19,0.474,1,5,0.2,1,1,1.0,1,1,2,5,0,0,2,1,20,12.4,-4,Nick Van Exel
2003-05-08,31-162,DAL,HOME,SAC,W (+22),0,29:59,14,19,0.737,5,8,0.625,3,6,0.5,1,2,3,6,0,0,1,1,36,31.2,37,Nick Van Exel
2003-05-10,31-164,DAL,AWAY,SAC,W (+4),0,48:34,14,26,0.538,6,12,0.5,6,7,0.857,1,6,7,7,1,0,1,4,40,32.8,7,Nick Van Exel
2003-05-11,31-165,DAL,AWAY,SAC,L (-16),0,29:35,2,11,0.182,1,4,0.25,0,2,0.0,0,2,2,3,0,0,2,2,5,-2.8,-13,Nick Van Exel
2003-05-13,31-167,DAL,HOME,SAC,W (+19),0,33:27,7,17,0.412,2,6,0.333,2,4,0.5,1,5,6,3,1,0,2,4,18,9.8,15,Nick Van Exel
2003-05-15,31-169,DAL,AWAY,SAC,L (-6),0,36:25,15,23,0.652,5,11,0.455,0,0,,1,1,2,3,0,0,3,4,35,23.4,-12,Nick Van Exel
2003-05-17,31-171,DAL,HOME,SAC,W (+13),0,35:27,8,18,0.444,4,7,0.571,3,6,0.5,2,3,5,4,1,0,1,2,23,16.7,4,Nick Van Exel
2003-05-19,31-173,DAL,AWAY,SAS,W (+3),0,41:33,3,12,0.25,1,3,0.333,7,7,1.0,1,4,5,1,0,0,3,4,14,4.8,7,Nick Van Exel
2003-05-21,31-175,DAL,AWAY,SAS,L (-13),0,33:57,5,16,0.313,2,6,0.333,1,1,1.0,0,3,3,3,1,0,2,2,13,5.0,-23,Nick Van Exel
2003-05-23,31-177,DAL,HOME,SAS,L (-13),0,33:57,6,15,0.4,3,6,0.5,1,2,0.5,0,3,3,3,0,0,2,2,16,7.7,-14,Nick Van Exel
2003-05-25,31-179,DAL,HOME,SAS,L (-7),1,42:26,10,22,0.455,1,4,0.25,1,2,0.5,4,4,8,3,1,0,4,3,22,12.1,-15,Nick Van Exel
2003-05-27,31-181,DAL,AWAY,SAS,W (+12),1,39:29,7,20,0.35,2,6,0.333,5,5,1.0,1,4,5,4,2,0,4,5,21,10.5,12,Nick Van Exel
2003-05-29,31-183,DAL,HOME,SAS,L (-12),1,39:45,8,19,0.421,1,4,0.25,2,5,0.4,0,2,2,2,0,0,2,2,19,6.9,-12,Nick Van Exel
