DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2018-04-14,20-271,TOR,HOME,WAS,W (+8),1,22:16,5,9,0.556,2,4,0.5,0,0,,2,0,2,1,0,1,0,1,12,10.1,11,OG Anunoby
2018-04-17,20-274,TOR,HOME,WAS,W (+11),1,18:39,2,3,0.667,1,2,0.5,4,5,0.8,2,1,3,0,1,1,0,2,9,9.9,5,OG Anunoby
2018-04-20,20-277,TOR,AWAY,WAS,L (-19),1,26:08,4,5,0.8,2,3,0.667,2,2,1.0,0,3,3,1,1,0,1,2,12,10.9,-6,OG Anunoby
2018-04-22,20-279,TOR,AWAY,WAS,L (-8),1,22:25,2,3,0.667,0,0,,0,0,,1,0,1,1,2,0,0,3,4,4.9,-4,OG Anunoby
2018-04-25,20-282,TOR,HOME,WAS,W (+10),1,21:35,1,4,0.25,1,4,0.25,0,0,,0,3,3,0,1,1,2,3,3,0.0,-3,OG Anunoby
2018-04-27,20-284,TOR,AWAY,WAS,W (+10),1,20:05,2,3,0.667,1,2,0.5,2,2,1.0,0,1,1,0,0,0,0,1,7,5.6,3,OG Anunoby
2018-05-01,20-288,TOR,HOME,CLE,L (-1),1,30:27,3,5,0.6,1,3,0.333,0,0,,1,1,2,2,0,0,0,3,7,5.9,4,OG Anunoby
2018-05-03,20-290,TOR,HOME,CLE,L (-18),1,23:09,2,5,0.4,1,3,0.333,0,0,,0,0,0,1,1,0,1,3,5,1.8,-10,OG Anunoby
2018-05-05,20-292,TOR,AWAY,CLE,L (-2),1,32:57,7,12,0.583,4,7,0.571,0,2,0.0,2,2,4,0,0,1,0,2,18,13.5,0,OG Anunoby
2018-05-07,20-294,TOR,AWAY,CLE,L (-35),1,20:19,1,3,0.333,0,1,0.0,0,0,,1,1,2,1,0,0,2,3,2,-1.2,-23,OG Anunoby
2022-04-16,24-273,TOR,AWAY,PHI,L (-20),1,32:30,9,15,0.6,2,5,0.4,0,0,,2,5,7,2,0,0,1,2,20,15.6,-11,OG Anunoby
2022-04-18,24-275,TOR,AWAY,PHI,L (-15),1,38:26,10,14,0.714,4,7,0.571,2,2,1.0,0,1,1,3,1,0,3,4,26,19.0,-14,OG Anunoby
2022-04-20,24-277,TOR,HOME,PHI,L (-3),1,45:49,8,18,0.444,4,9,0.444,6,9,0.667,3,2,5,4,1,1,1,4,26,20.0,1,OG Anunoby
2022-04-23,24-280,TOR,HOME,PHI,W (+8),1,31:29,3,13,0.231,1,7,0.143,4,5,0.8,2,3,5,2,1,0,2,4,11,3.8,1,OG Anunoby
2022-04-25,24-282,TOR,AWAY,PHI,W (+15),1,39:14,7,15,0.467,2,9,0.222,0,0,,0,5,5,4,2,0,3,1,16,11.2,18,OG Anunoby
2022-04-28,24-285,TOR,HOME,PHI,L (-35),1,29:02,2,7,0.286,1,4,0.25,0,0,,0,1,1,0,1,0,0,3,5,1.0,-26,OG Anunoby
2020-08-17,23-031,TOR,HOME,BRK,W (+24),1,34:25,4,8,0.5,3,5,0.6,1,1,1.0,2,3,5,1,1,2,1,5,12,10.4,18,OG Anunoby
2020-08-19,23-033,TOR,HOME,BRK,W (+5),1,36:07,2,8,0.25,0,3,0.0,2,4,0.5,1,4,5,1,2,2,0,1,6,6.0,1,OG Anunoby
2020-08-21,23-035,TOR,AWAY,BRK,W (+25),1,33:22,4,7,0.571,0,2,0.0,0,0,,1,4,5,3,1,0,0,4,8,8.1,23,OG Anunoby
2020-08-23,23-037,TOR,AWAY,BRK,W (+28),1,25:47,3,7,0.429,1,3,0.333,3,4,0.75,3,4,7,2,0,2,3,0,10,9.0,14,OG Anunoby
2020-08-30,23-044,TOR,HOME,BOS,L (-18),1,33:21,4,6,0.667,1,3,0.333,3,4,0.75,2,5,7,0,0,2,1,2,12,11.5,-21,OG Anunoby
2020-09-01,23-046,TOR,HOME,BOS,L (-3),1,38:27,7,12,0.583,4,6,0.667,2,3,0.667,2,5,7,0,1,0,1,5,20,14.9,6,OG Anunoby
2020-09-03,23-048,TOR,AWAY,BOS,W (+1),1,45:28,4,8,0.5,3,5,0.6,1,2,0.5,2,8,10,1,3,2,1,1,12,15.1,0,OG Anunoby
2020-09-05,23-050,TOR,AWAY,BOS,W (+7),1,35:11,3,7,0.429,2,4,0.5,3,4,0.75,2,1,3,3,0,2,3,1,11,8.7,6,OG Anunoby
2020-09-07,23-052,TOR,HOME,BOS,L (-22),1,25:45,3,11,0.273,1,5,0.2,0,0,,4,3,7,0,2,1,1,2,7,5.1,-26,OG Anunoby
2020-09-09,23-054,TOR,AWAY,BOS,W (+3),1,49:36,5,11,0.455,2,3,0.667,1,4,0.25,5,8,13,1,1,0,4,4,13,8.1,2,OG Anunoby
2020-09-11,23-056,TOR,HOME,BOS,L (-5),1,35:29,1,3,0.333,0,2,0.0,2,2,1.0,2,5,7,1,0,0,1,2,4,4.1,-1,OG Anunoby
