DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2009-04-18,31-063,DET,AWAY,CLE,L (-18),1,34:35,6,14,0.429,0,1,0.0,3,3,1.0,0,0,0,4,0,0,3,1,15,7.0,-19,Richard Hamilton
2009-04-21,31-066,DET,AWAY,CLE,L (-12),1,40:04,7,16,0.438,1,4,0.25,2,3,0.667,0,0,0,3,3,1,2,3,17,10.8,-30,Richard Hamilton
2009-04-24,31-069,DET,HOME,CLE,L (-11),1,41:40,6,17,0.353,1,2,0.5,2,2,1.0,1,7,8,6,2,0,2,3,15,11.3,-6,Richard Hamilton
2009-04-26,31-071,DET,HOME,CLE,L (-21),1,37:52,2,12,0.167,0,3,0.0,2,2,1.0,1,2,3,7,0,0,3,5,6,-0.4,-19,Richard Hamilton
2006-04-23,28-068,DET,HOME,MIL,W (+18),1,39:58,5,18,0.278,0,2,0.0,11,13,0.846,1,4,5,2,0,0,3,2,21,9.1,9,Richard Hamilton
2006-04-26,28-071,DET,HOME,MIL,W (+11),1,32:58,7,12,0.583,0,1,0.0,4,6,0.667,0,1,1,8,1,1,0,2,18,18.4,19,Richard Hamilton
2006-04-29,28-074,DET,AWAY,MIL,L (-20),1,31:04,4,14,0.286,2,4,0.5,0,0,,0,0,0,2,0,0,2,5,10,-0.8,-22,Richard Hamilton
2006-05-01,28-076,DET,AWAY,MIL,W (+10),1,40:03,4,14,0.286,1,2,0.5,9,10,0.9,1,2,3,4,1,0,1,1,18,13.1,3,Richard Hamilton
2006-05-03,28-078,DET,HOME,MIL,W (+29),1,35:51,15,23,0.652,2,2,1.0,8,9,0.889,1,2,3,3,0,0,3,2,40,29.1,28,Richard Hamilton
2006-05-07,28-082,DET,HOME,CLE,W (+27),1,33:48,9,18,0.5,0,1,0.0,2,2,1.0,0,3,3,3,2,0,2,2,20,13.2,33,Richard Hamilton
2006-05-09,28-084,DET,HOME,CLE,W (+6),1,38:34,1,7,0.143,0,2,0.0,15,18,0.833,0,1,1,3,2,0,1,2,17,13.9,4,Richard Hamilton
2006-05-13,28-088,DET,AWAY,CLE,L (-9),1,43:20,9,18,0.5,2,2,1.0,2,2,1.0,0,2,2,5,2,0,2,3,22,15.9,-12,Richard Hamilton
2006-05-15,28-090,DET,AWAY,CLE,L (-2),1,39:20,11,25,0.44,1,3,0.333,7,7,1.0,0,2,2,0,0,0,2,4,30,13.9,4,Richard Hamilton
2006-05-17,28-092,DET,HOME,CLE,L (-2),1,45:59,5,16,0.313,0,1,0.0,5,7,0.714,1,0,1,3,1,1,4,2,15,4.7,-1,Richard Hamilton
2006-05-19,28-094,DET,AWAY,CLE,W (+2),1,34:36,8,16,0.5,1,1,1.0,0,0,,3,1,4,1,0,0,0,5,17,10.1,6,Richard Hamilton
2006-05-21,28-096,DET,HOME,CLE,W (+18),1,34:57,5,10,0.5,0,2,0.0,5,8,0.625,0,4,4,2,1,1,3,4,15,8.5,21,Richard Hamilton
2006-05-23,28-098,DET,HOME,MIA,L (-5),1,41:11,9,22,0.409,1,3,0.333,3,3,1.0,1,3,4,3,0,1,3,5,22,9.6,-11,Richard Hamilton
2006-05-25,28-100,DET,HOME,MIA,W (+4),1,43:29,7,18,0.389,2,4,0.5,6,7,0.857,0,3,3,3,4,0,0,4,22,17.2,12,Richard Hamilton
2006-05-27,28-102,DET,AWAY,MIA,L (-15),1,35:09,6,15,0.4,0,2,0.0,8,8,1.0,1,1,2,2,0,0,3,6,20,8.9,-18,Richard Hamilton
2006-05-29,28-104,DET,AWAY,MIA,L (-11),1,42:23,4,15,0.267,0,1,0.0,3,4,0.75,1,0,1,1,0,0,5,3,11,-3.1,-9,Richard Hamilton
2006-05-31,28-106,DET,HOME,MIA,W (+13),1,38:02,7,21,0.333,0,0,,2,2,1.0,3,7,10,2,1,1,4,3,16,6.2,14,Richard Hamilton
2006-06-02,28-108,DET,AWAY,MIA,L (-17),1,39:19,12,28,0.429,2,7,0.286,7,8,0.875,3,0,3,1,2,0,1,4,33,20.0,-6,Richard Hamilton
2003-04-20,25-065,DET,HOME,ORL,L (-5),1,37:15,7,17,0.412,2,3,0.667,12,12,1.0,2,2,4,0,0,0,4,2,28,16.1,9,Richard Hamilton
2003-04-23,25-068,DET,HOME,ORL,W (+12),1,35:56,10,16,0.625,0,0,,10,13,0.769,2,5,7,5,0,0,3,4,30,23.4,20,Richard Hamilton
2003-04-25,25-070,DET,AWAY,ORL,L (-9),1,37:37,7,22,0.318,0,1,0.0,8,9,0.889,1,1,2,2,1,0,3,4,22,7.8,-9,Richard Hamilton
2003-04-27,25-072,DET,AWAY,ORL,L (-8),1,35:18,2,11,0.182,0,0,,1,1,1.0,0,2,2,1,0,0,3,3,5,-4.8,-7,Richard Hamilton
2003-04-30,25-075,DET,HOME,ORL,W (+31),1,33:36,9,16,0.563,0,0,,6,6,1.0,3,2,5,2,0,0,2,3,24,17.3,21,Richard Hamilton
2003-05-02,25-077,DET,AWAY,ORL,W (+15),1,43:14,9,22,0.409,0,4,0.0,4,4,1.0,3,3,6,2,2,0,2,3,22,13.4,19,Richard Hamilton
2003-05-04,25-079,DET,HOME,ORL,W (+15),1,30:32,9,14,0.643,0,1,0.0,4,4,1.0,1,3,4,1,1,0,1,1,22,17.7,2,Richard Hamilton
2003-05-06,25-081,DET,HOME,PHI,W (+11),1,41:29,7,17,0.412,0,0,,11,12,0.917,1,3,4,2,2,0,6,3,25,13.3,12,Richard Hamilton
2003-05-08,25-083,DET,HOME,PHI,W (+7),1,47:01,8,18,0.444,2,5,0.4,5,7,0.714,0,1,1,6,2,0,4,4,23,13.7,7,Richard Hamilton
2003-05-10,25-085,DET,AWAY,PHI,L (-10),1,38:08,7,19,0.368,2,4,0.5,8,8,1.0,1,2,3,4,2,0,3,4,24,15.0,-10,Richard Hamilton
2003-05-11,25-086,DET,AWAY,PHI,L (-13),1,38:35,10,18,0.556,1,2,0.5,9,11,0.818,1,4,5,3,1,0,7,3,30,17.4,-10,Richard Hamilton
2003-05-14,25-089,DET,HOME,PHI,W (+1),1,38:25,8,20,0.4,1,2,0.5,3,3,1.0,0,6,6,5,0,0,4,2,20,9.7,1,Richard Hamilton
2003-05-16,25-091,DET,AWAY,PHI,W (+4),1,41:41,6,19,0.316,0,2,0.0,7,8,0.875,2,2,4,2,0,0,2,5,19,7.1,-6,Richard Hamilton
2003-05-18,25-093,DET,HOME,NJN,L (-2),1,37:57,9,16,0.563,1,1,1.0,5,6,0.833,0,2,2,1,1,0,4,3,24,13.1,1,Richard Hamilton
2003-05-20,25-095,DET,HOME,NJN,L (-2),1,36:31,11,20,0.55,0,0,,2,2,1.0,0,4,4,2,1,0,3,3,24,13.8,1,Richard Hamilton
2003-05-22,25-097,DET,AWAY,NJN,L (-12),1,43:51,8,17,0.471,0,0,,5,5,1.0,0,3,3,3,0,0,3,3,21,11.1,-9,Richard Hamilton
2003-05-24,25-099,DET,AWAY,NJN,L (-20),1,40:44,7,21,0.333,0,2,0.0,6,6,1.0,1,3,4,4,0,1,3,1,20,9.8,-16,Richard Hamilton
2004-04-18,26-064,DET,HOME,MIL,W (+26),1,36:13,5,13,.385,0,1,.000,11,12,.917,1,2,3,8,4,0,3,3,21,20.2,+17,Richard Hamilton
2004-04-21,26-067,DET,HOME,MIL,L (-4),1,35:26,8,18,.444,0,2,.000,2,4,.500,0,4,4,2,1,0,2,6,18,7.0,-3,Richard Hamilton
2004-04-24,26-070,DET,AWAY,MIL,W (+10),1,32:53,5,10,.500,0,0,,7,8,.875,1,3,4,1,0,0,3,4,17,9.3,+21,Richard Hamilton
2004-04-26,26-072,DET,AWAY,MIL,W (+17),1,34:52,10,17,.588,3,4,.750,4,4,1.000,1,1,2,6,2,0,2,4,27,22.7,+15,Richard Hamilton
2004-04-29,26-075,DET,HOME,MIL,W (+14),1,37:03,8,17,.471,1,2,.500,1,3,.333,1,4,5,4,2,0,3,4,18,10.6,+18,Richard Hamilton
2004-05-03,26-079,DET,HOME,NJN,W (+22),1,37:55,6,13,.462,0,0,,3,3,1.000,2,4,6,7,0,0,3,2,15,12.0,+22,Richard Hamilton
2004-05-07,26-083,DET,HOME,NJN,W (+15),1,37:13,9,17,.529,0,0,,10,11,.909,2,2,4,5,4,0,2,3,28,25.6,+25,Richard Hamilton
2004-05-09,26-085,DET,AWAY,NJN,L (-18),1,41:22,4,15,.267,0,1,.000,7,8,.875,3,2,5,0,2,0,0,4,15,8.8,-14,Richard Hamilton
2004-05-11,26-087,DET,AWAY,NJN,L (-15),1,40:18,11,20,.550,2,3,.667,6,8,.750,2,4,6,2,1,0,5,5,30,17.6,-17,Richard Hamilton
2004-05-14,26-090,DET,HOME,NJN,L (-7),1,34:16,5,13,.385,0,0,,1,1,1.000,1,2,3,11,1,0,4,6,11,7.5,-4,Richard Hamilton
2004-05-16,26-092,DET,AWAY,NJN,W (+6),1,40:53,11,24,.458,0,2,.000,2,3,.667,2,3,5,4,0,0,4,3,24,11.1,-1,Richard Hamilton
2004-05-20,26-096,DET,HOME,NJN,W (+21),1,42:52,8,22,.364,3,5,.600,2,2,1.000,0,6,6,4,2,0,3,2,21,11.6,+21,Richard Hamilton
2004-05-22,26-098,DET,AWAY,IND,L (-4),1,44:38,10,20,.500,0,2,.000,3,3,1.000,0,3,3,3,1,0,3,2,23,13.2,0,Richard Hamilton
2004-05-24,26-100,DET,AWAY,IND,W (+5),1,39:06,8,14,.571,0,0,,7,8,.875,0,8,8,3,0,0,3,5,23,15.5,+15,Richard Hamilton
2004-05-26,26-102,DET,HOME,IND,W (+7),1,43:16,7,19,.368,0,2,.000,6,8,.750,0,4,4,5,0,0,3,2,20,9.6,+11,Richard Hamilton
2004-05-28,26-104,DET,HOME,IND,L (-15),1,41:12,10,24,.417,1,3,.333,1,2,.500,2,2,4,4,1,0,2,3,22,11.4,-14,Richard Hamilton
2004-05-30,26-106,DET,AWAY,IND,W (+18),1,42:28,12,22,.545,1,2,.500,8,8,1.000,0,3,3,3,1,1,1,0,33,26.1,+21,Richard Hamilton
2004-06-01,26-108,DET,HOME,IND,W (+4),1,47:35,7,15,.467,0,0,,7,8,.875,2,3,5,5,1,0,3,5,21,14.7,+4,Richard Hamilton
2004-06-06,26-113,DET,AWAY,LAL,W (+12),1,43:25,5,16,.313,0,0,,2,4,.500,3,4,7,5,1,0,6,0,12,3.8,+11,Richard Hamilton
2004-06-08,26-115,DET,AWAY,LAL,L (-8),1,47:13,10,25,.400,2,2,1.000,4,5,.800,5,3,8,2,0,0,5,2,26,12.1,-8,Richard Hamilton
2004-06-10,26-117,DET,HOME,LAL,W (+20),1,43:35,11,22,.500,2,4,.500,7,7,1.000,3,3,6,3,2,0,3,1,31,23.7,+15,Richard Hamilton
2004-06-13,26-120,DET,HOME,LAL,W (+8),1,44:23,5,11,.455,0,0,,7,7,1.000,1,1,2,6,0,0,5,5,17,9.5,+9,Richard Hamilton
2004-06-15,26-122,DET,HOME,LAL,W (+13),1,45:10,6,18,.333,0,4,.000,9,11,.818,0,3,3,4,1,0,4,1,21,10.3,+14,Richard Hamilton
