DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2002-04-21,26-055,LAL,HOME,POR,W (+8),1,13:39,0,4,0.0,0,0,,0,0,,2,2,4,0,0,0,1,4,0,-3.4,-18,Samaki Walker
2002-04-25,26-059,LAL,HOME,POR,W (+7),1,23:13,2,4,0.5,0,0,,1,2,0.5,2,7,9,2,1,1,0,5,5,7.2,8,Samaki Walker
2002-04-28,26-062,LAL,AWAY,POR,W (+1),1,14:43,1,5,0.2,0,0,,0,0,,2,4,6,0,0,1,2,1,2,-0.2,-12,Samaki Walker
2002-05-05,26-069,LAL,HOME,SAS,W (+6),1,25:32,5,6,0.833,0,0,,2,2,1.0,4,5,9,0,0,1,1,2,12,13.0,6,Samaki Walker
2002-05-07,26-071,LAL,HOME,SAS,L (-3),1,22:18,1,2,0.5,0,0,,0,0,,2,4,6,0,0,0,0,3,2,2.4,-1,Samaki Walker
2002-05-10,26-074,LAL,AWAY,SAS,W (+10),0,16:07,5,6,0.833,0,0,,2,2,1.0,3,2,5,0,0,0,0,3,12,11.3,11,Samaki Walker
2002-05-12,26-076,LAL,AWAY,SAS,W (+2),0,19:36,4,7,0.571,0,0,,0,2,0.0,4,2,6,0,1,0,0,4,8,6.7,-6,Samaki Walker
2002-05-14,26-078,LAL,HOME,SAS,W (+6),0,12:22,2,2,1.0,0,0,,0,0,,1,2,3,0,0,0,0,2,4,3.9,-2,Samaki Walker
2002-05-18,26-082,LAL,AWAY,SAC,W (+7),0,10:01,0,1,0.0,0,0,,0,0,,2,3,5,0,0,0,2,2,0,-1.2,-6,Samaki Walker
2002-05-20,26-084,LAL,AWAY,SAC,L (-6),0,20:00,2,6,0.333,0,0,,1,1,1.0,2,3,5,1,0,0,1,4,5,2.0,-10,Samaki Walker
2002-05-24,26-088,LAL,HOME,SAC,L (-13),0,9:17,0,0,,0,0,,1,2,0.5,1,2,3,0,0,0,0,1,1,1.5,-18,Samaki Walker
2002-05-26,26-090,LAL,HOME,SAC,W (+1),0,6:31,1,2,0.5,1,1,1.0,0,0,,1,1,2,0,0,0,0,2,3,2.2,3,Samaki Walker
2002-05-28,26-092,LAL,AWAY,SAC,L (-1),0,18:19,0,2,0.0,0,0,,2,2,1.0,2,4,6,1,0,0,1,3,2,1.7,-9,Samaki Walker
2002-05-31,26-095,LAL,HOME,SAC,W (+4),0,4:02,0,1,0.0,0,0,,2,2,1.0,1,0,1,0,0,2,0,0,2,3.4,-5,Samaki Walker
2002-06-02,26-097,LAL,AWAY,SAC,W (+6),0,2:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-4,Samaki Walker
2002-06-05,26-100,LAL,HOME,NJN,W (+5),0,7:43,1,2,0.5,0,0,,0,0,,3,4,7,0,0,1,2,1,2,2.6,8,Samaki Walker
2002-06-07,26-102,LAL,HOME,NJN,W (+23),0,5:01,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-2.5,-15,Samaki Walker
2002-06-09,26-104,LAL,AWAY,NJN,W (+3),0,6:13,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,1,Samaki Walker
2002-06-12,26-107,LAL,AWAY,NJN,W (+6),0,4:36,0,0,,0,0,,2,2,1.0,0,1,1,0,0,0,0,1,2,1.9,-5,Samaki Walker
2001-04-21,25-055,SAS,HOME,MIN,W (+5),0,2:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2,Samaki Walker
2001-04-23,25-057,SAS,HOME,MIN,W (+17),0,14:12,1,2,.500,0,0,,0,0,,2,0,2,0,1,0,0,3,2,2.2,-12,Samaki Walker
2001-04-28,25-062,SAS,AWAY,MIN,L (-9),0,12:39,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,+2,Samaki Walker
2001-04-30,25-064,SAS,AWAY,MIN,W (+13),0,3:59,1,1,1.000,0,0,,1,2,.500,1,2,3,1,0,0,0,1,3,3.9,+7,Samaki Walker
