DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2002-04-21,32-146,POR,AWAY,LAL,L (-8),0,6:45,0,2,0.0,0,0,,1,2,0.5,0,4,4,0,0,0,0,1,1,0.0,8,Shawn Kemp
2002-04-25,32-150,POR,AWAY,LAL,L (-7),0,15:19,1,3,0.333,0,0,,5,6,0.833,0,0,0,0,1,0,0,2,7,5.1,4,Shawn Kemp
2002-04-28,32-153,POR,HOME,LAL,L (-1),0,13:30,1,2,0.5,0,0,,1,2,0.5,2,2,4,0,0,0,2,5,3,-0.4,8,Shawn Kemp
2003-04-20,33-145,ORL,AWAY,DET,W (+5),0,18:42,3,6,0.5,0,0,,0,0,,0,4,4,0,0,0,0,4,6,2.6,9,Shawn Kemp
2003-04-23,33-148,ORL,AWAY,DET,L (-12),0,15:18,1,5,0.2,0,0,,3,4,0.75,0,4,4,0,0,0,2,2,5,-0.1,-2,Shawn Kemp
2003-04-25,33-150,ORL,HOME,DET,W (+9),0,6:35,1,4,0.25,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-0.1,0,Shawn Kemp
2003-04-27,33-152,ORL,HOME,DET,W (+8),0,7:15,2,2,1.0,0,0,,0,0,,0,1,1,0,0,0,0,1,4,3.3,11,Shawn Kemp
2003-04-30,33-155,ORL,AWAY,DET,L (-31),0,11:47,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-2.9,-11,Shawn Kemp
2003-05-02,33-157,ORL,HOME,DET,L (-15),0,11:31,1,2,0.5,0,0,,2,2,1.0,1,3,4,0,0,0,1,3,4,2.4,1,Shawn Kemp
2003-05-04,33-159,ORL,AWAY,DET,L (-15),0,1:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3,Shawn Kemp
