DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2019-04-14,25-028,BOS,HOME,IND,W (+10),0,18:12,1,6,0.167,1,3,0.333,2,4,0.5,1,4,5,2,0,0,1,3,5,1.5,0,Terry Rozier
2019-04-17,25-031,BOS,HOME,IND,W (+8),0,20:35,2,5,0.4,0,2,0.0,0,0,,1,5,6,6,0,0,2,0,4,5.7,19,Terry Rozier
2019-04-19,25-033,BOS,AWAY,IND,W (+8),0,17:42,2,7,0.286,2,6,0.333,3,3,1.0,1,1,2,2,0,1,3,1,9,4.6,-6,Terry Rozier
2019-04-21,25-035,BOS,AWAY,IND,W (+4),0,18:49,4,6,0.667,2,4,0.5,1,2,0.5,0,1,1,1,2,0,2,2,11,8.2,9,Terry Rozier
2019-04-28,25-042,BOS,AWAY,MIL,W (+22),0,19:39,4,8,0.5,2,5,0.4,1,2,0.5,0,9,9,3,0,0,0,6,11,9.0,13,Terry Rozier
2019-04-30,25-044,BOS,AWAY,MIL,L (-21),0,24:44,2,10,0.2,0,4,0.0,5,5,1.0,1,7,8,2,1,0,0,3,9,6.8,-1,Terry Rozier
2019-05-03,25-047,BOS,HOME,MIL,L (-7),0,14:29,0,3,0.0,0,2,0.0,0,0,,0,1,1,0,1,0,1,0,0,-1.8,3,Terry Rozier
2019-05-06,25-050,BOS,HOME,MIL,L (-12),0,10:27,1,5,0.2,0,3,0.0,0,0,,0,2,2,0,0,1,1,0,2,-0.8,-11,Terry Rozier
2019-05-08,25-052,BOS,AWAY,MIL,L (-25),0,17:06,3,9,0.333,1,5,0.2,0,0,,0,5,5,1,0,0,0,0,7,4.1,-13,Terry Rozier
2018-04-15,24-029,BOS,HOME,MIL,W (+6),1,40:29,7,18,0.389,4,9,0.444,5,6,0.833,1,3,4,3,1,0,0,2,23,16.7,0,Terry Rozier
2018-04-17,24-031,BOS,HOME,MIL,W (+14),1,37:46,8,14,0.571,3,5,0.6,4,4,1.0,0,3,3,8,1,1,0,2,23,23.8,19,Terry Rozier
2018-04-20,24-034,BOS,AWAY,MIL,L (-24),1,31:11,2,7,0.286,1,5,0.2,4,5,0.8,0,2,2,9,2,0,5,1,9,8.0,-10,Terry Rozier
2018-04-22,24-036,BOS,AWAY,MIL,L (-2),1,35:51,3,12,0.25,2,10,0.2,2,2,1.0,0,5,5,8,1,1,1,2,10,9.8,4,Terry Rozier
2018-04-24,24-038,BOS,HOME,MIL,W (+5),1,33:02,4,10,0.4,2,6,0.333,6,8,0.75,0,3,3,5,1,1,2,2,16,13.1,4,Terry Rozier
2018-04-26,24-040,BOS,AWAY,MIL,L (-11),1,37:11,5,17,0.294,4,12,0.333,2,2,1.0,1,6,7,5,1,0,1,3,16,10.9,-10,Terry Rozier
2018-04-28,24-042,BOS,HOME,MIL,W (+16),1,36:03,10,16,0.625,5,8,0.625,1,3,0.333,2,4,6,9,1,1,2,1,26,26.2,5,Terry Rozier
2018-04-30,24-044,BOS,HOME,PHI,W (+16),1,34:53,11,18,0.611,7,9,0.778,0,0,,2,6,8,6,2,1,2,2,29,28.1,17,Terry Rozier
2018-05-03,24-047,BOS,HOME,PHI,W (+5),1,38:04,6,15,0.4,4,9,0.444,4,4,1.0,0,7,7,9,1,1,0,1,20,21.6,17,Terry Rozier
2018-05-05,24-049,BOS,AWAY,PHI,W (+3),1,44:28,7,15,0.467,2,8,0.25,2,2,1.0,1,6,7,3,2,0,0,0,18,16.9,-3,Terry Rozier
2018-05-07,24-051,BOS,AWAY,PHI,L (-11),1,39:06,4,11,0.364,1,6,0.167,2,4,0.5,0,8,8,2,0,0,1,2,11,6.1,-14,Terry Rozier
2018-05-09,24-053,BOS,HOME,PHI,W (+2),1,40:05,4,15,0.267,3,9,0.333,6,6,1.0,1,5,6,2,1,0,2,2,17,9.9,5,Terry Rozier
2018-05-13,24-057,BOS,HOME,CLE,W (+25),1,34:23,4,10,0.4,0,3,0.0,0,0,,0,6,6,8,0,0,1,0,8,9.0,14,Terry Rozier
