DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2009-04-19,23-293,LAL,HOME,UTA,W (+13),1,33:39,8,10,.800,3,4,.750,2,3,.667,0,4,4,2,0,0,2,2,21,16.6,+6,Trevor Ariza
2009-04-21,23-295,LAL,HOME,UTA,W (+10),1,31:36,5,6,.833,3,3,1.000,0,0,,1,3,4,9,2,0,1,5,13,17.7,+11,Trevor Ariza
2009-04-23,23-297,LAL,AWAY,UTA,L (-2),1,38:16,3,9,.333,2,4,.500,1,2,.500,1,0,1,4,0,0,2,3,9,3.8,-4,Trevor Ariza
2009-04-25,23-299,LAL,AWAY,UTA,W (+14),1,27:49,2,5,.400,1,3,.333,0,0,,0,4,4,2,2,0,1,4,5,4.3,+5,Trevor Ariza
2009-04-27,23-301,LAL,HOME,UTA,W (+11),1,27:29,4,6,.667,2,4,.500,2,4,.500,2,5,7,4,1,2,4,4,12,11.1,+8,Trevor Ariza
2009-05-04,23-308,LAL,HOME,HOU,L (-8),1,38:17,4,8,.500,0,4,.000,2,2,1.000,0,4,4,1,2,1,2,2,10,7.8,-10,Trevor Ariza
2009-05-06,23-310,LAL,HOME,HOU,W (+13),1,25:18,3,8,.375,1,3,.333,1,2,.500,1,2,3,3,0,1,1,3,8,5.1,+11,Trevor Ariza
2009-05-08,23-312,LAL,AWAY,HOU,W (+14),1,31:41,4,7,.571,3,4,.750,2,4,.500,0,5,5,2,4,0,1,5,13,12.8,+16,Trevor Ariza
2009-05-10,23-314,LAL,AWAY,HOU,L (-12),1,23:03,2,4,.500,1,1,1.000,0,2,.000,1,1,2,2,0,0,3,2,5,0.8,-22,Trevor Ariza
2009-05-12,23-316,LAL,HOME,HOU,W (+40),1,23:55,5,8,.625,1,2,.500,2,5,.400,0,2,2,3,3,0,2,1,13,11.5,+23,Trevor Ariza
2009-05-14,23-318,LAL,AWAY,HOU,L (-15),1,30:32,2,6,.333,1,5,.200,2,4,.500,2,2,4,2,2,0,2,1,7,5.8,-9,Trevor Ariza
2009-05-17,23-321,LAL,HOME,HOU,W (+19),1,28:50,5,9,.556,2,3,.667,3,4,.750,1,4,5,1,0,2,2,2,15,11.5,+14,Trevor Ariza
2009-05-19,23-323,LAL,HOME,DEN,W (+2),1,27:55,2,8,.250,1,4,.250,1,2,.500,2,3,5,2,3,0,3,4,6,2.9,-2,Trevor Ariza
2009-05-21,23-325,LAL,HOME,DEN,L (-3),1,33:26,6,7,.857,2,2,1.000,6,8,.750,0,3,3,2,4,0,3,2,20,19.2,-11,Trevor Ariza
2009-05-23,23-327,LAL,AWAY,DEN,W (+6),1,32:03,5,8,.625,3,5,.600,3,4,.750,1,3,4,2,2,1,1,4,16,15.1,+8,Trevor Ariza
2009-05-25,23-329,LAL,AWAY,DEN,L (-19),1,25:42,1,4,.250,1,3,.333,0,2,.000,0,1,1,1,0,0,1,5,3,-2.2,-8,Trevor Ariza
2009-05-27,23-331,LAL,HOME,DEN,W (+9),1,32:25,4,7,.571,0,2,.000,4,6,.667,0,5,5,4,1,2,0,4,12,13.0,-2,Trevor Ariza
2009-05-29,23-333,LAL,AWAY,DEN,W (+27),1,22:06,7,9,.778,3,4,.750,0,0,,1,3,4,0,1,0,2,4,17,12.5,+17,Trevor Ariza
2009-06-04,23-339,LAL,HOME,ORL,W (+25),1,23:47,1,4,.250,1,2,.500,0,0,,1,1,2,2,0,1,0,3,3,2.5,+18,Trevor Ariza
2009-06-07,23-342,LAL,HOME,ORL,W (+5),1,37:41,3,13,.231,2,6,.333,0,0,,1,6,7,2,3,0,0,3,8,5.8,+2,Trevor Ariza
2009-06-09,23-344,LAL,AWAY,ORL,L (-4),1,41:31,5,13,.385,2,7,.286,1,2,.500,3,4,7,1,2,0,1,4,13,8.9,-1,Trevor Ariza
2009-06-11,23-346,LAL,AWAY,ORL,W (+8),1,43:32,6,14,.429,3,4,.750,1,2,.500,3,6,9,2,2,0,1,3,16,13.3,+15,Trevor Ariza
2009-06-14,23-349,LAL,AWAY,ORL,W (+13),1,41:29,5,12,.417,2,5,.400,3,6,.500,1,4,5,1,2,0,3,3,15,7.8,+12,Trevor Ariza
2021-05-22,35-326,MIA,AWAY,MIL,L (-2),1,38:19,3,8,0.375,2,6,0.333,0,0,,1,11,12,1,1,1,1,4,8,7.4,-7,Trevor Ariza
2021-05-24,35-328,MIA,AWAY,MIL,L (-34),1,18:54,0,3,0.0,0,3,0.0,0,0,,1,4,5,1,0,0,1,3,0,-1.7,-25,Trevor Ariza
2021-05-27,35-331,MIA,HOME,MIL,L (-29),1,18:28,0,4,0.0,0,2,0.0,0,0,,0,6,6,0,2,0,1,1,0,-0.4,-3,Trevor Ariza
2021-05-29,35-333,MIA,HOME,MIL,L (-17),1,20:21,4,8,0.5,3,6,0.5,0,0,,0,0,0,0,0,0,0,3,11,5.8,-14,Trevor Ariza
2015-04-18,29-292,HOU,HOME,DAL,W (+10),1,37:58,3,6,0.5,2,2,1.0,4,4,1.0,1,10,11,6,3,0,1,0,12,18.9,7,Trevor Ariza
2015-04-21,29-295,HOU,HOME,DAL,W (+12),1,35:40,1,9,0.111,0,3,0.0,2,3,0.667,2,3,5,1,0,0,1,4,4,-1.9,20,Trevor Ariza
2015-04-24,29-298,HOU,AWAY,DAL,W (+2),1,39:16,5,12,0.417,2,5,0.4,1,2,0.5,0,1,1,2,0,0,2,4,13,4.3,12,Trevor Ariza
2015-04-26,29-300,HOU,AWAY,DAL,L (-12),1,33:04,2,10,0.2,0,5,0.0,3,3,1.0,0,5,5,2,2,0,0,4,7,4.1,-11,Trevor Ariza
2015-04-28,29-302,HOU,HOME,DAL,W (+9),1,37:29,2,8,0.25,1,7,0.143,0,0,,2,9,11,4,0,0,1,3,5,4.9,8,Trevor Ariza
2015-05-04,29-308,HOU,HOME,LAC,L (-16),1,38:26,7,13,0.538,2,6,0.333,1,1,1.0,1,4,5,4,3,1,4,3,17,13.9,-11,Trevor Ariza
2015-05-06,29-310,HOU,HOME,LAC,W (+6),1,44:52,4,12,0.333,1,5,0.2,6,7,0.857,3,10,13,2,1,0,1,4,15,12.7,-2,Trevor Ariza
2015-05-08,29-312,HOU,AWAY,LAC,L (-25),1,35:24,3,9,0.333,1,6,0.167,3,4,0.75,0,2,2,1,1,0,1,2,10,5.0,-9,Trevor Ariza
2015-05-10,29-314,HOU,AWAY,LAC,L (-33),1,35:15,7,14,0.5,4,8,0.5,0,0,,0,8,8,3,3,0,3,4,18,13.9,-24,Trevor Ariza
2015-05-12,29-316,HOU,HOME,LAC,W (+21),1,31:15,8,12,0.667,4,6,0.667,2,2,1.0,0,8,8,3,3,0,1,1,22,22.9,23,Trevor Ariza
2015-05-14,29-318,HOU,AWAY,LAC,W (+12),1,45:06,4,12,0.333,3,8,0.375,2,2,1.0,1,4,5,1,2,0,1,2,13,9.0,11,Trevor Ariza
2015-05-17,29-321,HOU,HOME,LAC,W (+13),1,43:26,6,14,0.429,6,12,0.5,4,4,1.0,0,7,7,3,2,0,2,5,22,16.8,6,Trevor Ariza
2015-05-19,29-323,HOU,AWAY,GSW,L (-4),1,34:00,7,10,0.7,4,5,0.8,2,2,1.0,1,2,3,2,2,0,1,1,20,19.1,1,Trevor Ariza
2015-05-21,29-325,HOU,AWAY,GSW,L (-1),1,38:58,3,8,0.375,1,4,0.25,0,0,,2,4,6,1,2,0,2,4,7,4.3,2,Trevor Ariza
2015-05-23,29-327,HOU,HOME,GSW,L (-35),1,40:59,3,8,0.375,1,4,0.25,0,0,,3,5,8,2,2,0,1,2,7,7.8,-29,Trevor Ariza
2015-05-25,29-329,HOU,HOME,GSW,W (+13),1,40:29,5,10,0.5,3,7,0.429,4,4,1.0,0,5,5,3,2,1,0,3,17,17.1,5,Trevor Ariza
2015-05-27,29-331,HOU,AWAY,GSW,L (-14),1,43:33,5,9,0.556,1,3,0.333,4,4,1.0,2,4,6,4,2,0,1,5,15,15.1,-15,Trevor Ariza
2007-04-21,21-295,ORL,AWAY,DET,L (-8),0,7:28,1,2,0.5,0,0,,1,2,0.5,1,1,2,2,0,0,1,1,3,2.6,4,Trevor Ariza
2007-04-23,21-297,ORL,AWAY,DET,L (-8),0,13:47,1,4,0.25,0,0,,0,2,0.0,1,0,1,2,0,0,1,2,2,-0.9,-13,Trevor Ariza
2007-04-26,21-300,ORL,HOME,DET,L (-16),0,14:39,2,4,0.5,0,0,,0,0,,1,1,2,1,0,0,2,3,4,0.5,-1,Trevor Ariza
2007-04-28,21-302,ORL,HOME,DET,L (-4),0,11:21,1,6,0.167,0,0,,0,0,,2,2,4,0,1,0,0,3,2,0.0,-6,Trevor Ariza
2016-04-16,30-291,HOU,AWAY,GSW,L (-26),1,35:53,3,10,0.3,2,6,0.333,1,1,1.0,4,4,8,1,4,0,2,2,9,9.1,-23,Trevor Ariza
2016-04-18,30-293,HOU,AWAY,GSW,L (-9),1,38:44,3,10,0.3,1,5,0.2,0,0,,1,4,5,1,2,0,3,2,7,2.0,-15,Trevor Ariza
2016-04-21,30-296,HOU,HOME,GSW,W (+1),1,42:04,3,12,0.25,1,6,0.167,0,0,,1,4,5,1,3,1,3,4,7,1.5,7,Trevor Ariza
2016-04-24,30-299,HOU,HOME,GSW,L (-27),1,35:32,3,11,0.273,0,4,0.0,2,3,0.667,1,1,2,0,2,0,2,4,8,0.5,-27,Trevor Ariza
2016-04-27,30-302,HOU,AWAY,GSW,L (-33),1,28:41,1,8,0.125,0,7,0.0,0,0,,0,1,1,1,2,0,2,4,2,-3.8,-32,Trevor Ariza
2017-04-16,31-290,HOU,HOME,OKC,W (+31),1,32:11,2,4,0.5,0,1,0.0,0,0,,0,4,4,2,1,0,2,2,4,2.8,17,Trevor Ariza
2017-04-19,31-293,HOU,HOME,OKC,W (+4),1,40:20,2,5,0.4,0,1,0.0,0,0,,0,4,4,1,1,1,1,2,4,3.1,6,Trevor Ariza
2017-04-21,31-295,HOU,AWAY,OKC,L (-2),1,39:18,2,9,0.222,0,4,0.0,3,3,1.0,2,6,8,0,0,0,0,1,7,4.3,-7,Trevor Ariza
2017-04-23,31-297,HOU,AWAY,OKC,W (+4),1,42:46,4,8,0.5,3,5,0.6,3,3,1.0,1,4,5,3,4,0,1,3,14,15.8,2,Trevor Ariza
2017-04-25,31-299,HOU,HOME,OKC,W (+6),1,35:39,1,6,0.167,0,5,0.0,0,0,,1,1,2,2,0,0,0,5,2,-1.4,-8,Trevor Ariza
2017-05-01,31-305,HOU,AWAY,SAS,W (+27),1,31:20,7,14,0.5,5,10,0.5,4,4,1.0,1,3,4,2,2,0,2,2,23,18.2,18,Trevor Ariza
2017-05-03,31-307,HOU,AWAY,SAS,L (-25),1,32:38,1,5,0.2,0,4,0.0,0,0,,0,5,5,1,1,0,0,4,2,0.5,-14,Trevor Ariza
2017-05-05,31-309,HOU,HOME,SAS,L (-11),1,45:40,6,15,0.4,5,12,0.417,0,0,,2,3,5,5,1,0,2,1,17,13.3,-10,Trevor Ariza
