DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2002-04-20,21-152,SEA,AWAY,SAS,L (-21),0,10:00,0,1,0.0,0,0,,0,0,,1,0,1,1,0,0,0,1,0,0.3,-16,Vladimir Radmanovic
2002-04-22,21-154,SEA,AWAY,SAS,W (+8),0,22:04,2,6,0.333,1,2,0.5,0,0,,1,4,5,1,1,0,0,1,5,4.8,8,Vladimir Radmanovic
2002-04-27,21-159,SEA,HOME,SAS,L (-27),0,6:32,1,2,0.5,0,0,,1,1,1.0,0,0,0,1,0,0,1,0,3,1.7,-1,Vladimir Radmanovic
2002-05-01,21-163,SEA,HOME,SAS,W (+12),1,38:08,8,11,0.727,5,7,0.714,2,2,1.0,1,3,4,1,0,1,3,5,23,16.5,3,Vladimir Radmanovic
2002-05-03,21-165,SEA,AWAY,SAS,L (-23),1,35:41,3,12,0.25,1,4,0.25,0,0,,3,5,8,1,0,0,1,4,7,1.5,-19,Vladimir Radmanovic
2006-04-22,25-154,LAC,HOME,DEN,W (+2),0,13:14,1,3,0.333,1,2,0.5,2,2,1.0,2,3,5,1,1,0,3,3,5,3.1,-4,Vladimir Radmanovic
2006-04-24,25-156,LAC,HOME,DEN,W (+11),0,20:48,2,5,0.4,1,4,0.25,3,5,0.6,0,6,6,2,2,0,0,3,8,8.5,7,Vladimir Radmanovic
2006-04-27,25-159,LAC,AWAY,DEN,L (-7),0,19:08,2,6,0.333,1,4,0.25,3,4,0.75,1,2,3,1,0,0,2,5,8,2.2,1,Vladimir Radmanovic
2006-04-29,25-161,LAC,AWAY,DEN,W (+14),1,26:54,5,7,0.714,4,5,0.8,0,0,,0,4,4,4,2,0,1,3,14,14.9,1,Vladimir Radmanovic
2006-05-01,25-163,LAC,HOME,DEN,W (+18),0,13:04,0,4,0.0,0,3,0.0,1,2,0.5,0,4,4,0,0,1,0,1,1,-0.7,12,Vladimir Radmanovic
2006-05-08,25-170,LAC,AWAY,PHO,L (-7),0,19:51,1,3,0.333,1,3,0.333,2,3,0.667,0,2,2,1,0,2,0,4,5,4.0,4,Vladimir Radmanovic
2006-05-10,25-172,LAC,AWAY,PHO,W (+25),0,29:31,4,12,0.333,1,3,0.333,1,1,1.0,3,6,9,1,0,0,0,3,10,6.6,10,Vladimir Radmanovic
2006-05-12,25-174,LAC,HOME,PHO,L (-3),0,21:48,6,8,0.75,5,6,0.833,1,2,0.5,2,2,4,0,0,0,1,4,18,13.8,-3,Vladimir Radmanovic
2006-05-14,25-176,LAC,HOME,PHO,W (+7),1,24:56,5,10,0.5,1,4,0.25,2,2,1.0,1,0,1,2,1,1,1,3,13,9.6,-9,Vladimir Radmanovic
2006-05-16,25-178,LAC,AWAY,PHO,L (-7),0,36:30,4,7,0.571,4,7,0.571,1,2,0.5,0,7,7,0,0,2,0,4,13,11.2,18,Vladimir Radmanovic
2006-05-18,25-180,LAC,HOME,PHO,W (+12),0,9:50,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,0,1,2,2.3,4,Vladimir Radmanovic
2006-05-22,25-184,LAC,AWAY,PHO,L (-20),0,10:26,0,0,,0,0,,0,0,,0,2,2,0,1,0,0,1,0,1.2,-8,Vladimir Radmanovic
2008-04-20,27-153,LAL,HOME,DEN,W (+14),1,19:57,3,6,.500,2,3,.667,0,0,,1,0,1,6,1,1,2,4,8,8.0,+20,Vladimir Radmanovic
2008-04-23,27-156,LAL,HOME,DEN,W (+15),1,26:32,3,10,.300,2,7,.286,0,0,,3,1,4,2,0,0,0,1,8,5.6,-1,Vladimir Radmanovic
2008-04-26,27-159,LAL,AWAY,DEN,W (+18),1,23:35,2,9,.222,1,4,.250,0,0,,1,6,7,1,0,0,0,2,5,1.9,+14,Vladimir Radmanovic
