SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
1993-94,22.0,Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Bruce Bowen
1994-95,23.0,Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Bruce Bowen
1996-97,25.0,MIA,NBA,SF,1,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bruce Bowen
1997-98,26.0,BOS,NBA,SF,61,9,21.4,2.0,4.9,.409,0.3,1.0,.339,1.7,3.9,.427,.443,1.2,2.0,.623,1.3,1.6,2.9,1.3,1.4,0.5,0.9,2.9,5.6,Bruce Bowen
1998-99,27.0,BOS,NBA,SF,30,1,16.5,0.9,3.1,.280,0.2,0.9,.269,0.6,2.2,.284,.317,0.4,0.8,.458,0.5,1.2,1.7,0.9,0.7,0.3,0.4,1.7,2.3,Bruce Bowen
1999-00,28.0,TOT,NBA,SF,69,2,12.7,1.0,2.8,.371,0.4,0.8,.466,0.7,2.0,.331,.441,0.4,0.6,.581,0.4,1.0,1.4,0.5,0.3,0.2,0.3,1.7,2.8,Bruce Bowen
1999-00,28.0,PHI,NBA,SF,42,0,7.4,0.6,1.7,.356,0.0,0.0,.500,0.6,1.7,.352,.363,0.1,0.3,.500,0.3,0.5,0.9,0.4,0.2,0.1,0.1,0.9,1.4,Bruce Bowen
1999-00,28.0,MIA,NBA,SF,27,2,21.0,1.7,4.5,.380,1.0,2.1,.464,0.7,2.4,.308,.488,0.7,1.1,.613,0.5,1.7,2.2,0.7,0.5,0.4,0.5,3.0,5.1,Bruce Bowen
2000-01,29.0,MIA,NBA,SF,82,72,32.7,2.6,7.1,.363,1.3,3.7,.336,1.3,3.3,.394,.452,1.2,2.0,.609,0.5,2.4,3.0,1.6,1.0,0.6,0.9,3.3,7.6,Bruce Bowen
2001-02,30.0,SAS,NBA,SF,59,59,28.8,2.6,6.7,.389,0.9,2.5,.378,1.7,4.2,.396,.460,0.8,1.6,.479,0.7,2.0,2.7,1.5,1.1,0.4,1.1,2.0,7.0,Bruce Bowen
2002-03,31.0,SAS,NBA,SF,82,82,31.3,2.7,5.8,.466,1.2,2.8,.441,1.5,3.0,.488,.571,0.4,1.1,.404,0.7,2.2,2.9,1.4,0.8,0.5,0.9,2.4,7.1,Bruce Bowen
2003-04,32.0,SAS,NBA,SF,82,82,32.0,2.6,6.1,.420,0.9,2.6,.363,1.6,3.5,.462,.497,0.8,1.4,.579,0.5,2.5,3.1,1.4,1.0,0.4,1.1,2.0,6.9,Bruce Bowen
2004-05,33.0,SAS,NBA,SF,82,82,32.0,3.1,7.3,.420,1.2,3.1,.403,1.8,4.2,.432,.505,0.9,1.4,.634,0.6,2.9,3.5,1.5,0.7,0.5,0.7,2.1,8.2,Bruce Bowen
2005-06,34.0,SAS,NBA,SF,82,82,33.6,2.8,6.5,.433,1.3,3.0,.424,1.6,3.5,.440,.530,0.6,1.0,.607,0.4,3.5,3.9,1.5,1.0,0.4,0.8,2.3,7.5,Bruce Bowen
2006-07,35.0,SAS,NBA,SF,82,82,30.0,2.3,5.7,.405,1.1,2.8,.384,1.2,2.9,.426,.500,0.5,0.9,.589,0.3,2.4,2.7,1.4,0.8,0.3,0.8,2.1,6.2,Bruce Bowen
2007-08,36.0,SAS,NBA,SF,81,81,30.2,2.1,5.3,.407,1.1,2.7,.419,1.0,2.6,.394,.512,0.6,0.9,.652,0.4,2.5,2.9,1.1,0.7,0.3,0.6,2.2,6.0,Bruce Bowen
2008-09,37.0,SAS,NBA,SF,80,10,18.8,1.0,2.3,.422,0.5,1.2,.429,0.5,1.1,.416,.535,0.2,0.3,.538,0.2,1.6,1.8,0.5,0.5,0.2,0.3,1.5,2.7,Bruce Bowen
1999-00,24.0,MIA,NBA,PG,79.0,30.0,23.5,2.5,6.4,0.395,0.0,0.3,0.13,2.5,6.2,0.407,0.398,1.2,1.6,0.75,0.6,1.9,2.5,4.8,1.2,0.1,2.2,2.1,6.3,Anthony Carter
2000-01,25.0,MIA,NBA,PG,72.0,6.0,22.6,2.7,6.7,0.406,0.1,0.6,0.15,2.6,6.1,0.43,0.413,0.9,1.4,0.631,0.6,1.9,2.5,3.7,1.0,0.1,1.7,2.1,6.4,Anthony Carter
2001-02,26.0,MIA,NBA,PG,46.0,18.0,22.8,1.9,5.7,0.342,0.0,0.4,0.053,1.9,5.2,0.365,0.344,0.4,0.8,0.528,0.4,2.1,2.5,4.7,1.1,0.1,1.6,1.8,4.3,Anthony Carter
2002-03,27.0,MIA,NBA,PG,49.0,26.0,18.6,1.7,4.8,0.356,0.0,0.2,0.0,1.7,4.6,0.369,0.356,0.7,1.0,0.66,0.2,1.4,1.7,4.1,0.9,0.1,1.7,1.4,4.1,Anthony Carter
2003-04,28.0,SAS,NBA,PG,5.0,2.0,17.4,2.2,7.4,0.297,0.0,0.6,0.0,2.2,6.8,0.324,0.297,0.0,0.0,0.0,0.4,1.8,2.2,2.4,0.8,0.0,2.4,1.8,4.4,Anthony Carter
2004-05,29.0,MIN,NBA,PG,66.0,12.0,11.2,1.1,2.7,0.407,0.0,0.3,0.118,1.1,2.4,0.438,0.412,0.5,0.8,0.686,0.2,0.9,1.0,2.4,0.5,0.3,0.9,1.3,2.7,Anthony Carter
2005-06,30.0,MIN,NBA,PG,45.0,8.0,13.1,1.2,3.0,0.387,0.1,0.3,0.267,1.1,2.7,0.402,0.401,0.9,1.2,0.727,0.2,1.2,1.4,2.2,0.5,0.2,0.9,1.6,3.3,Anthony Carter
2006-07,31.0,DEN,NBA,PG,2.0,0.0,18.5,1.5,4.0,0.375,0.0,1.0,0.0,1.5,3.0,0.5,0.375,0.0,0.0,0.0,0.0,1.5,1.5,5.5,0.0,0.5,3.0,2.0,3.0,Anthony Carter
2007-08,32.0,DEN,NBA,PG,70.0,67.0,28.0,3.1,6.8,0.458,0.6,1.8,0.349,2.5,5.0,0.499,0.505,0.9,1.2,0.753,0.4,2.5,2.9,5.5,1.5,0.4,1.8,2.5,7.8,Anthony Carter
2008-09,33.0,DEN,NBA,PG,78.0,5.0,22.9,2.1,4.9,0.433,0.3,1.1,0.239,1.9,3.8,0.49,0.46,0.7,1.0,0.731,0.5,2.1,2.6,4.7,1.2,0.2,2.0,1.8,5.3,Anthony Carter
2009-10,34.0,DEN,NBA,PG,54.0,7.0,15.9,1.4,3.4,0.42,0.3,1.2,0.27,1.1,2.2,0.5,0.467,0.2,0.2,0.846,0.3,1.3,1.6,3.0,0.7,0.2,1.1,1.3,3.3,Anthony Carter
2010-11,35.0,TOT,NBA,PG,33.0,0.0,14.0,1.4,3.2,0.425,0.4,1.2,0.3,1.0,2.0,0.5,0.481,0.2,0.2,1.0,0.2,1.3,1.5,2.1,0.8,0.2,1.2,1.5,3.3,Anthony Carter
2010-11,35.0,DEN,NBA,PG,14.0,0.0,10.9,0.7,2.1,0.333,0.3,0.9,0.333,0.4,1.3,0.333,0.4,0.1,0.1,1.0,0.0,0.9,0.9,1.9,0.6,0.1,1.0,1.4,1.9,Anthony Carter
2010-11,35.0,NYK,NBA,PG,19.0,0.0,16.3,1.8,4.0,0.461,0.4,1.5,0.286,1.4,2.5,0.563,0.513,0.3,0.3,1.0,0.4,1.7,2.1,2.3,0.9,0.3,1.3,1.6,4.4,Anthony Carter
2011-12,36.0,TOR,NBA,PG,24.0,0.0,8.7,0.7,2.2,0.321,0.2,0.7,0.294,0.5,1.5,0.333,0.368,0.3,0.4,0.8,0.2,1.2,1.4,1.4,0.3,0.2,0.7,0.8,2.0,Anthony Carter
1990-91,22.0,SAC,NBA,C,76.0,55.0,22.6,2.8,5.4,0.508,0.0,0.0,0.0,2.8,5.4,0.508,0.508,1.4,2.2,0.636,1.9,3.3,5.1,0.9,0.6,1.9,1.3,3.0,6.9,Duane Causwell
1991-92,23.0,SAC,NBA,C,80.0,77.0,28.6,3.1,5.7,0.549,0.0,0.0,0.0,3.1,5.7,0.551,0.549,1.7,2.8,0.613,2.5,4.8,7.3,0.7,0.6,2.7,1.6,3.5,8.0,Duane Causwell
1992-93,24.0,SAC,NBA,C,55.0,45.0,22.0,3.2,5.8,0.545,0.0,0.0,0.0,3.2,5.8,0.547,0.545,1.9,3.0,0.624,2.0,3.5,5.5,0.6,0.6,1.6,1.1,3.5,8.2,Duane Causwell
1993-94,25.0,SAC,NBA,C,41.0,8.0,16.4,1.7,3.3,0.518,0.0,0.0,0.0,1.7,3.3,0.518,0.518,1.0,1.7,0.588,1.7,2.9,4.5,0.3,0.5,1.2,0.8,2.7,4.4,Duane Causwell
1994-95,26.0,SAC,NBA,C,58.0,24.0,14.1,1.3,2.5,0.517,0.0,0.0,0.0,1.3,2.5,0.521,0.517,1.0,1.7,0.582,1.0,2.0,3.0,0.3,0.2,1.4,0.6,2.5,3.6,Duane Causwell
1995-96,27.0,SAC,NBA,C,73.0,26.0,14.3,1.2,3.0,0.417,0.0,0.0,0.0,1.2,2.9,0.419,0.417,1.0,1.3,0.729,1.2,2.2,3.4,0.3,0.4,1.1,0.7,2.4,3.4,Duane Causwell
1996-97,28.0,SAC,NBA,C,46.0,8.0,12.6,1.0,2.0,0.511,0.0,0.1,0.667,1.0,2.0,0.505,0.521,0.4,0.8,0.541,1.2,1.5,2.8,0.4,0.3,0.8,0.7,2.8,2.6,Duane Causwell
1997-98,29.0,MIA,NBA,C,37.0,2.0,9.8,1.0,2.4,0.416,0.0,0.0,0.0,1.0,2.4,0.416,0.416,0.4,0.7,0.577,0.8,1.9,2.7,0.1,0.2,0.7,0.5,2.0,2.4,Duane Causwell
1998-99,30.0,MIA,NBA,C,19.0,1.0,7.2,1.1,1.8,0.571,0.0,0.0,0.0,1.1,1.8,0.571,0.571,0.2,0.6,0.333,0.7,1.1,1.8,0.1,0.0,0.6,0.9,1.7,2.3,Duane Causwell
1999-00,31.0,MIA,NBA,C,25.0,2.0,7.4,0.8,1.5,0.541,0.0,0.0,0.0,0.8,1.5,0.541,0.541,1.0,1.5,0.684,0.4,1.4,1.9,0.1,0.1,0.6,0.4,1.7,2.6,Duane Causwell
2000-01,32.0,MIA,NBA,C,31.0,14.0,12.4,1.0,2.7,0.376,0.0,0.0,0.0,1.0,2.7,0.376,0.376,0.4,0.8,0.48,0.7,1.9,2.7,0.2,0.3,0.6,0.7,2.2,2.5,Duane Causwell
1990-91,21.0,PHO,NBA,SF,63.0,0.0,11.6,3.2,6.7,0.487,0.0,0.1,0.167,3.2,6.6,0.492,0.488,1.7,2.6,0.663,1.2,1.2,2.4,0.6,0.3,0.1,1.1,1.1,8.2,Cedric Ceballos
1991-92,22.0,PHO,NBA,SF,64.0,4.0,11.3,2.8,5.7,0.482,0.0,0.1,0.167,2.7,5.6,0.487,0.484,1.7,2.3,0.736,0.9,1.4,2.4,0.8,0.3,0.2,1.1,0.8,7.2,Cedric Ceballos
