2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,eFG%,PLAYER
27.0,0.338,80.0,22.0,0.361,61.0,25.0,100.0,3.0,42.0,49.0,0.348,141.0,42.0,0.677,62.0,38.0,10.0,NBA,622.0,14.0,55.0,PG,162.0,1997-98,25.0,POR,52.0,56.0,0.426,Rick Brunson
6.0,0.375,16.0,0.0,0.0,5.0,26.0,19.0,0.0,7.0,6.0,0.286,21.0,5.0,0.278,18.0,17.0,0.0,NBA,95.0,3.0,8.0,PG,17.0,1998-99,9.0,NYK,12.0,10.0,0.286,Rick Brunson
27.0,0.474,57.0,2.0,0.154,13.0,27.0,49.0,1.0,24.0,29.0,0.414,70.0,11.0,0.611,18.0,37.0,0.0,NBA,289.0,3.0,35.0,PG,71.0,1999-00,9.0,NYK,31.0,27.0,0.429,Rick Brunson
16.0,0.4,40.0,2.0,0.143,14.0,28.0,31.0,1.0,16.0,18.0,0.333,54.0,8.0,0.533,15.0,22.0,0.0,NBA,208.0,5.0,21.0,PG,46.0,2000-01,8.0,TOT,17.0,21.0,0.352,Rick Brunson
8.0,0.333,24.0,2.0,0.182,11.0,28.0,24.0,1.0,7.0,10.0,0.286,35.0,4.0,0.444,9.0,7.0,0.0,NBA,142.0,2.0,16.0,PG,26.0,2000-01,7.0,BOS,9.0,9.0,0.314,Rick Brunson
8.0,0.5,16.0,0.0,0.0,3.0,28.0,7.0,0.0,9.0,8.0,0.421,19.0,4.0,0.667,6.0,15.0,0.0,NBA,66.0,3.0,5.0,PG,20.0,2000-01,1.0,NYK,8.0,12.0,0.421,Rick Brunson
39.0,0.382,102.0,6.0,0.545,11.0,29.0,114.0,2.0,45.0,45.0,0.398,113.0,29.0,0.707,41.0,59.0,2.0,NBA,520.0,23.0,51.0,PG,125.0,2001-02,25.0,POR,47.0,68.0,0.425,Rick Brunson
19.0,0.432,44.0,4.0,0.667,6.0,30.0,36.0,3.0,15.0,23.0,0.46,50.0,10.0,0.833,12.0,17.0,0.0,NBA,196.0,4.0,20.0,PG,60.0,2002-03,10.0,CHI,17.0,19.0,0.5,Rick Brunson
29.0,0.354,82.0,11.0,0.478,23.0,31.0,82.0,3.0,28.0,40.0,0.381,105.0,27.0,0.871,31.0,40.0,0.0,NBA,412.0,9.0,44.0,PG,118.0,2003-04,25.0,TOT,33.0,37.0,0.433,Rick Brunson
2.0,0.5,4.0,0.0,0.0,0.0,31.0,2.0,0.0,0.0,2.0,0.5,4.0,0.0,0.0,0.0,3.0,0.0,NBA,10.0,0.0,0.0,PG,4.0,2003-04,0.0,TOR,0.0,0.0,0.5,Rick Brunson
