SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
1991-92,23.0,ATL,NBA,SG,82.0,2505.0,0.489,0.472,0.492,0.486,0.167,0.331,0.49,0.487,0.666,0.759,0.526,0.531,0.356,0.305,0.007,0.087,104.0,101.0,50.0,101.0,88.0,99.0,117.0,8.0,5.5,-11.1,Stacey Augmon
1992-93,24.0,ATL,NBA,SG,73.0,2112.0,0.501,0.473,0.504,0.489,0.0,0.336,0.501,0.491,0.739,0.754,0.551,0.536,0.388,0.323,0.005,0.104,106.0,103.0,0.0,102.0,98.0,103.0,120.0,5.0,16.6,26.6,Stacey Augmon
1993-94,25.0,ATL,NBA,SG,82.0,2605.0,0.51,0.466,0.513,0.483,0.143,0.333,0.51,0.485,0.764,0.734,0.576,0.528,0.506,0.315,0.008,0.117,109.0,106.0,43.0,105.0,104.0,109.0,161.0,7.0,43.4,100.6,Stacey Augmon
1994-95,26.0,ATL,NBA,SG,76.0,2362.0,0.453,0.466,0.459,0.491,0.269,0.359,0.457,0.5,0.728,0.737,0.512,0.543,0.395,0.332,0.03,0.188,97.0,93.0,75.0,91.0,99.0,94.0,119.0,16.0,-74.7,-63.4,Stacey Augmon
1995-96,27.0,ATL,NBA,SF,77.0,2294.0,0.491,0.462,0.492,0.486,0.25,0.367,0.491,0.499,0.792,0.74,0.556,0.542,0.43,0.329,0.005,0.2,106.0,101.0,68.0,98.0,107.0,103.0,130.0,3.0,-11.1,24.8,Stacey Augmon
1996-97,28.0,TOT,NBA,SG,60.0,942.0,0.477,0.455,0.477,0.48,0.0,0.36,0.477,0.493,0.711,0.738,0.531,0.536,0.441,0.32,0.0,0.212,105.0,99.0,0.0,97.0,96.0,99.0,138.0,0.0,-6.9,-2.4,Stacey Augmon
1996-97,28.0,DET,NBA,SG,20.0,292.0,0.403,0.455,0.403,0.48,0.0,0.36,0.403,0.493,0.683,0.738,0.473,0.536,0.532,0.32,0.0,0.212,89.0,84.0,0.0,82.0,93.0,88.0,167.0,0.0,-13.9,-11.8,Stacey Augmon
1996-97,28.0,POR,NBA,SG,40.0,650.0,0.517,0.455,0.517,0.48,0.0,0.36,0.517,0.493,0.732,0.738,0.564,0.536,0.392,0.32,0.0,0.212,114.0,108.0,0.0,105.0,99.0,105.0,123.0,0.0,7.0,9.4,Stacey Augmon
1997-98,29.0,POR,NBA,SG,71.0,1445.0,0.414,0.45,0.419,0.47,0.143,0.346,0.415,0.478,0.603,0.737,0.457,0.524,0.419,0.33,0.019,0.159,92.0,89.0,41.0,87.0,82.0,87.0,127.0,12.0,-46.7,-58.4,Stacey Augmon
1998-99,30.0,POR,NBA,SF,48.0,874.0,0.448,0.437,0.453,0.457,0.0,0.339,0.448,0.466,0.684,0.728,0.501,0.511,0.437,0.33,0.011,0.168,103.0,99.0,0.0,96.0,94.0,98.0,132.0,7.0,-6.0,-4.2,Stacey Augmon
1999-00,31.0,POR,NBA,SG,59.0,692.0,0.474,0.449,0.48,0.468,0.0,0.353,0.474,0.478,0.673,0.75,0.51,0.523,0.314,0.308,0.011,0.167,106.0,103.0,0.0,99.0,90.0,97.0,102.0,7.0,-1.4,-5.3,Stacey Augmon
2000-01,32.0,POR,NBA,SG,66.0,1182.0,0.477,0.443,0.485,0.461,0.0,0.354,0.477,0.473,0.655,0.748,0.511,0.518,0.327,0.309,0.015,0.17,108.0,105.0,0.0,101.0,88.0,99.0,106.0,9.0,2.4,-4.1,Stacey Augmon
2001-02,33.0,CHH,NBA,SG,77.0,1319.0,0.427,0.445,0.431,0.465,0.0,0.354,0.427,0.477,0.762,0.752,0.479,0.52,0.308,0.293,0.009,0.181,96.0,93.0,0.0,89.0,101.0,92.0,105.0,5.0,-33.0,-30.6,Stacey Augmon
2002-03,34.0,NOH,NBA,SG,70.0,862.0,0.411,0.442,0.427,0.463,0.0,0.349,0.411,0.474,0.75,0.758,0.474,0.519,0.375,0.302,0.036,0.182,93.0,92.0,0.0,87.0,99.0,91.0,124.0,20.0,-24.0,-20.3,Stacey Augmon
2003-04,35.0,NOH,NBA,SF,69.0,1416.0,0.412,0.439,0.418,0.46,0.143,0.347,0.414,0.471,0.791,0.752,0.486,0.516,0.401,0.303,0.02,0.187,94.0,91.0,41.0,88.0,105.0,94.0,132.0,11.0,-39.9,-24.4,Stacey Augmon
2004-05,36.0,ORL,NBA,SF,55.0,663.0,0.407,0.447,0.407,0.47,0.0,0.356,0.407,0.482,0.74,0.756,0.48,0.529,0.461,0.324,0.0,0.196,91.0,87.0,0.0,84.0,98.0,91.0,142.0,0.0,-25.1,-19.7,Stacey Augmon
2005-06,37.0,ORL,NBA,SF,36.0,385.0,0.342,0.454,0.342,0.478,0.0,0.358,0.342,0.49,0.7,0.745,0.412,0.536,0.411,0.333,0.0,0.202,75.0,72.0,0.0,70.0,94.0,77.0,123.0,0.0,-21.5,-21.3,Stacey Augmon
1993-94,24.0,NJN,NBA,C,79.0,1950.0,0.415,0.466,0.419,0.483,0.167,0.333,0.417,0.485,0.757,0.734,0.48,0.528,0.378,0.315,0.015,0.117,89.0,87.0,50.0,86.0,103.0,91.0,120.0,13.0,-55.1,-44.9,P.J. Brown
1994-95,25.0,NJN,NBA,C,80.0,2466.0,0.446,0.466,0.458,0.491,0.167,0.359,0.449,0.5,0.671,0.737,0.492,0.543,0.363,0.332,0.042,0.188,96.0,93.0,46.0,90.0,91.0,91.0,109.0,22.0,-57.8,-66.7,P.J. Brown
1995-96,26.0,NJN,NBA,C,81.0,2942.0,0.444,0.462,0.448,0.486,0.2,0.367,0.445,0.499,0.77,0.74,0.5,0.542,0.332,0.329,0.019,0.2,96.0,92.0,55.0,89.0,104.0,92.0,101.0,9.0,-85.0,-76.4,P.J. Brown
1996-97,27.0,MIA,NBA,PF,80.0,2592.0,0.457,0.455,0.459,0.48,0.0,0.36,0.457,0.493,0.732,0.738,0.505,0.536,0.335,0.32,0.003,0.212,101.0,96.0,0.0,93.0,99.0,94.0,105.0,1.0,-46.8,-45.4,P.J. Brown
1997-98,28.0,MIA,NBA,PF,74.0,2362.0,0.471,0.45,0.471,0.47,0.0,0.346,0.471,0.478,0.766,0.737,0.522,0.524,0.334,0.33,0.0,0.159,105.0,100.0,0.0,99.0,104.0,100.0,101.0,0.0,-8.1,-1.6,P.J. Brown
1998-99,29.0,MIA,NBA,PF,50.0,1611.0,0.48,0.437,0.48,0.457,0.0,0.339,0.48,0.466,0.774,0.728,0.527,0.511,0.306,0.33,0.0,0.168,110.0,105.0,0.0,103.0,106.0,103.0,93.0,0.0,13.9,17.4,P.J. Brown
1999-00,30.0,MIA,NBA,PF,80.0,2302.0,0.48,0.449,0.481,0.468,0.0,0.353,0.48,0.478,0.755,0.75,0.516,0.523,0.237,0.308,0.001,0.167,107.0,103.0,0.0,100.0,101.0,99.0,77.0,1.0,2.3,-10.8,P.J. Brown
2000-01,31.0,CHH,NBA,C,80.0,2811.0,0.444,0.443,0.447,0.461,0.0,0.354,0.444,0.473,0.852,0.748,0.518,0.518,0.373,0.309,0.007,0.17,100.0,97.0,0.0,94.0,114.0,100.0,121.0,4.0,-32.5,-0.3,P.J. Brown
2001-02,32.0,CHH,NBA,C,80.0,2563.0,0.474,0.445,0.474,0.465,0.0,0.354,0.474,0.477,0.858,0.752,0.545,0.52,0.374,0.293,0.0,0.181,107.0,102.0,0.0,99.0,114.0,105.0,128.0,0.0,-2.9,30.4,P.J. Brown
2002-03,33.0,NOH,NBA,PF,78.0,2609.0,0.531,0.442,0.533,0.463,0.0,0.349,0.531,0.474,0.836,0.758,0.592,0.519,0.386,0.302,0.005,0.182,120.0,115.0,0.0,112.0,110.0,114.0,128.0,3.0,68.4,101.7,P.J. Brown
2003-04,34.0,NOH,NBA,PF,80.0,2753.0,0.476,0.439,0.477,0.46,0.0,0.347,0.476,0.471,0.854,0.752,0.527,0.516,0.26,0.303,0.001,0.187,109.0,104.0,0.0,101.0,114.0,102.0,86.0,1.0,7.2,16.9,P.J. Brown
2004-05,35.0,NOH,NBA,PF,82.0,2817.0,0.446,0.447,0.446,0.47,0.0,0.356,0.446,0.482,0.864,0.756,0.512,0.529,0.321,0.324,0.0,0.196,100.0,95.0,0.0,92.0,114.0,97.0,99.0,0.0,-55.2,-29.8,P.J. Brown
2005-06,36.0,NOK,NBA,C,75.0,2380.0,0.461,0.454,0.461,0.478,0.0,0.358,0.461,0.49,0.827,0.745,0.515,0.536,0.288,0.333,0.0,0.202,102.0,97.0,0.0,94.0,111.0,96.0,87.0,0.0,-33.3,-26.7,P.J. Brown
2006-07,37.0,CHI,NBA,PF,72.0,1456.0,0.407,0.458,0.409,0.485,0.0,0.358,0.407,0.496,0.787,0.752,0.462,0.541,0.292,0.327,0.005,0.213,89.0,84.0,0.0,82.0,105.0,85.0,89.0,2.0,-75.0,-74.8,P.J. Brown
2007-08,38.0,BOS,NBA,PF,18.0,209.0,0.341,0.457,0.35,0.484,0.0,0.362,0.341,0.497,0.688,0.755,0.406,0.54,0.39,0.306,0.024,0.222,75.0,72.0,0.0,69.0,91.0,75.0,128.0,11.0,-12.8,-12.9,P.J. Brown
1990-91,23.0,HOU,NBA,PF,18.0,63.0,0.452,0.474,0.5,0.488,0.0,0.32,0.452,0.487,0.647,0.765,0.507,0.534,0.548,0.32,0.097,0.082,95.0,102.0,0.0,93.0,85.0,95.0,171.0,118.0,-2.2,-2.1,Matt Bullard
1991-92,24.0,HOU,NBA,PF,80.0,1278.0,0.459,0.472,0.502,0.486,0.386,0.331,0.53,0.487,0.76,0.759,0.546,0.531,0.112,0.305,0.371,0.087,97.0,103.0,117.0,109.0,100.0,103.0,37.0,425.0,38.7,13.6,Matt Bullard
1992-93,25.0,HOU,NBA,PF,79.0,1356.0,0.431,0.473,0.486,0.489,0.374,0.336,0.523,0.491,0.784,0.754,0.546,0.536,0.15,0.323,0.492,0.104,91.0,99.0,111.0,107.0,104.0,102.0,46.0,472.0,32.1,10.2,Matt Bullard
1993-94,26.0,HOU,NBA,PF,65.0,725.0,0.345,0.466,0.389,0.483,0.325,0.333,0.456,0.485,0.769,0.734,0.476,0.528,0.115,0.315,0.681,0.117,74.0,80.0,97.0,94.0,105.0,90.0,36.0,582.0,-13.3,-24.6,Matt Bullard
1995-96,28.0,ATL,NBA,PF,46.0,460.0,0.407,0.462,0.444,0.486,0.361,0.367,0.488,0.499,0.8,0.74,0.509,0.542,0.123,0.329,0.444,0.2,88.0,91.0,98.0,98.0,108.0,94.0,38.0,222.0,-3.6,-11.1,Matt Bullard
1996-97,29.0,HOU,NBA,PF,71.0,1025.0,0.401,0.455,0.465,0.48,0.366,0.36,0.519,0.493,0.735,0.738,0.535,0.536,0.12,0.32,0.644,0.212,88.0,97.0,102.0,105.0,100.0,100.0,37.0,304.0,15.0,-0.3,Matt Bullard
1997-98,30.0,HOU,NBA,SF,67.0,1190.0,0.45,0.45,0.5,0.47,0.416,0.346,0.573,0.478,0.741,0.737,0.581,0.524,0.069,0.33,0.594,0.159,100.0,106.0,120.0,120.0,101.0,111.0,21.0,372.0,74.1,46.2,Matt Bullard
1998-99,31.0,HOU,NBA,PF,41.0,413.0,0.377,0.437,0.365,0.457,0.387,0.339,0.482,0.466,0.7,0.728,0.494,0.511,0.088,0.33,0.544,0.168,86.0,80.0,114.0,104.0,96.0,97.0,27.0,323.0,3.9,-4.1,Matt Bullard
1999-00,32.0,HOU,NBA,PF,56.0,1024.0,0.409,0.449,0.368,0.468,0.446,0.353,0.525,0.478,0.833,0.75,0.541,0.523,0.088,0.308,0.521,0.167,91.0,79.0,126.0,110.0,111.0,103.0,29.0,312.0,31.8,12.7,Matt Bullard
2000-01,33.0,HOU,NBA,PF,61.0,1000.0,0.423,0.443,0.467,0.461,0.404,0.354,0.564,0.473,0.714,0.748,0.569,0.518,0.046,0.309,0.698,0.17,96.0,101.0,114.0,119.0,96.0,110.0,15.0,411.0,55.6,31.7,Matt Bullard
