DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2001-12-13,33-235,CLE,AWAY,DAL,L (-20),1,30:21,5,9,.556,0,2,.000,3,3,1.000,0,2,2,5,2,0,2,3,13,11.6,-4,Bimbo Coles
2001-12-28,22-096,CLE,HOME,NYK,W (+10),1,37:58,2,6,.333,0,0,,2,2,1.000,0,4,4,5,0,1,1,2,6,6.2,+15,Ricky Davis
2001-12-29,22-097,CLE,AWAY,CHI,L (-23),1,37:05,4,14,.286,0,0,,2,2,1.000,0,3,3,3,0,0,2,3,10,1.6,-16,Ricky Davis
2002-02-24,22-154,CLE,HOME,ORL,W (+15),1,38:24,10,16,.625,1,1,1.000,6,6,1.000,5,4,9,8,1,2,3,3,27,28.3,+29,Ricky Davis
2002-03-10,22-168,CLE,HOME,LAC,L (-17),1,26:24,2,7,.286,0,1,.000,2,2,1.000,0,1,1,4,0,0,3,2,6,1.2,-14,Ricky Davis
2002-03-25,22-183,CLE,AWAY,PHO,L (-6),1,42:03,10,15,.667,0,1,.000,3,3,1.000,1,5,6,5,0,1,2,2,23,20.1,-9,Ricky Davis
2002-03-26,22-184,CLE,AWAY,LAL,L (-5),1,42:03,15,24,.625,1,2,.500,4,5,.800,1,3,4,3,0,0,1,1,35,26.1,-3,Ricky Davis
2002-03-28,22-186,CLE,AWAY,UTA,L (-21),1,38:54,7,14,.500,0,1,.000,9,10,.900,1,5,6,3,3,1,5,2,23,17.8,-22,Ricky Davis
2002-03-30,22-188,CLE,HOME,CHH,L (-8),1,39:49,8,17,.471,0,0,,6,6,1.000,0,2,2,1,0,0,2,1,22,12.2,-13,Ricky Davis
2002-02-26,20-027,CLE,HOME,SEA,L (-20),1,8:22,2,2,1.000,0,0,,1,1,1.000,0,1,1,1,0,0,0,1,5,5.0,-4,DeSagana Diop
2001-10-30,24-137,CLE,HOME,BOS,L (-19),1,25:10,0,3,.000,0,0,,2,2,1.000,1,7,8,2,0,0,1,4,2,1.5,-12,Michael Doleac
2001-10-31,24-138,CLE,AWAY,CHH,L (-6),1,23:12,4,8,.500,0,0,,4,4,1.000,2,6,8,0,1,1,2,4,12,9.3,+1,Michael Doleac
2001-11-02,24-140,CLE,AWAY,MIA,W (+7),1,25:56,2,3,.667,0,0,,2,2,1.000,0,5,5,0,1,0,1,4,6,4.6,-3,Michael Doleac
2001-11-03,24-141,CLE,HOME,ORL,L (-30),1,16:30,0,6,.000,0,0,,1,2,.500,2,3,5,2,0,0,1,1,1,-1.3,-13,Michael Doleac
2001-11-06,24-144,CLE,HOME,SAC,L (-16),1,31:51,2,5,.400,0,0,,7,8,.875,2,9,11,2,0,1,2,3,11,10.9,-11,Michael Doleac
2001-11-07,24-145,CLE,AWAY,NYK,L (-18),1,28:49,2,5,.400,0,0,,0,0,,2,3,5,0,1,1,0,4,4,3.7,-16,Michael Doleac
2001-11-10,24-148,CLE,AWAY,NJN,L (-3),1,28:47,4,7,.571,0,0,,1,2,.500,2,8,10,0,0,0,3,3,9,4.9,-7,Michael Doleac
2001-11-13,24-151,CLE,AWAY,MIN,W (+4),1,32:33,3,8,.375,0,0,,0,0,,2,4,6,1,0,0,0,6,6,2.5,-9,Michael Doleac
