SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
2001-02,22.0,TOT,NBA,SG,7.0,44.0,0.273,0.445,0.6,0.465,0.0,0.354,0.273,0.47700000000000004,1.0,0.752,0.337,0.52,0.182,0.293,0.545,0.18100000000000002,61.0,129.0,0.0,57.0,133.0,65.0,62.0,301.0,-4.5,-4.4,Charlie Bell
2001-02,22.0,PHO,NBA,SG,5.0,42.0,0.273,0.445,0.6,0.465,0.0,0.354,0.273,0.47700000000000004,1.0,0.752,0.337,0.52,0.182,0.293,0.545,0.18100000000000002,61.0,129.0,0.0,57.0,133.0,65.0,62.0,301.0,-4.5,-4.4,Charlie Bell
2001-02,22.0,DAL,NBA,SG,2.0,2.0,0.0,0.445,0.0,0.465,0.0,0.354,0.0,0.47700000000000004,0.0,0.752,0.0,0.52,0.0,0.293,0.0,0.18100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Charlie Bell
2005-06,26.0,MIL,NBA,SG,59.0,1283.0,0.439,0.45399999999999996,0.45,0.478,0.423,0.358,0.526,0.49,0.708,0.745,0.55,0.536,0.217,0.33299999999999996,0.41,0.20199999999999999,97.0,94.0,118.0,107.0,95.0,103.0,65.0,203.0,29.2,12.9,Charlie Bell
2006-07,27.0,MIL,NBA,SG,82.0,2848.0,0.43700000000000006,0.45799999999999996,0.488,0.485,0.35200000000000004,0.358,0.503,0.496,0.78,0.752,0.53,0.541,0.172,0.327,0.371,0.213,95.0,101.0,98.0,101.0,104.0,98.0,53.0,174.0,12.1,-24.8,Charlie Bell
2007-08,28.0,MIL,NBA,SG,68.0,1628.0,0.381,0.457,0.413,0.484,0.341,0.36200000000000004,0.457,0.49700000000000005,0.805,0.755,0.49,0.54,0.179,0.306,0.447,0.222,83.0,85.0,94.0,92.0,107.0,91.0,58.0,201.0,-39.5,-52.5,Charlie Bell
2008-09,29.0,MIL,NBA,SG,70.0,1783.0,0.414,0.45899999999999996,0.45799999999999996,0.485,0.363,0.36700000000000005,0.49700000000000005,0.5,0.825,0.7709999999999999,0.525,0.544,0.153,0.306,0.45799999999999996,0.22399999999999998,90.0,94.0,99.0,99.0,107.0,96.0,50.0,204.0,-2.8,-21.8,Charlie Bell
2009-10,30.0,MIL,NBA,SG,71.0,1611.0,0.381,0.461,0.395,0.49200000000000005,0.365,0.355,0.46399999999999997,0.501,0.716,0.759,0.486,0.5429999999999999,0.151,0.3,0.451,0.222,83.0,80.0,103.0,93.0,94.0,89.0,50.0,203.0,-32.6,-54.1,Charlie Bell
2010-11,31.0,GSW,NBA,SG,19.0,171.0,0.27899999999999997,0.45899999999999996,0.273,0.48700000000000004,0.28600000000000003,0.358,0.349,0.498,0.5,0.763,0.35700000000000004,0.541,0.09300000000000001,0.3,0.488,0.222,61.0,56.0,80.0,70.0,65.0,66.0,31.0,220.0,-12.9,-16.5,Charlie Bell
1990-91,22.0,NJN,NBA,SF,74.0,859.0,0.41600000000000004,0.474,0.419,0.488,0.25,0.32,0.418,0.48700000000000004,0.652,0.765,0.455,0.534,0.292,0.32,0.018000000000000002,0.08199999999999999,88.0,86.0,78.0,86.0,85.0,85.0,91.0,22.0,-31.3,-40.6,Jud Buechler
