2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,eFG%,PLAYER
140.0,0.414,338.0,4.0,0.211,19.0,23.0,51.0,13.0,72.0,144.0,0.403,357.0,84.0,0.672,125.0,59.0,16.0,NBA,959.0,44.0,81.0,SG,376.0,1997-98,35.0,SAC,65.0,116.0,0.409,Tariq Abdul-Wahad
171.0,0.443,386.0,6.0,0.286,21.0,24.0,50.0,16.0,114.0,177.0,0.435,407.0,94.0,0.691,136.0,49.0,49.0,NBA,1205.0,72.0,121.0,SG,454.0,1998-99,50.0,SAC,70.0,186.0,0.442,Tariq Abdul-Wahad
271.0,0.435,623.0,3.0,0.13,23.0,25.0,98.0,28.0,190.0,274.0,0.424,646.0,146.0,0.756,193.0,61.0,56.0,NBA,1578.0,101.0,147.0,SG,697.0,1999-00,59.0,TOT,106.0,291.0,0.426,Tariq Abdul-Wahad
221.0,0.447,494.0,2.0,0.095,21.0,25.0,72.0,16.0,162.0,223.0,0.433,515.0,115.0,0.762,151.0,46.0,46.0,NBA,1205.0,77.0,116.0,SG,563.0,1999-00,53.0,ORL,87.0,239.0,0.435,Tariq Abdul-Wahad
50.0,0.388,129.0,1.0,0.5,2.0,25.0,26.0,12.0,28.0,51.0,0.389,131.0,31.0,0.738,42.0,15.0,10.0,NBA,373.0,24.0,31.0,SG,134.0,1999-00,6.0,DEN,19.0,52.0,0.393,Tariq Abdul-Wahad
39.0,0.386,101.0,4.0,0.4,10.0,26.0,22.0,13.0,45.0,43.0,0.387,111.0,21.0,0.583,36.0,29.0,12.0,NBA,420.0,14.0,54.0,SG,111.0,2000-01,14.0,DEN,34.0,59.0,0.405,Tariq Abdul-Wahad
54.0,0.372,145.0,1.0,0.5,2.0,27.0,24.0,10.0,43.0,55.0,0.374,147.0,24.0,0.727,33.0,24.0,12.0,NBA,441.0,41.0,56.0,SG,135.0,2001-02,20.0,TOT,27.0,84.0,0.378,Tariq Abdul-Wahad
54.0,0.378,143.0,1.0,0.5,2.0,27.0,22.0,9.0,39.0,55.0,0.379,145.0,24.0,0.75,32.0,20.0,12.0,NBA,417.0,39.0,51.0,SG,135.0,2001-02,18.0,DEN,24.0,78.0,0.383,Tariq Abdul-Wahad
0.0,0.0,2.0,0.0,0.0,0.0,27.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,NBA,24.0,2.0,5.0,SG,0.0,2001-02,2.0,DAL,3.0,6.0,0.0,Tariq Abdul-Wahad
27.0,0.474,57.0,0.0,0.0,1.0,28.0,21.0,3.0,26.0,27.0,0.466,58.0,3.0,0.5,6.0,14.0,0.0,NBA,204.0,14.0,26.0,SG,57.0,2002-03,6.0,DAL,7.0,40.0,0.466,Tariq Abdul-Wahad
1.0,0.25,4.0,1.0,0.333,3.0,24.0,0.0,0.0,1.0,2.0,0.286,7.0,0.0,0.0,0.0,5.0,0.0,NBA,30.0,0.0,1.0,SG,5.0,2000-01,1.0,PHI,2.0,1.0,0.357,Raja Bell
91.0,0.464,196.0,12.0,0.273,44.0,25.0,71.0,4.0,80.0,103.0,0.429,240.0,36.0,0.75,48.0,74.0,12.0,NBA,890.0,31.0,109.0,SG,254.0,2001-02,21.0,PHI,48.0,111.0,0.454,Raja Bell
72.0,0.45,160.0,21.0,0.412,51.0,26.0,57.0,8.0,98.0,93.0,0.441,211.0,23.0,0.676,34.0,75.0,32.0,NBA,1173.0,47.0,134.0,SG,230.0,2002-03,52.0,DAL,43.0,145.0,0.491,Raja Bell
267.0,0.418,639.0,62.0,0.373,166.0,27.0,107.0,13.0,181.0,329.0,0.409,805.0,195.0,0.786,248.0,82.0,4.0,NBA,2020.0,60.0,262.0,SG,915.0,2003-04,63.0,UTA,111.0,241.0,0.447,Raja Bell
249.0,0.467,533.0,54.0,0.403,134.0,28.0,91.0,8.0,153.0,303.0,0.454,667.0,112.0,0.747,150.0,63.0,32.0,NBA,1790.0,48.0,205.0,SG,772.0,2004-05,44.0,UTA,79.0,201.0,0.495,Raja Bell
228.0,0.471,484.0,197.0,0.442,446.0,29.0,207.0,22.0,209.0,425.0,0.457,930.0,115.0,0.788,146.0,79.0,79.0,NBA,2959.0,44.0,248.0,SG,1162.0,2005-06,76.0,PHO,89.0,253.0,0.563,Raja Bell
205.0,0.452,454.0,205.0,0.413,496.0,30.0,196.0,22.0,203.0,410.0,0.432,950.0,118.0,0.776,152.0,78.0,78.0,NBA,2917.0,48.0,233.0,SG,1143.0,2006-07,50.0,PHO,83.0,251.0,0.539,Raja Bell
141.0,0.449,314.0,176.0,0.401,439.0,31.0,168.0,27.0,227.0,317.0,0.421,753.0,79.0,0.868,91.0,75.0,75.0,NBA,2646.0,47.0,220.0,SG,889.0,2007-08,54.0,PHO,65.0,274.0,0.538,Raja Bell
185.0,0.448,413.0,114.0,0.421,271.0,32.0,142.0,8.0,202.0,299.0,0.437,684.0,87.0,0.853,102.0,67.0,66.0,NBA,2315.0,41.0,166.0,SG,799.0,2008-09,50.0,TOT,86.0,243.0,0.52,Raja Bell
32.0,0.386,83.0,44.0,0.468,94.0,32.0,29.0,2.0,56.0,76.0,0.429,177.0,16.0,0.762,21.0,22.0,22.0,NBA,712.0,8.0,57.0,SG,212.0,2008-09,13.0,PHO,18.0,64.0,0.554,Raja Bell
153.0,0.464,330.0,70.0,0.395,177.0,32.0,113.0,6.0,146.0,223.0,0.44,507.0,71.0,0.877,81.0,45.0,44.0,NBA,1603.0,33.0,109.0,SG,587.0,2008-09,37.0,CHA,68.0,179.0,0.509,Raja Bell
16.0,0.471,34.0,12.0,0.444,27.0,33.0,13.0,2.0,18.0,28.0,0.459,61.0,3.0,1.0,3.0,6.0,5.0,NBA,180.0,5.0,15.0,SG,71.0,2009-10,4.0,TOT,5.0,23.0,0.557,Raja Bell
