# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
3.0,0.0,0.2,0.171,0.214,0.829,0.243,0.171,0.333,0.071,0.5,0.333,0.267,0.714,0.362,0.353,1.0,0.167,0.0,19.0,1.0,12.8,0.329,24.0,NBA,130.0,SF,1999-00,IND,Jonathan Bender
5.0,0.0,0.161,0.091,0.323,0.78,0.204,0.22,0.366,0.027,0.6,0.471,0.35,0.709,0.379,0.211,1.0,0.268,0.2,20.0,1.0,14.5,0.355,59.0,NBA,574.0,SF,2000-01,IND,Jonathan Bender
47.0,0.0,0.233,0.089,0.187,0.728,0.22,0.272,0.256,0.111,0.607,0.317,0.384,0.634,0.457,0.416,0.978,0.36,0.406,21.0,0.0,12.9,0.43,78.0,NBA,1647.0,SF,2001-02,IND,Jonathan Bender
20.0,0.0,0.26,0.15,0.248,0.791,0.134,0.209,0.302,0.091,0.636,0.421,0.333,0.656,0.463,0.412,1.0,0.358,0.25,22.0,0.0,12.8,0.441,46.0,NBA,819.0,SF,2002-03,IND,Jonathan Bender
13.0,0.0,0.349,0.151,0.142,0.792,0.151,0.208,0.136,0.132,0.703,0.25,0.333,0.537,0.488,0.375,1.0,0.409,0.0,23.0,0.0,11.2,0.472,21.0,NBA,271.0,SF,2003-04,IND,Jonathan Bender
4.0,0.0,0.325,0.175,0.2,0.875,0.175,0.125,0.2,0.1,0.692,0.429,0.25,0.467,0.429,0.143,1.0,0.2,0.0,24.0,0.0,10.7,0.4,7.0,NBA,93.0,SF,2004-05,IND,Jonathan Bender
3.0,0.0,0.6,0.0,0.0,1.0,0.4,0.0,0.0,0.6,1.0,0.0,0.0,0.75,0.8,0.5,0.0,0.0,0.0,25.0,0.0,2.6,0.8,2.0,NBA,21.0,SF,2005-06,IND,Jonathan Bender
7.0,0.0,0.34,0.04,0.18,0.61,0.05,0.39,0.359,0.08,0.5,0.25,0.389,0.385,0.426,0.2,0.929,0.359,0.429,29.0,1.0,14.3,0.4,25.0,NBA,292.0,SF,2009-10,NYK,Jonathan Bender
0.0,0.0,0.4,0.0,0.0,0.8,0.4,0.2,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,21.0,1.0,16.9,0.4,13.0,NBA,43.0,SG,2001-02,IND,Jamison Brewer
1.0,0.0,0.765,0.0,0.0,0.882,0.118,0.118,0.5,0.118,0.615,0.0,0.0,0.667,0.6,0.5,0.0,0.0,0.0,22.0,0.0,4.1,0.529,10.0,NBA,80.0,PG,2002-03,IND,Jamison Brewer
1.0,0.0,0.257,0.0,0.229,0.6,0.114,0.4,0.286,0.029,0.667,0.0,0.25,0.375,0.381,0.0,0.6,0.357,0.0,23.0,1.0,16.2,0.371,13.0,NBA,160.0,PG,2003-04,IND,Jamison Brewer
2.0,0.0,0.351,0.054,0.108,0.595,0.081,0.405,0.333,0.054,0.538,0.5,0.0,0.625,0.364,0.0,1.0,0.2,0.2,24.0,0.0,13.4,0.297,18.0,NBA,185.0,PG,2004-05,NYK,Jamison Brewer
0.0,0.0,0.586,0.069,0.172,1.0,0.172,0.0,0.0,0.0,0.529,0.5,0.4,0.571,0.483,0.4,0.0,0.0,0.0,22.0,0.0,5.6,0.483,22.0,NBA,160.0,C,2001-02,IND,Primož Brezec
2.0,0.0,0.316,0.184,0.211,0.974,0.263,0.026,0.0,0.053,0.667,0.429,0.0,0.333,0.405,0.4,0.0,0.0,0.0,23.0,0.0,9.6,0.395,22.0,NBA,111.0,C,2002-03,IND,Primož Brezec
1.0,0.0,0.692,0.077,0.077,1.0,0.154,0.0,0.0,0.038,0.5,0.0,0.5,0.75,0.462,0.5,0.0,0.0,0.0,24.0,0.0,4.0,0.462,18.0,NBA,72.0,C,2003-04,IND,Primož Brezec
29.0,0.0,0.448,0.169,0.234,1.0,0.148,0.0,0.0,0.04,0.64,0.383,0.384,0.643,0.512,0.473,0.0,0.0,0.0,25.0,0.0,7.7,0.512,72.0,NBA,2276.0,C,2004-05,CHA,Primož Brezec
22.0,0.0,0.341,0.177,0.345,0.997,0.134,0.003,0.0,0.03,0.656,0.457,0.418,0.682,0.518,0.509,0.0,0.0,0.0,26.0,0.0,9.9,0.517,79.0,NBA,2165.0,C,2005-06,CHA,Primož Brezec
6.0,0.0,0.365,0.15,0.369,0.989,0.106,0.011,0.333,0.022,0.52,0.488,0.406,0.719,0.446,0.276,1.0,0.333,1.0,27.0,0.0,10.0,0.445,58.0,NBA,838.0,C,2006-07,CHA,Primož Brezec
6.0,0.0,0.383,0.223,0.319,1.0,0.074,0.0,0.0,0.064,0.667,0.476,0.267,0.773,0.468,0.286,0.0,0.0,0.0,28.0,0.0,9.5,0.468,50.0,NBA,475.0,C,2007-08,TOT,Primož Brezec
1.0,0.0,0.279,0.209,0.419,1.0,0.093,0.0,0.0,0.023,0.583,0.444,0.278,0.647,0.395,0.25,0.0,0.0,0.0,28.0,0.0,11.3,0.395,20.0,NBA,267.0,C,2007-08,CHA,Primož Brezec
2.0,0.0,0.692,0.154,0.154,1.0,0.0,0.0,0.0,0.154,0.889,1.0,0.0,0.9,0.769,0.0,0.0,0.0,0.0,28.0,0.0,4.7,0.769,17.0,NBA,98.0,C,2007-08,DET,Primož Brezec
3.0,0.0,0.395,0.263,0.263,1.0,0.079,0.0,0.0,0.079,0.6,0.4,0.3,0.824,0.447,0.333,0.0,0.0,0.0,28.0,0.0,9.1,0.447,13.0,NBA,110.0,C,2007-08,TOR,Primož Brezec
0.0,0.0,0.346,0.231,0.269,1.0,0.154,0.0,0.0,0.0,0.333,0.167,0.429,0.889,0.346,0.5,0.0,0.0,0.0,30.0,0.0,8.8,0.346,21.0,NBA,95.0,C,2009-10,TOT,Primož Brezec
0.0,0.0,0.385,0.308,0.154,1.0,0.154,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.154,0.5,0.0,0.0,0.0,30.0,0.0,7.9,0.154,7.0,NBA,36.0,C,2009-10,PHI,Primož Brezec
0.0,0.0,0.308,0.154,0.385,1.0,0.154,0.0,0.0,0.0,0.75,0.5,0.4,0.857,0.538,0.5,0.0,0.0,0.0,30.0,0.0,9.7,0.538,14.0,NBA,59.0,C,2009-10,MIL,Primož Brezec
3.0,0.0,0.174,0.116,0.395,0.849,0.163,0.151,0.462,0.035,0.533,0.3,0.353,0.643,0.384,0.357,0.75,0.308,0.333,22.0,0.0,13.7,0.372,26.0,NBA,243.0,PF,1997-98,IND,Austin Croshere
2.0,0.0,0.28,0.04,0.2,0.613,0.093,0.387,0.586,0.027,0.524,0.0,0.533,0.458,0.522,0.714,1.0,0.276,0.294,23.0,0.0,14.6,0.427,27.0,NBA,249.0,PF,1998-99,IND,Austin Croshere
40.0,0.0,0.27,0.112,0.185,0.734,0.167,0.266,0.299,0.066,0.636,0.37,0.405,0.449,0.47,0.339,0.952,0.362,0.442,24.0,0.0,13.1,0.441,81.0,NBA,1885.0,PF,1999-00,IND,Austin Croshere
30.0,0.0,0.27,0.11,0.154,0.705,0.171,0.295,0.353,0.046,0.513,0.377,0.389,0.529,0.417,0.317,0.943,0.338,0.356,25.0,1.0,13.0,0.394,81.0,NBA,1874.0,PF,2000-01,IND,Austin Croshere
21.0,0.0,0.23,0.109,0.234,0.676,0.103,0.324,0.359,0.054,0.592,0.367,0.448,0.596,0.449,0.217,0.98,0.338,0.346,26.0,1.0,14.9,0.413,76.0,NBA,1286.0,PF,2001-02,IND,Austin Croshere
9.0,0.0,0.225,0.124,0.244,0.67,0.077,0.33,0.29,0.043,0.617,0.269,0.353,0.61,0.421,0.313,0.889,0.391,0.3,27.0,0.0,15.1,0.411,49.0,NBA,633.0,PF,2002-03,IND,Austin Croshere
13.0,0.0,0.28,0.059,0.143,0.531,0.049,0.469,0.403,0.052,0.477,0.111,0.364,0.619,0.387,0.267,0.929,0.389,0.431,28.0,0.0,15.6,0.388,77.0,NBA,1051.0,PF,2003-04,IND,Austin Croshere
28.0,0.0,0.34,0.08,0.165,0.65,0.064,0.35,0.224,0.064,0.556,0.2,0.354,0.58,0.443,0.375,0.956,0.259,0.333,29.0,0.0,13.7,0.378,73.0,NBA,1827.0,PF,2004-05,IND,Austin Croshere
17.0,0.0,0.242,0.039,0.168,0.509,0.06,0.491,0.207,0.06,0.623,0.545,0.438,0.692,0.538,0.471,0.981,0.386,0.31,30.0,1.0,16.7,0.463,50.0,NBA,1148.0,PF,2005-06,IND,Austin Croshere
8.0,0.0,0.279,0.104,0.144,0.59,0.063,0.41,0.231,0.041,0.419,0.261,0.406,0.635,0.397,0.5,0.962,0.286,0.238,31.0,0.0,14.8,0.351,61.0,NBA,727.0,PF,2006-07,DAL,Austin Croshere
8.0,0.0,0.285,0.073,0.131,0.555,0.066,0.445,0.213,0.066,0.667,0.4,0.389,0.538,0.513,0.222,1.0,0.361,0.385,32.0,1.0,15.7,0.445,44.0,NBA,457.0,PF,2007-08,GSW,Austin Croshere
2.0,0.0,0.385,0.026,0.128,0.615,0.077,0.385,0.133,0.077,0.333,0.0,0.2,0.556,0.375,1.0,1.0,0.333,0.5,33.0,0.0,13.0,0.359,14.0,NBA,100.0,PF,2008-09,TOT,Austin Croshere
1.0,0.0,0.433,0.033,0.1,0.633,0.067,0.367,0.182,0.067,0.308,0.0,0.333,0.429,0.368,1.0,1.0,0.455,0.5,33.0,0.0,12.0,0.4,11.0,NBA,77.0,PF,2008-09,MIL,Austin Croshere
1.0,0.0,0.222,0.0,0.222,0.556,0.111,0.444,0.0,0.111,0.5,0.0,0.0,1.0,0.4,1.0,0.0,0.0,0.0,33.0,0.0,16.5,0.222,3.0,NBA,23.0,PF,2008-09,SAS,Austin Croshere
3.0,0.0,0.522,0.087,0.087,0.957,0.261,0.043,0.0,0.13,0.583,0.0,0.5,0.538,0.591,0.833,0.0,0.0,0.0,23.0,0.0,5.9,0.565,19.0,NBA,86.0,C,1999-00,IND,Jeff Foster
35.0,0.0,0.54,0.075,0.169,0.967,0.183,0.033,0.143,0.169,0.652,0.375,0.222,0.653,0.476,0.231,1.0,0.286,0.0,24.0,0.0,6.6,0.469,71.0,NBA,1152.0,C,2000-01,IND,Jeff Foster
36.0,0.0,0.462,0.119,0.223,0.962,0.157,0.038,0.333,0.109,0.593,0.319,0.341,0.634,0.462,0.355,1.0,0.133,0.2,25.0,1.0,8.2,0.449,82.0,NBA,1786.0,C,2001-02,IND,Jeff Foster
16.0,0.0,0.427,0.202,0.197,0.989,0.163,0.011,0.0,0.09,0.526,0.222,0.314,0.563,0.364,0.172,0.0,0.0,0.0,26.0,1.0,8.3,0.36,77.0,NBA,802.0,C,2002-03,IND,Jeff Foster
