SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
1991-92,23.0,Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Darrell Armstrong
1992-93,24.0,"Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)","Did Not Play (other pro league—CBA, GBA & USBL)",Darrell Armstrong
1993-94,25.0,Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Did Not Play (other pro league—Cyprus & USBL),Darrell Armstrong
1994-95,26.0,ORL,NBA,PG,3,0,2.7,1.0,2.7,.375,0.7,2.0,.333,0.3,0.7,.500,.500,0.7,0.7,1.000,0.3,0.0,0.3,1.0,0.3,0.0,0.3,1.0,3.3,Darrell Armstrong
1995-96,27.0,ORL,NBA,PG,13,0,3.2,1.2,2.5,.500,0.5,0.9,.500,0.8,1.5,.500,.594,0.3,0.3,1.000,0.0,0.2,0.2,0.4,0.5,0.0,0.5,0.3,3.2,Darrell Armstrong
1996-97,28.0,ORL,NBA,PG,67,0,15.1,2.0,5.1,.383,0.8,2.7,.304,1.1,2.4,.470,.462,1.4,1.6,.868,0.5,0.6,1.1,2.6,0.9,0.1,1.5,1.7,6.1,Darrell Armstrong
1997-98,29.0,ORL,NBA,PG,48,17,25.8,3.3,7.9,.411,0.5,1.4,.368,2.7,6.5,.420,.443,2.2,2.6,.854,1.4,2.0,3.3,4.9,1.2,0.1,2.3,2.0,9.2,Darrell Armstrong
1998-99,30.0,ORL,NBA,PG,50,15,30.0,4.6,10.4,.441,1.4,3.8,.365,3.2,6.7,.483,.507,3.2,3.6,.904,1.1,2.5,3.6,6.7,2.2,0.1,3.2,1.8,13.8,Darrell Armstrong
1999-00,31.0,ORL,NBA,PG,82,82,31.6,5.9,13.6,.433,1.7,4.9,.340,4.2,8.7,.485,.494,2.7,3.0,.911,0.8,2.5,3.3,6.1,2.1,0.1,3.0,1.7,16.2,Darrell Armstrong
2000-01,32.0,ORL,NBA,PG,75,75,36.9,5.5,13.4,.412,1.9,5.4,.355,3.6,8.0,.451,.484,2.9,3.3,.884,1.3,3.3,4.6,7.0,1.8,0.2,2.7,2.1,15.9,Darrell Armstrong
2001-02,33.0,ORL,NBA,PG,82,79,33.3,4.2,10.1,.419,1.7,4.9,.349,2.5,5.2,.484,.503,2.2,2.5,.888,1.0,2.9,3.9,5.5,1.9,0.1,2.1,2.0,12.4,Darrell Armstrong
2002-03,34.0,ORL,NBA,PG,82,23,28.7,3.2,7.8,.409,1.0,2.8,.336,2.3,5.0,.450,.470,2.0,2.3,.878,1.1,2.5,3.6,3.9,1.6,0.2,2.0,2.0,9.4,Darrell Armstrong
2003-04,35.0,NOH,NBA,PG,79,22,28.4,3.7,9.3,.395,1.7,5.4,.315,2.0,3.9,.508,.487,1.6,1.8,.854,0.8,2.1,2.9,3.9,1.7,0.2,2.0,1.9,10.6,Darrell Armstrong
2004-05,36.0,TOT,NBA,PG,66,16,15.0,1.3,4.2,.321,0.4,1.7,.252,0.9,2.5,.367,.372,0.9,1.0,.853,0.5,1.2,1.7,2.7,0.7,0.1,1.0,1.4,4.0,Darrell Armstrong
2004-05,36.0,NOH,NBA,PG,14,9,29.4,3.8,11.4,.333,1.2,5.0,.243,2.6,6.4,.404,.387,1.4,1.5,.905,1.1,2.3,3.4,4.6,1.1,0.1,2.0,2.1,10.1,Darrell Armstrong
2004-05,36.0,DAL,NBA,PG,52,7,11.1,0.7,2.3,.305,0.2,0.8,.268,0.5,1.5,.325,.352,0.8,0.9,.830,0.4,0.9,1.3,2.2,0.6,0.1,0.8,1.2,2.3,Darrell Armstrong
