SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
1994-95,26.0,ORL,NBA,PG,3.0,0.0,8.0,18.9,50.5,0.375,12.6,37.9,0.333,6.3,12.6,0.5,12.6,12.6,1.0,6.3,0.0,6.3,18.9,6.3,0.0,6.3,18.9,63.1,127.0,103.0,Darrell Armstrong
1995-96,27.0,ORL,NBA,PG,13.0,0.0,41.0,20.4,40.8,0.5,7.7,15.3,0.5,12.8,25.5,0.5,5.1,5.1,1.0,0.0,2.6,2.6,6.4,7.7,0.0,7.7,5.1,53.6,104.0,98.0,Darrell Armstrong
1996-97,28.0,ORL,NBA,PG,67.0,0.0,1010.0,7.1,18.6,0.383,3.0,9.7,0.304,4.1,8.8,0.47,4.9,5.7,0.868,1.9,2.2,4.1,9.4,3.3,0.5,5.3,6.1,22.1,103.0,107.0,Darrell Armstrong
1997-98,29.0,ORL,NBA,PG,48.0,17.0,1236.0,7.0,16.9,0.411,1.1,3.0,0.368,5.8,13.9,0.42,4.7,5.5,0.854,2.9,4.2,7.1,10.5,2.6,0.2,5.0,4.3,19.7,104.0,105.0,Darrell Armstrong
1998-99,30.0,ORL,NBA,PG,50.0,15.0,1502.0,8.3,18.8,0.441,2.5,6.8,0.365,5.8,12.0,0.483,5.8,6.4,0.904,1.9,4.6,6.5,12.1,3.9,0.1,5.7,3.2,24.8,110.0,96.0,Darrell Armstrong
1999-00,31.0,ORL,NBA,PG,82.0,82.0,2590.0,9.2,21.3,0.433,2.6,7.7,0.34,6.6,13.6,0.485,4.3,4.7,0.911,1.2,3.9,5.1,9.5,3.2,0.2,4.7,2.6,25.3,107.0,102.0,Darrell Armstrong
2000-01,32.0,ORL,NBA,PG,75.0,75.0,2767.0,7.7,18.7,0.412,2.7,7.5,0.355,5.0,11.2,0.451,4.1,4.6,0.884,1.8,4.6,6.4,9.8,2.5,0.2,3.7,2.9,22.1,110.0,103.0,Darrell Armstrong
2001-02,33.0,ORL,NBA,PG,82.0,79.0,2730.0,6.5,15.6,0.419,2.6,7.5,0.349,3.9,8.1,0.484,3.4,3.9,0.888,1.6,4.5,6.0,8.5,3.0,0.2,3.3,3.1,19.1,112.0,105.0,Darrell Armstrong
2002-03,34.0,ORL,NBA,PG,82.0,23.0,2350.0,5.8,14.1,0.409,1.7,5.1,0.336,4.1,9.0,0.45,3.6,4.1,0.878,2.0,4.5,6.5,7.1,3.0,0.3,3.5,3.7,16.9,106.0,104.0,Darrell Armstrong
2003-04,35.0,NOH,NBA,PG,79.0,22.0,2247.0,7.0,17.6,0.395,3.2,10.3,0.315,3.7,7.4,0.508,2.9,3.5,0.854,1.5,3.9,5.4,7.5,3.2,0.4,3.7,3.5,20.1,105.0,102.0,Darrell Armstrong
2004-05,36.0,TOT,NBA,PG,66.0,16.0,988.0,4.8,14.9,0.321,1.5,6.0,0.252,3.3,8.9,0.367,3.1,3.6,0.853,1.9,4.3,6.2,9.5,2.4,0.4,3.6,4.9,14.2,96.0,106.0,Darrell Armstrong
2004-05,36.0,NOH,NBA,PG,14.0,9.0,412.0,7.1,21.2,0.333,2.3,9.3,0.243,4.8,11.8,0.404,2.5,2.8,0.905,2.1,4.3,6.4,8.6,2.0,0.3,3.7,4.0,18.9,92.0,109.0,Darrell Armstrong
2004-05,36.0,DAL,NBA,PG,52.0,7.0,576.0,3.2,10.6,0.305,1.0,3.7,0.268,2.2,6.9,0.325,3.5,4.2,0.83,1.7,4.3,6.0,10.2,2.7,0.5,3.5,5.6,11.0,100.0,105.0,Darrell Armstrong
2005-06,37.0,DAL,NBA,PG,62.0,2.0,622.0,3.8,11.3,0.336,1.0,4.2,0.229,2.8,7.0,0.4,2.9,3.7,0.786,1.6,5.5,7.1,7.6,2.4,0.3,5.1,6.2,11.4,87.0,105.0,Darrell Armstrong
2006-07,38.0,IND,NBA,PG,81.0,4.0,1275.0,6.4,15.4,0.414,2.9,8.7,0.336,3.4,6.6,0.515,3.0,3.8,0.785,1.4,4.1,5.5,7.8,2.9,0.2,3.1,4.2,18.6,110.0,105.0,Darrell Armstrong
2007-08,39.0,NJN,NBA,PG,50.0,2.0,549.0,3.8,10.5,0.364,2.2,6.6,0.333,1.6,3.9,0.415,1.9,2.9,0.667,1.6,4.8,6.4,7.0,2.7,0.2,3.9,5.1,11.8,95.0,109.0,Darrell Armstrong
2002-03,29.0,ORL,NBA,C,62.0,8.0,783.0,7.4,19.5,0.382,0.1,0.5,0.143,7.4,19.0,0.388,2.6,3.8,0.69,3.8,5.9,9.6,1.5,1.3,1.6,3.1,6.5,17.6,86.0,106.0,Pat Burke
2005-06,32.0,PHO,NBA,C,42.0,0.0,346.0,9.1,18.4,0.496,0.3,1.0,0.286,8.8,17.4,0.508,1.9,3.0,0.619,3.0,7.5,10.6,2.3,0.9,1.9,4.8,9.0,20.4,90.0,105.0,Pat Burke
2006-07,33.0,PHO,NBA,C,23.0,0.0,164.0,7.0,19.9,0.354,1.8,6.7,0.273,5.2,13.2,0.395,2.4,4.0,0.615,3.7,10.7,14.4,1.5,0.9,0.6,2.1,5.8,18.4,91.0,105.0,Pat Burke
1995-96,22.0,GSW,NBA,C,22.0,1.0,203.0,6.1,12.7,0.48,0.0,0.3,0.0,6.1,12.4,0.49,2.8,4.8,0.579,4.6,5.3,9.9,2.3,1.8,1.3,1.0,7.6,14.9,116.0,110.0,Andrew DeClercq
