# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
8.0,0.0,0.372,0.201,0.324,0.934,0.036,0.066,0.182,0.024,0.516,0.358,0.407,0.75,0.437,0.333,0.75,0.182,0.0,28.0,0.0,12.8,0.42,72.0,NBA,1057.0,PG,1996-97,CHI,Randy Brown
7.0,0.0,0.387,0.175,0.318,0.983,0.103,0.017,0.2,0.026,0.513,0.226,0.385,0.681,0.391,0.226,0.0,0.0,0.0,29.0,0.0,11.6,0.384,71.0,NBA,1147.0,PG,1997-98,CHI,Randy Brown
6.0,0.0,0.295,0.166,0.414,0.969,0.094,0.031,0.0,0.019,0.521,0.264,0.462,0.705,0.427,0.267,0.0,0.0,0.0,30.0,0.0,13.0,0.414,39.0,NBA,1139.0,PG,1998-99,CHI,Randy Brown
0.0,0.0,0.218,0.156,0.526,0.986,0.085,0.014,0.0,0.002,0.484,0.324,0.345,0.643,0.359,0.189,1.0,0.5,0.0,31.0,1.0,14.1,0.361,59.0,NBA,1625.0,PG,1999-00,CHI,Randy Brown
2.0,0.0,0.224,0.101,0.591,0.987,0.072,0.013,0.0,0.008,0.585,0.208,0.436,0.77,0.427,0.176,0.0,0.0,0.0,32.0,2.0,13.6,0.422,54.0,NBA,1238.0,PG,2000-01,BOS,Randy Brown
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0,0.0,1.0,NBA,6.0,PG,2001-02,BOS,Randy Brown
0.0,0.0,0.209,0.279,0.488,1.0,0.023,0.0,0.0,0.0,0.333,0.333,0.381,0.875,0.372,1.0,0.0,0.0,0.0,34.0,0.0,12.8,0.372,32.0,NBA,262.0,PG,2002-03,PHO,Randy Brown
10.0,0.0,0.542,0.169,0.042,1.0,0.246,0.0,0.0,0.085,0.578,0.4,0.4,0.721,0.517,0.483,0.0,0.0,0.0,20.0,0.0,4.6,0.517,53.0,NBA,452.0,PF,2001-02,PHO,Alton Ford
0.0,0.0,0.222,0.444,0.222,1.0,0.111,0.0,0.0,0.0,0.5,0.5,0.0,0.667,0.333,0.0,0.0,0.0,0.0,21.0,0.0,10.5,0.333,11.0,NBA,31.0,PF,2002-03,PHO,Alton Ford
0.0,0.0,0.182,0.273,0.182,1.0,0.364,0.0,0.0,0.0,1.0,0.667,0.5,0.833,0.545,0.25,0.0,0.0,0.0,22.0,0.0,8.8,0.545,9.0,NBA,41.0,PF,2003-04,HOU,Alton Ford
58.0,0.0,0.311,0.168,0.308,0.931,0.143,0.069,0.086,0.046,0.506,0.373,0.476,0.648,0.456,0.401,0.958,0.258,0.25,27.0,0.0,12.4,0.442,81.0,NBA,3131.0,PF,1996-97,MIN,Tom Gugliotta
18.0,0.0,0.208,0.187,0.409,0.973,0.169,0.027,0.059,0.028,0.652,0.429,0.519,0.694,0.513,0.421,1.0,0.118,0.0,28.0,0.0,12.7,0.502,41.0,NBA,1582.0,SF,1997-98,MIN,Tom Gugliotta
33.0,0.0,0.323,0.234,0.241,0.988,0.19,0.012,0.143,0.065,0.649,0.343,0.478,0.716,0.486,0.394,1.0,0.286,1.0,29.0,2.0,10.6,0.483,43.0,NBA,1563.0,PF,1998-99,PHO,Tom Gugliotta
37.0,0.0,0.291,0.171,0.364,0.988,0.161,0.012,0.125,0.059,0.66,0.409,0.426,0.78,0.485,0.385,1.0,0.125,1.0,30.0,2.0,11.7,0.481,54.0,NBA,1767.0,PF,1999-00,PHO,Tom Gugliotta
3.0,0.0,0.268,0.192,0.382,0.968,0.126,0.032,0.5,0.018,0.48,0.384,0.414,0.726,0.397,0.188,1.0,0.25,0.333,31.0,2.0,11.7,0.392,57.0,NBA,1159.0,PF,2000-01,PHO,Tom Gugliotta
6.0,0.0,0.189,0.239,0.458,0.97,0.083,0.03,0.333,0.023,0.579,0.333,0.428,0.79,0.425,0.32,1.0,0.333,0.0,32.0,1.0,13.1,0.422,44.0,NBA,1129.0,PF,2001-02,PHO,Tom Gugliotta
2.0,0.0,0.152,0.25,0.5,0.992,0.091,0.008,0.0,0.023,0.55,0.545,0.379,0.783,0.458,0.5,0.0,0.0,0.0,33.0,0.0,13.8,0.455,27.0,NBA,447.0,PF,2002-03,PHO,Tom Gugliotta
5.0,0.0,0.286,0.158,0.438,0.98,0.099,0.02,0.25,0.025,0.466,0.313,0.292,0.739,0.347,0.3,0.0,0.25,0.0,34.0,1.0,11.9,0.345,55.0,NBA,819.0,PF,2003-04,TOT,Tom Gugliotta
2.0,0.0,0.152,0.212,0.566,0.99,0.061,0.01,0.0,0.02,0.333,0.333,0.304,0.806,0.316,0.333,0.0,0.0,0.0,34.0,1.0,14.5,0.313,30.0,NBA,304.0,PF,2003-04,PHO,Tom Gugliotta
