DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2002-10-30,20-234,WAS,AWAY,TOR,L (-6),1,39:28,4,12,.333,0,0,,4,5,.800,3,15,18,2,2,5,2,4,12,14.7,0,Kwame Brown
2002-10-31,20-235,WAS,HOME,BOS,W (+45),1,31:36,8,12,.667,0,0,,4,5,.800,3,3,6,1,1,6,3,3,20,19.1,+13,Kwame Brown
2002-11-02,20-237,WAS,HOME,NJN,L (-8),1,34:20,2,10,.200,0,1,.000,0,0,,6,8,14,1,3,2,2,2,4,6.7,-12,Kwame Brown
2002-11-05,20-240,WAS,AWAY,MIN,L (-4),1,31:06,2,10,.200,0,0,,3,4,.750,3,4,7,3,0,1,2,2,7,3.7,-12,Kwame Brown
2002-11-06,20-241,WAS,HOME,CLE,W (+7),1,34:04,4,7,.571,0,0,,6,8,.750,1,7,8,0,3,1,2,3,14,13.2,+4,Kwame Brown
2002-11-08,20-243,WAS,HOME,LAL,W (+1),1,31:02,5,9,.556,0,0,,3,4,.750,1,5,6,1,0,1,2,4,13,8.3,-9,Kwame Brown
2002-11-09,20-244,WAS,AWAY,CLE,W (+14),1,26:43,3,9,.333,0,0,,4,4,1.000,0,6,6,0,0,1,3,3,10,3.2,+4,Kwame Brown
2002-11-12,20-247,WAS,HOME,SEA,L (-6),1,20:33,2,6,.333,0,0,,1,2,.500,2,3,5,1,0,1,1,2,5,3.1,-10,Kwame Brown
2002-11-14,20-249,WAS,HOME,UTA,W (+3),1,21:15,1,4,.250,0,0,,0,0,,2,1,3,1,0,0,3,2,2,-1.8,+7,Kwame Brown
2002-11-16,20-251,WAS,HOME,MIA,W (+30),1,38:19,7,13,.538,0,0,,1,3,.333,4,7,11,1,3,2,2,2,15,15.1,+27,Kwame Brown
2002-11-17,20-252,WAS,AWAY,PHI,L (-16),1,28:16,2,2,1.000,0,0,,4,4,1.000,0,4,4,0,0,2,2,3,8,6.8,-15,Kwame Brown
2002-11-22,20-257,WAS,AWAY,HOU,L (-7),1,26:58,1,5,.200,0,0,,0,0,,1,4,5,1,0,1,1,0,2,1.2,-15,Kwame Brown
2002-11-23,20-258,WAS,AWAY,MEM,L (-11),1,36:24,6,12,.500,0,0,,2,2,1.000,2,6,8,2,2,1,4,6,14,8.9,-14,Kwame Brown
2002-11-26,20-261,WAS,HOME,IND,L (-4),1,15:49,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,3,1,2,-1.1,-12,Kwame Brown
2002-11-29,20-264,WAS,AWAY,IND,L (-16),1,27:22,3,11,.273,0,0,,1,2,.500,2,3,5,1,1,2,0,3,7,4.3,-10,Kwame Brown
