2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,eFG%,PLAYER
2.0,0.667,3.0,0.0,0.0,2.0,23.0,0.0,0.0,4.0,2.0,0.4,5.0,1.0,1.0,1.0,4.0,1.0,NBA,23.0,1.0,3.0,PF,5.0,2003-04,0.0,ATL,2.0,5.0,0.4,Josh Davis
23.0,0.397,58.0,19.0,0.358,53.0,24.0,12.0,4.0,50.0,42.0,0.378,111.0,14.0,0.824,17.0,42.0,5.0,NBA,328.0,29.0,45.0,PF,117.0,2004-05,8.0,PHI,15.0,79.0,0.464,Josh Davis
2.0,0.4,5.0,0.0,0.0,2.0,25.0,1.0,0.0,1.0,2.0,0.286,7.0,2.0,0.667,3.0,6.0,0.0,NBA,17.0,3.0,3.0,PF,6.0,2005-06,2.0,TOT,1.0,4.0,0.286,Josh Davis
1.0,0.333,3.0,0.0,0.0,1.0,25.0,1.0,0.0,1.0,1.0,0.25,4.0,0.0,0.0,0.0,4.0,0.0,NBA,12.0,2.0,2.0,PF,2.0,2005-06,1.0,MIL,1.0,3.0,0.25,Josh Davis
0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,NBA,0.0,0.0,1.0,PF,0.0,2005-06,0.0,HOU,0.0,0.0,0.0,Josh Davis
1.0,0.5,2.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,1.0,0.333,3.0,2.0,0.667,3.0,1.0,0.0,NBA,5.0,1.0,0.0,PF,4.0,2005-06,1.0,PHO,0.0,1.0,0.333,Josh Davis
6.0,0.429,14.0,4.0,0.308,13.0,31.0,6.0,1.0,11.0,10.0,0.37,27.0,4.0,0.5,8.0,15.0,0.0,NBA,130.0,16.0,19.0,PF,28.0,2011-12,7.0,MEM,3.0,27.0,0.444,Josh Davis
134.0,0.467,287.0,6.0,0.231,26.0,21.0,182.0,37.0,231.0,140.0,0.447,313.0,56.0,0.602,93.0,76.0,37.0,NBA,1919.0,111.0,191.0,SG,342.0,2003-04,59.0,ATL,126.0,342.0,0.457,Boris Diaw
115.0,0.471,244.0,9.0,0.18,50.0,22.0,149.0,18.0,116.0,124.0,0.422,294.0,57.0,0.74,77.0,66.0,25.0,NBA,1201.0,54.0,123.0,SG,314.0,2004-05,37.0,ATL,87.0,170.0,0.437,Boris Diaw
441.0,0.536,823.0,8.0,0.267,30.0,23.0,503.0,85.0,399.0,449.0,0.526,853.0,174.0,0.731,238.0,81.0,70.0,NBA,2874.0,159.0,260.0,PF,1080.0,2005-06,58.0,PHO,189.0,558.0,0.531,Boris Diaw
291.0,0.555,524.0,15.0,0.333,45.0,24.0,352.0,38.0,226.0,306.0,0.538,569.0,82.0,0.683,120.0,73.0,59.0,NBA,2268.0,91.0,177.0,PF,709.0,2006-07,28.0,PHO,154.0,317.0,0.551,Boris Diaw
295.0,0.488,605.0,13.0,0.317,41.0,25.0,317.0,39.0,281.0,308.0,0.477,646.0,96.0,0.744,129.0,82.0,19.0,NBA,2308.0,97.0,166.0,PF,725.0,2007-08,61.0,PHO,155.0,378.0,0.487,Boris Diaw
373.0,0.531,703.0,75.0,0.414,181.0,26.0,333.0,53.0,314.0,448.0,0.507,884.0,101.0,0.687,147.0,81.0,59.0,NBA,2754.0,118.0,202.0,PF,1072.0,2008-09,61.0,TOT,215.0,432.0,0.549,Boris Diaw
75.0,0.591,127.0,5.0,0.357,14.0,26.0,46.0,9.0,60.0,80.0,0.567,141.0,18.0,0.692,26.0,22.0,0.0,NBA,538.0,24.0,39.0,PF,183.0,2008-09,11.0,PHO,37.0,84.0,0.585,Boris Diaw
298.0,0.517,576.0,70.0,0.419,167.0,26.0,287.0,44.0,254.0,368.0,0.495,743.0,83.0,0.686,121.0,59.0,59.0,NBA,2216.0,94.0,163.0,PF,889.0,2008-09,50.0,CHA,178.0,348.0,0.542,Boris Diaw
307.0,0.541,567.0,66.0,0.32,206.0,27.0,325.0,57.0,293.0,373.0,0.483,773.0,113.0,0.769,147.0,82.0,82.0,NBA,2906.0,131.0,219.0,PF,925.0,2009-10,60.0,CHA,178.0,424.0,0.525,Boris Diaw
303.0,0.553,548.0,78.0,0.345,226.0,28.0,337.0,46.0,309.0,381.0,0.492,774.0,84.0,0.683,123.0,82.0,82.0,NBA,2778.0,105.0,190.0,PF,924.0,2010-11,74.0,CHA,166.0,414.0,0.543,Boris Diaw
125.0,0.496,252.0,31.0,0.313,99.0,29.0,205.0,25.0,210.0,156.0,0.444,351.0,22.0,0.629,35.0,57.0,35.0,NBA,1424.0,70.0,125.0,PF,365.0,2011-12,34.0,TOT,112.0,280.0,0.489,Boris Diaw
93.0,0.472,197.0,23.0,0.267,86.0,29.0,158.0,19.0,148.0,116.0,0.41,283.0,17.0,0.63,27.0,37.0,28.0,NBA,1018.0,47.0,71.0,PF,272.0,2011-12,20.0,CHA,84.0,195.0,0.451,Boris Diaw
32.0,0.582,55.0,8.0,0.615,13.0,29.0,47.0,6.0,62.0,40.0,0.588,68.0,5.0,0.625,8.0,20.0,7.0,NBA,406.0,23.0,54.0,PF,93.0,2011-12,14.0,SAS,28.0,85.0,0.647,Boris Diaw
149.0,0.587,254.0,30.0,0.385,78.0,30.0,180.0,27.0,188.0,179.0,0.539,332.0,47.0,0.723,65.0,75.0,20.0,NBA,1709.0,66.0,143.0,PF,435.0,2012-13,52.0,SAS,84.0,254.0,0.584,Boris Diaw
257.0,0.549,468.0,45.0,0.402,112.0,31.0,222.0,32.0,252.0,302.0,0.521,580.0,68.0,0.739,92.0,79.0,24.0,NBA,1974.0,74.0,140.0,PF,717.0,2013-14,44.0,SAS,121.0,326.0,0.559,Boris Diaw
237.0,0.512,463.0,54.0,0.32,169.0,32.0,233.0,23.0,270.0,291.0,0.46,632.0,72.0,0.774,93.0,81.0,15.0,NBA,1984.0,78.0,148.0,PF,708.0,2014-15,36.0,SAS,126.0,348.0,0.503,Boris Diaw
177.0,0.564,314.0,25.0,0.362,69.0,33.0,176.0,21.0,175.0,202.0,0.527,383.0,56.0,0.737,76.0,76.0,4.0,NBA,1386.0,58.0,102.0,PF,485.0,2015-16,26.0,SAS,97.0,233.0,0.56,Boris Diaw
126.0,0.512,246.0,20.0,0.247,81.0,34.0,170.0,9.0,112.0,146.0,0.446,327.0,26.0,0.743,35.0,73.0,33.0,NBA,1283.0,46.0,83.0,PF,338.0,2016-17,18.0,UTA,87.0,158.0,0.477,Boris Diaw
3.0,0.375,8.0,0.0,0.0,0.0,22.0,2.0,1.0,7.0,3.0,0.375,8.0,2.0,0.333,6.0,4.0,0.0,NBA,43.0,4.0,5.0,PF,8.0,2003-04,0.0,ATL,4.0,11.0,0.375,Hiram Fuller
37.0,0.37,100.0,9.0,0.3,30.0,25.0,19.0,9.0,40.0,46.0,0.354,130.0,22.0,0.815,27.0,41.0,4.0,NBA,507.0,30.0,67.0,SF,123.0,2003-04,10.0,ATL,15.0,70.0,0.388,Travis Hansen
