DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2004-01-11,23-004,DAL,AWAY,DET,L (-13),1,34:24,6,11,.545,0,2,.000,4,5,.800,0,0,0,1,1,0,1,2,16,10.2,-8,Marquis Daniels
2004-01-12,23-005,DAL,AWAY,NYK,W (+6),1,21:21,2,3,.667,0,0,,0,0,,0,4,4,3,1,0,0,4,4,5.4,-6,Marquis Daniels
2004-03-02,23-055,DAL,HOME,SEA,W (+11),1,44:01,6,15,.400,0,1,.000,2,2,1.000,2,7,9,9,0,1,4,2,14,11.6,+11,Marquis Daniels
2004-03-24,23-077,DAL,AWAY,IND,L (-4),1,16:36,3,8,.375,0,0,,0,0,,2,1,3,1,1,0,1,0,6,4.0,-13,Marquis Daniels
2004-03-26,23-079,DAL,AWAY,MIA,L (-1),1,47:37,15,23,.652,0,2,.000,1,2,.500,4,5,9,4,3,2,2,1,31,29.6,+7,Marquis Daniels
2004-03-28,23-081,DAL,AWAY,ORL,W (+30),1,43:43,9,16,.563,1,1,1.000,1,2,.500,3,2,5,7,1,2,0,2,20,21.2,+27,Marquis Daniels
2004-03-30,23-083,DAL,HOME,CLE,W (+17),1,37:51,7,17,.412,0,0,,3,5,.600,2,2,4,2,1,0,3,3,17,7.3,+12,Marquis Daniels
2004-04-01,23-085,DAL,HOME,SAC,W (+10),1,37:58,6,13,.462,0,2,.000,4,4,1.000,1,5,6,2,3,0,3,4,16,11.3,+13,Marquis Daniels
2004-04-03,23-087,DAL,HOME,PHO,W (+21),1,37:45,5,10,.500,0,2,.000,1,2,.500,1,4,5,6,1,0,0,1,11,12.3,+8,Marquis Daniels
2004-04-06,23-090,DAL,HOME,SEA,W (+10),1,40:30,6,14,.429,0,0,,4,4,1.000,4,2,6,5,0,2,1,1,16,15.5,+5,Marquis Daniels
2004-04-08,23-092,DAL,HOME,UTA,W (+23),1,34:30,5,10,.500,0,0,,2,2,1.000,0,5,5,5,3,0,0,0,12,15.0,+26,Marquis Daniels
2004-04-10,23-094,DAL,AWAY,SEA,L (-20),1,44:19,14,18,.778,1,2,.500,4,4,1.000,3,2,5,3,2,0,3,2,33,29.0,-24,Marquis Daniels
