SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2003-04,27.0,TOT,NBA,SG,10.0,0.0,110.0,3.6,11.5,0.314,1.3,3.6,0.364,2.3,7.9,0.292,5.2,6.5,0.8,0.7,2.9,3.6,1.3,0.0,0.0,2.9,3.3,13.7,Maurice Carter
2003-04,27.0,LAL,NBA,SG,4.0,0.0,50.0,3.6,10.1,0.357,0.7,2.2,0.333,2.9,7.9,0.364,7.9,8.6,0.917,0.0,2.2,2.2,1.4,0.0,0.0,4.3,3.6,15.8,Maurice Carter
2003-04,27.0,NOH,NBA,SG,6.0,0.0,60.0,3.6,12.6,0.286,1.8,4.8,0.375,1.8,7.8,0.231,3.0,4.8,0.625,1.2,3.6,4.8,1.2,0.0,0.0,1.8,3.0,12.0,Maurice Carter
2003-04,23.0,LAL,NBA,C,35.0,2.0,442.0,5.5,11.5,0.475,0.0,0.4,0.0,5.5,11.1,0.493,1.7,2.3,0.75,2.5,5.7,8.2,1.6,1.3,1.3,1.4,5.2,12.6,Brian Cook
2004-05,24.0,LAL,NBA,C,72.0,0.0,1087.0,5.8,14.0,0.417,2.6,6.6,0.392,3.2,7.4,0.439,0.9,1.2,0.757,2.1,5.1,7.2,1.2,0.8,0.9,1.0,4.6,15.2,Brian Cook
2005-06,25.0,LAL,NBA,PF,81.0,46.0,1535.0,6.1,12.0,0.511,0.8,2.0,0.429,5.3,10.0,0.527,2.0,2.4,0.832,2.1,4.4,6.4,1.7,0.9,0.8,1.4,4.8,15.1,Brian Cook
2006-07,26.0,LAL,NBA,PF,65.0,24.0,1018.0,6.5,14.4,0.453,1.6,4.1,0.4,4.9,10.4,0.474,1.2,1.7,0.723,2.2,5.4,7.6,2.3,0.9,1.0,1.8,4.7,15.9,Brian Cook
2007-08,27.0,TOT,NBA,PF,51.0,2.0,629.0,5.0,13.4,0.376,2.5,6.6,0.374,2.6,6.8,0.378,1.1,1.2,0.905,1.6,4.6,6.2,1.5,0.7,0.7,2.2,5.3,13.6,Brian Cook
2007-08,27.0,LAL,NBA,PF,6.0,2.0,70.0,2.1,10.8,0.19,1.0,5.1,0.2,1.0,5.7,0.182,2.1,2.1,1.0,2.1,3.1,5.1,1.5,1.0,0.0,2.1,3.1,7.2,Brian Cook
2007-08,27.0,ORL,NBA,PF,45.0,0.0,559.0,5.4,13.7,0.394,2.6,6.8,0.39,2.8,7.0,0.398,1.0,1.1,0.882,1.5,4.8,6.4,1.5,0.7,0.8,2.3,5.6,14.4,Brian Cook
2008-09,28.0,TOT,NBA,PF,30.0,0.0,171.0,5.9,16.0,0.368,2.7,6.3,0.433,3.2,9.7,0.326,1.1,1.3,0.833,1.5,5.3,6.7,1.1,0.6,0.6,2.7,5.5,15.6,Brian Cook
2008-09,28.0,ORL,NBA,PF,21.0,0.0,146.0,5.7,14.8,0.383,2.7,6.2,0.44,3.0,8.6,0.343,1.2,1.5,0.833,1.5,5.2,6.7,1.0,0.7,0.0,2.7,5.7,15.3,Brian Cook
2008-09,28.0,HOU,NBA,PF,9.0,0.0,25.0,7.2,23.0,0.313,2.9,7.2,0.4,4.3,15.8,0.273,0.0,0.0,0.0,1.4,5.8,7.2,1.4,0.0,4.3,2.9,4.3,17.3,Brian Cook
2009-10,29.0,HOU,NBA,PF,15.0,0.0,44.0,5.7,18.8,0.304,1.6,7.4,0.222,4.1,11.5,0.357,4.1,5.7,0.714,0.8,6.5,7.4,0.8,0.0,1.6,4.9,4.1,17.2,Brian Cook
2010-11,30.0,LAC,NBA,PF,40.0,0.0,447.0,5.8,13.7,0.424,2.7,6.4,0.43,3.1,7.3,0.418,1.2,1.9,0.625,1.5,6.2,7.7,1.2,1.0,0.9,2.0,6.0,15.5,Brian Cook
2011-12,31.0,TOT,NBA,PF,32.0,0.0,276.0,4.0,12.8,0.316,1.3,6.5,0.2,2.7,6.3,0.438,1.2,1.3,0.9,1.3,6.9,8.2,1.3,0.8,0.7,1.4,6.3,10.6,Brian Cook
2011-12,31.0,LAC,NBA,PF,16.0,0.0,121.0,3.3,14.6,0.224,1.5,8.0,0.185,1.8,6.5,0.273,1.2,1.2,1.0,1.2,5.7,6.8,0.6,0.6,1.2,1.2,7.7,9.2,Brian Cook
2011-12,31.0,WAS,NBA,PF,16.0,0.0,155.0,4.6,11.4,0.408,1.2,5.3,0.217,3.5,6.0,0.577,1.2,1.4,0.833,1.4,7.9,9.3,1.9,0.9,0.2,1.6,5.1,11.6,Brian Cook
2003-04,26.0,LAL,NBA,SF,4.0,0.0,28.0,3.9,11.6,0.333,0.0,1.3,0.0,3.9,10.3,0.375,2.6,5.1,0.5,1.3,5.1,6.4,2.6,2.6,1.3,3.9,3.9,10.3,Ime Udoka
2005-06,28.0,NYK,NBA,SF,8.0,0.0,114.0,2.8,7.6,0.375,0.3,0.9,0.333,2.5,6.6,0.381,0.9,1.9,0.5,0.9,4.4,5.4,1.9,0.3,0.0,0.6,2.5,6.9,Ime Udoka
2006-07,29.0,POR,NBA,SF,75.0,75.0,2144.0,4.0,8.6,0.461,1.5,3.7,0.406,2.5,5.0,0.502,1.1,1.5,0.742,1.6,3.1,4.7,1.9,1.2,0.3,1.2,3.5,10.6,Ime Udoka
2007-08,30.0,SAS,NBA,PF,73.0,0.0,1316.0,4.3,10.3,0.424,1.7,4.5,0.37,2.7,5.7,0.467,1.2,1.6,0.759,1.0,5.3,6.2,1.7,1.5,0.5,1.6,3.5,11.6,Ime Udoka
2008-09,31.0,SAS,NBA,SF,67.0,3.0,1035.0,3.8,10.0,0.383,1.4,4.3,0.328,2.4,5.6,0.426,1.0,1.6,0.609,1.0,5.5,6.5,1.9,1.3,0.4,1.3,3.0,10.1,Ime Udoka
2009-10,32.0,SAC,NBA,SG,69.0,2.0,944.0,3.5,9.2,0.378,1.0,3.5,0.286,2.5,5.7,0.433,1.6,2.2,0.737,1.9,5.3,7.3,2.2,1.3,0.2,1.6,3.2,9.5,Ime Udoka
2010-11,33.0,SAS,NBA,SF,20.0,0.0,130.0,1.4,5.8,0.238,0.0,2.2,0.0,1.4,3.6,0.385,1.1,2.2,0.5,1.4,3.9,5.3,3.6,2.2,0.3,1.4,3.9,3.9,Ime Udoka
2003-04,23.0,LAL,NBA,PF,72.0,2.0,730.0,3.2,7.5,0.425,0.6,1.9,0.333,2.6,5.6,0.456,1.5,2.2,0.705,1.9,4.3,6.3,5.6,1.4,0.4,2.2,3.5,8.6,Luke Walton
2004-05,24.0,LAL,NBA,SF,61.0,5.0,768.0,3.5,8.4,0.411,0.7,2.9,0.262,2.7,5.6,0.487,1.6,2.3,0.708,2.6,4.1,6.7,4.4,1.2,0.5,2.7,3.3,9.3,Luke Walton
2005-06,25.0,LAL,NBA,SF,69.0,6.0,1333.0,3.6,8.9,0.412,0.5,1.5,0.327,3.2,7.4,0.429,1.5,2.1,0.75,2.4,4.3,6.7,4.2,1.1,0.4,2.1,3.2,9.3,Luke Walton
2006-07,26.0,LAL,NBA,SF,60.0,60.0,1982.0,4.8,10.1,0.474,0.9,2.3,0.387,3.9,7.9,0.499,2.0,2.6,0.745,1.6,3.9,5.5,4.7,1.1,0.4,2.1,2.1,12.4,Luke Walton
2007-08,27.0,LAL,NBA,SF,74.0,31.0,1729.0,4.5,10.0,0.45,0.6,1.7,0.333,3.9,8.2,0.475,1.6,2.3,0.706,1.8,4.3,6.1,4.5,1.2,0.4,2.1,2.8,11.1,Luke Walton
2008-09,28.0,LAL,NBA,SF,65.0,34.0,1166.0,4.1,9.5,0.436,0.5,1.8,0.298,3.6,7.7,0.468,1.3,1.8,0.719,1.7,3.9,5.6,5.5,1.0,0.3,2.1,3.2,10.1,Luke Walton
2009-10,29.0,LAL,NBA,SF,29.0,0.0,272.0,4.0,11.1,0.357,0.9,2.3,0.412,3.0,8.9,0.343,0.3,0.5,0.5,1.6,3.4,5.0,5.3,1.3,0.1,1.6,2.5,9.1,Luke Walton
2010-11,30.0,LAL,NBA,SF,54.0,0.0,484.0,2.8,8.6,0.328,0.6,2.5,0.235,2.2,6.1,0.366,0.5,0.7,0.7,0.7,4.3,5.0,4.6,0.7,0.3,2.3,2.8,6.8,Luke Walton
2011-12,31.0,TOT,NBA,"PF,SF",30.0,0.0,364.0,2.4,6.4,0.369,0.7,2.0,0.35,1.7,4.5,0.378,0.0,0.0,0.0,1.3,3.6,4.8,3.5,0.5,0.1,2.7,4.1,5.4,Luke Walton
2011-12,31.0,LAL,NBA,SF,9.0,0.0,65.0,3.3,7.8,0.429,0.0,2.2,0.0,3.3,5.5,0.6,0.0,0.0,0.0,3.3,4.4,7.8,2.8,1.1,0.0,1.1,5.0,6.6,Luke Walton
2011-12,31.0,CLE,NBA,PF,21.0,0.0,299.0,2.2,6.1,0.353,0.8,1.9,0.438,1.3,4.2,0.314,0.0,0.0,0.0,0.8,3.4,4.2,3.6,0.4,0.1,3.0,3.9,5.2,Luke Walton
2012-13,32.0,CLE,NBA,PF,50.0,0.0,857.0,3.0,7.6,0.392,0.8,2.8,0.299,2.1,4.8,0.447,0.4,0.8,0.5,1.6,4.5,6.1,7.0,1.8,0.5,2.5,4.1,7.2,Luke Walton
