2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,eFG%,PLAYER
6.0,0.462,13.0,1.0,0.333,3.0,23.0,2.0,0.0,5.0,7.0,0.438,16.0,4.0,0.667,6.0,16.0,0.0,NBA,70.0,1.0,8.0,SG,19.0,2003-04,1.0,TOT,6.0,6.0,0.469,Matt Carroll
4.0,0.5,8.0,1.0,0.333,3.0,23.0,1.0,0.0,3.0,5.0,0.455,11.0,2.0,1.0,2.0,13.0,0.0,NBA,48.0,0.0,3.0,SG,13.0,2003-04,0.0,POR,2.0,3.0,0.5,Matt Carroll
2.0,0.4,5.0,0.0,0.0,0.0,23.0,1.0,0.0,2.0,2.0,0.4,5.0,2.0,0.5,4.0,3.0,0.0,NBA,22.0,1.0,5.0,SG,6.0,2003-04,1.0,SAS,4.0,3.0,0.4,Matt Carroll
57.0,0.404,141.0,13.0,0.333,39.0,24.0,17.0,2.0,47.0,70.0,0.389,180.0,71.0,0.855,83.0,25.0,0.0,NBA,430.0,13.0,37.0,SG,224.0,2004-05,17.0,CHA,25.0,60.0,0.425,Matt Carroll
120.0,0.412,291.0,72.0,0.389,185.0,25.0,35.0,11.0,123.0,192.0,0.403,476.0,138.0,0.821,168.0,78.0,6.0,NBA,1275.0,34.0,120.0,SG,594.0,2005-06,47.0,CHA,48.0,157.0,0.479,Matt Carroll
174.0,0.445,391.0,111.0,0.416,267.0,26.0,91.0,9.0,172.0,285.0,0.433,658.0,188.0,0.904,208.0,72.0,47.0,NBA,1878.0,35.0,176.0,SG,869.0,2006-07,53.0,CHA,73.0,207.0,0.517,Matt Carroll
147.0,0.422,348.0,105.0,0.436,241.0,27.0,73.0,19.0,193.0,252.0,0.428,589.0,111.0,0.804,138.0,80.0,18.0,NBA,2016.0,33.0,187.0,SG,720.0,2007-08,46.0,CHA,58.0,226.0,0.517,Matt Carroll
52.0,0.441,118.0,13.0,0.245,53.0,28.0,27.0,6.0,62.0,65.0,0.38,171.0,21.0,0.84,25.0,55.0,10.0,NBA,616.0,7.0,67.0,SG,164.0,2008-09,21.0,TOT,33.0,69.0,0.418,Matt Carroll
44.0,0.473,93.0,12.0,0.267,45.0,28.0,24.0,5.0,50.0,56.0,0.406,138.0,15.0,0.789,19.0,34.0,10.0,NBA,475.0,5.0,53.0,SG,139.0,2008-09,18.0,CHA,26.0,55.0,0.449,Matt Carroll
8.0,0.32,25.0,1.0,0.125,8.0,28.0,3.0,1.0,12.0,9.0,0.273,33.0,6.0,1.0,6.0,21.0,0.0,NBA,141.0,2.0,14.0,SG,25.0,2008-09,3.0,DAL,7.0,14.0,0.288,Matt Carroll
14.0,0.452,31.0,4.0,0.211,19.0,29.0,6.0,0.0,8.0,18.0,0.36,50.0,6.0,1.0,6.0,25.0,0.0,NBA,121.0,4.0,13.0,SG,46.0,2009-10,5.0,DAL,7.0,12.0,0.4,Matt Carroll
72.0,0.471,153.0,17.0,0.37,46.0,30.0,23.0,6.0,56.0,89.0,0.447,199.0,40.0,0.769,52.0,54.0,1.0,NBA,582.0,12.0,43.0,SG,235.0,2010-11,17.0,CHA,23.0,68.0,0.49,Matt Carroll
44.0,0.386,114.0,8.0,0.186,43.0,31.0,38.0,7.0,50.0,52.0,0.331,157.0,30.0,0.789,38.0,53.0,2.0,NBA,596.0,8.0,52.0,SG,142.0,2011-12,16.0,CHA,24.0,58.0,0.357,Matt Carroll
0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,NBA,6.0,0.0,1.0,SG,0.0,2012-13,0.0,CHA,0.0,0.0,0.0,Matt Carroll
1.0,0.143,7.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.143,7.0,1.0,0.5,2.0,2.0,0.0,NBA,13.0,0.0,0.0,SG,3.0,2003-04,2.0,SAS,1.0,0.0,0.143,Alex Garcia
13.0,0.382,34.0,5.0,0.278,18.0,24.0,18.0,1.0,8.0,18.0,0.346,52.0,3.0,0.75,4.0,8.0,3.0,NBA,146.0,7.0,15.0,SG,44.0,2004-05,4.0,NOH,8.0,15.0,0.394,Alex Garcia
6.0,0.188,32.0,20.0,0.308,65.0,26.0,33.0,3.0,16.0,26.0,0.268,97.0,3.0,0.6,5.0,43.0,0.0,NBA,236.0,2.0,20.0,PG,75.0,1996-97,3.0,MIN,17.0,18.0,0.371,Shane Heal
3.0,0.5,6.0,4.0,0.222,18.0,33.0,5.0,0.0,3.0,7.0,0.292,24.0,4.0,0.8,5.0,6.0,0.0,NBA,72.0,1.0,2.0,PG,22.0,2003-04,1.0,SAS,5.0,4.0,0.375,Shane Heal
