# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
86.0,0.0,0.356,0.246,0.168,0.999,0.228,0.001,0.0,0.09,0.65,0.308,0.343,0.694,0.447,0.358,0.0,0.0,0.0,22.0,0.0,7.9,0.447,73.0,NBA,2600.0,PF,2004-05,CHA,Emeka Okafor
27.0,0.0,0.392,0.212,0.133,1.0,0.263,0.0,0.0,0.089,0.621,0.299,0.143,0.664,0.415,0.337,0.0,0.0,0.0,23.0,0.0,7.1,0.415,26.0,NBA,874.0,PF,2005-06,CHA,Emeka Okafor
108.0,0.0,0.526,0.141,0.038,1.0,0.296,0.0,0.0,0.157,0.663,0.337,0.357,0.673,0.532,0.416,0.0,0.0,0.0,24.0,0.0,4.6,0.532,67.0,NBA,2329.0,C,2006-07,CHA,Emeka Okafor
123.0,0.0,0.502,0.141,0.014,1.0,0.343,0.0,0.0,0.162,0.671,0.298,0.667,0.711,0.535,0.427,0.0,0.0,0.0,25.0,0.0,4.4,0.535,82.0,NBA,2718.0,C,2007-08,CHA,Emeka Okafor
135.0,0.0,0.605,0.13,0.027,1.0,0.238,0.0,0.0,0.192,0.685,0.38,0.286,0.737,0.561,0.375,0.0,0.0,0.0,26.0,0.0,3.8,0.561,82.0,NBA,2691.0,C,2008-09,CHA,Emeka Okafor
85.0,0.0,0.57,0.137,0.021,1.0,0.271,0.0,0.0,0.145,0.652,0.356,0.286,0.675,0.53,0.382,0.0,0.0,0.0,27.0,0.0,4.2,0.53,82.0,NBA,2370.0,C,2009-10,NOH,Emeka Okafor
84.0,0.0,0.573,0.05,0.004,0.998,0.372,0.002,0.0,0.181,0.71,0.308,0.5,0.697,0.574,0.4,0.0,0.0,0.0,28.0,0.0,3.7,0.573,72.0,NBA,2287.0,C,2010-11,NOH,Emeka Okafor
11.0,0.0,0.224,0.313,0.033,1.0,0.43,0.0,0.0,0.056,0.75,0.448,0.429,0.684,0.533,0.489,0.0,0.0,0.0,29.0,0.0,7.7,0.533,27.0,NBA,781.0,C,2011-12,NOH,Emeka Okafor
54.0,0.0,0.282,0.247,0.116,1.0,0.354,0.0,0.0,0.082,0.691,0.371,0.338,0.68,0.477,0.428,0.0,0.0,0.0,30.0,0.0,8.0,0.477,79.0,NBA,2052.0,C,2012-13,WAS,Emeka Okafor
16.0,0.0,0.474,0.179,0.084,1.0,0.263,0.0,0.0,0.189,0.644,0.471,0.375,0.792,0.505,0.32,0.0,0.0,0.0,35.0,0.0,5.4,0.505,26.0,NBA,353.0,C,2017-18,NOP,Emeka Okafor
3.0,0.0,0.469,0.198,0.148,0.901,0.086,0.099,0.125,0.037,0.605,0.313,0.417,0.455,0.452,0.0,1.0,0.375,1.0,24.0,1.0,8.9,0.444,31.0,NBA,328.0,SG,2004-05,CHA,Bernard Robinson
15.0,0.0,0.551,0.151,0.137,0.942,0.104,0.058,0.19,0.044,0.542,0.364,0.3,0.49,0.451,0.289,1.0,0.095,0.5,25.0,1.0,7.0,0.43,66.0,NBA,1303.0,SF,2005-06,CHA,Bernard Robinson
1.0,0.0,0.516,0.129,0.242,0.968,0.081,0.032,0.0,0.016,0.469,0.25,0.133,0.526,0.317,0.0,0.0,0.0,0.0,26.0,0.0,8.0,0.306,31.0,NBA,278.0,"SF,SG",2006-07,TOT,Bernard Robinson
1.0,0.0,0.519,0.111,0.278,0.963,0.056,0.037,0.0,0.019,0.464,0.167,0.133,0.563,0.308,0.0,0.0,0.0,0.0,26.0,0.0,8.4,0.296,21.0,NBA,241.0,SG,2006-07,CHA,Bernard Robinson
0.0,0.0,0.5,0.25,0.0,1.0,0.25,0.0,0.0,0.0,0.5,0.5,0.0,0.333,0.375,0.0,0.0,0.0,0.0,26.0,0.0,5.2,0.375,10.0,NBA,37.0,SF,2006-07,NJN,Bernard Robinson
