# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,13.9,0.0,5.0,NBA,19.0,PG,2004-05,TOT,Maurice Baker
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,NBA,1.0,PG,2004-05,LAC,Maurice Baker
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,13.9,0.0,4.0,NBA,18.0,PG,2004-05,POR,Maurice Baker
0.0,0.0,0.272,0.024,0.224,0.608,0.088,0.392,0.122,0.016,0.353,0.0,0.5,0.233,0.395,0.364,0.75,0.245,0.0,24.0,2.0,16.1,0.336,36.0,NBA,433.0,PG,2004-05,LAC,Lionel Chalmers
4.0,0.0,0.312,0.274,0.228,0.991,0.177,0.009,0.0,0.023,0.478,0.373,0.449,0.494,0.418,0.342,0.0,0.0,0.0,19.0,0.0,9.5,0.414,30.0,NBA,814.0,PG,2004-05,LAC,Shaun Livingston
8.0,0.0,0.295,0.232,0.278,0.977,0.172,0.023,0.375,0.026,0.515,0.469,0.33,0.405,0.434,0.417,1.0,0.125,0.333,20.0,0.0,10.2,0.427,61.0,NBA,1525.0,PG,2005-06,LAC,Shaun Livingston
16.0,0.0,0.241,0.334,0.225,0.964,0.165,0.036,0.125,0.038,0.611,0.46,0.376,0.399,0.469,0.405,0.2,0.313,0.5,21.0,3.0,10.9,0.463,54.0,NBA,1611.0,PG,2006-07,LAC,Shaun Livingston
2.0,0.0,0.217,0.45,0.183,1.0,0.15,0.0,0.0,0.033,0.692,0.556,0.455,0.355,0.517,0.222,0.0,0.0,0.0,23.0,0.0,10.4,0.517,12.0,NBA,231.0,PG,2008-09,TOT,Shaun Livingston
0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.375,0.0,0.0,0.0,0.0,23.0,0.0,14.3,0.375,4.0,NBA,41.0,PG,2008-09,MIA,Shaun Livingston
2.0,0.0,0.25,0.442,0.135,1.0,0.173,0.0,0.0,0.038,0.692,0.609,0.429,0.393,0.538,0.222,0.0,0.0,0.0,23.0,0.0,9.8,0.538,8.0,NBA,190.0,PG,2008-09,OKC,Shaun Livingston
7.0,0.0,0.204,0.328,0.294,0.97,0.144,0.03,0.333,0.035,0.683,0.485,0.492,0.433,0.533,0.517,0.0,0.0,0.0,24.0,1.0,11.7,0.517,36.0,NBA,796.0,PG,2009-10,TOT,Shaun Livingston
0.0,0.0,0.25,0.313,0.188,0.875,0.125,0.125,1.0,0.0,0.25,0.6,0.0,0.6,0.357,0.5,0.0,0.0,0.0,24.0,0.0,11.1,0.313,10.0,NBA,130.0,PG,2009-10,OKC,Shaun Livingston
