SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
2004-05,25.0,LAL,NBA,SG,2.0,12.0,0.4,0.447,0.33299999999999996,0.47,0.5,0.35600000000000004,0.5,0.48200000000000004,0.0,0.7559999999999999,0.5,0.529,0.0,0.324,0.4,0.196,89.0,71.0,141.0,104.0,0.0,94.0,0.0,204.0,0.2,-0.3,Tony Bobbitt
2004-05,20.0,LAL,NBA,SG,35.0,403.0,0.282,0.447,0.29600000000000004,0.47,0.27,0.35600000000000004,0.355,0.48200000000000004,0.9470000000000001,0.7559999999999999,0.40299999999999997,0.529,0.162,0.324,0.5379999999999999,0.196,63.0,63.0,76.0,74.0,125.0,76.0,50.0,275.0,-29.9,-31.7,Sasha Vujačić
2005-06,21.0,LAL,NBA,PG,82.0,1449.0,0.34600000000000003,0.45399999999999996,0.35,0.478,0.34299999999999997,0.358,0.441,0.49,0.885,0.745,0.479,0.536,0.16699999999999998,0.33299999999999996,0.551,0.20199999999999999,76.0,73.0,96.0,90.0,119.0,89.0,50.0,272.0,-30.7,-37.7,Sasha Vujačić
2006-07,22.0,LAL,NBA,SG,73.0,935.0,0.392,0.45799999999999996,0.42100000000000004,0.485,0.373,0.358,0.504,0.496,0.878,0.752,0.54,0.541,0.183,0.327,0.601,0.213,85.0,87.0,104.0,101.0,117.0,100.0,56.0,283.0,4.0,-0.6,Sasha Vujačić
2007-08,23.0,LAL,NBA,SG,72.0,1279.0,0.45399999999999996,0.457,0.47600000000000003,0.484,0.43700000000000006,0.36200000000000004,0.5770000000000001,0.49700000000000005,0.835,0.755,0.605,0.54,0.18899999999999997,0.306,0.56,0.222,99.0,98.0,121.0,116.0,111.0,112.0,62.0,252.0,76.5,67.9,Sasha Vujačić
2008-09,24.0,LAL,NBA,SG,80.0,1293.0,0.387,0.45899999999999996,0.41600000000000004,0.485,0.363,0.36700000000000005,0.488,0.5,0.9209999999999999,0.7709999999999999,0.531,0.544,0.19,0.306,0.556,0.22399999999999998,84.0,86.0,99.0,98.0,120.0,97.0,62.0,248.0,-9.8,-12.0,Sasha Vujačić
2009-10,25.0,LAL,NBA,SG,67.0,575.0,0.402,0.461,0.494,0.49200000000000005,0.309,0.355,0.479,0.501,0.848,0.759,0.518,0.5429999999999999,0.201,0.3,0.494,0.222,87.0,100.0,87.0,96.0,112.0,95.0,67.0,222.0,-7.2,-8.9,Sasha Vujačić
2010-11,26.0,TOT,NBA,SG,67.0,1648.0,0.402,0.45899999999999996,0.426,0.48700000000000004,0.37,0.358,0.483,0.498,0.8440000000000001,0.763,0.515,0.541,0.161,0.3,0.44,0.222,88.0,88.0,103.0,97.0,111.0,95.0,54.0,199.0,-18.0,-34.0,Sasha Vujačić
2010-11,26.0,LAL,NBA,SG,11.0,54.0,0.348,0.45899999999999996,0.313,0.48700000000000004,0.429,0.358,0.413,0.498,0.5,0.763,0.419,0.541,0.087,0.3,0.304,0.222,76.0,64.0,120.0,83.0,65.0,77.0,29.0,137.0,-3.9,-5.9,Sasha Vujačić
2010-11,26.0,NJN,NBA,SG,56.0,1594.0,0.40399999999999997,0.45899999999999996,0.43200000000000005,0.48700000000000004,0.369,0.358,0.486,0.498,0.851,0.763,0.518,0.541,0.16399999999999998,0.3,0.446,0.222,88.0,89.0,103.0,98.0,111.0,96.0,55.0,201.0,-14.1,-28.2,Sasha Vujačić
2013-14,29.0,LAC,NBA,SG,2.0,10.0,0.4,0.45399999999999996,0.33299999999999996,0.488,0.5,0.36,0.5,0.501,0.0,0.7559999999999999,0.5,0.541,0.0,0.284,0.4,0.259,88.0,68.0,139.0,100.0,0.0,92.0,0.0,154.0,0.0,-0.4,Sasha Vujačić
2015-16,31.0,NYK,NBA,SG,61.0,908.0,0.38299999999999995,0.452,0.40299999999999997,0.491,0.364,0.354,0.47700000000000004,0.502,0.821,0.757,0.503,0.541,0.141,0.276,0.516,0.285,85.0,82.0,103.0,95.0,108.0,93.0,51.0,181.0,-14.4,-22.4,Sasha Vujačić
2016-17,32.0,NYK,NBA,SG,42.0,408.0,0.309,0.457,0.306,0.503,0.311,0.358,0.39299999999999996,0.514,0.708,0.772,0.423,0.552,0.17600000000000002,0.271,0.544,0.316,68.0,61.0,87.0,77.0,92.0,77.0,65.0,172.0,-32.7,-37.9,Sasha Vujačić
