2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,eFG%,PLAYER
1.0,0.333,3.0,1.0,0.5,2.0,25.0,0.0,0.0,3.0,2.0,0.4,5.0,0.0,0.0,0.0,2.0,0.0,NBA,12.0,0.0,1.0,SG,5.0,2004-05,0.0,LAL,0.0,3.0,0.5,Tony Bobbitt
16.0,0.296,54.0,17.0,0.27,63.0,20.0,51.0,2.0,49.0,33.0,0.282,117.0,18.0,0.947,19.0,35.0,3.0,NBA,403.0,13.0,41.0,SG,101.0,2004-05,12.0,LAL,15.0,62.0,0.355,Sasha Vujačić
49.0,0.35,140.0,59.0,0.343,172.0,21.0,139.0,3.0,126.0,108.0,0.346,312.0,46.0,0.885,52.0,82.0,4.0,NBA,1449.0,33.0,150.0,PG,321.0,2005-06,48.0,LAL,50.0,159.0,0.441,Sasha Vujačić
45.0,0.421,107.0,60.0,0.373,161.0,22.0,64.0,1.0,79.0,105.0,0.392,268.0,43.0,0.878,49.0,73.0,4.0,NBA,935.0,28.0,103.0,SG,313.0,2006-07,41.0,LAL,30.0,107.0,0.504,Sasha Vujačić
101.0,0.476,212.0,118.0,0.437,270.0,23.0,72.0,5.0,135.0,219.0,0.454,482.0,76.0,0.835,91.0,72.0,0.0,NBA,1279.0,19.0,107.0,SG,632.0,2007-08,36.0,LAL,52.0,154.0,0.577,Sasha Vujačić
74.0,0.416,178.0,81.0,0.363,223.0,24.0,113.0,7.0,116.0,155.0,0.387,401.0,70.0,0.921,76.0,80.0,0.0,NBA,1293.0,19.0,154.0,SG,461.0,2008-09,77.0,LAL,35.0,135.0,0.488,Sasha Vujačić
41.0,0.494,83.0,25.0,0.309,81.0,25.0,41.0,4.0,54.0,66.0,0.402,164.0,28.0,0.848,33.0,67.0,1.0,NBA,575.0,25.0,67.0,SG,185.0,2009-10,20.0,LAL,17.0,79.0,0.479,Sasha Vujačić
142.0,0.426,333.0,97.0,0.37,262.0,26.0,132.0,5.0,156.0,239.0,0.402,595.0,81.0,0.844,96.0,67.0,17.0,NBA,1648.0,30.0,136.0,SG,656.0,2010-11,54.0,TOT,66.0,186.0,0.483,Sasha Vujačić
5.0,0.313,16.0,3.0,0.429,7.0,26.0,5.0,0.0,3.0,8.0,0.348,23.0,1.0,0.5,2.0,11.0,0.0,NBA,54.0,1.0,7.0,SG,20.0,2010-11,1.0,LAL,5.0,4.0,0.413,Sasha Vujačić
137.0,0.432,317.0,94.0,0.369,255.0,26.0,127.0,5.0,153.0,231.0,0.404,572.0,80.0,0.851,94.0,56.0,17.0,NBA,1594.0,29.0,129.0,SG,636.0,2010-11,53.0,NJN,61.0,182.0,0.486,Sasha Vujačić
1.0,0.333,3.0,1.0,0.5,2.0,29.0,0.0,0.0,3.0,2.0,0.4,5.0,0.0,0.0,0.0,2.0,0.0,NBA,10.0,0.0,1.0,SG,5.0,2013-14,1.0,LAC,3.0,3.0,0.5,Sasha Vujačić
54.0,0.403,134.0,52.0,0.364,143.0,31.0,84.0,5.0,123.0,106.0,0.383,277.0,32.0,0.821,39.0,61.0,25.0,NBA,908.0,26.0,83.0,SG,296.0,2015-16,34.0,NYK,44.0,149.0,0.477,Sasha Vujačić
19.0,0.306,62.0,23.0,0.311,74.0,32.0,52.0,2.0,47.0,42.0,0.309,136.0,17.0,0.708,24.0,42.0,4.0,NBA,408.0,12.0,38.0,SG,124.0,2016-17,13.0,NYK,16.0,59.0,0.393,Sasha Vujačić
