SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
2004-05,22.0,SAS,NBA,PG,80.0,1149.0,0.444,0.447,0.46399999999999997,0.47,0.408,0.35600000000000004,0.518,0.48200000000000004,0.753,0.7559999999999999,0.5489999999999999,0.529,0.228,0.324,0.364,0.196,99.0,99.0,115.0,107.0,100.0,104.0,70.0,186.0,27.8,16.6,Beno Udrih
2005-06,23.0,SAS,NBA,PG,54.0,586.0,0.455,0.45399999999999996,0.503,0.478,0.34299999999999997,0.358,0.506,0.49,0.78,0.745,0.539,0.536,0.215,0.33299999999999996,0.3,0.20199999999999999,100.0,105.0,96.0,103.0,105.0,101.0,64.0,148.0,7.7,1.8,Beno Udrih
2006-07,24.0,SAS,NBA,PG,73.0,948.0,0.369,0.45799999999999996,0.41,0.485,0.287,0.358,0.41700000000000004,0.496,0.883,0.752,0.45899999999999996,0.541,0.174,0.327,0.33399999999999996,0.213,81.0,85.0,80.0,84.0,117.0,85.0,53.0,157.0,-54.5,-61.1,Beno Udrih
2007-08,25.0,SAC,NBA,PG,65.0,2080.0,0.46299999999999997,0.457,0.48200000000000004,0.484,0.387,0.36200000000000004,0.501,0.49700000000000005,0.85,0.755,0.54,0.54,0.20800000000000002,0.306,0.19399999999999998,0.222,101.0,99.0,107.0,101.0,113.0,100.0,68.0,87.0,4.7,-0.9,Beno Udrih
2008-09,26.0,SAC,NBA,PG,73.0,2270.0,0.461,0.45899999999999996,0.491,0.485,0.31,0.36700000000000005,0.486,0.5,0.82,0.7709999999999999,0.525,0.544,0.21600000000000003,0.306,0.162,0.22399999999999998,101.0,101.0,84.0,97.0,106.0,96.0,70.0,72.0,-18.7,-29.6,Beno Udrih
2009-10,27.0,SAC,NBA,PG,79.0,2477.0,0.493,0.461,0.53,0.49200000000000005,0.377,0.355,0.5379999999999999,0.501,0.8370000000000001,0.759,0.5660000000000001,0.5429999999999999,0.168,0.3,0.237,0.222,107.0,108.0,106.0,107.0,110.0,104.0,56.0,107.0,62.8,42.4,Beno Udrih
2010-11,28.0,SAC,NBA,PG,79.0,2734.0,0.5,0.45899999999999996,0.54,0.48700000000000004,0.35700000000000004,0.358,0.539,0.498,0.8640000000000001,0.763,0.5870000000000001,0.541,0.27699999999999997,0.3,0.221,0.222,109.0,111.0,100.0,108.0,113.0,109.0,92.0,100.0,67.7,85.1,Beno Udrih
2011-12,29.0,MIL,NBA,SG,59.0,1080.0,0.44,0.44799999999999995,0.473,0.47700000000000004,0.28800000000000003,0.349,0.465,0.48700000000000004,0.7090000000000001,0.752,0.488,0.527,0.166,0.276,0.17800000000000002,0.226,98.0,99.0,83.0,95.0,94.0,93.0,60.0,79.0,-14.6,-27.5,Beno Udrih
2012-13,30.0,TOT,NBA,"PG,SG",66.0,1457.0,0.441,0.45299999999999996,0.47100000000000003,0.483,0.33299999999999996,0.359,0.47700000000000004,0.496,0.816,0.753,0.516,0.535,0.21600000000000003,0.27,0.214,0.243,97.0,97.0,93.0,96.0,108.0,97.0,80.0,88.0,-18.6,-19.4,Beno Udrih
2012-13,30.0,MIL,NBA,SG,39.0,719.0,0.475,0.45299999999999996,0.529,0.483,0.265,0.359,0.502,0.496,0.727,0.753,0.521,0.535,0.139,0.27,0.20600000000000002,0.243,105.0,110.0,74.0,101.0,97.0,97.0,51.0,85.0,2.7,-7.0,Beno Udrih
