SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
2006-07,24.0,TOT,NBA,"PG,SG",7.0,0.0,52.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,3.0,4.0,7.0,9.1,0.0,0.0,2.0,7.0,0.0,72.0,114.0,Will Conroy
2006-07,24.0,MEM,NBA,SG,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,3.0,0.0,215.0,119.0,Will Conroy
2006-07,24.0,LAC,NBA,PG,4.0,0.0,35.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,6.0,0.0,3.0,4.5,7.6,12.1,0.0,0.0,3.0,9.1,0.0,62.0,112.0,Will Conroy
2009-10,27.0,HOU,NBA,PG,5.0,0.0,36.0,4.3,14.2,0.3,0.0,4.3,0.0,4.3,9.9,0.429,0.0,2.8,0.0,0.0,4.3,4.3,9.9,0.0,0.0,5.7,7.1,8.5,63.0,113.0,Will Conroy
2012-13,30.0,MIN,NBA,PG,4.0,0.0,20.0,0.0,23.3,0.0,0.0,7.8,0.0,0.0,15.5,0.0,2.6,5.2,0.5,2.6,0.0,2.6,0.0,0.0,0.0,0.0,2.6,2.6,21.0,115.0,Will Conroy
2006-07,20.0,MEM,NBA,SF,78.0,43.0,2103.0,7.8,18.5,0.422,1.3,3.5,0.364,6.6,15.0,0.436,3.7,5.1,0.727,2.3,6.2,8.5,2.4,1.7,1.8,3.4,4.7,20.6,96.0,111.0,Rudy Gay
2007-08,21.0,MEM,NBA,SF,81.0,81.0,3000.0,10.5,22.7,0.461,2.2,6.5,0.346,8.2,16.2,0.507,4.2,5.3,0.785,2.4,6.0,8.4,2.7,1.9,1.3,3.2,3.9,27.4,106.0,110.0,Rudy Gay
2008-09,22.0,MEM,NBA,SF,79.0,78.0,2945.0,10.3,22.8,0.453,1.5,4.4,0.351,8.8,18.4,0.477,4.8,6.2,0.767,2.0,5.9,7.9,2.4,1.8,1.1,3.7,4.0,27.0,101.0,110.0,Rudy Gay
2009-10,23.0,MEM,NBA,SF,80.0,80.0,3175.0,9.7,20.8,0.466,1.1,3.3,0.327,8.6,17.5,0.492,4.9,6.5,0.753,1.9,5.8,7.6,2.5,1.9,1.0,2.7,3.2,25.3,109.0,110.0,Rudy Gay
2010-11,24.0,MEM,NBA,SF,54.0,54.0,2152.0,9.9,21.1,0.471,1.4,3.5,0.396,8.5,17.6,0.486,4.7,5.8,0.805,2.0,6.2,8.2,3.7,2.2,1.4,3.3,3.2,25.9,108.0,105.0,Rudy Gay
