SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
2007-08,23.0,HOU,NBA,PG,51.0,608.0,0.413,0.457,0.491,0.484,0.33,0.362,0.493,0.497,0.857,0.755,0.535,0.54,0.218,0.306,0.484,0.222,90.0,101.0,91.0,99.0,113.0,99.0,71.0,218.0,-1.8,-2.4,Aaron Brooks
2008-09,24.0,HOU,NBA,PG,80.0,1998.0,0.404,0.459,0.428,0.485,0.366,0.367,0.476,0.5,0.866,0.771,0.521,0.544,0.22,0.306,0.395,0.224,88.0,88.0,100.0,95.0,112.0,96.0,72.0,176.0,-37.7,-40.9,Aaron Brooks
2009-10,25.0,HOU,NBA,PG,82.0,2919.0,0.432,0.461,0.454,0.492,0.398,0.355,0.511,0.501,0.822,0.759,0.549,0.543,0.224,0.3,0.394,0.222,94.0,92.0,112.0,102.0,108.0,101.0,75.0,178.0,26.1,16.3,Aaron Brooks
2010-11,26.0,TOT,NBA,PG,59.0,1284.0,0.375,0.459,0.427,0.487,0.297,0.358,0.434,0.498,0.886,0.763,0.489,0.541,0.239,0.3,0.402,0.222,82.0,88.0,83.0,87.0,116.0,90.0,80.0,181.0,-75.1,-68.3,Aaron Brooks
2010-11,26.0,HOU,NBA,PG,34.0,811.0,0.346,0.459,0.394,0.487,0.284,0.358,0.408,0.498,0.94,0.763,0.465,0.541,0.214,0.3,0.437,0.222,76.0,81.0,79.0,82.0,123.0,86.0,71.0,197.0,-69.7,-64.6,Aaron Brooks
2010-11,26.0,PHO,NBA,PG,25.0,473.0,0.43,0.459,0.481,0.487,0.328,0.358,0.485,0.498,0.807,0.763,0.533,0.541,0.285,0.3,0.335,0.222,94.0,99.0,92.0,97.0,106.0,98.0,95.0,151.0,-5.3,-3.7,Aaron Brooks
2012-13,28.0,TOT,NBA,PG,53.0,997.0,0.453,0.453,0.511,0.483,0.373,0.359,0.532,0.496,0.769,0.753,0.555,0.535,0.165,0.27,0.424,0.243,100.0,106.0,104.0,107.0,102.0,104.0,61.0,174.0,22.3,13.7,Aaron Brooks
2012-13,28.0,SAC,NBA,PG,46.0,959.0,0.459,0.453,0.517,0.483,0.378,0.359,0.538,0.496,0.769,0.753,0.562,0.535,0.172,0.27,0.419,0.243,101.0,107.0,105.0,108.0,102.0,105.0,63.0,172.0,25.2,17.6,Aaron Brooks
2012-13,28.0,HOU,NBA,PG,7.0,38.0,0.308,0.453,0.333,0.483,0.286,0.359,0.385,0.496,0.0,0.753,0.385,0.535,0.0,0.27,0.538,0.243,68.0,69.0,80.0,77.0,0.0,72.0,0.0,221.0,-2.9,-3.9,Aaron Brooks
2013-14,29.0,TOT,NBA,PG,72.0,1557.0,0.401,0.454,0.411,0.488,0.387,0.36,0.484,0.501,0.874,0.756,0.518,0.541,0.164,0.284,0.427,0.259,88.0,84.0,108.0,97.0,116.0,96.0,58.0,165.0,-20.3,-28.7,Aaron Brooks
