DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2008-01-24,25-329,IND,AWAY,MIL,L (-12),1,40:03,4,12,.333,2,7,.286,5,5,1.000,1,0,1,9,1,0,1,1,15,14.8,-8,Travis Diener
2008-01-26,25-331,IND,AWAY,MIA,L (-2),1,22:16,3,8,.375,2,4,.500,0,0,,0,1,1,3,2,0,2,1,8,5.6,-8,Travis Diener
2008-01-29,25-334,IND,HOME,DET,L (-6),1,36:59,6,10,.600,3,6,.500,3,4,.750,0,3,3,3,2,0,2,5,18,14.0,-4,Travis Diener
2008-02-01,25-337,IND,HOME,HOU,L (-3),1,26:47,3,9,.333,2,4,.500,1,1,1.000,0,2,2,3,2,0,1,1,9,7.2,0,Travis Diener
2008-02-02,25-338,IND,HOME,ORL,L (-6),1,27:11,2,6,.333,1,3,.333,0,0,,1,5,6,10,0,0,1,6,5,7.4,-11,Travis Diener
2008-02-05,25-341,IND,HOME,SAS,L (-27),1,29:33,5,11,.455,1,2,.500,3,4,.750,0,2,2,6,1,0,1,1,14,12.3,-17,Travis Diener
2008-02-06,25-342,IND,AWAY,NYK,W (+3),1,21:37,1,7,.143,0,3,.000,0,0,,0,1,1,4,0,0,0,0,2,0.6,-9,Travis Diener
2008-02-09,25-345,IND,HOME,POR,W (+8),1,38:43,4,13,.308,3,10,.300,4,6,.667,1,1,2,9,0,0,0,2,15,13.2,+6,Travis Diener
2008-02-12,25-348,IND,HOME,BOS,L (-7),1,25:26,2,8,.250,2,4,.500,0,0,,1,1,2,1,0,1,2,0,6,1.6,-11,Travis Diener
2008-02-20,25-356,IND,HOME,CLE,L (-9),1,29:07,1,7,.143,1,4,.250,0,0,,0,0,0,9,1,0,1,4,3,3.2,+14,Travis Diener
2008-02-22,25-358,IND,HOME,NJN,W (+10),1,43:04,7,10,.700,2,3,.667,3,4,.750,4,4,8,6,1,0,1,0,19,22.6,+14,Travis Diener
2008-02-23,25-359,IND,AWAY,NJN,L (-11),1,28:47,2,8,.250,0,3,.000,0,0,,0,2,2,3,0,0,1,1,4,0.5,-10,Travis Diener
2008-02-25,25-361,IND,HOME,TOR,L (-4),1,38:57,2,10,.200,2,4,.500,1,2,.500,0,4,4,5,0,1,0,2,7,5.0,-1,Travis Diener
2008-02-27,25-363,IND,HOME,CHI,L (-6),1,36:02,6,10,.600,0,4,.000,10,10,1.000,2,1,3,9,0,0,2,5,22,21.4,-6,Travis Diener
2008-02-29,25-365,IND,AWAY,TOR,W (+11),1,42:00,5,14,.357,0,4,.000,0,0,,1,1,2,10,0,0,1,2,10,8.4,+20,Travis Diener
2008-03-02,26-001,IND,HOME,MIL,W (+22),1,31:43,5,10,.500,2,3,.667,3,3,1.000,0,0,0,6,4,0,1,1,15,16.8,+13,Travis Diener
2008-03-05,26-004,IND,AWAY,HOU,L (-18),1,26:14,4,6,.667,3,4,.750,0,0,,0,2,2,4,0,0,2,2,11,9.0,-8,Travis Diener
2008-03-06,26-005,IND,AWAY,SAS,L (-11),1,29:02,5,10,.500,1,3,.333,0,0,,0,2,2,3,0,0,1,3,11,6.5,-5,Travis Diener
2008-03-08,26-007,IND,AWAY,CLE,L (-8),1,27:02,2,10,.200,2,6,.333,0,0,,0,2,2,7,0,0,2,3,6,2.1,-9,Travis Diener
2008-03-11,26-010,IND,HOME,SEA,W (+7),1,33:56,4,12,.333,1,6,.167,2,2,1.000,1,2,3,9,1,0,0,3,11,11.6,+9,Travis Diener
2008-03-14,26-013,IND,AWAY,DAL,L (-19),1,20:56,0,9,.000,0,4,.000,0,0,,1,0,1,2,0,0,1,1,0,-5.6,-11,Travis Diener
2007-10-31,24-050,IND,HOME,WAS,W (+9),1,22:37,5,11,.455,0,0,,3,3,1.000,1,2,3,0,0,0,2,4,13,5.0,-12,Ike Diogu
2007-10-31,24-194,IND,HOME,WAS,W (+9),1,36:01,7,17,.412,5,9,.556,1,2,.500,3,10,13,1,2,2,5,5,20,12.7,+2,Danny Granger
2007-11-02,24-196,IND,HOME,MIA,W (+2),1,33:55,10,13,.769,4,6,.667,1,2,.500,0,9,9,0,1,2,1,1,25,23.2,+12,Danny Granger
2007-11-03,24-197,IND,AWAY,MEM,W (+10),1,33:52,6,16,.375,1,5,.200,10,11,.909,1,3,4,1,2,0,1,4,23,15.5,+6,Danny Granger
2007-11-07,24-201,IND,HOME,LAC,L (-15),1,35:58,6,17,.353,0,3,.000,4,6,.667,3,1,4,4,1,2,5,4,16,6.7,-17,Danny Granger
2007-11-09,24-203,IND,AWAY,CHA,L (-9),1,36:59,6,15,.400,0,4,.000,3,6,.500,1,4,5,3,0,1,2,3,15,7.2,-11,Danny Granger
2007-11-10,24-204,IND,HOME,DEN,L (-7),1,31:45,6,18,.333,0,6,.000,1,1,1.000,2,2,4,2,0,0,1,6,13,2.8,-21,Danny Granger
2007-11-13,24-207,IND,HOME,BOS,L (-15),1,34:06,8,10,.800,5,5,1.000,3,4,.750,1,6,7,0,0,1,5,5,24,16.0,-1,Danny Granger
