SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PLAYER
2008-09,20.0,CHA,NBA,PF,31.0,182.0,7.0,0.43,0.029,0.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,-0.3,0.3,-0.1,-0.018,-7.6,0.1,-7.5,-0.3,Alexis Ajinça
2009-10,21.0,CHA,NBA,C,6.0,30.0,6.3,0.479,0.0,0.1,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,-0.1,0.0,0.0,-0.013,-6.3,1.0,-5.3,0.0,Alexis Ajinça
2010-11,22.0,TOT,NBA,C,34.0,340.0,12.2,0.507,0.256,0.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,0.0,0.4,0.4,0.052,-3.8,0.0,-3.8,-0.2,Alexis Ajinça
2010-11,22.0,DAL,NBA,C,10.0,75.0,12.8,0.435,0.219,0.094,8.1,18.0,13.3,4.3,2.1,5.1,2.9,21.4,0.0,0.1,0.1,0.084,-3.4,0.5,-2.9,0.0,Alexis Ajinça
2010-11,22.0,TOR,NBA,C,24.0,265.0,12.0,0.53,0.267,0.149,5.2,22.5,13.6,4.9,1.6,4.0,13.6,21.1,0.0,0.2,0.2,0.042,-3.8,-0.2,-4.1,-0.1,Alexis Ajinça
2013-14,25.0,NOP,NBA,C,56.0,951.0,14.6,0.589,0.004,0.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,1.2,0.9,2.1,0.104,-2.7,0.1,-2.6,-0.1,Alexis Ajinça
2014-15,26.0,NOP,NBA,C,68.0,957.0,19.9,0.595,0.0,0.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,1.9,1.2,3.2,0.159,-0.7,0.4,-0.3,0.4,Alexis Ajinça
2015-16,27.0,NOP,NBA,C,59.0,861.0,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,0.2,0.9,1.0,0.058,-3.4,-0.6,-4.0,-0.4,Alexis Ajinça
2016-17,28.0,NOP,NBA,C,39.0,584.0,12.9,0.529,0.022,0.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.9,1.0,0.08,-4.0,0.7,-3.3,-0.2,Alexis Ajinça
2008-09,21.0,CHA,NBA,PG,72.0,1908.0,14.9,0.587,0.396,0.375,1.1,7.5,4.3,22.6,1.2,0.1,14.1,20.8,3.6,1.5,5.1,0.128,1.4,-0.5,0.9,1.4,D.J. Augustin
2009-10,22.0,CHA,NBA,PG,80.0,1472.0,11.2,0.516,0.409,0.301,0.9,6.9,4.0,21.7,1.6,0.3,13.1,17.9,1.1,1.7,2.8,0.092,-1.5,0.3,-1.1,0.3,D.J. Augustin
2010-11,23.0,CHA,NBA,PG,82.0,2757.0,15.9,0.541,0.348,0.31,1.7,8.3,4.9,31.1,1.0,0.1,12.5,21.2,4.9,1.3,6.2,0.108,1.7,-1.6,0.1,1.5,D.J. Augustin
2011-12,24.0,CHA,NBA,PG,48.0,1408.0,14.1,0.493,0.368,0.246,1.9,7.2,4.4,38.9,1.3,0.1,16.9,21.3,0.7,-0.2,0.5,0.018,0.7,-3.2,-2.5,-0.2,D.J. Augustin
2012-13,25.0,IND,NBA,PG,76.0,1226.0,11.0,0.527,0.646,0.337,1.9,6.3,4.1,21.6,1.5,0.2,16.8,15.1,1.4,1.5,2.8,0.112,-0.7,0.1,-0.6,0.5,D.J. Augustin
2013-14,26.0,TOT,NBA,PG,71.0,1939.0,16.2,0.569,0.462,0.316,0.9,6.7,3.8,28.9,1.5,0.1,13.3,22.4,3.8,2.4,6.2,0.154,1.9,-0.4,1.4,1.7,D.J. Augustin
2013-14,26.0,TOR,NBA,PG,10.0,82.0,1.2,0.394,0.458,0.25,0.0,5.7,2.8,18.4,0.6,0.0,25.3,19.8,-0.2,0.0,-0.2,-0.112,-6.9,-2.2,-9.1,-0.1,D.J. Augustin
2013-14,26.0,CHI,NBA,PG,61.0,1857.0,16.8,0.574,0.463,0.318,0.9,6.7,3.9,29.3,1.5,0.1,12.8,22.5,4.0,2.4,6.4,0.166,2.2,-0.3,1.9,1.8,D.J. Augustin
2014-15,27.0,TOT,NBA,PG,82.0,1964.0,13.9,0.527,0.38,0.317,1.1,7.9,4.4,28.2,1.3,0.1,16.4,19.8,2.5,0.9,3.4,0.083,0.4,-1.6,-1.2,0.4,D.J. Augustin
2014-15,27.0,DET,NBA,PG,54.0,1287.0,15.8,0.536,0.325,0.367,1.1,7.6,4.2,33.2,1.3,0.1,17.0,22.2,2.0,0.6,2.5,0.094,1.2,-1.7,-0.5,0.5,D.J. Augustin
2014-15,27.0,OKC,NBA,PG,28.0,677.0,10.2,0.503,0.516,0.194,1.1,8.4,4.8,18.5,1.2,0.1,14.8,15.1,0.5,0.4,0.9,0.063,-1.0,-1.3,-2.3,-0.1,D.J. Augustin
2015-16,28.0,TOT,NBA,PG,62.0,1178.0,13.9,0.575,0.48,0.366,0.8,8.0,4.4,25.3,1.6,0.3,17.1,18.0,2.0,0.6,2.6,0.106,0.6,-1.1,-0.4,0.4,D.J. Augustin
2015-16,28.0,OKC,NBA,PG,34.0,519.0,8.7,0.522,0.504,0.281,1.1,7.6,4.5,16.7,1.2,0.3,18.1,13.6,0.4,0.3,0.7,0.065,-1.9,-0.4,-2.4,-0.1,D.J. Augustin
2015-16,28.0,DEN,NBA,PG,28.0,659.0,18.0,0.601,0.467,0.41,0.5,8.4,4.4,32.0,1.9,0.2,16.6,21.5,1.6,0.3,1.9,0.139,2.7,-1.6,1.1,0.5,D.J. Augustin
2016-17,29.0,ORL,NBA,PG,78.0,1538.0,11.0,0.524,0.53,0.311,1.0,7.4,4.1,20.4,1.0,0.1,13.3,19.4,0.7,0.5,1.2,0.038,-1.2,-1.8,-3.0,-0.4,D.J. Augustin
2017-18,30.0,ORL,NBA,PG,75.0,1760.0,15.4,0.615,0.504,0.35,1.9,8.2,5.0,24.4,1.5,0.0,16.5,18.6,3.3,0.8,4.1,0.11,1.0,-1.2,-0.2,0.8,D.J. Augustin
2018-19,31.0,ORL,NBA,PG,81.0,2269.0,15.7,0.616,0.459,0.309,1.9,7.8,4.8,26.9,1.1,0.1,14.3,17.2,5.0,1.9,6.9,0.146,1.1,-0.7,0.5,1.4,D.J. Augustin
2019-20,32.0,ORL,NBA,PG,57.0,1420.0,14.0,0.554,0.436,0.393,1.6,7.8,4.6,26.8,1.2,0.1,13.7,19.1,2.0,0.9,2.9,0.098,-0.3,-1.3,-1.6,0.2,D.J. Augustin
2020-21,33.0,TOT,NBA,PG,57.0,1129.0,12.1,0.57,0.633,0.274,1.9,7.0,4.4,22.2,1.2,0.1,14.5,16.8,1.5,0.5,2.1,0.088,-0.6,-1.5,-2.1,0.0,D.J. Augustin
2020-21,33.0,MIL,NBA,PG,37.0,713.0,10.2,0.542,0.672,0.208,1.7,5.5,3.7,18.6,1.3,0.1,14.0,14.3,0.8,0.4,1.2,0.08,-1.3,-0.9,-2.2,0.0,D.J. Augustin
2020-21,33.0,HOU,NBA,PG,20.0,416.0,15.5,0.604,0.583,0.358,2.2,9.4,5.6,28.3,0.9,0.0,15.1,21.0,0.8,0.1,0.9,0.103,0.6,-2.6,-2.0,0.0,D.J. Augustin
2021-22,34.0,TOT,NBA,PG,55.0,883.0,9.7,0.61,0.739,0.194,1.4,7.0,4.2,16.8,0.9,0.1,18.9,14.3,0.7,0.1,0.8,0.043,-1.2,-2.4,-3.6,-0.4,D.J. Augustin
2021-22,34.0,HOU,NBA,PG,34.0,510.0,9.7,0.596,0.706,0.279,1.5,7.4,4.4,20.5,0.9,0.0,22.8,16.4,0.2,0.0,0.2,0.017,-1.4,-2.9,-4.3,-0.3,D.J. Augustin
2021-22,34.0,LAL,NBA,PG,21.0,373.0,9.7,0.635,0.791,0.058,1.2,6.6,3.9,11.8,0.9,0.2,11.1,11.4,0.5,0.1,0.6,0.079,-1.0,-1.6,-2.6,-0.1,D.J. Augustin
2006-07,25.0,SEA,NBA,PF,38.0,271.0,11.1,0.577,0.014,0.203,11.4,21.4,16.4,1.2,1.2,1.1,26.5,18.4,-0.2,0.2,0.0,-0.002,-3.3,-1.9,-5.2,-0.2,Andre Brown
2007-08,26.0,MEM,NBA,PF,33.0,286.0,13.5,0.502,0.0,0.628,14.4,21.8,18.0,4.4,1.2,1.0,12.3,17.7,0.2,0.2,0.4,0.068,-2.5,-2.2,-4.7,-0.2,Andre Brown
2008-09,27.0,CHA,NBA,PF,4.0,41.0,-1.5,0.254,0.0,0.286,21.3,15.0,18.1,3.5,1.3,0.0,38.8,14.8,-0.2,0.0,-0.1,-0.122,-11.2,-2.9,-14.2,-0.1,Andre Brown
2006-07,21.0,CLE,NBA,SG,23.0,202.0,7.5,0.455,0.338,0.189,3.4,8.9,6.0,8.1,1.8,1.2,14.9,21.1,-0.2,0.3,0.1,0.015,-5.5,-0.2,-5.7,-0.2,Shannon Brown
2007-08,22.0,TOT,NBA,SG,21.0,240.0,6.3,0.411,0.238,0.23,2.8,6.9,4.7,12.8,2.4,1.0,14.7,30.7,-0.8,0.3,-0.5,-0.102,-5.7,-2.1,-7.9,-0.4,Shannon Brown
2007-08,22.0,CLE,NBA,SG,15.0,218.0,8.1,0.433,0.261,0.207,2.5,7.0,4.7,14.1,2.4,0.4,13.6,29.2,-0.5,0.2,-0.2,-0.052,-4.4,-1.5,-5.9,-0.2,Shannon Brown
2007-08,22.0,CHI,NBA,SG,6.0,22.0,-11.8,0.255,0.067,0.4,5.0,5.3,5.1,0.0,2.3,7.1,22.1,45.5,-0.3,0.0,-0.3,-0.592,-19.0,-8.4,-27.4,-0.1,Shannon Brown
2008-09,23.0,TOT,NBA,SG,48.0,477.0,12.9,0.554,0.224,0.236,2.8,8.1,5.5,13.7,2.5,1.2,17.3,21.4,0.1,0.6,0.7,0.067,-1.0,0.9,-0.2,0.2,Shannon Brown
