# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
44.0,0.0,0.735,0.04,0.073,0.902,0.055,0.098,0.741,0.175,0.629,0.091,0.15,0.604,0.54,0.2,1.0,0.185,0.2,22.0,1.0,4.9,0.505,68.0,NBA,1064.0,SF,2006-07,NYK,Renaldo Balkman
27.0,0.0,0.774,0.027,0.075,0.935,0.059,0.065,0.417,0.183,0.597,0.2,0.214,0.589,0.517,0.0,1.0,0.083,0.0,23.0,0.0,3.8,0.489,65.0,NBA,952.0,SF,2007-08,NYK,Renaldo Balkman
33.0,0.0,0.736,0.02,0.152,0.964,0.056,0.036,0.143,0.188,0.621,0.5,0.333,0.657,0.568,0.545,1.0,0.286,0.0,24.0,1.0,4.5,0.558,53.0,NBA,780.0,PF,2008-09,DEN,Renaldo Balkman
0.0,0.0,0.389,0.056,0.111,0.611,0.056,0.389,0.143,0.0,0.857,0.0,0.0,0.5,0.545,0.0,0.0,0.0,0.0,25.0,0.0,12.7,0.333,13.0,NBA,91.0,SF,2009-10,DEN,Renaldo Balkman
4.0,0.0,0.615,0.154,0.077,0.846,0.0,0.154,1.0,0.308,0.625,0.0,0.0,1.0,0.455,0.0,1.0,0.5,0.5,26.0,0.0,8.4,0.462,8.0,NBA,62.0,SF,2010-11,TOT,Renaldo Balkman
4.0,0.0,0.778,0.222,0.0,1.0,0.0,0.0,0.0,0.444,0.714,0.0,0.0,1.0,0.556,0.0,0.0,0.0,0.0,26.0,0.0,4.3,0.556,5.0,NBA,44.0,SF,2010-11,DEN,Renaldo Balkman
0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,26.0,0.0,17.7,0.25,3.0,NBA,18.0,SF,2010-11,NYK,Renaldo Balkman
4.0,0.0,0.531,0.0,0.188,0.719,0.0,0.281,0.667,0.156,0.706,0.0,0.333,0.643,0.609,0.0,0.5,0.222,0.167,27.0,0.0,11.2,0.5,14.0,NBA,115.0,SF,2011-12,NYK,Renaldo Balkman
10.0,0.0,0.468,0.04,0.341,0.925,0.075,0.075,0.308,0.064,0.605,0.0,0.339,0.8,0.469,0.462,1.0,0.154,0.0,21.0,1.0,9.5,0.445,61.0,NBA,519.0,PF,2005-06,DEN,Linas Kleiza
30.0,0.0,0.272,0.051,0.131,0.534,0.08,0.466,0.344,0.065,0.558,0.292,0.387,0.735,0.462,0.368,0.988,0.376,0.382,22.0,1.0,15.2,0.422,79.0,NBA,1488.0,PF,2006-07,DEN,Linas Kleiza
62.0,0.0,0.344,0.056,0.083,0.58,0.096,0.42,0.419,0.102,0.687,0.351,0.364,0.728,0.568,0.444,0.979,0.339,0.405,23.0,3.0,13.6,0.472,79.0,NBA,1889.0,SF,2007-08,DEN,Linas Kleiza
45.0,0.0,0.37,0.034,0.079,0.587,0.104,0.413,0.416,0.076,0.665,0.182,0.235,0.772,0.533,0.403,0.989,0.326,0.297,24.0,2.0,13.0,0.447,82.0,NBA,1824.0,SF,2008-09,DEN,Linas Kleiza
