# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
56.0,0.0,0.481,0.057,0.314,0.967,0.116,0.033,0.692,0.149,0.578,0.227,0.377,0.621,0.449,0.222,1.0,0.231,0.333,19.0,1.0,8.5,0.442,80.0,NBA,1382.0,SF,2004-05,NYK,Trevor Ariza
26.0,0.0,0.606,0.08,0.186,0.978,0.106,0.022,0.6,0.133,0.54,0.222,0.19,0.511,0.416,0.25,0.0,0.2,0.0,20.0,1.0,6.0,0.412,57.0,NBA,999.0,SF,2005-06,TOT,Trevor Ariza
20.0,0.0,0.575,0.082,0.212,0.979,0.11,0.021,0.333,0.151,0.548,0.333,0.226,0.55,0.42,0.188,0.0,0.333,0.0,20.0,1.0,6.5,0.418,36.0,NBA,709.0,SF,2005-06,NYK,Trevor Ariza
6.0,0.0,0.663,0.075,0.138,0.975,0.1,0.025,1.0,0.1,0.528,0.0,0.091,0.438,0.41,0.375,0.0,0.0,0.0,20.0,0.0,5.0,0.4,21.0,NBA,290.0,SF,2005-06,ORL,Trevor Ariza
46.0,0.0,0.633,0.046,0.229,0.981,0.073,0.019,0.286,0.124,0.677,0.176,0.376,0.585,0.549,0.222,0.0,0.0,0.0,21.0,1.0,6.3,0.539,57.0,NBA,1278.0,SG,2006-07,ORL,Trevor Ariza
21.0,0.0,0.544,0.103,0.162,0.868,0.059,0.132,0.778,0.154,0.703,0.214,0.273,0.734,0.542,0.375,1.0,0.278,0.357,22.0,0.0,7.9,0.507,35.0,NBA,546.0,SF,2007-08,TOT,Trevor Ariza
4.0,0.0,0.548,0.161,0.161,0.903,0.032,0.097,1.0,0.129,0.647,0.0,0.6,0.786,0.5,0.0,0.0,0.0,0.0,22.0,0.0,7.6,0.452,11.0,NBA,115.0,SF,2007-08,ORL,Trevor Ariza
17.0,0.0,0.543,0.086,0.162,0.857,0.067,0.143,0.733,0.162,0.719,0.333,0.176,0.72,0.556,0.429,1.0,0.333,0.455,22.0,0.0,8.0,0.524,24.0,NBA,431.0,SF,2007-08,LAL,Trevor Ariza
67.0,0.0,0.435,0.037,0.158,0.68,0.05,0.32,0.429,0.122,0.625,0.182,0.372,0.549,0.526,0.4,0.934,0.319,0.28,23.0,5.0,12.3,0.46,82.0,NBA,1999.0,SF,2008-09,LAL,Trevor Ariza
68.0,0.0,0.329,0.062,0.146,0.593,0.055,0.407,0.216,0.074,0.571,0.194,0.315,0.457,0.436,0.218,0.846,0.334,0.375,24.0,2.0,14.3,0.394,72.0,NBA,2629.0,SF,2009-10,HOU,Trevor Ariza
47.0,0.0,0.286,0.064,0.129,0.644,0.165,0.356,0.384,0.064,0.674,0.204,0.337,0.557,0.45,0.246,0.963,0.303,0.337,25.0,2.0,13.5,0.398,75.0,NBA,2600.0,SF,2010-11,NOH,Trevor Ariza
18.0,0.0,0.34,0.062,0.226,0.784,0.156,0.216,0.448,0.045,0.591,0.24,0.352,0.554,0.44,0.317,0.966,0.333,0.41,26.0,1.0,11.7,0.417,41.0,NBA,1350.0,SF,2011-12,NOH,Trevor Ariza
17.0,0.0,0.273,0.053,0.153,0.537,0.058,0.463,0.407,0.038,0.593,0.208,0.42,0.634,0.463,0.192,0.961,0.364,0.471,27.0,0.0,15.9,0.417,56.0,NBA,1471.0,SF,2012-13,WAS,Trevor Ariza
42.0,1.0,0.254,0.033,0.124,0.482,0.07,0.518,0.396,0.05,0.65,0.214,0.415,0.589,0.509,0.3,0.956,0.407,0.446,28.0,4.0,16.6,0.456,77.0,NBA,2723.0,SF,2013-14,WAS,Trevor Ariza
47.0,0.0,0.225,0.035,0.081,0.39,0.047,0.61,0.377,0.056,0.615,0.188,0.338,0.581,0.485,0.349,0.933,0.35,0.421,29.0,0.0,17.2,0.402,82.0,NBA,2930.0,SF,2014-15,HOU,Trevor Ariza
55.0,0.0,0.255,0.035,0.077,0.419,0.054,0.581,0.415,0.068,0.594,0.267,0.318,0.599,0.478,0.283,0.914,0.371,0.43,30.0,1.0,16.2,0.416,81.0,NBA,2859.0,SF,2015-16,HOU,Trevor Ariza
29.0,0.0,0.207,0.013,0.031,0.305,0.054,0.695,0.351,0.041,0.655,0.4,0.28,0.615,0.556,0.395,0.958,0.344,0.39,31.0,1.0,18.6,0.409,80.0,NBA,2773.0,SF,2016-17,HOU,Trevor Ariza
19.0,0.0,0.22,0.008,0.011,0.29,0.052,0.71,0.392,0.029,0.636,0.0,0.143,0.592,0.519,0.176,0.953,0.368,0.431,32.0,2.0,18.0,0.412,67.0,NBA,2269.0,SF,2017-18,HOU,Trevor Ariza
29.0,0.0,0.262,0.023,0.034,0.41,0.091,0.59,0.297,0.042,0.611,0.294,0.44,0.617,0.493,0.224,0.917,0.334,0.395,33.0,1.0,16.6,0.399,69.0,NBA,2349.0,SF,2018-19,TOT,Trevor Ariza
9.0,0.0,0.251,0.013,0.026,0.388,0.097,0.612,0.288,0.04,0.491,0.0,0.5,0.472,0.409,0.227,0.94,0.36,0.4,33.0,0.0,16.8,0.379,26.0,NBA,884.0,SF,2018-19,PHO,Trevor Ariza
20.0,0.0,0.267,0.028,0.037,0.42,0.088,0.58,0.302,0.043,0.662,0.357,0.421,0.664,0.528,0.222,0.905,0.322,0.393,33.0,1.0,16.5,0.409,43.0,NBA,1465.0,SF,2018-19,WAS,Trevor Ariza
16.0,0.0,0.269,0.012,0.015,0.361,0.065,0.639,0.377,0.059,0.701,0.0,0.0,0.692,0.556,0.19,0.948,0.372,0.397,34.0,1.0,17.0,0.438,53.0,NBA,1493.0,SF,2019-20,TOT,Trevor Ariza
6.0,0.0,0.188,0.012,0.018,0.261,0.042,0.739,0.369,0.036,0.677,0.0,0.0,0.571,0.488,0.0,0.977,0.352,0.333,34.0,1.0,19.4,0.388,32.0,NBA,791.0,SF,2019-20,SAC,Trevor Ariza
10.0,0.0,0.352,0.013,0.013,0.465,0.088,0.535,0.388,0.082,0.714,0.0,0.0,0.75,0.595,0.286,0.912,0.4,0.485,34.0,0.0,14.5,0.491,21.0,NBA,702.0,SF,2019-20,POR,Trevor Ariza
9.0,0.0,0.286,0.008,0.017,0.407,0.095,0.593,0.413,0.041,0.609,0.0,0.25,0.776,0.5,0.261,0.94,0.35,0.373,35.0,1.0,16.1,0.411,30.0,NBA,841.0,SF,2020-21,MIA,Trevor Ariza
1.0,0.0,0.162,0.01,0.0,0.253,0.081,0.747,0.365,0.01,0.688,0.0,0.0,0.769,0.52,0.25,1.0,0.27,0.185,36.0,0.0,19.3,0.333,24.0,NBA,462.0,SF,2021-22,LAL,Trevor Ariza
4.0,1.0,0.284,0.095,0.243,0.662,0.041,0.338,0.56,0.054,0.619,0.286,0.278,0.619,0.429,0.333,1.0,0.28,0.357,21.0,1.0,15.1,0.378,23.0,NBA,202.0,SG,2006-07,CLE,Shannon Brown
4.0,0.0,0.357,0.071,0.254,0.762,0.079,0.238,0.533,0.032,0.444,0.222,0.25,0.343,0.365,0.5,0.889,0.3,0.313,22.0,1.0,12.6,0.349,21.0,NBA,240.0,SG,2007-08,TOT,Shannon Brown
4.0,0.0,0.342,0.072,0.234,0.739,0.09,0.261,0.552,0.036,0.447,0.25,0.308,0.344,0.39,0.5,0.889,0.31,0.313,22.0,0.0,12.6,0.369,15.0,NBA,218.0,SG,2007-08,CLE,Shannon Brown
0.0,0.0,0.467,0.067,0.4,0.933,0.0,0.067,0.0,0.0,0.429,0.0,0.0,0.333,0.214,0.0,0.0,0.0,0.0,22.0,1.0,12.3,0.2,6.0,NBA,22.0,SG,2007-08,CHI,Shannon Brown
18.0,0.0,0.467,0.091,0.17,0.776,0.048,0.224,0.324,0.109,0.584,0.467,0.286,0.547,0.5,0.5,0.929,0.378,0.583,23.0,3.0,11.2,0.473,48.0,NBA,477.0,SG,2008-09,TOT,Shannon Brown
11.0,0.0,0.48,0.089,0.163,0.772,0.041,0.228,0.357,0.089,0.542,0.636,0.3,0.479,0.505,0.6,0.875,0.286,0.5,23.0,2.0,10.8,0.455,30.0,NBA,341.0,SG,2008-09,CHA,Shannon Brown
7.0,0.0,0.429,0.095,0.19,0.786,0.071,0.214,0.222,0.167,0.722,0.0,0.25,0.75,0.485,0.333,1.0,0.667,1.0,23.0,1.0,12.2,0.524,18.0,NBA,136.0,SG,2008-09,LAL,Shannon Brown
41.0,1.0,0.253,0.074,0.291,0.681,0.063,0.319,0.196,0.076,0.587,0.364,0.419,0.487,0.474,0.405,0.903,0.328,0.243,24.0,7.0,15.4,0.427,82.0,NBA,1700.0,SG,2009-10,LAL,Shannon Brown
30.0,1.0,0.241,0.075,0.271,0.67,0.084,0.33,0.16,0.053,0.671,0.333,0.322,0.618,0.462,0.426,0.851,0.349,0.529,25.0,6.0,16.0,0.425,82.0,NBA,1568.0,SG,2010-11,LAL,Shannon Brown
29.0,0.0,0.232,0.062,0.301,0.686,0.09,0.314,0.277,0.05,0.669,0.297,0.356,0.541,0.446,0.278,0.721,0.362,0.365,26.0,5.0,15.7,0.42,59.0,NBA,1400.0,SG,2011-12,PHO,Shannon Brown
32.0,0.0,0.306,0.061,0.319,0.753,0.067,0.247,0.213,0.063,0.663,0.343,0.335,0.443,0.467,0.316,0.718,0.277,0.433,27.0,3.0,14.3,0.42,59.0,NBA,1402.0,SG,2012-13,PHO,Shannon Brown
4.0,0.0,0.364,0.167,0.333,0.97,0.106,0.03,0.0,0.061,0.75,0.364,0.091,0.583,0.375,0.0,0.0,0.0,0.0,28.0,0.0,10.0,0.364,29.0,NBA,251.0,SG,2013-14,TOT,Shannon Brown
1.0,0.0,0.25,0.179,0.357,0.929,0.143,0.071,0.0,0.036,0.714,0.2,0.2,0.875,0.308,0.0,0.0,0.0,0.0,28.0,0.0,11.2,0.286,10.0,NBA,103.0,SG,2013-14,SAS,Shannon Brown
3.0,0.0,0.447,0.158,0.316,1.0,0.079,0.0,0.0,0.079,0.765,0.5,0.0,0.438,0.421,0.0,0.0,0.0,0.0,28.0,0.0,9.1,0.421,19.0,NBA,148.0,SG,2013-14,NYK,Shannon Brown
3.0,0.0,0.421,0.053,0.158,0.632,0.0,0.368,0.286,0.158,0.5,0.0,0.0,0.0,0.333,0.0,0.333,0.429,1.0,29.0,0.0,12.8,0.368,5.0,NBA,89.0,SG,2014-15,MIA,Shannon Brown
8.0,0.0,0.573,0.049,0.012,1.0,0.366,0.0,0.0,0.11,0.468,0.25,0.0,0.576,0.402,0.333,0.0,0.0,0.0,18.0,0.0,3.4,0.402,46.0,NBA,338.0,C,2005-06,LAL,Andrew Bynum
66.0,0.0,0.569,0.063,0.007,0.993,0.354,0.007,0.333,0.149,0.683,0.393,0.0,0.66,0.561,0.408,0.0,0.0,0.0,19.0,1.0,3.4,0.558,82.0,NBA,1793.0,C,2006-07,LAL,Andrew Bynum
