# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
50.0,0.0,0.381,0.161,0.278,0.995,0.177,0.005,0.0,0.128,0.554,0.443,0.355,0.775,0.44,0.325,0.0,0.0,0.0,20.0,0.0,8.8,0.438,76.0,NBA,1464.0,PF,2008-09,MEM,Darrell Arthur
7.0,0.0,0.37,0.144,0.26,0.993,0.219,0.007,0.0,0.068,0.481,0.429,0.316,0.667,0.434,0.5,0.0,0.0,0.0,21.0,1.0,8.6,0.432,32.0,NBA,457.0,PF,2009-10,MEM,Darrell Arthur
49.0,0.0,0.292,0.125,0.378,0.99,0.196,0.01,0.333,0.085,0.687,0.474,0.403,0.742,0.502,0.434,0.0,0.0,0.0,22.0,0.0,10.7,0.497,80.0,NBA,1609.0,PF,2010-11,MEM,Darrell Arthur
24.0,0.0,0.245,0.187,0.365,0.95,0.153,0.05,0.444,0.084,0.545,0.418,0.473,0.828,0.46,0.345,1.0,0.278,0.25,24.0,0.0,11.9,0.451,59.0,NBA,970.0,PF,2012-13,MEM,Darrell Arthur
9.0,0.0,0.146,0.095,0.527,0.844,0.076,0.156,0.234,0.027,0.517,0.333,0.403,0.841,0.399,0.226,1.0,0.375,0.333,25.0,1.0,15.8,0.395,68.0,NBA,1161.0,SF,2013-14,DEN,Darrell Arthur
11.0,0.0,0.138,0.138,0.375,0.714,0.063,0.286,0.173,0.034,0.623,0.434,0.431,0.791,0.471,0.458,0.962,0.236,0.158,26.0,1.0,16.3,0.404,58.0,NBA,988.0,PF,2014-15,DEN,Darrell Arthur
19.0,0.0,0.209,0.115,0.342,0.761,0.096,0.239,0.282,0.045,0.569,0.446,0.455,0.784,0.473,0.362,1.0,0.385,0.364,27.0,2.0,14.6,0.452,70.0,NBA,1516.0,PF,2015-16,DEN,Darrell Arthur
5.0,0.0,0.14,0.079,0.205,0.456,0.033,0.544,0.231,0.023,0.6,0.471,0.364,0.786,0.429,0.0,0.981,0.453,0.481,28.0,0.0,18.8,0.442,41.0,NBA,639.0,PF,2016-17,DEN,Darrell Arthur
1.0,0.0,0.128,0.149,0.17,0.511,0.064,0.489,0.174,0.021,1.0,0.286,0.75,0.929,0.583,0.0,1.0,0.348,0.25,29.0,0.0,17.8,0.468,19.0,NBA,141.0,PF,2017-18,DEN,Darrell Arthur
1.0,0.0,0.452,0.084,0.165,0.794,0.093,0.206,0.253,0.002,0.535,0.378,0.37,0.113,0.453,0.268,0.867,0.33,0.435,20.0,2.0,10.1,0.428,53.0,NBA,1381.0,PG,2007-08,MEM,Mike Conley
5.0,0.0,0.318,0.073,0.215,0.703,0.097,0.297,0.272,0.007,0.522,0.358,0.452,0.149,0.458,0.338,0.955,0.406,0.39,21.0,2.0,13.3,0.442,82.0,NBA,2508.0,PG,2008-09,MEM,Mike Conley
1.0,0.0,0.337,0.09,0.19,0.745,0.127,0.255,0.283,0.001,0.564,0.293,0.38,0.111,0.464,0.448,0.927,0.387,0.483,22.0,1.0,12.3,0.445,80.0,NBA,2569.0,PG,2009-10,MEM,Mike Conley
3.0,0.0,0.292,0.086,0.197,0.772,0.197,0.228,0.217,0.003,0.626,0.341,0.404,0.204,0.466,0.346,0.938,0.369,0.447,23.0,1.0,12.2,0.444,81.0,NBA,2872.0,PG,2010-11,MEM,Mike Conley
0.0,0.0,0.282,0.061,0.257,0.768,0.167,0.232,0.214,0.0,0.622,0.357,0.375,0.195,0.45,0.307,0.883,0.377,0.5,24.0,2.0,13.2,0.433,62.0,NBA,2174.0,PG,2011-12,MEM,Mike Conley
1.0,0.0,0.323,0.07,0.139,0.688,0.155,0.312,0.167,0.001,0.563,0.455,0.443,0.295,0.476,0.336,0.802,0.362,0.449,25.0,2.0,13.0,0.44,80.0,NBA,2757.0,PG,2012-13,MEM,Mike Conley
2.0,0.0,0.266,0.069,0.198,0.717,0.184,0.283,0.168,0.002,0.613,0.437,0.426,0.243,0.484,0.379,0.695,0.361,0.306,26.0,5.0,13.5,0.45,73.0,NBA,2446.0,PG,2013-14,MEM,Mike Conley
0.0,0.0,0.277,0.098,0.142,0.686,0.17,0.314,0.159,0.0,0.586,0.395,0.352,0.241,0.473,0.433,0.72,0.386,0.432,27.0,3.0,13.1,0.446,70.0,NBA,2225.0,PG,2014-15,MEM,Mike Conley
1.0,0.0,0.261,0.115,0.175,0.691,0.139,0.309,0.177,0.001,0.544,0.4,0.377,0.273,0.449,0.402,0.782,0.363,0.421,28.0,2.0,13.5,0.422,56.0,NBA,1761.0,PG,2015-16,MEM,Mike Conley
1.0,0.0,0.199,0.083,0.167,0.585,0.135,0.415,0.115,0.001,0.607,0.405,0.432,0.266,0.497,0.471,0.561,0.408,0.438,29.0,9.0,16.2,0.46,69.0,NBA,2292.0,PG,2016-17,MEM,Mike Conley
0.0,0.0,0.25,0.095,0.06,0.542,0.137,0.458,0.091,0.0,0.571,0.25,0.3,0.2,0.44,0.391,0.542,0.312,0.143,30.0,0.0,14.8,0.381,12.0,NBA,373.0,PG,2017-18,MEM,Mike Conley
0.0,0.0,0.19,0.15,0.122,0.62,0.157,0.38,0.115,0.0,0.554,0.429,0.423,0.304,0.483,0.494,0.594,0.364,0.49,31.0,3.0,15.3,0.438,70.0,NBA,2342.0,PG,2018-19,MEM,Mike Conley
0.0,1.0,0.134,0.138,0.074,0.549,0.203,0.451,0.199,0.0,0.566,0.359,0.476,0.257,0.437,0.391,0.625,0.375,0.451,32.0,4.0,16.3,0.409,47.0,NBA,1363.0,PG,2019-20,UTA,Mike Conley
0.0,0.0,0.109,0.117,0.041,0.477,0.209,0.523,0.179,0.0,0.557,0.44,0.385,0.253,0.479,0.478,0.594,0.412,0.433,33.0,3.0,17.2,0.444,51.0,NBA,1498.0,PG,2020-21,UTA,Mike Conley
0.0,0.0,0.075,0.109,0.025,0.477,0.268,0.523,0.167,0.001,0.559,0.442,0.4,0.257,0.464,0.453,0.521,0.408,0.391,34.0,1.0,17.1,0.435,72.0,NBA,2058.0,PG,2021-22,UTA,Mike Conley
0.0,0.0,0.084,0.108,0.031,0.425,0.202,0.575,0.157,0.0,0.608,0.5,0.474,0.381,0.486,0.431,0.696,0.385,0.545,35.0,2.0,18.3,0.428,67.0,NBA,2029.0,PG,2022-23,TOT,Mike Conley
0.0,0.0,0.085,0.099,0.035,0.432,0.213,0.568,0.136,0.0,0.531,0.459,0.308,0.368,0.469,0.475,0.636,0.362,0.586,35.0,2.0,18.3,0.408,43.0,NBA,1276.0,PG,2022-23,UTA,Mike Conley
0.0,0.0,0.081,0.123,0.026,0.413,0.183,0.587,0.188,0.0,0.737,0.552,0.833,0.4,0.515,0.349,0.776,0.42,0.5,35.0,0.0,18.3,0.46,24.0,NBA,753.0,PG,2022-23,MIN,Mike Conley
7.0,0.0,0.506,0.017,0.219,0.841,0.099,0.159,0.081,0.03,0.551,0.25,0.275,0.239,0.449,0.348,0.9,0.27,0.0,20.0,0.0,9.4,0.421,50.0,NBA,679.0,SG,2007-08,TOT,Javaris Crittenton
2.0,0.0,0.453,0.038,0.302,0.943,0.151,0.057,0.0,0.038,0.625,0.5,0.375,0.4,0.5,0.375,1.0,0.333,0.0,20.0,0.0,8.9,0.491,22.0,NBA,171.0,SG,2007-08,LAL,Javaris Crittenton
5.0,0.0,0.522,0.011,0.194,0.811,0.083,0.189,0.088,0.028,0.532,0.0,0.229,0.175,0.432,0.333,0.889,0.265,0.0,20.0,0.0,9.5,0.4,28.0,NBA,508.0,SG,2007-08,MEM,Javaris Crittenton
12.0,0.0,0.561,0.042,0.189,0.947,0.154,0.053,0.133,0.046,0.644,0.167,0.296,0.341,0.478,0.182,0.5,0.133,0.0,21.0,0.0,7.0,0.46,63.0,NBA,1174.0,"PG,SG",2008-09,TOT,Javaris Crittenton
0.0,0.0,0.667,0.0,0.133,0.933,0.133,0.067,0.0,0.0,0.6,0.0,0.0,0.571,0.5,0.5,0.0,0.0,0.0,21.0,0.0,5.2,0.467,7.0,NBA,44.0,SG,2008-09,MEM,Javaris Crittenton
12.0,0.0,0.556,0.044,0.193,0.948,0.156,0.052,0.143,0.048,0.647,0.167,0.308,0.328,0.477,0.167,0.5,0.143,0.0,21.0,0.0,7.1,0.459,56.0,NBA,1130.0,PG,2008-09,WAS,Javaris Crittenton
