SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
2006-07,22.0,NJN,NBA,PF,61.0,0.0,669.0,7.8,13.4,0.579,0.0,0.0,0.0,7.8,13.4,0.579,4.4,8.1,0.544,5.0,8.8,13.8,0.8,0.9,1.6,2.6,7.4,19.9,111.0,105.0,Josh Boone
2007-08,23.0,NJN,NBA,PF,70.0,53.0,1773.0,7.0,12.8,0.548,0.0,0.0,0.0,7.0,12.8,0.548,2.9,6.4,0.456,5.7,9.4,15.1,1.6,1.1,1.8,2.0,4.6,17.0,110.0,108.0,Josh Boone
2008-09,24.0,NJN,NBA,C,62.0,7.0,995.0,6.1,11.5,0.528,0.0,0.0,0.0,6.1,11.5,0.528,1.7,4.6,0.376,5.6,8.3,13.8,1.7,1.2,2.6,1.7,5.7,13.8,110.0,109.0,Josh Boone
2009-10,25.0,NJN,NBA,PF,63.0,28.0,1045.0,5.9,11.2,0.525,0.0,0.0,0.0,5.9,11.2,0.525,1.0,2.9,0.328,6.2,9.6,15.8,1.5,1.5,2.4,1.9,5.6,12.7,107.0,107.0,Josh Boone
2008-09,22.0,NJN,NBA,SG,44.0,3.0,585.0,7.4,16.1,0.46,0.3,1.1,0.25,7.1,15.0,0.476,4.7,5.7,0.823,1.3,3.3,4.6,4.7,1.1,0.6,2.8,3.1,19.7,106.0,115.0,Chris Douglas-Roberts
2009-10,23.0,NJN,NBA,SF,67.0,38.0,1730.0,7.7,17.4,0.445,0.4,1.6,0.259,7.3,15.8,0.464,4.0,4.8,0.847,1.4,4.6,6.0,2.8,1.7,0.6,2.9,3.1,20.0,98.0,112.0,Chris Douglas-Roberts
2010-11,24.0,MIL,NBA,SF,44.0,12.0,884.0,7.1,16.5,0.429,0.9,2.8,0.326,6.2,13.7,0.449,4.5,5.4,0.831,0.4,4.9,5.3,3.0,1.8,0.8,2.1,4.4,19.5,102.0,104.0,Chris Douglas-Roberts
2012-13,26.0,DAL,NBA,SG,6.0,0.0,63.0,4.1,11.3,0.357,0.0,3.2,0.0,4.1,8.1,0.5,5.7,8.1,0.7,0.0,4.1,4.1,3.2,1.6,0.0,0.8,3.2,13.8,101.0,110.0,Chris Douglas-Roberts
2013-14,27.0,CHA,NBA,SF,49.0,8.0,1016.0,5.7,12.9,0.44,2.6,6.7,0.386,3.1,6.1,0.5,3.4,4.2,0.805,0.8,5.3,6.1,2.6,1.5,0.8,1.8,3.1,17.3,111.0,105.0,Chris Douglas-Roberts
2014-15,28.0,LAC,NBA,SG,12.0,0.0,103.0,2.5,10.3,0.238,0.5,3.4,0.143,2.0,6.9,0.286,3.9,3.9,1.0,0.5,5.4,5.9,2.0,0.5,0.0,0.0,6.9,9.3,96.0,110.0,Chris Douglas-Roberts
2004-05,19.0,UTA,NBA,PF,67.0,4.0,873.0,7.2,17.9,0.404,0.1,0.4,0.333,7.1,17.5,0.406,2.7,6.3,0.436,4.5,7.7,12.3,2.7,1.6,1.1,3.2,6.0,17.3,88.0,108.0,Kris Humphries
2005-06,20.0,UTA,NBA,PF,62.0,2.0,619.0,6.8,17.9,0.379,0.0,0.4,0.0,6.8,17.5,0.389,3.0,5.7,0.523,4.9,8.9,13.9,2.6,2.0,1.4,2.7,7.2,16.6,90.0,104.0,Kris Humphries
2006-07,21.0,TOR,NBA,PF,60.0,2.0,670.0,6.7,14.3,0.47,0.0,0.0,0.0,6.7,14.3,0.47,4.1,6.1,0.671,6.0,8.4,14.5,1.4,1.1,1.6,2.5,7.6,17.6,107.0,105.0,Kris Humphries
2007-08,22.0,TOR,NBA,PF,70.0,0.0,925.0,9.3,19.2,0.483,0.0,0.1,0.0,9.3,19.0,0.486,4.3,7.1,0.605,5.2,9.7,14.9,1.6,1.4,1.6,2.7,6.2,22.8,103.0,105.0,Kris Humphries
2008-09,23.0,TOR,NBA,SF,29.0,0.0,265.0,7.5,17.7,0.422,0.0,0.0,0.0,7.5,17.7,0.422,7.5,9.5,0.792,4.7,9.1,13.8,2.0,1.6,1.2,1.6,6.1,22.4,112.0,108.0,Kris Humphries
2009-10,24.0,TOT,NBA,PF,69.0,0.0,1221.0,7.7,17.5,0.441,0.0,0.0,0.0,7.7,17.5,0.442,5.4,8.1,0.668,5.1,11.1,16.2,1.4,1.5,2.1,2.8,6.2,20.9,101.0,105.0,Kris Humphries
2009-10,24.0,DAL,NBA,PF,25.0,0.0,315.0,8.7,18.9,0.461,0.0,0.0,0.0,8.7,18.9,0.461,4.1,7.2,0.568,6.3,9.4,15.7,1.2,1.2,1.8,2.1,7.1,21.6,104.0,105.0,Kris Humphries
2009-10,24.0,NJN,NBA,PF,44.0,0.0,906.0,7.4,17.0,0.433,0.0,0.1,0.0,7.4,16.9,0.435,5.9,8.5,0.699,4.8,11.7,16.4,1.4,1.7,2.1,3.1,5.9,20.6,100.0,106.0,Kris Humphries
2010-11,25.0,NJN,NBA,PF,74.0,44.0,2061.0,8.0,15.1,0.527,0.0,0.0,0.0,8.0,15.1,0.527,3.3,4.9,0.665,5.8,14.1,20.0,2.2,0.9,2.1,2.7,4.4,19.2,111.0,105.0,Kris Humphries
2011-12,26.0,NJN,NBA,PF,62.0,62.0,2162.0,8.0,16.5,0.481,0.0,0.0,0.0,8.0,16.5,0.481,5.1,6.8,0.752,5.7,11.0,16.8,2.2,1.2,1.8,2.9,4.3,21.1,110.0,106.0,Kris Humphries
2012-13,27.0,BRK,NBA,PF,65.0,21.0,1191.0,6.3,14.1,0.448,0.0,0.1,0.0,6.3,14.0,0.451,4.4,5.6,0.789,5.7,10.9,16.6,1.5,0.7,1.5,2.6,5.8,17.0,109.0,105.0,Kris Humphries
2013-14,28.0,BOS,NBA,PF,69.0,30.0,1376.0,8.6,17.2,0.501,0.0,0.1,0.0,8.6,17.2,0.503,4.4,5.4,0.813,4.7,10.5,15.3,2.5,1.2,2.3,2.4,5.1,21.6,113.0,105.0,Kris Humphries
2014-15,29.0,WAS,NBA,PF,64.0,17.0,1345.0,8.0,17.0,0.473,0.0,0.3,0.0,8.0,16.7,0.481,3.3,4.5,0.744,4.5,11.4,15.8,2.2,1.3,1.0,1.8,5.0,19.4,108.0,101.0,Kris Humphries
2015-16,30.0,TOT,NBA,PF,53.0,17.0,835.0,7.1,17.3,0.41,2.0,6.3,0.315,5.1,11.0,0.465,3.9,4.9,0.798,3.3,9.4,12.8,2.1,0.9,1.3,2.2,5.5,20.1,104.0,104.0,Kris Humphries
2015-16,30.0,WAS,NBA,PF,28.0,14.0,466.0,6.7,16.5,0.405,2.4,7.0,0.343,4.3,9.5,0.451,3.0,3.2,0.935,2.7,9.3,12.0,1.7,0.3,1.5,2.1,4.4,18.8,103.0,107.0,Kris Humphries
2015-16,30.0,PHO,NBA,PF,4.0,3.0,74.0,6.6,23.7,0.278,2.0,6.6,0.3,4.6,17.1,0.269,4.0,5.3,0.75,7.2,13.8,21.1,4.6,2.0,1.3,2.6,5.3,19.1,91.0,104.0,Kris Humphries
2015-16,30.0,ATL,NBA,PF,21.0,0.0,295.0,7.9,16.9,0.465,1.3,5.2,0.258,6.5,11.7,0.557,5.4,7.5,0.711,3.4,8.5,11.9,2.2,1.7,1.2,2.3,7.4,22.4,108.0,101.0,Kris Humphries
2016-17,31.0,ATL,NBA,PF,56.0,4.0,689.0,6.2,15.3,0.407,1.4,3.9,0.352,4.9,11.4,0.425,4.6,5.9,0.78,4.3,10.4,14.7,2.1,1.1,1.5,2.0,4.9,18.4,108.0,104.0,Kris Humphries
2007-08,20.0,MIL,NBA,PF,66.0,49.0,1647.0,7.0,16.6,0.421,0.2,0.7,0.286,6.8,15.9,0.427,3.9,4.6,0.841,3.4,7.6,11.0,1.8,1.1,1.8,2.9,4.9,18.1,98.0,112.0,Yi Jianlian
2008-09,21.0,NJN,NBA,PF,61.0,52.0,1421.0,7.2,18.8,0.382,1.8,5.3,0.343,5.4,13.5,0.397,3.6,4.6,0.772,2.5,9.7,12.2,2.3,1.1,1.4,2.6,5.9,19.7,96.0,110.0,Yi Jianlian
2009-10,22.0,NJN,NBA,PF,52.0,51.0,1655.0,7.2,17.9,0.403,0.5,1.3,0.366,6.7,16.6,0.406,4.9,6.1,0.798,3.7,8.2,11.8,1.5,1.2,1.7,2.4,5.4,19.8,99.0,109.0,Yi Jianlian
2010-11,23.0,WAS,NBA,PF,63.0,11.0,1112.0,6.7,16.0,0.418,0.1,0.6,0.231,6.5,15.4,0.425,2.9,4.2,0.681,3.6,7.8,11.4,1.2,1.2,1.5,2.3,5.3,16.3,95.0,110.0,Yi Jianlian
2011-12,24.0,DAL,NBA,PF,30.0,0.0,203.0,8.0,21.2,0.378,0.8,2.6,0.3,7.2,18.6,0.389,3.6,5.4,0.667,3.1,9.6,12.7,1.3,1.8,2.1,3.6,5.9,20.4,84.0,100.0,Yi Jianlian
2008-09,23.0,ORL,NBA,SG,77.0,42.0,1939.0,6.5,14.5,0.45,2.2,5.4,0.404,4.3,9.0,0.478,2.1,2.5,0.83,0.5,4.3,4.8,2.4,2.0,0.4,1.8,4.2,17.3,107.0,104.0,Courtney Lee
2009-10,24.0,NJN,NBA,SG,71.0,66.0,2375.0,7.5,17.1,0.436,1.7,5.0,0.338,5.8,12.2,0.476,2.9,3.4,0.869,1.3,4.2,5.6,2.7,2.1,0.4,1.7,2.9,19.6,106.0,111.0,Courtney Lee
2010-11,25.0,HOU,NBA,SG,81.0,1.0,1723.0,7.5,17.0,0.439,2.1,5.1,0.408,5.4,11.9,0.453,2.8,3.5,0.792,1.5,4.7,6.2,3.0,1.7,0.5,2.0,3.0,19.9,108.0,110.0,Courtney Lee
2011-12,26.0,HOU,NBA,SG,58.0,26.0,1757.0,7.5,17.3,0.433,2.6,6.5,0.401,4.9,10.8,0.452,2.1,2.6,0.826,0.8,4.0,4.7,2.6,2.0,0.7,1.9,3.2,19.7,106.0,107.0,Courtney Lee
2012-13,27.0,BOS,NBA,SG,78.0,39.0,1941.0,6.6,14.3,0.464,1.6,4.2,0.372,5.1,10.1,0.503,1.7,1.9,0.861,0.8,4.3,5.1,3.9,2.4,0.6,2.3,3.7,16.5,102.0,104.0,Courtney Lee
2013-14,28.0,TOT,NBA,SG,79.0,47.0,1973.0,7.9,16.5,0.48,1.9,5.2,0.371,6.0,11.3,0.531,2.7,3.0,0.884,0.8,4.2,5.0,3.1,1.7,0.8,2.0,3.4,20.4,113.0,107.0,Courtney Lee
2013-14,28.0,BOS,NBA,SG,30.0,0.0,504.0,9.2,18.7,0.492,2.3,5.3,0.442,6.8,13.4,0.511,1.8,2.2,0.818,0.8,4.2,5.0,3.3,2.0,0.9,2.6,3.8,22.6,108.0,108.0,Courtney Lee
2013-14,28.0,MEM,NBA,SG,49.0,47.0,1469.0,7.5,15.7,0.476,1.8,5.2,0.345,5.7,10.5,0.54,2.9,3.3,0.9,0.8,4.3,5.0,3.0,1.6,0.7,1.7,3.3,19.6,114.0,107.0,Courtney Lee
2014-15,29.0,MEM,NBA,SG,77.0,74.0,2354.0,6.4,14.3,0.448,2.0,5.0,0.402,4.4,9.3,0.473,2.5,2.9,0.86,0.5,3.5,3.9,3.3,1.7,0.3,1.7,2.9,17.2,109.0,106.0,Courtney Lee
