DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2010-11-22,19-361,BOS,AWAY,ATL,W (+23),0,6:11,0,2,.000,0,0,,2,2,1.000,0,1,1,1,1,0,2,0,2,0.6,-4,Avery Bradley
2010-11-30,20-004,BOS,AWAY,CLE,W (+19),0,1:19,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+2,Avery Bradley
2010-12-05,20-009,BOS,AWAY,NJN,W (+25),0,14:43,2,7,.286,0,1,.000,0,2,.000,1,0,1,2,0,0,2,5,4,-2.8,-1,Avery Bradley
2010-12-08,20-012,BOS,HOME,DEN,W (+16),0,2:07,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-0.3,-3,Avery Bradley
2010-12-11,20-015,BOS,AWAY,CHA,W (+31),0,3:58,1,3,.333,0,0,,0,0,,0,0,0,0,1,0,0,1,2,0.9,+6,Avery Bradley
2010-12-16,20-020,BOS,HOME,ATL,W (+12),0,4:29,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-0.4,-3,Avery Bradley
2010-12-19,20-023,BOS,HOME,IND,W (+11),0,5:32,0,1,.000,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-1.5,-8,Avery Bradley
2010-12-22,20-026,BOS,HOME,PHI,W (+4),0,5:50,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,1,2,1.6,+3,Avery Bradley
2010-12-25,20-029,BOS,AWAY,ORL,L (-8),0,5:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,-3,Avery Bradley
2010-12-28,20-032,BOS,AWAY,IND,W (+12),0,6:55,0,2,.000,0,0,,1,2,.500,1,1,2,0,0,0,0,0,1,0.2,-2,Avery Bradley
2010-12-29,20-033,BOS,AWAY,DET,L (-12),0,5:24,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-2,Avery Bradley
2010-12-31,20-035,BOS,HOME,NOH,L (-2),0,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,Avery Bradley
2011-01-07,20-042,BOS,HOME,TOR,W (+20),0,3:28,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-3.4,-4,Avery Bradley
2011-01-12,20-047,BOS,HOME,SAC,W (+24),0,1:00,2,3,.667,0,0,,0,0,,0,0,0,0,1,0,0,0,4,3.7,+4,Avery Bradley
2011-02-10,20-076,BOS,HOME,LAL,L (-6),0,1:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,Avery Bradley
2011-02-13,20-079,BOS,HOME,MIA,W (+3),0,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Avery Bradley
2011-02-16,20-082,BOS,HOME,NJN,W (+14),0,1:51,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,-1,Avery Bradley
2011-02-22,20-088,BOS,AWAY,GSW,W (+22),0,2:04,2,2,1.000,0,0,,1,1,1.000,1,0,1,0,0,0,0,0,5,5.1,+4,Avery Bradley
2011-02-24,20-090,BOS,AWAY,DEN,L (-14),0,4:35,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,1,1,0,-0.8,-3,Avery Bradley
2011-02-28,20-094,BOS,AWAY,UTA,W (+5),0,6:02,2,6,.333,0,0,,0,1,.000,0,1,1,1,0,0,0,2,4,0.4,-1,Avery Bradley
2011-03-02,20-096,BOS,HOME,PHO,W (+12),0,9:13,1,4,.250,0,0,,0,0,,0,1,1,0,0,0,0,2,2,-0.9,-15,Avery Bradley
2011-03-04,20-098,BOS,HOME,GSW,W (+4),0,8:27,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-4,Avery Bradley
2011-03-06,20-100,BOS,AWAY,MIL,W (+6),0,9:43,0,3,.000,0,1,.000,0,0,,0,1,1,2,1,0,1,0,0,-0.4,-2,Avery Bradley
2011-03-09,20-103,BOS,HOME,LAC,L (-5),0,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Avery Bradley
2011-03-11,20-105,BOS,AWAY,PHI,L (-3),0,1:59,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,Avery Bradley
2011-03-13,20-107,BOS,HOME,MIL,W (+31),0,7:49,0,3,.000,0,0,,0,0,,0,1,1,2,0,0,0,0,0,-0.4,+1,Avery Bradley
2011-03-16,20-110,BOS,HOME,IND,W (+12),0,2:16,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-5,Avery Bradley
2011-03-18,20-112,BOS,AWAY,HOU,L (-16),0,7:16,2,4,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,4,0.6,+5,Avery Bradley
