2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,eFG%,PLAYER
22.0,0.386,57.0,6.0,0.286,21.0,22.0,24.0,1.0,18.0,28.0,0.359,78.0,16.0,0.667,24.0,33.0,1.0,NBA,191.0,7.0,19.0,PG,78.0,2006-07,1.0,DAL,14.0,25.0,0.397,J.J. Barea
50.0,0.431,116.0,21.0,0.389,54.0,23.0,58.0,1.0,43.0,71.0,0.418,170.0,28.0,0.8,35.0,44.0,9.0,NBA,460.0,4.0,48.0,PG,191.0,2007-08,14.0,DAL,35.0,47.0,0.479,J.J. Barea
191.0,0.474,403.0,55.0,0.357,154.0,24.0,269.0,5.0,141.0,246.0,0.442,557.0,70.0,0.753,93.0,79.0,15.0,NBA,1600.0,36.0,121.0,SG,617.0,2008-09,37.0,DAL,105.0,177.0,0.491,J.J. Barea
176.0,0.476,370.0,56.0,0.357,157.0,25.0,258.0,6.0,129.0,232.0,0.44,527.0,76.0,0.844,90.0,78.0,18.0,NBA,1546.0,17.0,119.0,PG,596.0,2009-10,35.0,DAL,102.0,146.0,0.493,J.J. Barea
219.0,0.476,460.0,66.0,0.349,189.0,26.0,317.0,1.0,130.0,285.0,0.439,649.0,133.0,0.847,157.0,81.0,2.0,NBA,1669.0,29.0,136.0,PG,769.0,2010-11,30.0,DAL,136.0,159.0,0.49,J.J. Barea
114.0,0.415,275.0,53.0,0.371,143.0,27.0,232.0,0.0,100.0,167.0,0.4,418.0,76.0,0.776,98.0,41.0,11.0,NBA,1032.0,14.0,61.0,PG,463.0,2011-12,21.0,MIN,103.0,114.0,0.463,J.J. Barea
219.0,0.458,478.0,97.0,0.346,280.0,28.0,294.0,0.0,173.0,316.0,0.417,758.0,105.0,0.784,134.0,74.0,2.0,NBA,1713.0,34.0,131.0,PG,834.0,2012-13,32.0,MIN,145.0,207.0,0.481,J.J. Barea
181.0,0.426,425.0,73.0,0.316,231.0,29.0,303.0,0.0,138.0,254.0,0.387,656.0,79.0,0.79,100.0,79.0,1.0,NBA,1471.0,16.0,129.0,PG,660.0,2013-14,26.0,MIN,125.0,154.0,0.443,J.J. Barea
171.0,0.463,369.0,54.0,0.323,167.0,30.0,263.0,1.0,111.0,225.0,0.42,536.0,76.0,0.809,94.0,77.0,10.0,NBA,1362.0,23.0,104.0,PG,580.0,2014-15,33.0,DAL,70.0,134.0,0.47,J.J. Barea
217.0,0.481,451.0,100.0,0.385,260.0,31.0,302.0,2.0,126.0,317.0,0.446,711.0,74.0,0.771,96.0,74.0,16.0,NBA,1667.0,26.0,110.0,PG,808.0,2015-16,26.0,DAL,113.0,152.0,0.516,J.J. Barea
89.0,0.456,195.0,53.0,0.358,148.0,32.0,193.0,1.0,75.0,142.0,0.414,343.0,44.0,0.863,51.0,35.0,6.0,NBA,771.0,9.0,30.0,PG,381.0,2016-17,14.0,DAL,63.0,84.0,0.491,J.J. Barea
188.0,0.499,377.0,115.0,0.367,313.0,33.0,434.0,3.0,186.0,303.0,0.439,690.0,80.0,0.784,102.0,69.0,10.0,NBA,1603.0,15.0,83.0,PG,801.0,2017-18,35.0,DAL,143.0,201.0,0.522,J.J. Barea
123.0,0.479,257.0,38.0,0.297,128.0,34.0,211.0,1.0,82.0,161.0,0.418,385.0,55.0,0.705,78.0,38.0,0.0,NBA,752.0,13.0,50.0,PG,415.0,2018-19,22.0,DAL,72.0,95.0,0.468,J.J. Barea
53.0,0.434,122.0,32.0,0.376,85.0,35.0,112.0,2.0,43.0,85.0,0.411,207.0,20.0,0.909,22.0,29.0,6.0,NBA,450.0,10.0,27.0,PG,222.0,2019-20,5.0,DAL,38.0,53.0,0.488,J.J. Barea
419.0,0.478,876.0,33.0,0.407,81.0,20.0,83.0,37.0,329.0,452.0,0.472,957.0,186.0,0.772,241.0,81.0,19.0,NBA,2009.0,110.0,184.0,PF,1123.0,2008-09,41.0,MIA,121.0,439.0,0.49,Michael Beasley
440.0,0.469,938.0,28.0,0.275,102.0,21.0,100.0,49.0,375.0,468.0,0.45,1040.0,192.0,0.8,240.0,78.0,78.0,NBA,2328.0,123.0,221.0,PF,1156.0,2009-10,80.0,MIA,131.0,498.0,0.463,Michael Beasley
501.0,0.463,1082.0,60.0,0.366,164.0,22.0,158.0,52.0,291.0,561.0,0.45,1246.0,219.0,0.753,291.0,73.0,73.0,NBA,2361.0,118.0,222.0,SF,1401.0,2010-11,54.0,MIN,195.0,409.0,0.474,Michael Beasley
183.0,0.462,396.0,38.0,0.376,101.0,23.0,45.0,19.0,168.0,221.0,0.445,497.0,61.0,0.642,95.0,47.0,7.0,NBA,1087.0,39.0,83.0,SF,541.0,2011-12,18.0,MIN,80.0,207.0,0.483,Michael Beasley
265.0,0.426,622.0,45.0,0.313,144.0,24.0,111.0,34.0,230.0,310.0,0.405,766.0,94.0,0.746,126.0,75.0,20.0,NBA,1554.0,52.0,107.0,SF,759.0,2012-13,31.0,PHO,144.0,282.0,0.434,Michael Beasley
156.0,0.518,301.0,21.0,0.389,54.0,25.0,42.0,21.0,141.0,177.0,0.499,355.0,61.0,0.772,79.0,55.0,2.0,NBA,831.0,31.0,93.0,SF,436.0,2013-14,23.0,MIA,57.0,172.0,0.528,Michael Beasley
84.0,0.472,178.0,8.0,0.235,34.0,26.0,32.0,13.0,77.0,92.0,0.434,212.0,20.0,0.769,26.0,24.0,1.0,NBA,505.0,12.0,66.0,PF,212.0,2014-15,15.0,MIA,37.0,89.0,0.453,Michael Beasley
104.0,0.531,196.0,3.0,0.333,9.0,27.0,16.0,9.0,69.0,107.0,0.522,205.0,38.0,0.776,49.0,20.0,0.0,NBA,363.0,29.0,39.0,PF,255.0,2015-16,11.0,HOU,24.0,98.0,0.529,Michael Beasley
198.0,0.545,363.0,18.0,0.419,43.0,28.0,53.0,27.0,153.0,216.0,0.532,406.0,78.0,0.743,105.0,56.0,6.0,NBA,935.0,40.0,92.0,PF,528.0,2016-17,27.0,MIL,66.0,193.0,0.554,Michael Beasley
375.0,0.52,721.0,34.0,0.395,86.0,29.0,123.0,43.0,317.0,409.0,0.507,807.0,124.0,0.78,159.0,74.0,30.0,NBA,1653.0,97.0,145.0,PF,976.0,2017-18,36.0,NYK,143.0,414.0,0.528,Michael Beasley
