DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2012-11-02,24-222,MEM,AWAY,GSW,W (+10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Darrell Arthur
2012-11-23,24-243,MEM,HOME,LAL,W (+8),0,7:39,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,2.0,-7,Darrell Arthur
2012-11-26,24-246,MEM,HOME,CLE,W (+6),0,18:12,1,5,.200,0,0,,0,0,,1,2,3,1,0,2,0,0,2,2.3,-1,Darrell Arthur
2012-11-30,24-250,MEM,HOME,DET,W (+12),0,14:43,5,8,.625,0,0,,1,1,1.000,0,1,1,1,0,0,0,3,11,7.2,+9,Darrell Arthur
2012-12-01,24-251,MEM,AWAY,SAS,L (-4),0,15:00,5,8,.625,0,0,,0,0,,2,0,2,0,0,0,2,1,10,5.4,+14,Darrell Arthur
2012-12-04,24-254,MEM,HOME,PHO,W (+10),0,21:07,3,8,.375,0,1,.000,0,0,,1,1,2,1,2,2,2,4,6,3.1,+10,Darrell Arthur
2012-12-07,24-257,MEM,AWAY,NOH,W (+7),0,12:24,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,3,2,-1.2,-10,Darrell Arthur
2012-12-08,24-258,MEM,HOME,ATL,L (-10),0,12:30,2,7,.286,0,0,,0,0,,1,1,2,1,0,0,1,3,4,-0.6,+2,Darrell Arthur
2012-12-12,24-262,MEM,AWAY,PHO,L (-2),0,17:07,3,6,.500,0,1,.000,2,2,1.000,0,3,3,0,1,0,0,3,8,5.7,0,Darrell Arthur
2012-12-14,24-264,MEM,AWAY,DEN,L (-5),0,1:55,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-1.1,+4,Darrell Arthur
2012-12-15,24-265,MEM,AWAY,UTA,W (+13),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Darrell Arthur
2012-12-17,24-267,MEM,HOME,CHI,W (+9),0,9:53,2,4,.500,0,0,,1,2,.500,1,0,1,1,0,1,0,2,5,3.9,+5,Darrell Arthur
2012-12-19,24-269,MEM,HOME,MIL,W (+10),0,16:39,1,4,.250,0,0,,2,2,1.000,2,1,3,2,1,0,2,2,4,2.9,-1,Darrell Arthur
2012-12-21,24-271,MEM,HOME,DAL,W (+10),0,18:29,3,6,.500,0,0,,0,0,,1,5,6,1,1,0,1,1,6,5.5,-3,Darrell Arthur
2012-12-22,24-272,MEM,AWAY,HOU,L (-25),0,22:44,4,8,.500,0,0,,0,0,,1,3,4,0,0,1,1,2,8,4.5,-17,Darrell Arthur
2012-12-26,24-276,MEM,HOME,PHI,L (-10),0,15:27,3,6,.500,0,1,.000,2,2,1.000,0,3,3,1,0,1,1,2,8,5.5,-8,Darrell Arthur
2012-12-29,24-279,MEM,HOME,DEN,W (+9),0,17:49,3,7,.429,0,1,.000,0,0,,1,1,2,2,1,1,0,3,6,5.2,-1,Darrell Arthur
2012-12-31,24-281,MEM,AWAY,IND,L (-5),0,17:54,3,6,.500,0,0,,0,0,,1,3,4,0,0,2,4,4,6,0.4,-13,Darrell Arthur
2013-01-02,24-283,MEM,AWAY,BOS,W (+10),0,22:34,4,7,.571,2,3,.667,0,0,,1,2,3,0,0,1,0,1,10,8.3,+6,Darrell Arthur
2013-01-04,24-285,MEM,HOME,POR,L (-2),0,21:18,5,10,.500,0,0,,0,0,,2,3,5,0,1,0,1,1,10,6.9,-4,Darrell Arthur
2013-01-06,24-287,MEM,AWAY,PHO,W (+11),0,10:00,2,3,.667,1,1,1.000,1,2,.500,1,1,2,0,0,0,0,1,6,4.9,0,Darrell Arthur
2013-01-07,24-288,MEM,AWAY,SAC,W (+32),0,17:46,2,4,.500,0,1,.000,1,2,.500,2,4,6,0,0,0,0,3,5,4.0,+11,Darrell Arthur
2013-01-09,24-290,MEM,AWAY,GSW,W (+7),0,13:32,4,5,.800,0,0,,0,0,,0,1,1,2,1,0,0,0,8,8.8,+2,Darrell Arthur
2013-01-11,24-292,MEM,HOME,SAS,W (+3),0,22:41,6,9,.667,0,0,,2,2,1.000,0,5,5,3,2,0,0,2,14,14.9,+11,Darrell Arthur
2013-01-12,24-293,MEM,AWAY,DAL,L (-21),0,27:54,5,13,.385,0,1,.000,1,4,.250,4,5,9,0,0,0,1,4,11,4.4,+2,Darrell Arthur
2013-01-14,24-295,MEM,HOME,LAC,L (-26),0,22:44,4,10,.400,0,1,.000,2,2,1.000,1,2,3,1,0,0,1,2,10,4.8,-17,Darrell Arthur
2013-01-16,24-297,MEM,AWAY,SAS,L (-21),0,22:32,1,4,.250,0,0,,0,0,,1,2,3,0,0,0,1,1,2,-0.5,-11,Darrell Arthur
2013-01-18,24-299,MEM,HOME,SAC,W (+16),0,25:01,3,7,.429,0,0,,1,2,.500,1,6,7,0,1,3,1,3,7,6.3,+5,Darrell Arthur
2013-01-19,24-300,MEM,AWAY,CHI,W (+3),0,19:41,4,7,.571,0,0,,0,0,,1,1,2,1,1,2,3,4,8,4.2,-12,Darrell Arthur
2013-01-21,24-302,MEM,HOME,IND,L (-1),0,16:37,2,7,.286,0,0,,0,0,,1,0,1,1,0,1,0,2,4,1.2,-9,Darrell Arthur
2013-01-23,24-304,MEM,HOME,LAL,W (+13),0,27:47,9,15,.600,0,1,.000,2,2,1.000,4,5,9,3,1,1,0,1,20,20.8,+22,Darrell Arthur
2013-01-25,24-306,MEM,HOME,BRK,W (+24),0,19:31,3,9,.333,0,0,,0,0,,1,4,5,1,0,1,0,3,6,3.0,+4,Darrell Arthur
2013-01-27,24-308,MEM,HOME,NOH,L (-8),0,20:54,3,7,.429,0,0,,2,2,1.000,4,3,7,0,0,1,3,4,8,4.1,-5,Darrell Arthur
