DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2012-11-07,22-032,TOR,AWAY,DAL,L (-5),0,4:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-6,Quincy Acy
2012-11-17,22-042,TOR,AWAY,BOS,L (-18),0,12:06,1,1,1.000,0,0,,4,4,1.000,2,2,4,0,2,1,0,0,6,10.4,+5,Quincy Acy
2012-11-28,22-053,TOR,AWAY,MEM,L (-21),0,4:20,0,1,.000,0,0,,1,2,.500,0,2,2,0,0,0,0,1,1,0.1,-2,Quincy Acy
2012-12-14,22-069,TOR,HOME,DAL,W (+21),0,2:11,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+1,Quincy Acy
2012-12-26,22-081,TOR,AWAY,SAS,L (-20),0,2:57,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,1.0,-3,Quincy Acy
2012-12-29,22-084,TOR,AWAY,ORL,W (+35),0,3:09,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,+9,Quincy Acy
2013-01-02,22-088,TOR,HOME,POR,W (+23),0,4:54,0,0,,0,0,,2,2,1.000,0,0,0,0,0,1,0,2,2,1.9,+1,Quincy Acy
2013-01-04,22-090,TOR,HOME,SAC,L (-9),0,11:35,0,2,.000,0,0,,0,0,,4,1,5,0,0,0,1,3,0,-0.5,+9,Quincy Acy
2013-01-06,22-092,TOR,HOME,OKC,L (-12),0,2:54,1,1,1.000,0,0,,4,4,1.000,0,1,1,0,1,0,0,0,6,7.0,+6,Quincy Acy
2013-01-11,22-097,TOR,HOME,CHA,W (+21),0,18:02,3,7,.429,0,0,,0,0,,5,1,6,0,0,2,2,4,6,3.9,+7,Quincy Acy
2013-01-13,22-099,TOR,HOME,MIL,L (-11),0,13:12,0,3,.000,0,0,,2,2,1.000,1,1,2,0,0,0,1,1,2,-0.5,-20,Quincy Acy
2013-01-15,22-101,TOR,AWAY,BRK,L (-7),0,6:08,2,2,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,0,6,4.4,+6,Quincy Acy
2013-01-16,22-102,TOR,HOME,CHI,L (-2),0,14:50,4,4,1.000,0,0,,0,0,,1,5,6,2,1,1,0,4,8,10.5,+14,Quincy Acy
2013-01-18,22-104,TOR,AWAY,PHI,L (-7),0,14:50,2,3,.667,0,0,,0,0,,2,1,3,0,0,1,1,5,4,2.1,+11,Quincy Acy
2013-01-20,22-106,TOR,HOME,LAL,W (+5),0,8:20,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,1,2,1.6,+1,Quincy Acy
2013-01-23,22-109,TOR,AWAY,MIA,L (-7),0,4:15,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,2,0,0.2,+3,Quincy Acy
2013-01-26,22-112,TOR,HOME,CLE,L (-1),0,11:51,2,4,.500,0,0,,0,0,,0,0,0,0,0,2,1,3,4,1.2,-1,Quincy Acy
2013-01-30,22-116,TOR,AWAY,ATL,L (-1),0,6:43,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,1,2,1.3,+3,Quincy Acy
2013-02-01,22-118,TOR,HOME,LAC,W (+25),0,2:15,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,1,1,-0.2,-2,Quincy Acy
2013-03-01,22-146,TOR,HOME,IND,L (-12),0,5:21,2,2,1.000,0,0,,2,2,1.000,1,0,1,0,1,1,0,4,6,6.2,+6,Quincy Acy
2013-04-01,22-177,TOR,HOME,DET,L (-10),0,7:44,2,3,.667,0,0,,0,0,,1,2,3,1,1,0,0,2,4,4.9,+1,Quincy Acy
2013-04-03,22-179,TOR,HOME,WAS,W (+10),0,19:54,4,5,.800,0,0,,0,0,,1,2,3,0,0,1,2,5,8,4.1,-4,Quincy Acy
2013-04-05,22-181,TOR,AWAY,MIN,W (+2),0,7:23,0,0,,0,0,,0,0,,0,1,1,1,1,0,1,0,0,1.0,+6,Quincy Acy
2013-04-06,22-182,TOR,AWAY,MIL,L (-17),0,21:00,4,7,.571,1,1,1.000,4,4,1.000,0,2,2,2,2,0,1,3,13,11.5,+8,Quincy Acy
2013-04-09,22-185,TOR,AWAY,CHI,W (+3),0,27:12,2,5,.400,0,0,,4,4,1.000,1,5,6,1,1,1,1,3,8,7.7,+1,Quincy Acy
2013-04-12,22-188,TOR,HOME,CHI,W (+9),0,34:57,3,5,.600,0,0,,4,6,.667,4,5,9,0,1,3,0,2,10,13.5,+21,Quincy Acy
2013-04-14,22-190,TOR,HOME,BRK,W (+6),0,22:43,2,4,.500,0,0,,0,0,,2,2,4,2,0,0,2,1,4,3.0,-2,Quincy Acy
2013-04-16,22-192,TOR,AWAY,ATL,W (+17),0,22:00,2,5,.400,0,1,.000,1,2,.500,2,5,7,1,0,1,1,2,5,4.4,+7,Quincy Acy
2013-04-17,22-193,TOR,HOME,BOS,W (+24),0,25:26,2,4,.500,0,0,,0,2,.000,0,6,6,1,0,0,1,2,4,1.9,+9,Quincy Acy
2012-10-31,30-015,TOR,HOME,IND,L (-2),0,18:50,0,3,.000,0,1,.000,0,0,,1,1,2,4,3,0,1,0,0,3.7,+1,Alan Anderson
2012-11-03,30-018,TOR,AWAY,BRK,L (-7),0,12:37,1,4,.250,1,2,.500,0,0,,0,0,0,0,0,0,2,2,3,-2.2,-5,Alan Anderson
2012-11-04,30-019,TOR,HOME,MIN,W (+19),0,30:51,6,14,.429,4,8,.500,2,2,1.000,1,2,3,1,0,0,0,4,18,11.0,+20,Alan Anderson
2012-11-06,30-021,TOR,AWAY,OKC,L (-20),0,18:39,1,6,.167,0,5,.000,1,2,.500,0,0,0,1,0,1,0,3,3,-1.0,-9,Alan Anderson
2012-11-07,30-022,TOR,AWAY,DAL,L (-5),0,16:05,3,9,.333,2,6,.333,5,5,1.000,0,0,0,0,1,0,0,2,13,8.1,-7,Alan Anderson
2012-11-10,30-025,TOR,HOME,PHI,L (-10),1,27:00,3,8,.375,1,5,.200,0,0,,0,3,3,1,0,0,2,1,7,1.8,+10,Alan Anderson
2012-12-14,30-059,TOR,HOME,DAL,W (+21),0,21:16,0,8,.000,0,3,.000,2,2,1.000,2,3,5,2,1,0,1,2,2,-0.7,+8,Alan Anderson
2012-12-16,30-061,TOR,HOME,HOU,W (+7),0,25:15,6,12,.500,3,7,.429,9,9,1.000,0,2,2,2,0,0,0,5,24,18.0,0,Alan Anderson
2012-12-18,30-063,TOR,AWAY,CLE,W (+14),0,31:35,6,12,.500,5,7,.714,1,2,.500,4,2,6,2,1,0,1,4,18,14.8,+20,Alan Anderson
2012-12-19,30-064,TOR,HOME,DET,W (+6),0,26:14,4,11,.364,3,8,.375,5,7,.714,0,3,3,1,2,0,0,3,16,11.5,+5,Alan Anderson
