2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,eFG%,PLAYER
19.0,0.442,43.0,2.0,0.222,9.0,23.0,19.0,0.0,9.0,21.0,0.404,52.0,10.0,0.625,16.0,15.0,0.0,NBA,162.0,3.0,10.0,PG,54.0,2005-06,7.0,GSW,14.0,12.0,0.423,Will Bynum
153.0,0.474,323.0,3.0,0.158,19.0,26.0,157.0,2.0,56.0,156.0,0.456,342.0,95.0,0.798,119.0,57.0,1.0,NBA,803.0,19.0,85.0,PG,410.0,2008-09,34.0,DET,76.0,75.0,0.461,Will Bynum
225.0,0.47,479.0,12.0,0.218,55.0,27.0,283.0,7.0,118.0,237.0,0.444,534.0,142.0,0.798,178.0,63.0,20.0,NBA,1667.0,24.0,143.0,PG,628.0,2009-10,55.0,DET,115.0,142.0,0.455,Will Bynum
166.0,0.466,356.0,16.0,0.32,50.0,28.0,195.0,4.0,59.0,182.0,0.448,406.0,102.0,0.836,122.0,61.0,5.0,NBA,1125.0,15.0,113.0,PG,482.0,2010-11,52.0,DET,83.0,74.0,0.468,Will Bynum
67.0,0.406,165.0,7.0,0.241,29.0,29.0,66.0,3.0,46.0,74.0,0.381,194.0,49.0,0.766,64.0,36.0,0.0,NBA,514.0,10.0,61.0,PG,204.0,2011-12,23.0,DET,54.0,56.0,0.399,Will Bynum
229.0,0.494,464.0,24.0,0.316,76.0,30.0,231.0,5.0,69.0,253.0,0.469,540.0,106.0,0.809,131.0,65.0,0.0,NBA,1219.0,28.0,128.0,PG,636.0,2012-13,45.0,DET,125.0,97.0,0.491,Will Bynum
164.0,0.446,368.0,20.0,0.323,62.0,31.0,216.0,7.0,75.0,184.0,0.428,430.0,97.0,0.802,121.0,56.0,3.0,NBA,1054.0,24.0,121.0,PG,485.0,2013-14,39.0,DET,103.0,99.0,0.451,Will Bynum
10.0,0.455,22.0,0.0,0.0,9.0,32.0,18.0,1.0,4.0,10.0,0.323,31.0,2.0,0.5,4.0,7.0,0.0,NBA,67.0,2.0,9.0,SG,22.0,2014-15,1.0,WAS,8.0,6.0,0.323,Will Bynum
123.0,0.447,275.0,59.0,0.319,185.0,20.0,55.0,12.0,118.0,182.0,0.396,460.0,47.0,0.77,61.0,80.0,41.0,NBA,1583.0,38.0,145.0,SG,470.0,2013-14,75.0,DET,28.0,156.0,0.46,Kentavious Caldwell-Pope
237.0,0.449,528.0,153.0,0.345,444.0,21.0,109.0,18.0,209.0,390.0,0.401,972.0,110.0,0.696,158.0,82.0,82.0,NBA,2587.0,46.0,161.0,SG,1043.0,2014-15,93.0,DET,94.0,255.0,0.48,Kentavious Caldwell-Pope
289.0,0.489,591.0,114.0,0.309,369.0,22.0,138.0,17.0,212.0,403.0,0.42,960.0,185.0,0.811,228.0,76.0,76.0,NBA,2789.0,70.0,167.0,SG,1105.0,2015-16,110.0,DET,105.0,282.0,0.479,Kentavious Caldwell-Pope
