SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
2010-11,21.0,LAC,NBA,PG,81.0,25.0,1841.0,5.8,13.6,0.424,0.9,3.3,0.276,4.9,10.4,0.47,2.8,3.7,0.744,1.9,4.4,6.3,8.1,2.6,0.7,5.4,3.7,15.2,93.0,108.0,Eric Bledsoe
2011-12,22.0,LAC,NBA,PG,40.0,1.0,464.0,5.7,14.6,0.389,0.7,3.5,0.2,5.0,11.1,0.448,3.2,5.1,0.636,2.6,5.0,7.5,7.7,3.6,1.6,5.5,6.7,15.3,90.0,102.0,Eric Bledsoe
2012-13,23.0,LAC,NBA,PG,76.0,12.0,1553.0,8.6,19.3,0.445,1.1,2.6,0.397,7.5,16.6,0.453,3.6,4.5,0.791,2.6,5.0,7.6,7.9,3.7,1.9,4.6,3.8,21.8,102.0,101.0,Eric Bledsoe
2013-14,24.0,PHO,NBA,PG,43.0,40.0,1416.0,9.4,19.7,0.477,1.8,5.0,0.357,7.6,14.7,0.517,6.5,8.4,0.772,1.0,6.2,7.2,8.3,2.4,0.5,5.1,3.5,27.0,110.0,106.0,Eric Bledsoe
2014-15,25.0,PHO,NBA,PG,81.0,81.0,2800.0,8.3,18.6,0.447,1.6,4.8,0.324,6.8,13.8,0.491,6.3,7.9,0.8,1.3,6.2,7.5,8.8,2.3,0.8,4.9,3.4,24.5,107.0,106.0,Eric Bledsoe
2015-16,26.0,PHO,NBA,PG,31.0,31.0,1059.0,10.3,22.6,0.453,2.2,5.9,0.372,8.1,16.7,0.482,6.3,7.9,0.802,0.8,4.9,5.8,8.7,2.9,0.9,5.1,3.5,29.1,107.0,107.0,Eric Bledsoe
2016-17,27.0,PHO,NBA,PG,66.0,66.0,2176.0,9.9,22.7,0.434,2.3,6.8,0.335,7.6,15.9,0.477,8.5,10.1,0.847,1.1,5.9,7.0,9.2,2.0,0.7,4.9,3.6,30.6,111.0,112.0,Eric Bledsoe
2017-18,28.0,TOT,NBA,PG,74.0,74.0,2322.0,10.0,21.2,0.473,2.7,7.7,0.347,7.4,13.5,0.545,5.4,6.8,0.795,1.1,5.0,6.1,7.9,3.2,0.9,4.6,4.0,28.2,109.0,108.0,Eric Bledsoe
2017-18,28.0,PHO,NBA,PG,3.0,3.0,83.0,9.2,23.1,0.4,2.3,7.5,0.308,6.9,15.6,0.444,6.3,8.1,0.786,1.7,2.3,4.0,5.2,2.3,1.2,5.8,3.5,27.1,94.0,113.0,Eric Bledsoe
2017-18,28.0,MIL,NBA,PG,71.0,71.0,2239.0,10.1,21.1,0.476,2.7,7.7,0.349,7.4,13.4,0.55,5.4,6.7,0.795,1.1,5.1,6.2,8.0,3.2,0.9,4.6,4.0,28.2,109.0,108.0,Eric Bledsoe
2018-19,29.0,MIL,NBA,PG,78.0,78.0,2272.0,9.6,19.9,0.484,2.5,7.7,0.329,7.1,12.2,0.582,3.6,4.8,0.75,1.7,5.7,7.4,8.8,2.4,0.6,3.4,3.2,25.4,116.0,105.0,Eric Bledsoe
2019-20,30.0,MIL,NBA,PG,61.0,61.0,1646.0,9.3,19.5,0.475,2.1,6.0,0.344,7.2,13.5,0.533,4.7,5.9,0.79,1.2,6.6,7.8,9.1,1.6,0.7,4.1,3.6,25.3,112.0,104.0,Eric Bledsoe
2020-21,31.0,NOP,NBA,SG,71.0,70.0,2111.0,7.0,16.6,0.421,2.7,8.1,0.341,4.2,8.5,0.496,3.0,4.4,0.687,0.7,4.9,5.5,6.1,1.2,0.5,2.6,2.5,19.7,108.0,116.0,Eric Bledsoe
2021-22,32.0,LAC,NBA,PG,54.0,29.0,1361.0,7.1,16.8,0.421,1.8,5.9,0.313,5.3,11.0,0.479,3.2,4.2,0.761,1.0,5.5,6.6,8.1,2.5,0.7,4.2,3.1,19.2,100.0,110.0,Eric Bledsoe
2013-14,27.0,PHO,NBA,SF,31.0,0.0,198.0,5.6,15.7,0.355,2.3,7.8,0.29,3.3,7.8,0.419,4.6,6.1,0.75,3.3,6.3,9.6,2.0,0.5,0.8,1.5,4.8,18.0,109.0,110.0,Dionte Christmas
2008-09,22.0,PHO,NBA,PG,55.0,1.0,728.0,6.0,15.4,0.393,1.4,3.7,0.37,4.7,11.7,0.4,3.4,4.5,0.769,2.3,4.8,7.1,7.6,2.0,0.2,5.0,6.0,16.9,96.0,113.0,Goran Dragić
2009-10,23.0,PHO,NBA,PG,80.0,2.0,1442.0,7.8,17.1,0.452,2.6,6.6,0.394,5.2,10.6,0.488,4.1,5.6,0.736,1.3,4.6,6.0,8.4,1.7,0.3,4.4,4.6,22.2,110.0,112.0,Goran Dragić
2010-11,24.0,TOT,NBA,PG,70.0,5.0,1234.0,7.9,18.2,0.435,2.3,6.4,0.361,5.6,11.8,0.476,3.4,5.5,0.624,1.5,4.4,5.9,8.4,2.1,0.4,4.8,5.2,21.6,100.0,111.0,Goran Dragić
2010-11,24.0,PHO,NBA,PG,48.0,2.0,856.0,7.9,18.8,0.421,1.7,6.0,0.277,6.2,12.8,0.488,3.5,5.8,0.608,1.4,3.7,5.1,8.9,2.1,0.4,5.7,5.3,21.0,93.0,111.0,Goran Dragić
2010-11,24.0,HOU,NBA,PG,22.0,3.0,378.0,8.0,16.8,0.472,3.8,7.3,0.519,4.2,9.6,0.437,3.2,4.9,0.667,1.6,5.9,7.5,7.4,1.9,0.5,2.8,4.7,22.9,120.0,109.0,Goran Dragić
2011-12,25.0,HOU,NBA,PG,66.0,28.0,1752.0,8.3,17.9,0.462,2.0,6.0,0.337,6.2,11.9,0.525,4.6,5.7,0.805,1.6,3.4,5.0,10.5,2.5,0.3,4.7,5.0,23.2,111.0,106.0,Goran Dragić
2012-13,26.0,PHO,NBA,PG,77.0,77.0,2581.0,8.0,18.0,0.443,1.8,5.5,0.319,6.2,12.5,0.497,4.9,6.5,0.748,1.2,3.5,4.7,11.3,2.5,0.5,4.2,4.3,22.6,109.0,109.0,Goran Dragić
2013-14,27.0,PHO,NBA,SG,76.0,75.0,2668.0,10.4,20.5,0.505,2.3,5.6,0.408,8.1,14.9,0.542,5.9,7.8,0.76,1.3,3.3,4.6,8.4,2.0,0.4,4.0,3.9,29.0,119.0,109.0,Goran Dragić
2014-15,28.0,TOT,NBA,"PG,SG",78.0,78.0,2640.0,9.7,19.3,0.501,1.7,5.0,0.347,7.9,14.3,0.555,3.5,4.5,0.774,1.6,3.7,5.3,6.7,1.5,0.3,3.3,3.8,24.5,112.0,110.0,Goran Dragić
2014-15,28.0,PHO,NBA,SG,52.0,52.0,1735.0,9.8,19.5,0.501,1.9,5.3,0.355,7.9,14.2,0.556,2.8,3.7,0.746,1.5,3.9,5.3,6.1,1.4,0.3,3.3,3.4,24.2,111.0,110.0,Goran Dragić
2014-15,28.0,MIA,NBA,PG,26.0,26.0,905.0,9.5,18.8,0.502,1.4,4.3,0.329,8.1,14.6,0.552,4.9,6.1,0.808,1.8,3.4,5.2,8.1,1.6,0.4,3.4,4.4,25.2,115.0,110.0,Goran Dragić
2015-16,29.0,MIA,NBA,PG,72.0,72.0,2363.0,9.1,19.0,0.477,1.4,4.4,0.312,7.7,14.5,0.527,2.6,3.6,0.727,1.2,4.8,6.0,9.1,1.5,0.4,4.0,4.1,22.1,105.0,107.0,Goran Dragić
2016-17,30.0,MIA,NBA,PG,73.0,73.0,2459.0,10.9,23.0,0.475,2.4,5.9,0.405,8.5,17.1,0.499,6.1,7.7,0.79,1.3,4.4,5.7,8.7,1.8,0.3,4.3,4.1,30.4,112.0,109.0,Goran Dragić
2017-18,31.0,MIA,NBA,PG,75.0,75.0,2378.0,10.2,22.7,0.45,2.3,6.3,0.37,7.9,16.4,0.481,4.6,5.7,0.801,1.1,5.3,6.5,7.6,1.3,0.3,3.5,3.8,27.4,108.0,109.0,Goran Dragić
2018-19,32.0,MIA,NBA,PG,36.0,22.0,991.0,8.8,21.3,0.413,2.8,8.1,0.348,6.0,13.3,0.454,3.9,5.0,0.782,1.0,4.5,5.5,8.6,1.5,0.2,3.5,4.0,24.4,106.0,111.0,Goran Dragić
2019-20,33.0,MIA,NBA,PG,59.0,3.0,1663.0,9.4,21.3,0.441,3.6,9.9,0.367,5.7,11.3,0.505,5.6,7.2,0.776,0.9,4.6,5.5,8.8,1.2,0.3,4.2,3.6,28.0,110.0,113.0,Goran Dragić
2020-21,34.0,MIA,NBA,PG,50.0,11.0,1337.0,8.9,20.6,0.432,3.4,9.1,0.373,5.5,11.6,0.479,3.8,4.5,0.828,0.9,5.4,6.3,8.1,1.2,0.3,4.4,4.2,25.0,104.0,114.0,Goran Dragić
2021-22,35.0,TOT,NBA,PG,21.0,8.0,498.0,5.6,14.8,0.377,1.6,6.2,0.254,4.0,8.6,0.466,2.6,3.2,0.818,1.3,5.1,6.4,8.4,1.9,0.4,3.3,4.4,15.4,102.0,114.0,Goran Dragić
2021-22,35.0,TOR,NBA,PG,5.0,2.0,90.0,7.2,18.9,0.382,2.2,7.8,0.286,5.0,11.1,0.45,5.6,5.6,1.0,1.1,6.7,7.8,5.0,2.8,0.6,0.6,4.4,22.2,122.0,109.0,Goran Dragić
2021-22,35.0,BRK,NBA,PG,16.0,6.0,408.0,5.2,13.9,0.376,1.4,5.8,0.245,3.8,8.1,0.471,2.0,2.7,0.739,1.3,4.8,6.1,9.1,1.7,0.4,3.9,4.4,13.9,98.0,115.0,Goran Dragić
2022-23,36.0,TOT,NBA,PG,58.0,0.0,870.0,7.9,18.7,0.421,2.9,8.1,0.359,5.0,10.6,0.468,1.7,2.5,0.689,0.9,3.6,4.5,8.4,0.7,0.2,3.5,3.6,20.4,103.0,117.0,Goran Dragić
2022-23,36.0,CHI,NBA,PG,51.0,0.0,787.0,7.9,18.5,0.425,2.8,7.9,0.352,5.1,10.6,0.48,1.7,2.5,0.659,0.8,3.5,4.3,8.6,0.7,0.2,3.5,3.9,20.2,103.0,117.0,Goran Dragić
2022-23,36.0,MIL,NBA,PG,7.0,0.0,83.0,8.1,20.7,0.389,4.0,9.8,0.412,4.0,10.9,0.368,2.3,2.3,1.0,1.7,5.2,6.9,6.9,1.2,0.0,4.0,1.2,22.4,104.0,115.0,Goran Dragić
2005-06,22.0,NYK,NBA,C,65.0,14.0,1572.0,10.3,21.5,0.477,0.1,0.3,0.333,10.2,21.2,0.479,6.4,7.7,0.825,4.6,7.9,12.6,1.8,1.0,1.6,3.3,6.7,27.0,110.0,110.0,Channing Frye
2006-07,23.0,NYK,NBA,PF,72.0,59.0,1896.0,8.3,19.2,0.433,0.1,0.5,0.167,8.2,18.7,0.44,2.4,3.0,0.787,2.5,8.5,11.0,1.9,1.0,1.2,2.8,6.0,19.1,95.0,108.0,Channing Frye
2007-08,24.0,POR,NBA,C,78.0,20.0,1342.0,9.0,18.4,0.488,0.1,0.4,0.3,8.9,18.0,0.492,3.5,4.4,0.78,4.4,10.0,14.4,2.3,1.2,1.1,2.2,8.5,21.6,109.0,106.0,Channing Frye
2008-09,25.0,POR,NBA,PF,63.0,1.0,746.0,8.4,19.8,0.423,0.8,2.5,0.333,7.6,17.4,0.436,1.9,2.7,0.722,3.0,7.4,10.4,1.8,1.3,1.2,2.2,7.9,19.5,100.0,108.0,Channing Frye
2009-10,26.0,PHO,NBA,C,81.0,41.0,2190.0,7.3,16.2,0.451,4.0,9.0,0.439,3.3,7.2,0.466,2.3,2.8,0.81,1.5,8.3,9.8,2.6,1.5,1.7,1.7,6.0,20.8,120.0,108.0,Channing Frye
2010-11,27.0,PHO,NBA,PF,77.0,64.0,2541.0,7.2,16.6,0.432,3.4,8.8,0.39,3.7,7.8,0.479,1.8,2.1,0.832,1.3,9.0,10.3,1.9,0.9,1.6,1.5,5.4,19.5,110.0,109.0,Channing Frye
2011-12,28.0,PHO,NBA,PF,64.0,59.0,1669.0,7.9,19.0,0.416,2.8,8.2,0.346,5.1,10.9,0.469,2.3,2.5,0.89,2.2,9.6,11.8,2.7,1.3,2.2,2.0,5.5,20.9,106.0,104.0,Channing Frye
2013-14,30.0,PHO,NBA,PF,82.0,82.0,2312.0,7.3,16.9,0.432,3.5,9.4,0.37,3.8,7.5,0.509,1.7,2.1,0.821,1.6,7.4,9.0,2.1,1.3,1.4,1.9,5.3,19.7,111.0,107.0,Channing Frye
2014-15,31.0,ORL,NBA,PF,75.0,51.0,1870.0,5.2,13.3,0.392,3.7,9.5,0.393,1.5,3.9,0.39,0.8,1.0,0.886,0.7,7.3,8.0,2.6,1.3,1.1,2.1,5.2,15.0,101.0,108.0,Channing Frye
