# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
1.0,0.0,0.25,0.0,0.083,0.75,0.417,0.25,0.333,0.083,0.667,0.0,0.0,1.0,0.222,0.0,1.0,0.667,1.0,19.0,0.0,10.3,0.333,8.0,NBA,23.0,SF,2014-15,TOR,Bruno Caboclo
0.0,0.0,0.0,0.083,0.167,0.417,0.167,0.583,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.143,0.2,20.0,0.0,18.9,0.083,6.0,NBA,43.0,SF,2015-16,TOR,Bruno Caboclo
1.0,0.0,0.313,0.0,0.188,0.625,0.125,0.375,0.5,0.063,0.4,0.0,0.667,0.5,0.4,0.0,1.0,0.333,0.0,21.0,0.0,13.5,0.375,9.0,NBA,40.0,SF,2016-17,TOR,Bruno Caboclo
1.0,0.0,0.161,0.161,0.032,0.452,0.097,0.548,0.353,0.032,0.6,0.6,0.0,0.333,0.429,0.0,1.0,0.176,0.333,22.0,0.0,16.6,0.29,12.0,NBA,107.0,SF,2017-18,TOT,Bruno Caboclo
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,23.5,0.0,2.0,NBA,7.0,SF,2017-18,TOR,Bruno Caboclo
1.0,0.0,0.172,0.172,0.034,0.483,0.103,0.517,0.333,0.034,0.6,0.6,0.0,0.333,0.429,0.0,1.0,0.2,0.4,22.0,0.0,16.1,0.31,10.0,NBA,100.0,SF,2017-18,SAC,Bruno Caboclo
10.0,0.0,0.276,0.013,0.013,0.422,0.12,0.578,0.4,0.053,0.597,0.0,1.0,0.667,0.505,0.296,0.979,0.369,0.327,23.0,1.0,15.8,0.427,34.0,NBA,800.0,PF,2018-19,MEM,Bruno Caboclo
10.0,0.0,0.427,0.0,0.056,0.629,0.146,0.371,0.424,0.135,0.658,0.0,0.4,0.656,0.571,0.385,0.833,0.182,0.286,24.0,0.0,11.8,0.427,30.0,NBA,244.0,C,2019-20,TOT,Bruno Caboclo
7.0,0.0,0.435,0.0,0.058,0.638,0.145,0.362,0.44,0.13,0.633,0.0,0.5,0.708,0.545,0.3,1.0,0.16,0.273,24.0,0.0,11.5,0.406,22.0,NBA,192.0,C,2019-20,MEM,Bruno Caboclo
3.0,0.0,0.4,0.0,0.05,0.6,0.15,0.4,0.375,0.15,0.75,0.0,0.0,0.5,0.667,0.667,0.5,0.25,0.333,24.0,0.0,13.0,0.5,8.0,NBA,52.0,C,2019-20,HOU,Bruno Caboclo
4.0,0.0,0.353,0.0,0.0,0.706,0.353,0.294,0.4,0.235,1.0,0.0,0.0,0.625,0.667,0.333,0.0,0.0,0.0,25.0,0.0,9.6,0.471,6.0,NBA,36.0,PF,2020-21,HOU,Bruno Caboclo
49.0,0.0,0.449,0.084,0.313,0.969,0.123,0.031,0.625,0.107,0.622,0.465,0.356,0.673,0.506,0.492,1.0,0.25,0.4,20.0,2.0,9.1,0.498,77.0,NBA,1664.0,SG,2009-10,TOR,DeMar DeRozan
60.0,0.0,0.297,0.176,0.312,0.955,0.17,0.045,0.346,0.059,0.606,0.453,0.392,0.594,0.485,0.474,0.6,0.096,0.167,21.0,4.0,11.2,0.467,82.0,NBA,2851.0,SG,2010-11,TOR,DeMar DeRozan
35.0,0.0,0.248,0.179,0.329,0.898,0.142,0.102,0.272,0.043,0.589,0.407,0.343,0.63,0.44,0.445,0.792,0.261,0.4,22.0,2.0,12.7,0.422,63.0,NBA,2206.0,SG,2011-12,TOR,DeMar DeRozan
54.0,0.0,0.202,0.187,0.365,0.903,0.149,0.097,0.292,0.045,0.659,0.391,0.414,0.527,0.463,0.404,0.882,0.283,0.343,23.0,0.0,13.0,0.445,82.0,NBA,3013.0,SG,2012-13,TOR,DeMar DeRozan
38.0,0.0,0.153,0.182,0.362,0.851,0.154,0.149,0.433,0.028,0.712,0.395,0.395,0.465,0.451,0.392,0.844,0.305,0.385,24.0,0.0,14.2,0.429,79.0,NBA,3017.0,SG,2013-14,TOR,DeMar DeRozan
29.0,0.0,0.193,0.228,0.337,0.911,0.153,0.089,0.659,0.033,0.644,0.372,0.353,0.417,0.426,0.391,0.96,0.284,0.379,25.0,1.0,12.3,0.413,60.0,NBA,2100.0,SG,2014-15,TOR,DeMar DeRozan
36.0,0.0,0.226,0.214,0.247,0.899,0.213,0.101,0.424,0.029,0.63,0.415,0.359,0.252,0.458,0.433,0.83,0.338,0.441,26.0,3.0,11.2,0.446,78.0,NBA,2804.0,SG,2015-16,TOR,DeMar DeRozan
28.0,0.0,0.158,0.236,0.31,0.92,0.216,0.08,0.395,0.02,0.668,0.493,0.384,0.188,0.484,0.482,0.848,0.266,0.408,27.0,3.0,12.6,0.467,74.0,NBA,2620.0,SG,2016-17,TOR,DeMar DeRozan
28.0,0.0,0.199,0.243,0.186,0.797,0.168,0.203,0.289,0.021,0.676,0.442,0.403,0.263,0.494,0.456,0.674,0.31,0.301,28.0,4.0,12.9,0.456,80.0,NBA,2711.0,SG,2017-18,TOR,DeMar DeRozan
20.0,0.0,0.216,0.272,0.241,0.966,0.236,0.034,0.489,0.015,0.715,0.412,0.401,0.276,0.492,0.474,1.0,0.156,0.273,29.0,1.0,10.8,0.481,77.0,NBA,2688.0,SG,2018-19,SAS,DeMar DeRozan
30.0,0.0,0.266,0.263,0.19,0.967,0.248,0.033,0.286,0.03,0.731,0.475,0.432,0.27,0.54,0.488,0.889,0.257,0.4,30.0,2.0,9.9,0.531,68.0,NBA,2316.0,SF,2019-20,SAS,DeMar DeRozan
17.0,0.0,0.191,0.282,0.178,0.92,0.268,0.08,0.324,0.021,0.636,0.459,0.482,0.248,0.515,0.51,0.947,0.257,0.292,31.0,0.0,11.0,0.495,61.0,NBA,2056.0,PF,2020-21,SAS,DeMar DeRozan
33.0,0.0,0.164,0.297,0.288,0.907,0.158,0.093,0.387,0.026,0.671,0.511,0.457,0.217,0.52,0.494,0.9,0.352,0.327,32.0,4.0,13.0,0.504,76.0,NBA,2743.0,PF,2021-22,CHI,DeMar DeRozan
29.0,0.0,0.165,0.263,0.338,0.891,0.125,0.109,0.31,0.023,0.735,0.499,0.459,0.244,0.526,0.491,0.848,0.324,0.318,33.0,1.0,13.7,0.504,74.0,NBA,2682.0,SF,2022-23,CHI,DeMar DeRozan
41.0,0.0,0.349,0.037,0.1,0.636,0.151,0.364,0.365,0.07,0.729,0.318,0.433,0.582,0.556,0.297,1.0,0.393,0.45,22.0,3.0,12.8,0.497,82.0,NBA,2541.0,SG,2010-11,NYK,Landry Fields
48.0,0.0,0.442,0.09,0.078,0.764,0.154,0.236,0.38,0.097,0.661,0.391,0.325,0.556,0.523,0.304,0.968,0.256,0.217,23.0,0.0,9.9,0.46,66.0,NBA,1894.0,SG,2011-12,NYK,Landry Fields
18.0,0.0,0.439,0.135,0.076,0.937,0.287,0.063,0.429,0.081,0.612,0.267,0.412,0.73,0.478,0.391,1.0,0.143,0.167,24.0,0.0,7.0,0.457,51.0,NBA,1037.0,SF,2012-13,TOR,Landry Fields
7.0,0.0,0.448,0.09,0.045,0.925,0.343,0.075,0.4,0.134,0.567,0.167,0.0,0.556,0.435,0.391,0.0,0.0,0.0,25.0,0.0,6.5,0.403,30.0,NBA,322.0,SF,2013-14,TOR,Landry Fields
3.0,0.0,0.463,0.146,0.0,0.951,0.341,0.049,1.0,0.073,0.684,0.5,0.0,0.632,0.487,0.214,1.0,0.5,0.5,26.0,0.0,5.0,0.488,26.0,NBA,216.0,SF,2014-15,TOR,Landry Fields
11.0,0.0,0.289,0.173,0.262,0.982,0.258,0.018,0.25,0.053,0.492,0.308,0.339,0.63,0.367,0.293,0.0,0.0,0.0,24.0,0.0,9.4,0.36,29.0,NBA,511.0,PF,2009-10,IND,Tyler Hansbrough
34.0,0.0,0.258,0.173,0.354,0.997,0.212,0.003,0.0,0.059,0.601,0.387,0.452,0.618,0.466,0.392,0.0,0.0,0.0,25.0,0.0,10.6,0.465,70.0,NBA,1535.0,PF,2010-11,IND,Tyler Hansbrough
12.0,0.0,0.28,0.111,0.34,0.998,0.267,0.002,0.0,0.025,0.604,0.321,0.362,0.603,0.406,0.289,0.0,0.0,0.0,26.0,1.0,9.8,0.405,66.0,NBA,1442.0,PF,2011-12,IND,Tyler Hansbrough
32.0,0.0,0.464,0.084,0.211,0.993,0.233,0.007,0.0,0.093,0.577,0.176,0.337,0.528,0.436,0.337,0.0,0.0,0.0,27.0,0.0,7.1,0.432,81.0,NBA,1366.0,PF,2012-13,IND,Tyler Hansbrough
18.0,0.0,0.531,0.031,0.071,0.99,0.357,0.01,0.5,0.097,0.567,0.167,0.286,0.634,0.479,0.414,0.0,0.0,0.0,28.0,0.0,4.6,0.474,64.0,NBA,978.0,PF,2013-14,TOR,Tyler Hansbrough
21.0,0.0,0.648,0.024,0.036,0.958,0.248,0.042,1.0,0.127,0.57,0.25,0.5,0.765,0.538,0.488,1.0,0.143,0.143,29.0,0.0,3.5,0.521,74.0,NBA,1058.0,PF,2014-15,TOR,Tyler Hansbrough
9.0,0.0,0.606,0.028,0.014,0.958,0.31,0.042,0.0,0.141,0.581,0.5,0.0,0.567,0.441,0.182,1.0,0.667,0.0,30.0,0.0,3.5,0.451,44.0,NBA,343.0,PF,2015-16,CHO,Tyler Hansbrough
4.0,0.0,0.848,0.01,0.019,0.99,0.114,0.01,0.0,0.048,0.596,0.0,0.0,0.593,0.567,0.5,0.0,0.0,0.0,22.0,1.0,1.7,0.562,40.0,NBA,535.0,PF,2005-06,HOU,Chuck Hayes
