SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2012-13,19.0,WAS,NBA,SG,56,46,31.2,5.0,12.3,0.41,1.6,4.2,0.386,3.4,8.1,0.424,0.477,2.2,2.8,0.786,0.8,3.0,3.8,2.4,0.9,0.5,1.6,2.0,13.9,Bradley Beal
2013-14,20.0,WAS,NBA,SG,73,73,34.7,6.6,15.7,0.419,1.9,4.7,0.402,4.7,11.0,0.426,0.479,2.0,2.6,0.788,0.7,3.0,3.7,3.3,1.0,0.2,1.8,2.1,17.1,Bradley Beal
2014-15,21.0,WAS,NBA,SG,63,59,33.4,5.8,13.5,0.427,1.7,4.1,0.409,4.1,9.4,0.434,0.489,2.1,2.6,0.783,0.9,2.9,3.8,3.1,1.2,0.3,2.0,2.2,15.3,Bradley Beal
2015-16,22.0,WAS,NBA,SG,55,35,31.1,6.5,14.5,0.449,1.9,4.9,0.387,4.6,9.6,0.481,0.515,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1.0,0.2,2.0,2.1,17.4,Bradley Beal
2016-17,23.0,WAS,NBA,SG,77,77,34.9,8.3,17.2,0.482,2.9,7.2,0.404,5.4,10.0,0.538,0.566,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1,Bradley Beal
2017-18,24.0,WAS,NBA,SG,82,82,36.3,8.3,18.1,0.46,2.4,6.5,0.375,5.9,11.6,0.507,0.527,3.6,4.5,0.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2.0,22.6,Bradley Beal
2018-19,25.0,WAS,NBA,SG,82,82,36.9,9.3,19.6,0.475,2.5,7.3,0.351,6.8,12.4,0.548,0.54,4.4,5.5,0.808,1.1,3.9,5.0,5.5,1.5,0.7,2.7,2.8,25.6,Bradley Beal
2019-20,26.0,WAS,NBA,SG,57,57,36.0,10.4,22.9,0.455,3.0,8.4,0.353,7.4,14.4,0.515,0.52,6.8,8.0,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5,Bradley Beal
2020-21,27.0,WAS,NBA,SG,60,60,35.8,11.2,23.0,0.485,2.2,6.2,0.349,9.0,16.8,0.535,0.532,6.8,7.7,0.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.3,Bradley Beal
2021-22,28.0,WAS,NBA,SG,40,40,36.0,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14.0,0.508,0.492,4.2,5.1,0.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,Bradley Beal
2022-23,29.0,WAS,NBA,SG,50,50,33.5,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,0.551,3.8,4.6,0.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,Bradley Beal
2009-10,20.0,SAS,NBA,PF,82,23,18.2,3.4,6.0,.556,0.0,0.0,.000,3.4,6.0,.558,.556,1.1,2.0,.547,2.4,4.0,6.4,0.8,0.6,0.5,1.4,2.7,7.8,DeJuan Blair
2010-11,21.0,SAS,NBA,PF,81,65,21.4,3.6,7.2,.501,0.0,0.0,.000,3.6,7.2,.503,.501,1.1,1.7,.657,2.7,4.3,7.0,1.0,1.2,0.5,1.4,2.6,8.3,DeJuan Blair
2011-12,22.0,SAS,NBA,PF,64,62,21.3,4.2,7.9,.534,0.0,0.0,.000,4.2,7.9,.535,.534,1.1,1.9,.613,2.4,3.1,5.5,1.2,0.9,0.2,1.4,2.6,9.5,DeJuan Blair
2012-13,23.0,SAS,NBA,PF,61,16,14.0,2.3,4.4,.524,0.0,0.0,.000,2.3,4.4,.526,.524,0.7,1.1,.629,1.1,2.7,3.8,0.7,0.6,0.2,0.8,1.8,5.4,DeJuan Blair
2013-14,24.0,DAL,NBA,PF,78,13,15.6,2.7,5.0,.534,0.0,0.0,.000,2.7,5.0,.537,.534,1.0,1.6,.636,1.8,2.9,4.7,0.9,0.8,0.3,1.0,2.5,6.4,DeJuan Blair
2014-15,25.0,WAS,NBA,PF,29,0,6.2,0.9,2.0,.456,0.0,0.0,0,0.9,2.0,.456,.456,0.1,0.2,.667,0.6,1.4,1.9,0.1,0.2,0.0,0.4,1.4,1.9,DeJuan Blair
2015-16,26.0,WAS,NBA,C,29,0,7.5,1.0,2.3,.412,0.0,0.0,.000,1.0,2.3,.418,.412,0.2,0.4,.385,0.7,1.3,2.0,0.4,0.3,0.1,0.5,1.8,2.1,DeJuan Blair
2016-17,27.0,Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),DeJuan Blair
2005-06,23.0,GSW,NBA,PG,15,0,10.8,1.4,3.5,.404,0.1,0.6,.222,1.3,2.9,.442,.423,0.7,1.1,.625,0.2,0.6,0.8,1.3,0.5,0.0,0.9,0.7,3.6,Will Bynum
2006-07,24.0,Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Will Bynum
