SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PLAYER
2012-13,23.0,GSW,NBA,SG,61.0,267.0,11.3,0.454,0.293,0.379,2.1,6.8,4.5,13.1,3.2,1.2,11.7,25.7,-0.3,0.3,0.1,0.014,-3.1,0.7,-2.4,0.0,Kent Bazemore
2013-14,24.0,TOT,NBA,SG,67.0,911.0,11.2,0.515,0.373,0.318,1.2,12.6,6.9,15.7,2.3,1.0,16.8,22.6,-0.6,0.8,0.2,0.011,-3.0,-0.2,-3.3,-0.3,Kent Bazemore
2013-14,24.0,GSW,NBA,SG,44.0,268.0,6.2,0.448,0.402,0.371,2.1,14.0,8.1,10.9,2.2,1.7,19.9,23.1,-0.6,0.4,-0.2,-0.034,-6.3,1.2,-5.0,-0.2,Kent Bazemore
2013-14,24.0,LAL,NBA,SG,23.0,643.0,13.3,0.543,0.362,0.297,0.8,12.0,6.4,17.7,2.3,0.8,15.5,22.3,0.0,0.4,0.4,0.029,-1.7,-0.8,-2.5,-0.1,Kent Bazemore
2014-15,25.0,ATL,NBA,SG,75.0,1324.0,9.7,0.52,0.399,0.302,1.9,16.8,9.6,8.6,2.0,2.1,16.3,15.5,-0.4,1.9,1.6,0.057,-3.2,1.1,-2.1,0.0,Kent Bazemore
2015-16,26.0,ATL,NBA,SF,75.0,2083.0,13.4,0.551,0.421,0.208,1.5,18.0,9.9,12.7,2.3,1.4,14.8,20.0,0.3,3.8,4.1,0.094,-1.2,1.5,0.3,1.2,Kent Bazemore
2016-17,27.0,ATL,NBA,SF,73.0,1963.0,11.6,0.504,0.369,0.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,-0.6,2.8,2.1,0.052,-2.1,1.1,-1.0,0.5,Kent Bazemore
2017-18,28.0,ATL,NBA,SG,65.0,1789.0,14.5,0.547,0.405,0.297,1.6,13.9,7.7,20.1,2.7,2.2,17.0,22.5,0.2,2.0,2.2,0.059,-0.4,1.0,0.6,1.2,Kent Bazemore
2018-19,29.0,ATL,NBA,SG,67.0,1643.0,11.9,0.507,0.434,0.253,2.3,14.6,8.3,13.5,2.5,2.2,13.6,22.0,-0.7,1.4,0.7,0.021,-2.5,0.2,-2.3,-0.1,Kent Bazemore
2019-20,30.0,TOT,NBA,SF,68.0,1688.0,9.3,0.499,0.457,0.275,1.7,17.1,9.4,7.4,2.1,2.1,13.2,17.5,-0.9,1.5,0.6,0.017,-3.4,0.3,-3.0,-0.5,Kent Bazemore
2019-20,30.0,POR,NBA,SF,43.0,1111.0,7.5,0.475,0.525,0.221,1.2,14.8,8.1,7.1,1.9,2.4,14.4,15.9,-1.0,0.8,-0.2,-0.008,-3.6,0.4,-3.2,-0.3,Kent Bazemore
2019-20,30.0,SAC,NBA,SF,25.0,577.0,12.6,0.533,0.351,0.361,2.7,21.6,11.9,8.0,2.4,1.5,11.4,20.4,0.1,0.7,0.8,0.065,-3.0,0.3,-2.8,-0.1,Kent Bazemore
2020-21,31.0,GSW,NBA,SF,67.0,1333.0,10.6,0.564,0.469,0.199,2.1,16.0,9.1,11.1,2.4,2.2,16.1,16.3,-0.2,2.1,1.8,0.065,-2.9,1.7,-1.2,0.2,Kent Bazemore
2021-22,32.0,LAL,NBA,SF,39.0,545.0,6.0,0.451,0.576,0.122,2.6,11.0,6.8,8.1,2.2,1.5,12.5,13.2,-0.4,0.5,0.1,0.006,-5.1,0.8,-4.3,-0.3,Kent Bazemore
2013-14,21.0,NYK,NBA,SG,81.0,1875.0,12.7,0.554,0.521,0.186,1.2,6.6,3.8,5.8,1.2,0.3,5.9,19.6,2.7,0.4,3.1,0.08,0.0,-1.8,-1.8,0.1,Tim Hardaway Jr.
2014-15,22.0,NYK,NBA,SG,70.0,1681.0,12.1,0.512,0.494,0.218,0.8,10.2,5.4,13.5,0.6,0.7,9.5,23.8,0.8,0.0,0.8,0.023,0.2,-3.0,-2.8,-0.3,Tim Hardaway Jr.
2015-16,23.0,ATL,NBA,SG,51.0,864.0,11.7,0.563,0.536,0.211,0.9,9.8,5.4,8.9,1.2,0.6,7.4,16.2,0.9,1.0,1.9,0.105,-1.1,0.2,-0.9,0.2,Tim Hardaway Jr.
2016-17,24.0,ATL,NBA,SG,79.0,2154.0,15.2,0.568,0.457,0.235,1.8,9.5,5.7,14.3,1.3,0.6,9.5,22.5,2.7,2.1,4.8,0.107,1.0,-0.4,0.5,1.4,Tim Hardaway Jr.
2017-18,25.0,NYK,NBA,SG,57.0,1885.0,14.4,0.533,0.479,0.209,1.9,11.3,6.6,12.7,1.6,0.5,9.0,23.8,1.6,1.1,2.6,0.067,0.5,-1.1,-0.6,0.7,Tim Hardaway Jr.
2018-19,26.0,TOT,NBA,SG,65.0,2057.0,13.6,0.527,0.48,0.278,1.7,9.8,5.7,12.8,1.3,0.3,8.6,25.4,1.0,0.9,1.8,0.043,-0.1,-2.0,-2.0,0.0,Tim Hardaway Jr.
2018-19,26.0,NYK,NBA,SG,46.0,1499.0,14.4,0.531,0.464,0.321,1.8,9.6,5.6,13.5,1.4,0.3,8.9,25.9,1.0,0.5,1.5,0.048,0.4,-1.9,-1.6,0.2,Tim Hardaway Jr.
2018-19,26.0,DAL,NBA,SG,19.0,558.0,11.6,0.514,0.524,0.161,1.4,10.3,5.9,10.9,1.0,0.3,7.7,23.9,0.0,0.4,0.4,0.03,-1.2,-2.0,-3.2,-0.2,Tim Hardaway Jr.
2019-20,27.0,DAL,NBA,SG,71.0,2091.0,14.5,0.581,0.58,0.206,1.3,10.2,5.8,9.7,0.9,0.2,6.7,21.1,3.4,1.1,4.4,0.102,1.2,-1.4,-0.1,1.0,Tim Hardaway Jr.
2020-21,28.0,DAL,NBA,SG,70.0,1985.0,15.7,0.589,0.581,0.191,1.1,11.5,6.4,9.8,0.8,0.5,6.1,23.4,3.2,1.2,4.3,0.105,2.0,-1.7,0.4,1.2,Tim Hardaway Jr.
2021-22,29.0,DAL,NBA,SG,42.0,1245.0,12.7,0.52,0.574,0.194,1.2,12.8,7.0,11.4,1.5,0.4,5.6,22.0,0.5,1.5,2.0,0.077,-0.4,0.2,-0.2,0.6,Tim Hardaway Jr.
2022-23,30.0,DAL,NBA,SF,71.0,2152.0,12.1,0.554,0.649,0.195,1.1,12.6,6.8,9.0,1.1,0.5,6.1,20.6,1.0,1.3,2.3,0.051,-0.3,-1.5,-1.8,0.1,Tim Hardaway Jr.
2012-13,23.0,PHI,NBA,SG,9.0,142.0,7.6,0.408,0.333,0.167,0.0,11.5,5.6,16.0,1.1,3.3,14.9,19.6,-0.3,0.1,-0.1,-0.042,-4.4,-0.6,-5.0,-0.1,Justin Holiday
2014-15,25.0,GSW,NBA,SG,59.0,657.0,12.1,0.498,0.464,0.191,2.0,9.7,6.0,10.1,3.0,1.4,10.2,18.8,0.2,1.0,1.3,0.092,-2.4,1.0,-1.4,0.1,Justin Holiday
