2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,eFG%,PLAYER
191.0,0.44,434.0,0.0,0.0,2.0,20.0,43.0,52.0,238.0,191.0,0.438,436.0,40.0,0.667,60.0,76.0,64.0,NBA,1464.0,108.0,206.0,PF,422.0,2008-09,52.0,MEM,47.0,346.0,0.438,Darrell Arthur
63.0,0.434,145.0,0.0,0.0,1.0,21.0,15.0,14.0,73.0,63.0,0.432,146.0,17.0,0.567,30.0,32.0,1.0,NBA,457.0,37.0,60.0,PF,143.0,2009-10,14.0,MEM,22.0,110.0,0.432,Darrell Arthur
310.0,0.502,618.0,0.0,0.0,6.0,22.0,53.0,63.0,227.0,310.0,0.497,624.0,109.0,0.813,134.0,80.0,9.0,NBA,1609.0,115.0,228.0,PF,729.0,2010-11,52.0,MEM,88.0,342.0,0.497,Darrell Arthur
157.0,0.46,341.0,5.0,0.278,18.0,24.0,33.0,33.0,101.0,162.0,0.451,359.0,33.0,0.717,46.0,59.0,3.0,NBA,970.0,68.0,126.0,PF,362.0,2012-13,24.0,MEM,43.0,169.0,0.458,Darrell Arthur
138.0,0.399,346.0,24.0,0.375,64.0,25.0,61.0,47.0,158.0,162.0,0.395,410.0,53.0,0.855,62.0,68.0,1.0,NBA,1161.0,52.0,185.0,SF,401.0,2013-14,39.0,DEN,58.0,210.0,0.424,Darrell Arthur
129.0,0.471,274.0,26.0,0.236,110.0,26.0,57.0,26.0,118.0,155.0,0.404,384.0,46.0,0.78,59.0,58.0,4.0,NBA,988.0,53.0,146.0,PF,382.0,2014-15,48.0,DEN,47.0,171.0,0.438,Darrell Arthur
176.0,0.473,372.0,45.0,0.385,117.0,27.0,96.0,48.0,207.0,221.0,0.452,489.0,40.0,0.755,53.0,70.0,16.0,NBA,1516.0,86.0,185.0,PF,527.0,2015-16,53.0,DEN,66.0,293.0,0.498,Darrell Arthur
42.0,0.429,98.0,53.0,0.453,117.0,28.0,42.0,21.0,87.0,95.0,0.442,215.0,19.0,0.864,22.0,41.0,7.0,NBA,639.0,25.0,76.0,PF,262.0,2016-17,19.0,DEN,36.0,112.0,0.565,Darrell Arthur
14.0,0.583,24.0,8.0,0.348,23.0,29.0,9.0,3.0,12.0,22.0,0.468,47.0,2.0,0.667,3.0,19.0,1.0,NBA,141.0,3.0,22.0,PF,54.0,2017-18,8.0,DEN,15.0,15.0,0.553,Darrell Arthur
159.0,0.424,375.0,108.0,0.439,246.0,21.0,250.0,2.0,116.0,267.0,0.43,621.0,208.0,0.893,233.0,72.0,12.0,NBA,1908.0,17.0,140.0,PG,850.0,2008-09,42.0,CHA,119.0,133.0,0.517,D.J. Augustin
98.0,0.381,257.0,70.0,0.393,178.0,22.0,193.0,5.0,86.0,168.0,0.386,435.0,102.0,0.779,131.0,80.0,2.0,NBA,1472.0,11.0,127.0,PG,508.0,2009-10,45.0,CHA,74.0,97.0,0.467,D.J. Augustin
288.0,0.461,625.0,111.0,0.333,333.0,23.0,498.0,3.0,187.0,399.0,0.416,958.0,269.0,0.906,297.0,82.0,82.0,NBA,2757.0,38.0,152.0,PG,1178.0,2010-11,54.0,CHA,155.0,225.0,0.474,D.J. Augustin
