2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,eFG%,PLAYER
2.0,0.4,5.0,0.0,0.0,3.0,23.0,1.0,0.0,1.0,2.0,0.25,8.0,2.0,1.0,2.0,5.0,0.0,NBA,27.0,0.0,5.0,PG,6.0,2015-16,1.0,ORL,3.0,1.0,0.25,Keith Appling
38.0,0.458,83.0,0.0,0.0,0.0,24.0,5.0,22.0,89.0,38.0,0.458,83.0,21.0,0.656,32.0,31.0,6.0,NBA,390.0,38.0,66.0,C,97.0,2013-14,7.0,TOT,18.0,127.0,0.458,Dewayne Dedmon
0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,2.0,4.0,0.0,NBA,6.0,0.0,1.0,C,1.0,2013-14,0.0,GSW,0.0,0.0,0.0,Dewayne Dedmon
15.0,0.517,29.0,0.0,0.0,0.0,24.0,3.0,9.0,38.0,15.0,0.517,29.0,7.0,0.538,13.0,11.0,0.0,NBA,150.0,11.0,28.0,C,37.0,2013-14,0.0,PHI,9.0,49.0,0.517,Dewayne Dedmon
23.0,0.434,53.0,0.0,0.0,0.0,24.0,2.0,13.0,51.0,23.0,0.434,53.0,13.0,0.765,17.0,16.0,6.0,NBA,234.0,27.0,37.0,C,59.0,2013-14,7.0,ORL,9.0,78.0,0.434,Dewayne Dedmon
91.0,0.565,161.0,0.0,0.0,1.0,25.0,9.0,50.0,177.0,91.0,0.562,162.0,34.0,0.531,64.0,59.0,15.0,NBA,845.0,118.0,141.0,C,216.0,2014-15,16.0,ORL,51.0,295.0,0.562,Dewayne Dedmon
99.0,0.559,177.0,0.0,0.0,0.0,26.0,13.0,46.0,161.0,99.0,0.559,177.0,57.0,0.75,76.0,58.0,20.0,NBA,705.0,67.0,109.0,C,255.0,2015-16,22.0,ORL,32.0,228.0,0.559,Dewayne Dedmon
161.0,0.622,259.0,0.0,0.0,0.0,27.0,44.0,61.0,367.0,161.0,0.622,259.0,65.0,0.699,93.0,76.0,37.0,NBA,1330.0,129.0,180.0,C,387.0,2016-17,37.0,SAS,61.0,496.0,0.622,Dewayne Dedmon
200.0,0.595,336.0,50.0,0.355,141.0,28.0,90.0,51.0,389.0,250.0,0.524,477.0,67.0,0.779,86.0,62.0,46.0,NBA,1542.0,100.0,162.0,C,617.0,2017-18,40.0,ATL,86.0,489.0,0.577,Dewayne Dedmon
176.0,0.57,309.0,83.0,0.382,217.0,29.0,90.0,71.0,375.0,259.0,0.492,526.0,92.0,0.814,113.0,64.0,52.0,NBA,1609.0,105.0,214.0,C,693.0,2018-19,69.0,ATL,84.0,480.0,0.571,Dewayne Dedmon
80.0,0.541,148.0,22.0,0.206,107.0,30.0,22.0,41.0,189.0,102.0,0.4,255.0,30.0,0.833,36.0,44.0,18.0,NBA,774.0,60.0,133.0,C,256.0,2019-20,25.0,TOT,57.0,249.0,0.443,Dewayne Dedmon
55.0,0.55,100.0,14.0,0.197,71.0,30.0,15.0,26.0,121.0,69.0,0.404,171.0,23.0,0.821,28.0,34.0,10.0,NBA,541.0,46.0,93.0,C,175.0,2019-20,15.0,SAC,47.0,167.0,0.444,Dewayne Dedmon
25.0,0.521,48.0,8.0,0.222,36.0,30.0,7.0,15.0,68.0,33.0,0.393,84.0,7.0,0.875,8.0,10.0,8.0,NBA,233.0,14.0,40.0,C,81.0,2019-20,10.0,ATL,10.0,82.0,0.44,Dewayne Dedmon
45.0,0.75,60.0,1.0,0.2,5.0,31.0,12.0,6.0,58.0,46.0,0.708,65.0,20.0,0.741,27.0,16.0,0.0,NBA,210.0,28.0,36.0,C,113.0,2020-21,9.0,MIA,13.0,86.0,0.715,Dewayne Dedmon
145.0,0.597,243.0,19.0,0.404,47.0,32.0,47.0,42.0,281.0,164.0,0.566,290.0,75.0,0.75,100.0,67.0,15.0,NBA,1065.0,105.0,174.0,C,422.0,2021-22,24.0,MIA,70.0,386.0,0.598,Dewayne Dedmon
65.0,0.58,112.0,12.0,0.308,39.0,33.0,26.0,19.0,100.0,77.0,0.51,151.0,33.0,0.673,49.0,38.0,1.0,NBA,426.0,34.0,75.0,C,199.0,2022-23,9.0,TOT,25.0,134.0,0.55,Dewayne Dedmon
53.0,0.576,92.0,11.0,0.297,37.0,33.0,16.0,14.0,81.0,64.0,0.496,129.0,32.0,0.727,44.0,30.0,0.0,NBA,350.0,28.0,61.0,C,171.0,2022-23,7.0,MIA,19.0,109.0,0.539,Dewayne Dedmon
12.0,0.6,20.0,1.0,0.5,2.0,33.0,10.0,5.0,19.0,13.0,0.591,22.0,1.0,0.2,5.0,8.0,1.0,NBA,76.0,6.0,14.0,C,28.0,2022-23,2.0,PHI,6.0,25.0,0.614,Dewayne Dedmon
53.0,0.541,98.0,22.0,0.407,54.0,20.0,44.0,1.0,29.0,75.0,0.493,152.0,30.0,0.769,39.0,38.0,4.0,NBA,428.0,6.0,65.0,SG,202.0,2012-13,19.0,DEN,32.0,35.0,0.566,Evan Fournier
