# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
2.0,0.0,0.4,0.1,0.2,1.0,0.3,0.0,0.0,0.2,1.0,0.0,0.5,0.4,0.5,0.0,0.0,0.0,0.0,20.0,0.0,7.4,0.5,8.0,NBA,36.0,PF,2015-16,POR,Cliff Alexander
27.0,0.0,0.315,0.037,0.121,0.648,0.175,0.352,0.385,0.081,0.578,0.067,0.204,0.443,0.437,0.423,0.978,0.315,0.291,20.0,1.0,13.0,0.394,81.0,NBA,1452.0,SF,2010-11,LAC,Al-Farouq Aminu
37.0,0.0,0.389,0.077,0.2,0.871,0.205,0.129,0.34,0.11,0.563,0.25,0.356,0.591,0.431,0.32,1.0,0.277,0.25,21.0,0.0,9.7,0.411,66.0,NBA,1477.0,SF,2011-12,NOH,Al-Farouq Aminu
80.0,0.0,0.489,0.08,0.167,0.96,0.224,0.04,0.421,0.19,0.642,0.316,0.266,0.71,0.486,0.368,1.0,0.211,0.375,22.0,0.0,7.1,0.475,76.0,NBA,2066.0,SF,2012-13,NOH,Al-Farouq Aminu
42.0,0.0,0.453,0.04,0.202,0.903,0.204,0.097,0.625,0.087,0.661,0.45,0.32,0.674,0.496,0.317,1.0,0.271,0.333,23.0,0.0,8.6,0.474,80.0,NBA,2045.0,SF,2013-14,NOP,Al-Farouq Aminu
42.0,0.0,0.412,0.036,0.07,0.653,0.134,0.347,0.5,0.132,0.619,0.538,0.12,0.673,0.485,0.25,1.0,0.274,0.306,24.0,0.0,10.9,0.412,74.0,NBA,1366.0,SF,2014-15,DAL,Al-Farouq Aminu
42.0,0.0,0.252,0.047,0.095,0.515,0.121,0.485,0.41,0.061,0.597,0.382,0.382,0.595,0.468,0.299,0.921,0.361,0.392,25.0,1.0,14.9,0.416,82.0,NBA,2341.0,SF,2015-16,POR,Al-Farouq Aminu
24.0,0.0,0.32,0.03,0.06,0.545,0.135,0.455,0.358,0.058,0.53,0.357,0.357,0.46,0.445,0.302,1.0,0.33,0.355,26.0,3.0,14.0,0.393,61.0,NBA,1773.0,PF,2016-17,POR,Al-Farouq Aminu
23.0,0.0,0.215,0.026,0.057,0.418,0.12,0.582,0.28,0.041,0.608,0.133,0.152,0.486,0.432,0.314,0.96,0.369,0.474,27.0,0.0,16.5,0.395,69.0,NBA,2072.0,PF,2017-18,POR,Al-Farouq Aminu
42.0,0.0,0.351,0.029,0.044,0.528,0.105,0.472,0.311,0.079,0.611,0.118,0.231,0.516,0.514,0.419,1.0,0.343,0.356,28.0,0.0,13.9,0.433,81.0,NBA,2292.0,PF,2018-19,POR,Al-Farouq Aminu
