SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
2011-12,22.0,CHI,NBA,SG,42.0,0.0,359.0,4.8,11.8,0.405,0.3,1.6,0.182,4.5,10.2,0.441,6.4,8.4,0.768,3.4,4.9,8.4,2.1,1.6,0.7,2.1,3.0,16.3,112.0,100.0,Jimmy Butler
2012-13,23.0,CHI,NBA,SF,82.0,20.0,2134.0,6.0,12.9,0.467,1.0,2.6,0.381,5.0,10.2,0.489,4.7,5.9,0.803,3.4,4.8,8.3,2.9,2.0,0.8,1.6,2.4,17.7,121.0,104.0,Jimmy Butler
2013-14,24.0,CHI,NBA,SG,67.0,67.0,2591.0,5.6,14.2,0.397,1.4,4.9,0.283,4.3,9.3,0.457,5.3,6.9,0.769,1.8,5.0,6.8,3.6,2.6,0.7,2.1,2.2,18.0,108.0,100.0,Jimmy Butler
2014-15,25.0,CHI,NBA,SG,65.0,65.0,2513.0,8.7,18.8,0.462,1.5,4.0,0.378,7.2,14.8,0.484,7.9,9.5,0.834,2.3,5.5,7.8,4.4,2.3,0.7,1.9,2.2,26.8,122.0,104.0,Jimmy Butler
2015-16,26.0,CHI,NBA,SG,67.0,67.0,2474.0,9.5,21.0,0.454,1.3,4.2,0.312,8.2,16.8,0.489,8.0,9.6,0.832,1.6,5.7,7.3,6.5,2.2,0.9,2.7,2.5,28.4,116.0,106.0,Jimmy Butler
2016-17,27.0,CHI,NBA,SF,76.0,75.0,2809.0,10.2,22.5,0.455,1.6,4.4,0.367,8.6,18.0,0.477,10.5,12.1,0.865,2.3,6.1,8.4,7.5,2.6,0.6,2.9,2.0,32.6,123.0,106.0,Jimmy Butler
2017-18,28.0,MIN,NBA,SG,59.0,59.0,2164.0,10.1,21.3,0.474,1.6,4.6,0.35,8.5,16.7,0.509,8.4,9.8,0.854,1.8,5.4,7.3,6.7,2.7,0.6,2.5,1.8,30.2,122.0,110.0,Jimmy Butler
2018-19,29.0,TOT,NBA,"SF,SG",65.0,65.0,2185.0,9.1,19.6,0.462,1.5,4.2,0.347,7.6,15.4,0.494,6.8,7.9,0.855,2.6,4.8,7.4,5.7,2.7,0.8,2.1,2.4,26.3,121.0,110.0,Jimmy Butler
2018-19,29.0,MIN,NBA,SG,10.0,10.0,361.0,9.8,20.8,0.471,2.3,6.0,0.378,7.6,14.9,0.509,6.4,8.1,0.787,2.1,4.8,6.9,5.7,3.2,1.3,1.9,2.4,28.3,122.0,111.0,Jimmy Butler
2018-19,29.0,PHI,NBA,SF,55.0,55.0,1824.0,8.9,19.3,0.461,1.3,3.8,0.338,7.6,15.5,0.491,6.8,7.9,0.868,2.7,4.8,7.5,5.7,2.6,0.8,2.1,2.4,25.9,120.0,109.0,Jimmy Butler
2019-20,30.0,MIA,NBA,SF,58.0,58.0,1959.0,8.6,18.9,0.455,0.7,3.0,0.244,7.9,15.9,0.495,10.9,13.1,0.834,2.6,7.0,9.6,8.7,2.6,0.8,3.2,2.0,28.8,123.0,108.0,Jimmy Butler
2020-21,31.0,MIA,NBA,SF,52.0,52.0,1745.0,10.4,21.0,0.497,0.7,2.9,0.245,9.7,18.0,0.538,10.2,11.8,0.863,2.7,7.5,10.2,10.5,3.1,0.5,3.1,2.0,31.8,127.0,108.0,Jimmy Butler
2021-22,32.0,MIA,NBA,SF,57.0,57.0,1931.0,10.3,21.5,0.48,0.7,3.0,0.233,9.6,18.5,0.52,10.3,11.8,0.87,2.6,6.1,8.7,8.1,2.4,0.7,3.1,2.3,31.6,124.0,108.0,Jimmy Butler
2022-23,33.0,MIA,NBA,PF,64.0,64.0,2138.0,11.2,20.7,0.539,0.8,2.4,0.35,10.3,18.3,0.564,11.0,12.9,0.85,3.3,5.5,8.7,7.9,2.7,0.5,2.4,1.9,34.2,135.0,112.0,Jimmy Butler
2013-14,22.0,HOU,NBA,PG,22.0,0.0,252.0,6.1,17.2,0.356,3.6,10.9,0.327,2.6,6.3,0.406,4.2,5.7,0.724,1.4,3.4,4.7,4.4,1.6,0.8,4.2,4.9,20.0,97.0,109.0,Isaiah Canaan
2014-15,23.0,TOT,NBA,PG,47.0,21.0,938.0,7.8,20.1,0.386,4.8,13.1,0.37,2.9,7.0,0.417,2.6,3.2,0.817,1.0,3.7,4.6,5.2,1.5,0.2,3.3,4.4,23.0,103.0,108.0,Isaiah Canaan
2014-15,23.0,HOU,NBA,PG,25.0,9.0,369.0,7.1,17.6,0.405,4.3,11.3,0.381,2.8,6.3,0.447,2.2,2.8,0.762,1.5,3.0,4.4,3.9,1.9,0.0,3.1,3.8,20.7,105.0,107.0,Isaiah Canaan
2014-15,23.0,PHI,NBA,PG,22.0,12.0,569.0,8.2,21.8,0.377,5.2,14.3,0.364,3.0,7.5,0.4,2.9,3.4,0.846,0.6,4.1,4.8,6.1,1.3,0.3,3.4,4.8,24.5,102.0,109.0,Isaiah Canaan
2015-16,24.0,PHI,NBA,SG,77.0,39.0,1966.0,6.5,18.0,0.36,4.4,12.1,0.363,2.1,5.9,0.354,3.7,4.5,0.833,0.5,3.8,4.3,3.4,1.4,0.3,2.3,3.3,21.1,102.0,113.0,Isaiah Canaan
2016-17,25.0,CHI,NBA,SG,39.0,0.0,592.0,5.4,14.7,0.364,2.1,8.0,0.266,3.2,6.7,0.481,2.6,2.8,0.909,0.5,3.7,4.3,3.1,1.9,0.1,1.8,3.0,15.4,100.0,110.0,Isaiah Canaan
2017-18,26.0,TOT,NBA,"PG,SG",20.0,1.0,422.0,5.9,15.5,0.38,2.5,7.5,0.333,3.4,8.1,0.423,5.2,5.8,0.902,0.7,4.4,5.1,8.6,1.8,0.1,3.3,4.1,19.5,110.0,114.0,Isaiah Canaan
2017-18,26.0,HOU,NBA,SG,1.0,0.0,4.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,12.3,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,Isaiah Canaan
2017-18,26.0,PHO,NBA,PG,19.0,1.0,418.0,6.0,15.6,0.382,2.5,7.6,0.333,3.4,8.0,0.429,5.3,5.8,0.902,0.7,4.4,5.0,8.7,1.8,0.1,3.3,4.1,19.7,110.0,114.0,Isaiah Canaan
