SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
2005-06,21.0,MIL,NBA,PF,82.0,2348.0,0.533,0.454,0.536,0.478,0.0,0.358,0.533,0.49,0.629,0.745,0.555,0.536,0.32,0.333,0.005,0.202,117.0,112.0,0.0,109.0,84.0,104.0,96.0,2.0,52.2,27.4,Andrew Bogut
2006-07,22.0,MIL,NBA,C,66.0,2258.0,0.553,0.458,0.556,0.485,0.2,0.358,0.554,0.496,0.577,0.752,0.566,0.541,0.308,0.327,0.008,0.213,121.0,115.0,56.0,112.0,77.0,105.0,94.0,4.0,72.6,35.4,Andrew Bogut
2007-08,23.0,MIL,NBA,C,78.0,2720.0,0.511,0.457,0.515,0.484,0.0,0.362,0.511,0.497,0.587,0.755,0.532,0.54,0.354,0.306,0.008,0.222,112.0,106.0,0.0,103.0,78.0,98.0,116.0,3.0,24.7,-17.3,Andrew Bogut
2008-09,24.0,MIL,NBA,C,36.0,1124.0,0.577,0.459,0.577,0.485,0.0,0.367,0.577,0.5,0.571,0.771,0.586,0.544,0.309,0.306,0.0,0.224,126.0,119.0,0.0,116.0,74.0,108.0,101.0,0.0,49.1,29.9,Andrew Bogut
2009-10,25.0,MIL,NBA,C,69.0,2229.0,0.52,0.461,0.521,0.492,0.0,0.355,0.52,0.501,0.629,0.759,0.54,0.543,0.26,0.3,0.002,0.222,113.0,106.0,0.0,104.0,83.0,99.0,87.0,1.0,34.7,-6.4,Andrew Bogut
2010-11,26.0,MIL,NBA,C,65.0,2297.0,0.495,0.459,0.497,0.487,0.0,0.358,0.495,0.498,0.442,0.763,0.496,0.541,0.292,0.3,0.005,0.222,108.0,102.0,0.0,99.0,58.0,92.0,97.0,2.0,-5.6,-76.8,Andrew Bogut
2011-12,27.0,MIL,NBA,C,12.0,364.0,0.449,0.448,0.452,0.477,0.0,0.349,0.449,0.487,0.609,0.752,0.465,0.527,0.169,0.276,0.007,0.226,100.0,95.0,0.0,92.0,81.0,88.0,61.0,3.0,-10.5,-18.0,Andrew Bogut
2012-13,28.0,GSW,NBA,C,32.0,786.0,0.451,0.453,0.448,0.483,1.0,0.359,0.454,0.496,0.5,0.753,0.463,0.535,0.207,0.27,0.005,0.243,100.0,93.0,279.0,91.0,66.0,87.0,76.0,2.0,-15.7,-28.6,Andrew Bogut
2013-14,29.0,GSW,NBA,C,67.0,1769.0,0.627,0.454,0.627,0.488,0.0,0.36,0.627,0.501,0.344,0.756,0.61,0.541,0.171,0.284,0.0,0.259,138.0,129.0,0.0,125.0,45.0,113.0,60.0,0.0,94.2,55.9,Andrew Bogut
2014-15,30.0,GSW,NBA,C,67.0,1583.0,0.563,0.449,0.563,0.485,0.0,0.35,0.563,0.496,0.524,0.75,0.565,0.534,0.118,0.273,0.0,0.268,125.0,116.0,0.0,114.0,70.0,106.0,43.0,0.0,47.9,23.0,Andrew Bogut
2015-16,31.0,GSW,NBA,C,70.0,1451.0,0.627,0.452,0.626,0.491,1.0,0.354,0.629,0.502,0.48,0.757,0.623,0.541,0.179,0.276,0.004,0.285,139.0,127.0,283.0,125.0,63.0,115.0,65.0,1.0,70.6,49.2,Andrew Bogut
2016-17,32.0,TOT,NBA,C,27.0,583.0,0.469,0.457,0.475,0.503,0.0,0.358,0.469,0.514,0.273,0.772,0.46,0.552,0.136,0.271,0.012,0.316,103.0,94.0,0.0,91.0,35.0,83.0,50.0,4.0,-7.2,-15.8,Andrew Bogut
2016-17,32.0,DAL,NBA,C,26.0,582.0,0.469,0.457,0.475,0.503,0.0,0.358,0.469,0.514,0.273,0.772,0.46,0.552,0.136,0.271,0.012,0.316,103.0,94.0,0.0,91.0,35.0,83.0,50.0,4.0,-7.2,-15.8,Andrew Bogut
2016-17,32.0,CLE,NBA,C,1.0,1.0,0.0,0.457,0.0,0.503,0.0,0.358,0.0,0.514,0.0,0.772,0.0,0.552,0.0,0.271,0.0,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andrew Bogut
2017-18,33.0,LAL,NBA,C,24.0,216.0,0.68,0.46,0.68,0.51,0.0,0.362,0.68,0.521,1.0,0.767,0.696,0.556,0.08,0.252,0.0,0.337,148.0,133.0,0.0,130.0,130.0,125.0,32.0,0.0,7.9,7.2,Andrew Bogut
2018-19,34.0,GSW,NBA,C,11.0,134.0,0.5,0.461,0.5,0.52,0.0,0.355,0.5,0.524,1.0,0.766,0.523,0.56,0.083,0.259,0.0,0.359,109.0,96.0,0.0,95.0,130.0,93.0,32.0,0.0,-1.7,-2.8,Andrew Bogut
2016-17,21.0,CLE,NBA,PG,42.0,386.0,0.392,0.457,0.404,0.503,0.318,0.358,0.415,0.514,0.714,0.772,0.462,0.552,0.31,0.271,0.139,0.316,86.0,80.0,89.0,81.0,93.0,84.0,115.0,44.0,-31.3,-32.4,Kay Felder
2017-18,22.0,TOT,NBA,PG,16.0,140.0,0.3,0.46,0.333,0.51,0.211,0.362,0.329,0.521,0.917,0.767,0.379,0.556,0.171,0.252,0.271,0.337,65.0,65.0,58.0,63.0,120.0,68.0,68.0,81.0,-27.0,-26.7,Kay Felder
2017-18,22.0,CHI,NBA,PG,14.0,134.0,0.303,0.46,0.333,0.51,0.222,0.362,0.333,0.521,0.917,0.767,0.386,0.556,0.182,0.252,0.273,0.337,66.0,65.0,61.0,64.0,120.0,69.0,72.0,81.0,-24.8,-24.3,Kay Felder
2017-18,22.0,DET,NBA,PG,2.0,6.0,0.25,0.46,0.333,0.51,0.0,0.362,0.25,0.521,0.0,0.767,0.25,0.556,0.0,0.252,0.25,0.337,54.0,65.0,0.0,48.0,0.0,45.0,0.0,74.0,-2.2,-2.4,Kay Felder
2005-06,22.0,NYK,NBA,C,65.0,1572.0,0.477,0.454,0.479,0.478,0.333,0.358,0.479,0.49,0.825,0.745,0.541,0.536,0.358,0.333,0.014,0.202,105.0,100.0,93.0,98.0,111.0,101.0,107.0,7.0,-14.2,8.5,Channing Frye
2006-07,23.0,NYK,NBA,PF,72.0,1896.0,0.433,0.458,0.44,0.485,0.167,0.358,0.435,0.496,0.787,0.752,0.464,0.541,0.157,0.327,0.026,0.213,94.0,91.0,47.0,88.0,105.0,86.0,48.0,12.0,-85.0,-113.6,Channing Frye
2007-08,24.0,POR,NBA,C,78.0,1342.0,0.488,0.457,0.492,0.484,0.3,0.362,0.491,0.497,0.78,0.755,0.529,0.54,0.241,0.306,0.022,0.222,107.0,102.0,83.0,99.0,103.0,98.0,79.0,10.0,-5.7,-11.3,Channing Frye
2008-09,25.0,POR,NBA,PF,63.0,746.0,0.423,0.459,0.436,0.485,0.333,0.367,0.444,0.5,0.722,0.771,0.465,0.544,0.135,0.306,0.124,0.224,92.0,90.0,91.0,89.0,94.0,85.0,44.0,55.0,-29.9,-44.9,Channing Frye
2009-10,26.0,PHO,NBA,C,81.0,2190.0,0.451,0.461,0.466,0.492,0.439,0.355,0.573,0.501,0.81,0.759,0.598,0.543,0.172,0.3,0.558,0.222,98.0,95.0,124.0,114.0,107.0,110.0,57.0,251.0,102.0,82.8,Channing Frye
2010-11,27.0,PHO,NBA,PF,77.0,2541.0,0.432,0.459,0.479,0.487,0.39,0.358,0.535,0.498,0.832,0.763,0.557,0.541,0.129,0.3,0.53,0.222,94.0,98.0,109.0,107.0,109.0,103.0,43.0,239.0,60.7,27.4,Channing Frye
2011-12,28.0,PHO,NBA,PF,64.0,1669.0,0.416,0.448,0.469,0.477,0.346,0.349,0.49,0.487,0.89,0.752,0.519,0.527,0.134,0.276,0.429,0.226,93.0,98.0,99.0,101.0,118.0,98.0,48.0,190.0,3.6,-10.3,Channing Frye
2013-14,30.0,PHO,NBA,PF,82.0,2312.0,0.432,0.454,0.509,0.488,0.37,0.36,0.535,0.501,0.821,0.756,0.555,0.541,0.122,0.284,0.555,0.259,95.0,104.0,103.0,107.0,109.0,103.0,43.0,214.0,52.3,23.2,Channing Frye
2014-15,31.0,ORL,NBA,PF,75.0,1870.0,0.392,0.449,0.39,0.485,0.393,0.35,0.532,0.496,0.886,0.75,0.546,0.534,0.072,0.273,0.71,0.268,87.0,80.0,112.0,107.0,118.0,102.0,26.0,265.0,35.0,12.3,Channing Frye
2015-16,32.0,TOT,NBA,"C,PF",70.0,1200.0,0.438,0.452,0.545,0.491,0.387,0.354,0.569,0.502,0.857,0.757,0.586,0.541,0.101,0.276,0.677,0.285,97.0,111.0,109.0,113.0,113.0,108.0,37.0,238.0,46.3,32.7,Channing Frye
2015-16,32.0,ORL,NBA,PF,44.0,754.0,0.435,0.452,0.508,0.491,0.397,0.354,0.565,0.502,0.905,0.757,0.586,0.541,0.113,0.276,0.651,0.285,96.0,103.0,112.0,112.0,120.0,108.0,41.0,228.0,23.1,17.7,Channing Frye
2015-16,32.0,CLE,NBA,C,26.0,446.0,0.441,0.452,0.596,0.491,0.377,0.354,0.575,0.502,0.786,0.757,0.586,0.541,0.087,0.276,0.708,0.285,98.0,121.0,107.0,114.0,104.0,108.0,31.0,249.0,23.2,15.1,Channing Frye
2016-17,33.0,CLE,NBA,C,74.0,1398.0,0.458,0.457,0.546,0.503,0.409,0.358,0.589,0.514,0.851,0.772,0.612,0.552,0.142,0.271,0.644,0.316,100.0,108.0,114.0,115.0,110.0,111.0,53.0,204.0,78.8,65.6,Channing Frye
2017-18,34.0,TOT,NBA,C,53.0,695.0,0.491,0.46,0.67,0.51,0.339,0.362,0.583,0.521,0.895,0.767,0.599,0.556,0.09,0.252,0.542,0.337,107.0,131.0,94.0,112.0,117.0,108.0,36.0,161.0,26.0,18.9,Channing Frye
2017-18,34.0,CLE,NBA,C,44.0,545.0,0.497,0.46,0.684,0.51,0.333,0.362,0.586,0.521,0.933,0.767,0.604,0.556,0.089,0.252,0.533,0.337,108.0,134.0,92.0,112.0,122.0,109.0,35.0,158.0,21.8,16.7,Channing Frye
2017-18,34.0,LAL,NBA,C,9.0,150.0,0.465,0.46,0.611,0.51,0.36,0.362,0.57,0.521,0.75,0.767,0.581,0.556,0.093,0.252,0.581,0.337,101.0,120.0,100.0,109.0,98.0,104.0,37.0,173.0,4.2,2.2,Channing Frye
2018-19,35.0,CLE,NBA,C,36.0,341.0,0.368,0.461,0.289,0.52,0.405,0.355,0.504,0.524,0.786,0.766,0.524,0.56,0.12,0.259,0.675,0.359,80.0,56.0,114.0,96.0,103.0,94.0,46.0,188.0,-4.7,-8.8,Channing Frye
2011-12,19.0,CLE,NBA,PG,51.0,1558.0,0.469,0.448,0.491,0.477,0.399,0.349,0.517,0.487,0.872,0.752,0.566,0.527,0.262,0.276,0.245,0.226,105.0,103.0,114.0,106.0,116.0,107.0,95.0,109.0,45.0,65.6,Kyrie Irving
2012-13,20.0,CLE,NBA,PG,59.0,2048.0,0.452,0.453,0.474,0.483,0.391,0.359,0.503,0.496,0.855,0.753,0.553,0.535,0.271,0.27,0.261,0.243,100.0,98.0,109.0,101.0,114.0,103.0,100.0,107.0,14.7,44.5,Kyrie Irving
2013-14,21.0,CLE,NBA,PG,71.0,2496.0,0.43,0.454,0.458,0.488,0.358,0.36,0.48,0.501,0.861,0.756,0.533,0.541,0.273,0.284,0.278,0.259,95.0,94.0,99.0,96.0,114.0,99.0,96.0,107.0,-52.7,-21.0,Kyrie Irving
2014-15,22.0,CLE,NBA,PG,75.0,2730.0,0.468,0.449,0.491,0.485,0.415,0.35,0.532,0.496,0.863,0.75,0.583,0.534,0.296,0.273,0.306,0.268,104.0,101.0,119.0,107.0,115.0,109.0,108.0,114.0,88.2,137.0,Kyrie Irving
2015-16,23.0,CLE,NBA,PG,53.0,1667.0,0.448,0.452,0.502,0.491,0.321,0.354,0.496,0.502,0.885,0.757,0.54,0.541,0.217,0.276,0.298,0.285,99.0,102.0,91.0,99.0,117.0,100.0,79.0,105.0,-11.4,-1.4,Kyrie Irving
2016-17,24.0,CLE,NBA,PG,72.0,2525.0,0.473,0.457,0.505,0.503,0.401,0.358,0.535,0.514,0.905,0.772,0.58,0.552,0.231,0.271,0.311,0.316,103.0,100.0,112.0,104.0,117.0,105.0,85.0,98.0,60.1,87.9,Kyrie Irving
2017-18,25.0,BOS,NBA,PG,60.0,1931.0,0.491,0.46,0.541,0.51,0.408,0.362,0.568,0.521,0.889,0.767,0.61,0.556,0.24,0.252,0.374,0.337,107.0,106.0,113.0,109.0,116.0,110.0,95.0,111.0,101.0,129.2,Kyrie Irving
2018-19,26.0,BOS,NBA,PG,67.0,2214.0,0.487,0.461,0.533,0.52,0.401,0.355,0.557,0.524,0.873,0.766,0.592,0.56,0.197,0.259,0.35,0.359,106.0,103.0,113.0,106.0,114.0,106.0,76.0,97.0,80.9,86.4,Kyrie Irving
2019-20,27.0,BRK,NBA,PG,20.0,658.0,0.478,0.46,0.522,0.524,0.394,0.358,0.546,0.529,0.922,0.773,0.595,0.565,0.245,0.26,0.341,0.384,104.0,100.0,110.0,103.0,119.0,105.0,94.0,89.0,14.0,27.5,Kyrie Irving
2020-21,28.0,BRK,NBA,PG,54.0,1886.0,0.506,0.466,0.561,0.53,0.402,0.367,0.576,0.538,0.922,0.778,0.614,0.572,0.201,0.247,0.348,0.392,108.0,106.0,110.0,107.0,119.0,107.0,81.0,89.0,81.6,99.4,Kyrie Irving
2021-22,29.0,BRK,NBA,PG,29.0,1091.0,0.469,0.461,0.501,0.533,0.418,0.354,0.55,0.532,0.915,0.775,0.592,0.566,0.209,0.248,0.388,0.399,102.0,94.0,118.0,104.0,118.0,105.0,84.0,97.0,23.0,34.4,Kyrie Irving
2022-23,30.0,TOT,NBA,"PG,SG",60.0,2241.0,0.494,0.475,0.574,0.548,0.379,0.361,0.572,0.545,0.905,0.782,0.613,0.581,0.227,0.266,0.412,0.387,104.0,105.0,105.0,105.0,116.0,106.0,85.0,106.0,64.1,84.9,Kyrie Irving
2022-23,30.0,BRK,NBA,PG,40.0,1478.0,0.486,0.475,0.569,0.548,0.374,0.361,0.565,0.545,0.883,0.782,0.604,0.581,0.219,0.266,0.425,0.387,102.0,104.0,104.0,104.0,113.0,104.0,82.0,110.0,32.9,40.3,Kyrie Irving
2022-23,30.0,DAL,NBA,SG,20.0,763.0,0.51,0.475,0.585,0.548,0.392,0.361,0.586,0.545,0.947,0.782,0.634,0.581,0.245,0.266,0.385,0.387,107.0,107.0,109.0,107.0,121.0,109.0,92.0,99.0,31.2,44.5,Kyrie Irving
2011-12,23.0,ORL,NBA,SF,17.0,115.0,0.48,0.448,0.571,0.477,0.0,0.349,0.48,0.487,0.474,0.752,0.495,0.527,0.76,0.276,0.16,0.226,107.0,120.0,0.0,99.0,63.0,94.0,276.0,71.0,-0.4,-2.2,DeAndre Liggins
2012-13,24.0,OKC,NBA,SG,39.0,290.0,0.447,0.453,0.5,0.483,0.368,0.359,0.521,0.496,0.5,0.753,0.528,0.535,0.383,0.27,0.404,0.243,99.0,104.0,103.0,105.0,66.0,99.0,142.0,166.0,2.3,-0.7,DeAndre Liggins
2013-14,25.0,MIA,NBA,SG,1.0,1.0,1.0,0.454,1.0,0.488,0.0,0.36,1.0,0.501,0.0,0.756,1.0,0.541,0.0,0.284,0.0,0.259,220.0,205.0,0.0,200.0,0.0,185.0,0.0,0.0,1.0,0.9,DeAndre Liggins
2016-17,28.0,TOT,NBA,SG,62.0,777.0,0.387,0.457,0.396,0.503,0.37,0.358,0.447,0.514,0.625,0.772,0.476,0.552,0.282,0.271,0.324,0.316,85.0,79.0,103.0,87.0,81.0,86.0,104.0,102.0,-18.9,-24.3,DeAndre Liggins
2016-17,28.0,CLE,NBA,SG,61.0,752.0,0.382,0.457,0.385,0.503,0.378,0.358,0.445,0.514,0.622,0.772,0.473,0.552,0.272,0.271,0.331,0.316,84.0,76.0,106.0,87.0,81.0,86.0,101.0,105.0,-18.7,-24.2,DeAndre Liggins
2016-17,28.0,DAL,NBA,SG,1.0,25.0,0.5,0.457,0.6,0.503,0.0,0.358,0.5,0.514,0.667,0.772,0.546,0.552,0.5,0.271,0.167,0.316,109.0,119.0,0.0,97.0,86.0,99.0,185.0,53.0,-0.2,-0.1,DeAndre Liggins
2017-18,29.0,TOT,NBA,SG,58.0,724.0,0.377,0.46,0.396,0.51,0.358,0.362,0.467,0.521,0.4,0.767,0.467,0.556,0.047,0.252,0.5,0.337,82.0,78.0,99.0,90.0,52.0,84.0,19.0,148.0,-11.5,-19.4,DeAndre Liggins
2017-18,29.0,MIL,NBA,SG,31.0,480.0,0.338,0.46,0.379,0.51,0.306,0.362,0.423,0.521,0.4,0.767,0.424,0.556,0.077,0.252,0.554,0.337,74.0,74.0,84.0,81.0,52.0,76.0,31.0,164.0,-12.8,-17.7,DeAndre Liggins
2017-18,29.0,NOP,NBA,SG,27.0,244.0,0.439,0.46,0.417,0.51,0.471,0.362,0.537,0.521,0.0,0.767,0.537,0.556,0.0,0.252,0.415,0.337,95.0,82.0,130.0,103.0,0.0,96.0,0.0,123.0,1.3,-1.6,DeAndre Liggins
2008-09,20.0,MIN,NBA,C,81.0,2048.0,0.459,0.459,0.469,0.485,0.105,0.367,0.461,0.5,0.789,0.771,0.538,0.544,0.488,0.306,0.028,0.224,100.0,97.0,29.0,92.0,102.0,99.0,160.0,12.0,-53.7,-11.0,Kevin Love
2009-10,21.0,MIN,NBA,PF,60.0,1714.0,0.45,0.461,0.474,0.492,0.33,0.355,0.478,0.501,0.815,0.759,0.549,0.543,0.427,0.3,0.164,0.222,98.0,96.0,93.0,95.0,107.0,101.0,142.0,74.0,-29.9,8.6,Kevin Love
