SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
2012-13,22.0,TOR,NBA,PF,29.0,342.0,0.56,0.45299999999999996,0.562,0.483,0.5,0.359,0.5670000000000001,0.496,0.816,0.753,0.632,0.535,0.507,0.27,0.027000000000000003,0.243,124.0,116.0,139.0,114.0,108.0,118.0,187.0,11.0,10.5,17.9,Quincy Acy
2013-14,23.0,TOT,NBA,SF,63.0,847.0,0.46799999999999997,0.45399999999999996,0.49200000000000005,0.488,0.267,0.36,0.48200000000000004,0.501,0.66,0.7559999999999999,0.52,0.541,0.376,0.284,0.106,0.259,103.0,101.0,74.0,96.0,87.0,96.0,132.0,41.0,-5.3,-6.8,Quincy Acy
2013-14,23.0,TOR,NBA,SF,7.0,61.0,0.429,0.45399999999999996,0.444,0.488,0.4,0.36,0.5,0.501,0.625,0.7559999999999999,0.542,0.541,0.5710000000000001,0.284,0.35700000000000004,0.259,94.0,91.0,111.0,100.0,83.0,100.0,201.0,138.0,0.0,0.0,Quincy Acy
2013-14,23.0,SAC,NBA,SF,56.0,786.0,0.47200000000000003,0.45399999999999996,0.496,0.488,0.2,0.36,0.48,0.501,0.667,0.7559999999999999,0.518,0.541,0.354,0.284,0.079,0.259,104.0,102.0,56.0,96.0,88.0,96.0,125.0,30.0,-5.3,-6.8,Quincy Acy
2014-15,24.0,NYK,NBA,PF,68.0,1287.0,0.45899999999999996,0.449,0.494,0.485,0.3,0.35,0.486,0.496,0.784,0.75,0.5329999999999999,0.534,0.293,0.273,0.18100000000000002,0.268,102.0,102.0,86.0,98.0,104.0,100.0,107.0,68.0,-6.3,-1.2,Quincy Acy
2015-16,25.0,SAC,NBA,PF,59.0,876.0,0.556,0.452,0.606,0.491,0.38799999999999996,0.354,0.6,0.502,0.735,0.757,0.629,0.541,0.318,0.276,0.22899999999999998,0.285,123.0,123.0,110.0,119.0,97.0,116.0,115.0,80.0,41.9,43.0,Quincy Acy
2016-17,26.0,TOT,NBA,PF,38.0,558.0,0.41200000000000003,0.457,0.413,0.503,0.41100000000000003,0.358,0.521,0.514,0.75,0.772,0.565,0.552,0.353,0.271,0.529,0.316,90.0,82.0,115.0,101.0,97.0,102.0,130.0,167.0,2.3,5.0,Quincy Acy
2016-17,26.0,DAL,NBA,PF,6.0,48.0,0.294,0.457,0.4,0.503,0.14300000000000002,0.358,0.324,0.514,0.667,0.772,0.355,0.552,0.17600000000000002,0.271,0.41200000000000003,0.316,64.0,79.0,40.0,63.0,86.0,64.0,65.0,130.0,-6.5,-7.2,Quincy Acy
2016-17,26.0,BRK,NBA,PF,32.0,510.0,0.425,0.457,0.414,0.503,0.434,0.358,0.542,0.514,0.754,0.772,0.5870000000000001,0.552,0.373,0.271,0.542,0.316,93.0,82.0,121.0,106.0,98.0,106.0,138.0,172.0,8.8,12.3,Quincy Acy
2017-18,27.0,BRK,NBA,PF,70.0,1359.0,0.35600000000000004,0.46,0.384,0.51,0.349,0.36200000000000004,0.496,0.521,0.8170000000000001,0.767,0.525,0.556,0.16399999999999998,0.252,0.8,0.337,77.0,75.0,97.0,95.0,106.0,94.0,65.0,237.0,-18.5,-24.4,Quincy Acy
2018-19,28.0,PHO,NBA,PF,10.0,123.0,0.222,0.461,0.667,0.52,0.133,0.355,0.278,0.524,0.7,0.7659999999999999,0.379,0.56,0.556,0.259,0.833,0.359,48.0,128.0,38.0,53.0,91.0,68.0,215.0,232.0,-8.9,-8.1,Quincy Acy
2015-16,22.0,DAL,NBA,SF,55.0,647.0,0.406,0.452,0.5329999999999999,0.491,0.265,0.354,0.469,0.502,0.8,0.757,0.522,0.541,0.314,0.276,0.474,0.285,90.0,108.0,75.0,93.0,106.0,96.0,114.0,167.0,-11.9,-7.6,Justin Anderson
2016-17,23.0,TOT,NBA,SF,75.0,1228.0,0.424,0.457,0.522,0.503,0.299,0.358,0.49,0.514,0.7909999999999999,0.772,0.537,0.552,0.294,0.271,0.442,0.316,93.0,104.0,84.0,95.0,102.0,97.0,109.0,140.0,-21.0,-15.7,Justin Anderson
2016-17,23.0,DAL,NBA,SF,51.0,710.0,0.401,0.457,0.47700000000000004,0.503,0.303,0.358,0.46799999999999997,0.514,0.795,0.772,0.521,0.552,0.318,0.271,0.44,0.316,88.0,95.0,85.0,91.0,103.0,94.0,117.0,139.0,-25.6,-19.8,Justin Anderson
2016-17,23.0,PHI,NBA,SF,24.0,518.0,0.46299999999999997,0.457,0.6,0.503,0.292,0.358,0.528,0.514,0.78,0.772,0.564,0.552,0.253,0.271,0.444,0.316,101.0,119.0,82.0,103.0,101.0,102.0,94.0,141.0,4.6,4.1,Justin Anderson
2017-18,24.0,PHI,NBA,SF,38.0,519.0,0.431,0.46,0.535,0.51,0.33,0.36200000000000004,0.515,0.521,0.737,0.767,0.54,0.556,0.188,0.252,0.51,0.337,94.0,105.0,91.0,99.0,96.0,97.0,75.0,151.0,-2.6,-7.3,Justin Anderson
2018-19,25.0,ATL,NBA,SF,48.0,463.0,0.408,0.461,0.5,0.52,0.312,0.355,0.484,0.524,0.743,0.7659999999999999,0.516,0.56,0.223,0.259,0.49,0.359,89.0,96.0,88.0,92.0,97.0,92.0,86.0,137.0,-12.6,-15.0,Justin Anderson
2019-20,26.0,BRK,NBA,SG,10.0,107.0,0.263,0.46,0.444,0.524,0.207,0.358,0.342,0.529,0.5,0.773,0.35200000000000004,0.565,0.105,0.26,0.763,0.384,57.0,85.0,58.0,65.0,65.0,62.0,40.0,199.0,-14.2,-16.9,Justin Anderson
2021-22,28.0,TOT,NBA,SF,16.0,316.0,0.379,0.461,0.583,0.5329999999999999,0.254,0.354,0.45799999999999996,0.532,0.789,0.775,0.493,0.5660000000000001,0.2,0.248,0.621,0.39899999999999997,82.0,110.0,72.0,86.0,102.0,87.0,81.0,156.0,-14.0,-15.0,Justin Anderson
