DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2016-10-26,28-351,ORL,HOME,MIA,L (-12),0,16:32,2,3,.667,0,1,.000,3,3,1.000,0,1,1,1,0,0,1,2,7,4.9,-11,D.J. Augustin
2016-10-28,28-353,ORL,AWAY,DET,L (-26),0,15:58,1,5,.200,1,1,1.000,0,0,,0,0,0,4,0,0,0,1,3,2.3,-19,D.J. Augustin
2016-10-29,28-354,ORL,AWAY,CLE,L (-6),0,20:56,5,12,.417,2,6,.333,1,1,1.000,0,2,2,3,1,0,1,2,13,8.5,+11,D.J. Augustin
2016-11-01,28-357,ORL,AWAY,PHI,W (+2),0,12:30,4,10,.400,1,6,.167,0,0,,0,0,0,1,0,0,0,0,9,4.3,-12,D.J. Augustin
2016-11-03,28-359,ORL,HOME,SAC,W (+8),0,14:25,3,8,.375,2,4,.500,0,0,,0,0,0,5,0,0,3,0,8,4.1,-1,D.J. Augustin
2016-11-05,28-361,ORL,HOME,WAS,W (+2),0,19:35,3,8,.375,1,4,.250,0,0,,0,0,0,5,2,0,1,0,7,7.1,+15,D.J. Augustin
2016-11-07,28-363,ORL,AWAY,CHI,L (-32),0,22:34,2,10,.200,2,7,.286,0,0,,0,0,0,2,0,0,0,1,6,0.8,-22,D.J. Augustin
2016-11-09,28-365,ORL,HOME,MIN,L (-16),0,19:19,2,6,.333,1,3,.333,5,5,1.000,0,2,2,2,0,0,0,2,10,7.8,-10,D.J. Augustin
2016-11-11,29-001,ORL,HOME,UTA,L (-13),0,24:23,6,10,.600,3,6,.500,4,5,.800,0,0,0,3,0,0,3,1,19,12.7,-4,D.J. Augustin
2016-11-13,29-003,ORL,AWAY,OKC,W (+2),0,14:33,3,5,.600,1,3,.333,5,6,.833,0,1,1,0,0,0,1,1,12,8.2,+4,D.J. Augustin
2016-11-14,29-004,ORL,AWAY,IND,L (-19),0,16:16,2,5,.400,1,3,.333,1,2,.500,0,0,0,1,0,0,1,1,6,2.2,-15,D.J. Augustin
2016-11-16,29-006,ORL,HOME,NOP,W (+7),0,18:25,4,10,.400,1,4,.250,2,2,1.000,0,1,1,1,1,0,2,0,11,5.6,+7,D.J. Augustin
2016-11-19,29-009,ORL,HOME,DAL,W (+8),0,29:47,6,11,.545,2,5,.400,4,4,1.000,0,2,2,6,0,0,3,1,18,14.1,+4,D.J. Augustin
2016-11-21,29-011,ORL,AWAY,MIL,L (-4),0,12:43,0,6,.000,0,2,.000,2,2,1.000,1,2,3,3,0,0,2,2,2,-1.6,-14,D.J. Augustin
2016-11-23,29-013,ORL,HOME,PHO,L (-5),0,20:27,4,9,.444,2,4,.500,2,3,.667,0,2,2,2,0,0,2,3,12,5.7,-7,D.J. Augustin
2016-11-25,29-015,ORL,HOME,WAS,L (-3),0,26:10,3,9,.333,1,5,.200,1,1,1.000,0,0,0,4,0,0,2,3,8,2.5,+4,D.J. Augustin
2016-11-27,29-017,ORL,HOME,MIL,L (-8),1,25:20,5,7,.714,1,3,.333,0,0,,0,2,2,5,0,0,0,0,11,12.2,-8,D.J. Augustin
2016-11-29,29-019,ORL,AWAY,SAS,W (+12),1,24:40,2,6,.333,1,3,.333,2,2,1.000,1,3,4,5,2,0,1,0,7,9.7,+11,D.J. Augustin
2016-12-01,29-021,ORL,AWAY,MEM,L (-1),1,19:01,2,6,.333,2,3,.667,1,2,.500,0,1,1,2,1,0,3,4,7,1.3,+1,D.J. Augustin
2016-12-02,29-022,ORL,AWAY,PHI,W (+17),1,21:52,3,6,.500,3,4,.750,0,0,,0,3,3,4,0,0,1,3,9,7.5,+14,D.J. Augustin
2016-12-04,29-024,ORL,AWAY,DET,W (+6),1,25:10,5,8,.625,2,5,.400,0,0,,0,3,3,3,0,0,1,2,12,9.6,-1,D.J. Augustin
2016-12-06,29-026,ORL,AWAY,WAS,W (+8),1,20:10,2,5,.400,1,3,.333,3,5,.600,0,1,1,2,1,0,0,0,8,7.2,+3,D.J. Augustin
2016-12-07,29-027,ORL,HOME,BOS,L (-30),1,23:54,4,7,.571,4,6,.667,3,4,.750,0,1,1,2,0,0,1,4,15,10.4,-20,D.J. Augustin
2016-12-09,29-029,ORL,AWAY,CHO,L (-21),1,19:10,3,10,.300,2,7,.286,0,0,,0,2,2,1,2,0,0,2,8,4.7,-12,D.J. Augustin
2016-12-10,29-030,ORL,HOME,DEN,L (-8),1,23:47,3,8,.375,2,5,.400,2,2,1.000,0,1,1,7,1,0,0,3,10,10.6,-1,D.J. Augustin
2016-12-13,29-033,ORL,AWAY,ATL,W (+11),1,14:50,1,4,.250,1,3,.333,0,0,,0,0,0,3,0,0,0,1,3,2.3,-18,D.J. Augustin
2016-12-14,29-034,ORL,HOME,LAC,L (-5),1,30:27,1,5,.200,1,4,.250,0,0,,0,1,1,3,1,0,0,2,3,2.5,-9,D.J. Augustin
