DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2016-10-26,18-344,PHO,HOME,SAC,L (-19),0,11:57,4,5,.800,2,3,.667,0,0,,1,1,2,0,0,0,0,0,10,9.1,+10,Dragan Bender
2016-10-28,18-346,PHO,AWAY,OKC,L (-3),0,7:16,0,1,.000,0,0,,0,0,,0,1,1,0,1,1,0,1,0,0.9,-3,Dragan Bender
2016-10-30,18-348,PHO,HOME,GSW,L (-6),0,3:23,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-4,Dragan Bender
2016-10-31,18-349,PHO,AWAY,LAC,L (-18),0,6:52,0,1,.000,0,0,,0,0,,0,1,1,2,1,0,0,0,0,2.0,+1,Dragan Bender
2016-11-08,18-357,PHO,AWAY,POR,L (-3),0,23:01,4,9,.444,2,4,.500,0,0,,1,1,2,1,0,1,2,2,10,4.9,+19,Dragan Bender
2016-11-09,18-358,PHO,HOME,DET,W (+7),0,8:07,0,4,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,4,0,-5.4,-3,Dragan Bender
2016-11-12,18-361,PHO,HOME,BRK,L (-18),0,7:38,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,1,5,3.6,-7,Dragan Bender
2016-11-13,18-362,PHO,AWAY,GSW,L (-13),0,14:15,2,2,1.000,1,1,1.000,0,0,,1,1,2,0,0,1,0,2,5,5.3,+7,Dragan Bender
2016-11-16,18-365,PHO,AWAY,DEN,L (-16),0,2:26,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-4,Dragan Bender
2016-11-19,19-002,PHO,AWAY,PHI,L (-15),0,11:33,1,3,.333,0,2,.000,0,1,.000,0,1,1,0,0,1,2,1,2,-1.5,0,Dragan Bender
2016-11-23,19-006,PHO,AWAY,ORL,W (+5),0,13:04,1,3,.333,1,1,1.000,0,0,,0,4,4,0,0,2,1,2,3,2.1,+7,Dragan Bender
2016-11-25,19-008,PHO,HOME,MIN,L (-13),0,7:28,1,2,.500,1,2,.500,0,2,.000,0,1,1,0,0,0,1,0,3,0.5,+7,Dragan Bender
2016-11-27,19-010,PHO,HOME,DEN,L (-6),0,13:35,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,0,0,-3.1,-10,Dragan Bender
2016-11-30,19-013,PHO,HOME,ATL,W (+2),0,11:46,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,+6,Dragan Bender
