SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
2014-15,21.0,SAS,NBA,SF,33.0,358.0,0.348,0.449,0.359,0.485,0.273,0.35,0.365,0.496,0.643,0.75,0.389,0.534,0.157,0.273,0.124,0.268,78.0,74.0,78.0,74.0,86.0,73.0,58.0,46.0,-23.3,-27.7,Kyle Anderson
2015-16,22.0,SAS,NBA,SF,78.0,1245.0,0.468,0.452,0.488,0.491,0.324,0.354,0.488,0.502,0.747,0.757,0.528,0.541,0.281,0.276,0.125,0.285,103.0,99.0,92.0,97.0,99.0,98.0,102.0,44.0,-8.5,-8.9,Kyle Anderson
2016-17,23.0,SAS,NBA,SF,72.0,1020.0,0.445,0.457,0.462,0.503,0.375,0.358,0.481,0.514,0.789,0.772,0.525,0.552,0.273,0.271,0.191,0.316,97.0,92.0,105.0,94.0,102.0,95.0,101.0,61.0,-13.7,-12.6,Kyle Anderson
2017-18,24.0,SAS,NBA,SF,74.0,1978.0,0.527,0.46,0.556,0.51,0.333,0.362,0.549,0.521,0.712,0.767,0.582,0.556,0.333,0.252,0.13,0.337,115.0,109.0,92.0,105.0,93.0,105.0,132.0,39.0,24.4,26.4,Kyle Anderson
2018-19,25.0,MEM,NBA,SF,43.0,1281.0,0.543,0.461,0.583,0.52,0.265,0.355,0.56,0.524,0.578,0.766,0.569,0.56,0.232,0.259,0.123,0.359,118.0,112.0,75.0,107.0,75.0,102.0,90.0,34.0,19.6,5.6,Kyle Anderson
2019-20,26.0,MEM,NBA,SF,67.0,1330.0,0.474,0.46,0.541,0.524,0.282,0.358,0.511,0.529,0.667,0.773,0.534,0.565,0.236,0.26,0.257,0.384,103.0,103.0,79.0,97.0,86.0,95.0,91.0,67.0,-12.1,-22.6,Kyle Anderson
2020-21,27.0,MEM,NBA,PF,69.0,1887.0,0.468,0.466,0.539,0.53,0.36,0.367,0.54,0.538,0.783,0.778,0.578,0.572,0.28,0.247,0.397,0.392,100.0,102.0,98.0,100.0,101.0,101.0,113.0,101.0,2.1,9.0,Kyle Anderson
2021-22,28.0,MEM,NBA,PF,69.0,1484.0,0.446,0.461,0.481,0.533,0.33,0.354,0.484,0.532,0.638,0.775,0.506,0.566,0.224,0.248,0.232,0.399,97.0,90.0,93.0,91.0,82.0,89.0,90.0,58.0,-44.7,-62.2,Kyle Anderson
2022-23,29.0,MIN,NBA,PF,69.0,1957.0,0.509,0.475,0.536,0.548,0.41,0.361,0.553,0.545,0.735,0.782,0.583,0.581,0.275,0.266,0.212,0.387,107.0,98.0,114.0,101.0,94.0,100.0,103.0,55.0,7.2,2.0,Kyle Anderson
2010-11,20.0,BOS,NBA,PG,31.0,162.0,0.343,0.459,0.371,0.487,0.0,0.358,0.343,0.498,0.5,0.763,0.36,0.541,0.179,0.3,0.075,0.222,75.0,76.0,0.0,69.0,65.0,66.0,60.0,34.0,-20.8,-26.3,Avery Bradley
