# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
5.0,0.0,0.345,0.077,0.085,0.634,0.127,0.366,0.365,0.035,0.735,0.273,0.25,0.745,0.522,0.278,1.0,0.25,0.211,23.0,1.0,13.2,0.423,30.0,NBA,503.0,SF,2018-19,MIN,Keita Bates-Diop
8.0,0.0,0.385,0.034,0.013,0.56,0.128,0.44,0.417,0.034,0.611,0.125,0.333,0.667,0.504,0.3,0.941,0.33,0.419,24.0,0.0,12.9,0.427,44.0,NBA,744.0,"PF,SF",2019-20,TOT,Keita Bates-Diop
8.0,0.0,0.354,0.039,0.015,0.544,0.136,0.456,0.404,0.039,0.644,0.125,0.333,0.661,0.5,0.25,0.968,0.33,0.421,24.0,0.0,13.4,0.422,37.0,NBA,646.0,PF,2019-20,MIN,Keita Bates-Diop
0.0,0.0,0.607,0.0,0.0,0.679,0.071,0.321,0.556,0.0,0.471,0.0,0.0,0.7,0.526,1.0,0.667,0.333,0.4,24.0,0.0,8.9,0.464,7.0,NBA,98.0,SF,2019-20,DEN,Keita Bates-Diop
2.0,0.0,0.388,0.045,0.03,0.746,0.284,0.254,0.529,0.03,0.808,0.333,0.0,0.64,0.5,0.158,1.0,0.294,0.222,25.0,0.0,9.7,0.448,30.0,NBA,245.0,SF,2020-21,SAS,Keita Bates-Diop
19.0,0.0,0.502,0.046,0.046,0.791,0.198,0.209,0.455,0.072,0.682,0.5,0.25,0.756,0.572,0.385,0.941,0.309,0.32,26.0,0.0,8.4,0.517,59.0,NBA,956.0,SF,2021-22,SAS,Keita Bates-Diop
15.0,0.0,0.34,0.047,0.004,0.695,0.303,0.305,0.43,0.039,0.696,0.364,0.0,0.65,0.557,0.44,0.982,0.394,0.377,27.0,0.0,10.4,0.508,67.0,NBA,1452.0,PF,2022-23,SAS,Keita Bates-Diop
9.0,0.0,0.487,0.069,0.217,0.857,0.085,0.143,0.481,0.074,0.5,0.231,0.22,0.387,0.383,0.25,1.0,0.259,0.231,20.0,1.0,9.4,0.365,53.0,NBA,655.0,PG,2008-09,POR,Jerryd Bayless
10.0,0.0,0.36,0.07,0.325,0.81,0.054,0.19,0.543,0.025,0.54,0.265,0.401,0.292,0.437,0.192,0.931,0.315,0.3,21.0,1.0,12.6,0.414,74.0,NBA,1304.0,SG,2009-10,POR,Jerryd Bayless
1.0,0.0,0.306,0.06,0.242,0.718,0.11,0.282,0.308,0.002,0.57,0.29,0.4,0.254,0.456,0.351,0.857,0.336,0.378,22.0,0.0,13.7,0.422,71.0,NBA,1496.0,PG,2010-11,TOT,Jerryd Bayless
0.0,0.0,0.204,0.143,0.143,0.714,0.224,0.286,0.214,0.0,0.6,0.286,0.571,0.286,0.4,0.182,0.333,0.214,0.0,22.0,0.0,13.5,0.347,11.0,NBA,149.0,PG,2010-11,NOH,Jerryd Bayless
1.0,0.0,0.316,0.051,0.252,0.718,0.098,0.282,0.318,0.002,0.568,0.292,0.39,0.252,0.461,0.391,0.891,0.348,0.405,22.0,0.0,13.8,0.429,60.0,NBA,1347.0,PG,2010-11,TOR,Jerryd Bayless
1.0,0.0,0.167,0.018,0.362,0.623,0.076,0.377,0.144,0.004,0.565,0.4,0.37,0.26,0.424,0.381,0.773,0.423,0.6,23.0,0.0,17.5,0.424,31.0,NBA,705.0,PG,2011-12,TOR,Jerryd Bayless
25.0,0.0,0.192,0.035,0.378,0.676,0.071,0.324,0.274,0.045,0.63,0.591,0.387,0.397,0.45,0.227,0.944,0.353,0.455,24.0,0.0,16.7,0.419,80.0,NBA,1765.0,PG,2012-13,MEM,Jerryd Bayless
3.0,0.0,0.141,0.083,0.342,0.656,0.089,0.344,0.283,0.01,0.517,0.471,0.393,0.372,0.425,0.364,0.908,0.358,0.4,25.0,0.0,17.0,0.402,72.0,NBA,1686.0,PG,2013-14,TOT,Jerryd Bayless
2.0,0.0,0.151,0.088,0.305,0.653,0.109,0.347,0.361,0.017,0.472,0.524,0.329,0.323,0.417,0.5,1.0,0.301,0.367,25.0,0.0,16.5,0.377,31.0,NBA,650.0,PG,2013-14,MEM,Jerryd Bayless
1.0,0.0,0.135,0.079,0.365,0.659,0.077,0.341,0.233,0.005,0.549,0.433,0.428,0.402,0.43,0.241,0.863,0.395,0.433,25.0,0.0,17.4,0.418,41.0,NBA,1036.0,PG,2013-14,BOS,Jerryd Bayless
