SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
2017-18,25.0,BOS,NBA,PG,18.0,1.0,107.0,2.8,10.3,0.273,0.0,5.1,0.0,2.8,5.1,0.545,3.3,4.2,0.778,1.9,3.3,5.1,5.6,1.4,0.9,4.2,7.0,8.9,78.0,106.0,Kadeem Allen
2018-19,26.0,NYK,NBA,PG,19.0,1.0,416.0,7.5,16.3,0.461,2.0,4.2,0.472,5.6,12.2,0.457,4.9,6.3,0.778,0.9,5.0,5.9,8.8,1.9,0.5,3.0,5.3,21.9,116.0,114.0,Kadeem Allen
2019-20,27.0,NYK,NBA,PG,10.0,0.0,117.0,7.9,18.3,0.432,2.1,6.7,0.313,5.8,11.7,0.5,2.9,4.6,0.636,0.8,2.9,3.7,8.7,2.1,0.8,3.3,2.9,20.8,106.0,114.0,Kadeem Allen
2016-17,23.0,NYK,NBA,SG,52.0,13.0,857.0,4.8,12.7,0.378,1.3,5.0,0.267,3.4,7.6,0.45,1.6,2.5,0.651,0.7,5.0,5.7,6.2,2.0,0.5,3.3,4.3,12.5,92.0,113.0,Ron Baker
2017-18,24.0,NYK,NBA,SG,29.0,1.0,385.0,2.6,7.6,0.339,1.4,4.2,0.333,1.2,3.3,0.346,2.6,3.3,0.769,0.6,3.2,3.9,6.1,3.3,0.8,2.3,4.2,9.1,104.0,109.0,Ron Baker
2018-19,25.0,TOT,NBA,SG,15.0,0.0,152.0,1.3,6.3,0.2,0.3,4.1,0.077,0.9,2.2,0.429,1.6,1.9,0.833,0.3,3.2,3.5,4.7,1.9,0.3,1.6,5.7,4.4,79.0,116.0,Ron Baker
2018-19,25.0,NYK,NBA,SG,11.0,0.0,107.0,1.8,7.2,0.25,0.5,4.1,0.111,1.4,3.2,0.429,2.3,2.7,0.833,0.5,2.7,3.2,5.9,2.3,0.0,1.4,7.2,6.3,94.0,115.0,Ron Baker
2018-19,25.0,WAS,NBA,SG,4.0,0.0,45.0,0.0,4.2,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,4.2,2.1,1.1,1.1,2.1,2.1,0.0,20.0,117.0,Ron Baker
2013-14,21.0,UTA,NBA,PG,70.0,68.0,2262.0,7.9,20.8,0.38,2.6,7.8,0.33,5.3,13.0,0.41,2.4,2.6,0.903,0.9,4.0,4.8,9.2,1.0,0.1,3.0,3.4,20.8,101.0,115.0,Trey Burke
2014-15,22.0,UTA,NBA,PG,76.0,43.0,2288.0,8.6,23.3,0.368,2.9,9.1,0.318,5.7,14.3,0.4,2.5,3.4,0.752,0.7,4.0,4.7,7.6,1.5,0.3,2.9,2.8,22.6,100.0,108.0,Trey Burke
2015-16,23.0,UTA,NBA,PG,64.0,0.0,1366.0,10.1,24.5,0.413,3.4,9.9,0.344,6.7,14.6,0.46,2.6,3.2,0.817,0.7,3.6,4.3,5.7,1.4,0.2,3.1,3.3,26.2,102.0,108.0,Trey Burke
2016-17,24.0,WAS,NBA,PG,57.0,0.0,703.0,8.1,17.9,0.455,2.2,4.9,0.443,6.0,13.0,0.459,1.5,2.0,0.759,0.5,2.8,3.3,7.0,0.8,0.4,3.4,3.8,20.0,103.0,114.0,Trey Burke
2017-18,25.0,NYK,NBA,PG,36.0,9.0,785.0,12.2,24.2,0.503,2.4,6.6,0.362,9.8,17.6,0.556,2.3,3.6,0.649,0.8,3.7,4.5,10.7,1.5,0.3,2.7,2.7,29.1,117.0,114.0,Trey Burke
2018-19,26.0,TOT,NBA,PG,58.0,8.0,1125.0,10.1,23.5,0.431,2.4,6.8,0.352,7.7,16.7,0.463,4.4,5.3,0.831,1.2,3.0,4.3,6.8,1.4,0.3,2.1,2.5,27.1,110.0,116.0,Trey Burke
2018-19,26.0,NYK,NBA,PG,33.0,7.0,689.0,10.4,25.0,0.413,2.1,6.0,0.349,8.3,19.0,0.434,4.3,5.2,0.827,1.0,3.3,4.3,6.6,1.5,0.3,2.0,2.3,27.1,106.0,117.0,Trey Burke
2018-19,26.0,DAL,NBA,PG,25.0,1.0,436.0,9.8,21.1,0.463,2.9,8.1,0.356,6.9,13.0,0.53,4.6,5.5,0.837,1.4,2.7,4.1,7.2,1.3,0.2,2.2,2.8,27.0,119.0,114.0,Trey Burke
2019-20,27.0,TOT,NBA,PG,33.0,1.0,520.0,8.8,19.5,0.45,3.0,7.0,0.427,5.8,12.5,0.463,2.1,2.7,0.793,1.5,3.2,4.7,7.7,1.5,0.2,2.0,3.1,22.6,117.0,113.0,Trey Burke
2019-20,27.0,PHI,NBA,PG,25.0,0.0,329.0,8.7,18.7,0.465,2.4,5.6,0.421,6.3,13.1,0.483,1.9,2.7,0.722,2.2,2.9,5.2,7.8,1.0,0.1,1.8,3.1,21.7,119.0,114.0,Trey Burke
2019-20,27.0,DAL,NBA,PG,8.0,1.0,191.0,8.9,20.7,0.427,4.0,9.4,0.432,4.8,11.4,0.422,2.5,2.8,0.909,0.3,3.5,3.8,7.6,2.3,0.3,2.3,3.0,24.3,115.0,113.0,Trey Burke
2020-21,28.0,DAL,NBA,PG,62.0,1.0,911.0,8.2,19.1,0.428,3.1,8.9,0.354,5.0,10.2,0.492,2.8,3.1,0.895,0.5,2.4,2.9,4.4,1.9,0.4,1.8,3.5,22.3,110.0,115.0,Trey Burke
2021-22,29.0,DAL,NBA,PG,42.0,0.0,441.0,9.6,24.5,0.391,3.0,9.4,0.317,6.6,15.2,0.436,2.3,2.6,0.87,0.5,3.3,3.8,6.5,1.4,0.0,3.0,4.5,24.4,97.0,113.0,Trey Burke
2017-18,23.0,NYK,NBA,SG,44.0,2.0,474.0,7.5,16.8,0.447,2.3,7.1,0.324,5.2,9.7,0.538,1.7,2.4,0.696,0.9,7.8,8.8,3.2,1.3,0.2,1.8,3.6,19.0,106.0,112.0,Damyean Dotson
2018-19,24.0,NYK,NBA,SG,73.0,40.0,2004.0,7.0,16.8,0.415,3.0,8.2,0.368,3.9,8.6,0.461,1.8,2.4,0.745,0.8,5.5,6.3,3.2,1.4,0.2,1.7,3.2,18.7,105.0,116.0,Damyean Dotson
2019-20,25.0,NYK,NBA,SG,48.0,0.0,836.0,7.0,16.9,0.414,3.4,9.5,0.362,3.6,7.4,0.48,1.3,1.9,0.667,0.6,4.7,5.3,3.3,1.3,0.2,1.2,2.6,18.7,109.0,116.0,Damyean Dotson
2020-21,26.0,CLE,NBA,SG,46.0,7.0,907.0,6.5,15.9,0.406,2.5,8.6,0.289,4.0,7.3,0.545,1.3,2.0,0.667,0.3,4.8,5.1,4.9,0.9,0.2,2.3,2.3,16.7,99.0,118.0,Damyean Dotson
2021-22,27.0,NYK,NBA,SG,2.0,0.0,21.0,4.8,9.5,0.5,0.0,2.4,0.0,4.8,7.1,0.667,0.0,0.0,0.0,0.0,4.8,4.8,2.4,0.0,0.0,0.0,0.0,9.5,113.0,117.0,Damyean Dotson
2016-17,20.0,DET,NBA,PF,19.0,2.0,146.0,8.0,22.1,0.359,3.5,12.1,0.286,4.5,10.0,0.448,1.4,2.8,0.5,2.8,11.4,14.2,2.4,0.3,0.3,4.8,2.1,20.8,82.0,109.0,Henry Ellenson
2017-18,21.0,DET,NBA,PF,38.0,0.0,329.0,8.0,22.1,0.363,3.0,9.1,0.333,5.0,13.0,0.384,3.8,4.4,0.862,1.5,10.8,12.3,3.0,0.8,0.0,2.7,3.3,22.9,95.0,108.0,Henry Ellenson
2018-19,22.0,TOT,NBA,PF,19.0,0.0,259.0,7.3,17.7,0.411,3.2,7.1,0.447,4.1,10.6,0.386,3.5,4.7,0.76,0.9,11.4,12.3,3.0,1.3,0.4,1.7,5.0,21.3,108.0,112.0,Henry Ellenson
2018-19,22.0,DET,NBA,PF,2.0,0.0,25.0,7.9,19.7,0.4,3.9,7.9,0.5,3.9,11.8,0.333,3.9,3.9,1.0,0.0,17.7,17.7,2.0,0.0,0.0,0.0,3.9,23.7,120.0,108.0,Henry Ellenson
2018-19,22.0,NYK,NBA,PF,17.0,0.0,234.0,7.2,17.5,0.412,3.1,7.0,0.441,4.1,10.5,0.392,3.5,4.7,0.739,1.0,10.7,11.7,3.1,1.4,0.4,1.9,5.1,21.0,107.0,112.0,Henry Ellenson
2019-20,23.0,BRK,NBA,C,5.0,0.0,15.0,3.2,22.1,0.143,0.0,12.6,0.0,3.2,9.5,0.333,0.0,0.0,0.0,6.3,12.6,18.9,3.2,0.0,0.0,0.0,3.2,6.3,60.0,111.0,Henry Ellenson
2020-21,24.0,TOR,NBA,PF,2.0,0.0,38.0,6.4,17.8,0.357,2.5,11.5,0.222,3.8,6.4,0.6,3.8,5.1,0.75,3.8,11.5,15.3,6.4,0.0,0.0,0.0,8.9,19.1,121.0,115.0,Henry Ellenson
2011-12,19.0,UTA,NBA,C,66.0,0.0,874.0,7.0,14.2,0.496,0.0,0.1,0.0,7.0,14.1,0.498,4.2,6.3,0.667,6.4,10.3,16.7,0.5,1.1,1.4,3.2,5.2,18.3,105.0,105.0,Enes Freedom
2012-13,20.0,UTA,NBA,C,70.0,2.0,1078.0,10.1,18.6,0.544,0.0,0.0,1.0,10.0,18.5,0.542,4.6,5.7,0.795,6.6,8.3,14.9,1.5,1.4,1.6,4.9,5.7,24.8,106.0,107.0,Enes Freedom
2013-14,21.0,UTA,NBA,C,80.0,37.0,2138.0,10.3,21.0,0.491,0.0,0.0,0.0,10.3,20.9,0.492,3.7,5.0,0.73,5.5,9.2,14.7,1.8,0.7,1.0,3.5,5.7,24.3,102.0,112.0,Enes Freedom
2014-15,22.0,TOT,NBA,C,75.0,74.0,2135.0,11.7,22.6,0.519,0.4,1.1,0.356,11.3,21.5,0.528,4.5,5.7,0.782,6.7,9.6,16.3,1.3,0.9,0.7,3.5,4.6,28.3,111.0,106.0,Enes Freedom
2014-15,22.0,UTA,NBA,C,49.0,48.0,1326.0,11.5,23.3,0.491,0.5,1.6,0.317,10.9,21.7,0.505,3.7,4.7,0.788,5.9,9.5,15.4,1.0,0.9,0.6,3.7,4.6,27.2,104.0,106.0,Enes Freedom
2014-15,22.0,OKC,NBA,C,26.0,26.0,809.0,12.1,21.4,0.566,0.2,0.2,0.75,12.0,21.2,0.564,5.6,7.2,0.776,8.1,9.7,17.8,1.8,0.8,0.8,3.2,4.6,30.1,122.0,106.0,Enes Freedom
2015-16,23.0,OKC,NBA,C,82.0,1.0,1721.0,11.9,20.7,0.576,0.3,0.6,0.476,11.7,20.1,0.579,5.8,7.2,0.797,7.2,12.0,19.2,1.0,0.7,1.0,3.3,4.8,29.9,123.0,105.0,Enes Freedom
2016-17,24.0,OKC,NBA,C,72.0,0.0,1533.0,12.9,23.6,0.545,0.2,1.2,0.132,12.7,22.4,0.568,7.2,9.1,0.786,6.2,9.2,15.4,2.1,1.0,1.2,3.9,4.9,33.1,116.0,107.0,Enes Freedom
2017-18,25.0,NYK,NBA,C,71.0,71.0,1830.0,11.4,19.3,0.592,0.0,0.1,0.0,11.4,19.3,0.594,4.2,5.0,0.848,7.4,13.7,21.1,2.8,1.0,1.0,3.3,5.1,27.1,122.0,108.0,Enes Freedom
2018-19,26.0,TOT,NBA,C,67.0,31.0,1640.0,11.0,20.1,0.549,0.3,1.0,0.294,10.7,19.1,0.562,4.6,5.8,0.787,7.6,11.8,19.4,3.4,0.9,0.8,3.5,4.9,26.9,118.0,111.0,Enes Freedom
2018-19,26.0,NYK,NBA,C,44.0,23.0,1128.0,10.7,20.0,0.536,0.3,0.9,0.318,10.4,19.1,0.547,4.5,5.5,0.814,7.3,12.4,19.7,3.6,0.8,0.7,3.4,4.5,26.2,117.0,112.0,Enes Freedom
2018-19,26.0,POR,NBA,C,23.0,8.0,512.0,11.7,20.3,0.577,0.3,1.1,0.25,11.4,19.2,0.596,4.7,6.4,0.735,8.1,10.6,18.7,3.0,1.3,0.9,3.7,5.8,28.5,122.0,109.0,Enes Freedom
2019-20,27.0,BOS,NBA,C,58.0,7.0,983.0,9.8,17.1,0.572,0.0,0.3,0.143,9.7,16.7,0.581,3.4,4.9,0.707,8.0,13.2,21.2,2.7,1.1,2.0,2.7,4.9,23.0,123.0,104.0,Enes Freedom
2020-21,28.0,POR,NBA,C,72.0,35.0,1758.0,9.4,15.6,0.604,0.0,0.1,0.25,9.4,15.5,0.607,3.5,4.6,0.774,7.9,14.2,22.1,2.3,0.9,1.3,2.2,4.7,22.4,133.0,113.0,Enes Freedom
2021-22,29.0,BOS,NBA,C,35.0,1.0,411.0,6.2,11.7,0.526,0.2,0.6,0.4,5.9,11.1,0.533,2.9,3.4,0.857,7.4,12.0,19.3,1.0,0.6,1.7,2.4,5.1,15.5,121.0,105.0,Enes Freedom
2018-19,24.0,NYK,NBA,SG,4.0,0.0,63.0,8.4,20.7,0.407,0.0,6.1,0.0,8.4,14.5,0.579,3.1,3.1,1.0,0.0,2.3,2.3,5.4,0.8,0.8,1.5,2.3,19.9,97.0,118.0,Billy Garrett
2013-14,21.0,NYK,NBA,SG,81.0,1.0,1875.0,8.3,19.5,0.428,3.7,10.2,0.363,4.7,9.3,0.498,3.0,3.6,0.828,0.5,2.9,3.4,1.9,1.2,0.2,1.3,4.1,23.4,112.0,114.0,Tim Hardaway Jr.
2014-15,22.0,NYK,NBA,SG,70.0,30.0,1681.0,8.7,22.5,0.389,3.8,11.1,0.342,4.9,11.4,0.435,3.9,4.9,0.801,0.4,4.5,4.9,4.0,0.6,0.4,2.6,3.7,25.2,101.0,114.0,Tim Hardaway Jr.
2015-16,23.0,ATL,NBA,SG,51.0,1.0,864.0,6.5,15.2,0.43,2.7,8.1,0.338,3.8,7.0,0.537,2.9,3.2,0.893,0.4,4.5,4.9,2.9,1.2,0.4,1.3,2.7,18.6,110.0,106.0,Tim Hardaway Jr.
2016-17,24.0,ATL,NBA,SG,79.0,30.0,2154.0,9.5,20.9,0.455,3.4,9.5,0.357,6.1,11.3,0.537,3.8,4.9,0.766,0.8,4.3,5.1,4.2,1.3,0.3,2.4,2.4,26.2,110.0,109.0,Tim Hardaway Jr.
2017-18,25.0,NYK,NBA,SG,57.0,54.0,1885.0,9.5,22.5,0.421,3.4,10.8,0.317,6.0,11.7,0.516,3.8,4.7,0.816,0.8,5.0,5.9,4.1,1.6,0.3,2.4,3.2,26.2,106.0,113.0,Tim Hardaway Jr.
2018-19,26.0,TOT,NBA,SG,65.0,63.0,2057.0,9.2,23.3,0.393,3.8,11.2,0.34,5.4,12.1,0.442,5.4,6.5,0.841,0.8,4.4,5.2,3.7,1.3,0.2,2.5,3.3,27.6,105.0,116.0,Tim Hardaway Jr.
