SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2017-18,23.0,CHI,NBA,PG,24.0,0.0,304.0,2.0,4.9,0.415,1.1,3.7,0.29,0.9,1.2,0.8,0.6,0.7,0.833,0.1,2.8,3.0,4.1,1.5,0.0,1.5,2.1,5.7,Ryan Arcidiacono
2018-19,24.0,CHI,NBA,PG,81.0,32.0,1961.0,3.4,7.7,0.447,1.5,4.0,0.373,1.9,3.7,0.527,1.6,1.9,0.873,0.5,3.5,4.0,4.9,1.2,0.1,1.2,3.1,10.0,Ryan Arcidiacono
2019-20,25.0,CHI,NBA,PG,58.0,4.0,930.0,3.5,8.5,0.409,2.1,5.3,0.391,1.4,3.2,0.439,1.0,1.5,0.711,0.8,3.5,4.3,3.7,1.0,0.1,1.4,3.7,10.1,Ryan Arcidiacono
2020-21,26.0,CHI,NBA,PG,44.0,0.0,450.0,3.9,9.4,0.419,2.0,5.4,0.373,1.9,4.0,0.48,1.0,1.6,0.65,0.4,5.0,5.4,4.5,0.7,0.0,0.8,3.8,10.9,Ryan Arcidiacono
2021-22,27.0,NYK,NBA,PG,10.0,0.0,76.0,2.8,5.7,0.5,1.9,4.3,0.444,0.9,1.4,0.667,0.0,0.0,0.0,0.0,3.8,3.8,1.9,0.5,0.0,1.4,2.4,7.6,Ryan Arcidiacono
2022-23,28.0,TOT,NBA,PG,20.0,4.0,172.0,1.9,7.7,0.243,1.7,4.8,0.348,0.2,2.9,0.071,0.0,0.0,0.0,0.0,3.1,3.1,4.8,1.0,0.0,1.5,3.6,5.4,Ryan Arcidiacono
2022-23,28.0,NYK,NBA,PG,11.0,0.0,26.0,1.4,6.9,0.2,1.4,4.2,0.333,0.0,2.8,0.0,0.0,0.0,0.0,0.0,5.5,5.5,2.8,2.8,0.0,1.4,4.2,4.2,Ryan Arcidiacono
2022-23,28.0,POR,NBA,PG,9.0,4.0,146.0,2.0,7.9,0.25,1.7,4.9,0.35,0.2,3.0,0.083,0.0,0.0,0.0,0.0,2.7,2.7,5.2,0.7,0.0,1.5,3.5,5.7,Ryan Arcidiacono
2018-19,19.0,CHI,NBA,C,44.0,44.0,1110.0,5.8,12.0,0.485,0.2,1.0,0.188,5.6,11.0,0.513,2.9,3.6,0.795,2.8,7.1,10.0,2.5,0.8,1.9,2.1,4.9,14.8,Wendell Carter Jr.
2019-20,20.0,CHI,NBA,C,43.0,43.0,1256.0,5.2,9.8,0.534,0.2,0.8,0.207,5.1,9.0,0.564,3.2,4.4,0.737,4.0,7.6,11.6,1.5,0.9,1.0,2.1,4.6,13.9,Wendell Carter Jr.
2020-21,21.0,TOT,NBA,C,54.0,44.0,1375.0,6.0,12.0,0.503,0.4,1.3,0.294,5.6,10.6,0.53,3.4,4.7,0.732,3.5,8.1,11.6,2.7,0.9,1.1,2.0,3.8,15.9,Wendell Carter Jr.
2020-21,21.0,CHI,NBA,C,32.0,25.0,792.0,5.9,11.5,0.512,0.4,1.0,0.364,5.5,10.5,0.526,3.7,5.0,0.739,3.2,8.2,11.4,3.1,0.8,1.1,2.2,4.4,15.8,Wendell Carter Jr.
2020-21,21.0,ORL,NBA,C,22.0,19.0,583.0,6.2,12.7,0.493,0.4,1.8,0.241,5.8,10.9,0.534,3.0,4.2,0.721,3.8,8.1,11.9,2.2,1.0,1.1,1.8,3.1,15.9,Wendell Carter Jr.
2021-22,22.0,ORL,NBA,PF,62.0,61.0,1852.0,7.0,13.3,0.525,1.4,4.2,0.327,5.6,9.1,0.615,2.8,4.0,0.691,2.7,9.9,12.6,3.3,0.7,0.8,2.3,3.3,18.1,Wendell Carter Jr.
2022-23,23.0,ORL,NBA,C,57.0,54.0,1690.0,6.9,13.1,0.525,1.7,4.8,0.356,5.2,8.3,0.624,3.1,4.2,0.738,2.6,8.0,10.6,2.8,0.6,0.7,2.3,3.4,18.5,Wendell Carter Jr.
2016-17,22.0,MIN,NBA,PG,78.0,7.0,1333.0,3.2,8.5,0.377,0.6,2.0,0.288,2.6,6.5,0.404,1.0,1.6,0.61,0.6,3.8,4.5,5.1,2.1,1.0,2.4,4.8,7.9,Kris Dunn
2017-18,23.0,CHI,NBA,PG,52.0,43.0,1525.0,6.8,15.7,0.429,1.0,3.2,0.321,5.7,12.6,0.457,2.0,2.7,0.737,0.6,4.7,5.2,7.3,2.5,0.6,3.5,4.1,16.5,Kris Dunn
2018-19,24.0,CHI,NBA,PG,46.0,44.0,1389.0,5.6,13.1,0.425,0.9,2.5,0.354,4.7,10.6,0.441,1.4,1.8,0.797,0.5,4.4,4.8,7.2,1.8,0.5,2.7,4.3,13.5,Kris Dunn
2019-20,25.0,CHI,NBA,PG,51.0,32.0,1269.0,4.3,9.7,0.444,0.8,3.2,0.259,3.5,6.5,0.535,1.1,1.5,0.741,0.7,4.6,5.3,4.9,2.9,0.5,1.9,4.5,10.6,Kris Dunn
2020-21,26.0,ATL,NBA,PG,4.0,0.0,45.0,0.8,9.6,0.083,0.0,1.6,0.0,0.8,8.0,0.1,2.4,3.2,0.75,0.0,4.8,4.8,1.6,1.6,1.6,2.4,8.0,4.0,Kris Dunn
2021-22,27.0,POR,NBA,PG,14.0,3.0,336.0,4.7,10.9,0.431,0.1,1.2,0.091,4.6,9.7,0.473,1.8,1.9,0.944,1.0,4.3,5.2,8.5,2.5,0.3,3.4,4.1,11.4,Kris Dunn
2022-23,28.0,UTA,NBA,PG,22.0,3.0,568.0,7.4,13.7,0.537,1.1,2.3,0.472,6.3,11.4,0.55,2.6,3.4,0.774,0.6,5.8,6.3,7.9,1.6,0.6,2.2,3.7,18.4,Kris Dunn
