2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,eFG%,PLAYER
8.0,0.8,10.0,9.0,0.29,31.0,23.0,35.0,0.0,24.0,17.0,0.415,41.0,5.0,0.833,6.0,24.0,0.0,NBA,304.0,1.0,18.0,PG,48.0,2017-18,13.0,CHI,13.0,25.0,0.524,Ryan Arcidiacono
106.0,0.527,201.0,81.0,0.373,217.0,24.0,269.0,4.0,192.0,187.0,0.447,418.0,89.0,0.873,102.0,81.0,32.0,NBA,1961.0,27.0,171.0,PG,544.0,2018-19,65.0,CHI,63.0,219.0,0.544,Ryan Arcidiacono
36.0,0.439,82.0,54.0,0.391,138.0,25.0,96.0,3.0,90.0,90.0,0.409,220.0,27.0,0.711,38.0,58.0,4.0,NBA,930.0,20.0,96.0,PG,261.0,2019-20,27.0,CHI,37.0,110.0,0.532,Ryan Arcidiacono
24.0,0.48,50.0,25.0,0.373,67.0,26.0,56.0,0.0,62.0,49.0,0.419,117.0,13.0,0.65,20.0,44.0,0.0,NBA,450.0,5.0,47.0,PG,136.0,2020-21,9.0,CHI,10.0,67.0,0.526,Ryan Arcidiacono
2.0,0.667,3.0,4.0,0.444,9.0,27.0,4.0,0.0,8.0,6.0,0.5,12.0,0.0,0.0,0.0,10.0,0.0,NBA,76.0,0.0,5.0,PG,16.0,2021-22,1.0,NYK,3.0,8.0,0.667,Ryan Arcidiacono
1.0,0.071,14.0,8.0,0.348,23.0,28.0,23.0,0.0,15.0,9.0,0.243,37.0,0.0,0.0,0.0,20.0,4.0,NBA,172.0,0.0,17.0,PG,26.0,2022-23,5.0,TOT,7.0,15.0,0.351,Ryan Arcidiacono
0.0,0.0,2.0,1.0,0.333,3.0,28.0,2.0,0.0,4.0,1.0,0.2,5.0,0.0,0.0,0.0,11.0,0.0,NBA,26.0,0.0,3.0,PG,3.0,2022-23,2.0,NYK,1.0,4.0,0.3,Ryan Arcidiacono
1.0,0.083,12.0,7.0,0.35,20.0,28.0,21.0,0.0,11.0,8.0,0.25,32.0,0.0,0.0,0.0,9.0,4.0,NBA,146.0,0.0,14.0,PG,23.0,2022-23,3.0,POR,6.0,11.0,0.359,Ryan Arcidiacono
174.0,0.513,339.0,6.0,0.188,32.0,19.0,78.0,58.0,220.0,180.0,0.485,371.0,89.0,0.795,112.0,44.0,44.0,NBA,1110.0,87.0,152.0,C,455.0,2018-19,26.0,CHI,65.0,307.0,0.493,Wendell Carter Jr.
177.0,0.564,314.0,6.0,0.207,29.0,20.0,51.0,36.0,266.0,183.0,0.534,343.0,112.0,0.737,152.0,43.0,43.0,NBA,1256.0,139.0,162.0,C,484.0,2019-20,33.0,CHI,72.0,405.0,0.542,Wendell Carter Jr.
215.0,0.53,406.0,15.0,0.294,51.0,21.0,104.0,42.0,311.0,230.0,0.503,457.0,131.0,0.732,179.0,54.0,44.0,NBA,1375.0,132.0,146.0,C,606.0,2020-21,35.0,TOT,78.0,443.0,0.52,Wendell Carter Jr.
121.0,0.526,230.0,8.0,0.364,22.0,21.0,69.0,24.0,180.0,129.0,0.512,252.0,82.0,0.739,111.0,32.0,25.0,NBA,792.0,70.0,96.0,C,348.0,2020-21,18.0,CHI,49.0,250.0,0.528,Wendell Carter Jr.
94.0,0.534,176.0,7.0,0.241,29.0,21.0,35.0,18.0,131.0,101.0,0.493,205.0,49.0,0.721,68.0,22.0,19.0,NBA,583.0,62.0,50.0,C,258.0,2020-21,17.0,ORL,29.0,193.0,0.51,Wendell Carter Jr.
289.0,0.615,470.0,70.0,0.327,214.0,22.0,171.0,43.0,509.0,359.0,0.525,684.0,143.0,0.691,207.0,62.0,61.0,NBA,1852.0,139.0,169.0,PF,931.0,2021-22,36.0,ORL,117.0,648.0,0.576,Wendell Carter Jr.
242.0,0.624,388.0,80.0,0.356,225.0,23.0,132.0,33.0,377.0,322.0,0.525,613.0,144.0,0.738,195.0,57.0,54.0,NBA,1690.0,120.0,159.0,C,868.0,2022-23,30.0,ORL,106.0,497.0,0.591,Wendell Carter Jr.
97.0,0.404,240.0,21.0,0.288,73.0,22.0,188.0,36.0,142.0,118.0,0.377,313.0,36.0,0.61,59.0,78.0,7.0,NBA,1333.0,24.0,178.0,PG,293.0,2016-17,78.0,MIN,89.0,166.0,0.411,Kris Dunn
243.0,0.457,532.0,43.0,0.321,134.0,23.0,310.0,27.0,197.0,286.0,0.429,666.0,84.0,0.737,114.0,52.0,43.0,NBA,1525.0,24.0,174.0,PG,699.0,2017-18,104.0,CHI,150.0,221.0,0.462,Kris Dunn
181.0,0.441,410.0,34.0,0.354,96.0,24.0,277.0,21.0,168.0,215.0,0.425,506.0,55.0,0.797,69.0,46.0,44.0,NBA,1389.0,19.0,166.0,PG,519.0,2018-19,68.0,CHI,104.0,187.0,0.458,Kris Dunn
123.0,0.535,230.0,29.0,0.259,112.0,25.0,173.0,17.0,163.0,152.0,0.444,342.0,40.0,0.741,54.0,51.0,32.0,NBA,1269.0,23.0,158.0,PG,373.0,2019-20,101.0,CHI,68.0,186.0,0.487,Kris Dunn
