SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PLAYER
2019-20,21.0,CLE,NBA,C,1.0,3.0,19.8,0.0,0.0,0.0,0.0,74.7,37.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.282,-5.8,11.3,5.4,0.0,Marques Bolden
2020-21,22.0,CLE,NBA,C,6.0,29.0,13.3,0.537,0.0,2.667,11.3,11.9,11.6,0.0,3.4,6.1,23.5,12.8,0.0,0.0,0.0,0.063,-3.8,0.8,-3.0,0.0,Marques Bolden
2014-15,22.0,LAL,NBA,PG,59.0,1476.0,16.9,0.528,0.203,0.265,4.0,10.5,7.1,23.8,1.8,0.7,12.6,23.0,2.0,0.4,2.4,0.078,1.2,-0.9,0.2,0.8,Jordan Clarkson
2015-16,23.0,LAL,NBA,SG,79.0,2552.0,14.3,0.516,0.291,0.186,3.8,9.6,6.6,13.8,1.7,0.2,10.2,22.8,1.7,0.4,2.1,0.039,-0.1,-1.5,-1.6,0.2,Jordan Clarkson
2016-17,24.0,LAL,NBA,SG,82.0,2397.0,13.2,0.526,0.332,0.157,2.2,9.3,5.6,14.4,1.8,0.3,12.5,23.3,0.5,0.7,1.2,0.024,-0.9,-1.6,-2.5,-0.3,Jordan Clarkson
2017-18,25.0,TOT,NBA,SG,81.0,1888.0,16.4,0.542,0.333,0.199,3.3,9.1,6.2,19.3,1.5,0.3,10.9,26.5,1.9,1.2,3.0,0.077,1.5,-1.4,0.1,1.0,Jordan Clarkson
2017-18,25.0,LAL,NBA,SG,53.0,1256.0,16.9,0.532,0.315,0.198,3.8,9.7,6.7,22.9,1.5,0.2,11.6,27.7,1.1,1.0,2.1,0.08,1.9,-1.1,0.8,0.9,Jordan Clarkson
2017-18,25.0,CLE,NBA,SG,28.0,632.0,15.4,0.565,0.376,0.202,2.3,7.9,5.1,12.0,1.5,0.4,9.3,24.1,0.8,0.2,1.0,0.073,0.5,-1.8,-1.3,0.1,Jordan Clarkson
2018-19,26.0,CLE,NBA,SG,81.0,2214.0,16.8,0.539,0.377,0.163,3.9,9.9,6.8,15.6,1.3,0.5,9.6,27.6,1.9,-0.1,1.8,0.039,2.1,-2.6,-0.5,0.8,Jordan Clarkson
2019-20,27.0,TOT,NBA,SG,71.0,1705.0,17.3,0.574,0.476,0.19,3.3,8.7,6.1,13.2,1.3,0.8,9.4,26.3,2.4,1.0,3.4,0.096,2.4,-1.3,1.1,1.3,Jordan Clarkson
2019-20,27.0,CLE,NBA,SG,29.0,666.0,18.6,0.581,0.488,0.264,3.5,8.1,5.8,17.0,1.2,1.0,9.7,25.9,1.4,0.1,1.5,0.107,4.1,-1.4,2.7,0.8,Jordan Clarkson
2019-20,27.0,UTA,NBA,SG,42.0,1039.0,16.5,0.569,0.47,0.146,3.2,9.1,6.3,10.8,1.4,0.6,9.2,26.7,1.0,0.9,1.9,0.089,1.3,-1.2,0.0,0.5,Jordan Clarkson
2020-21,28.0,UTA,NBA,SG,68.0,1818.0,17.1,0.549,0.557,0.134,2.9,12.7,8.0,15.3,1.6,0.4,9.2,29.7,1.7,2.5,4.2,0.111,1.8,-0.4,1.4,1.6,Jordan Clarkson
2021-22,29.0,UTA,NBA,SG,79.0,2141.0,14.9,0.532,0.536,0.156,3.5,10.2,7.0,14.5,1.5,0.7,9.8,26.8,1.5,2.0,3.5,0.079,0.5,-1.2,-0.6,0.7,Jordan Clarkson
2022-23,30.0,UTA,NBA,SG,61.0,1988.0,14.7,0.558,0.445,0.238,4.0,9.3,6.7,20.9,0.8,0.6,14.0,27.8,0.9,0.8,1.7,0.042,1.0,-2.4,-1.4,0.3,Jordan Clarkson
2019-20,22.0,TOT,NBA,"PF,SF",13.0,54.0,19.4,0.741,0.0,0.667,12.3,16.6,14.4,2.9,2.7,0.0,16.2,14.7,0.2,0.0,0.2,0.182,0.3,-0.5,-0.2,0.0,Tyler Cook
2019-20,22.0,CLE,NBA,PF,11.0,35.0,23.9,0.752,0.0,0.6,12.6,19.2,15.9,4.5,1.4,0.0,7.3,16.7,0.2,0.0,0.2,0.244,2.9,-0.6,2.3,0.0,Tyler Cook
2019-20,22.0,DEN,NBA,SF,2.0,19.0,11.3,0.694,0.0,1.0,11.8,11.8,11.8,0.0,5.2,0.0,41.0,11.2,0.0,0.0,0.0,0.069,-4.4,-0.4,-4.8,0.0,Tyler Cook
2020-21,23.0,TOT,NBA,"PF,SF",32.0,438.0,12.8,0.659,0.019,0.34,7.0,17.2,12.1,5.9,0.9,0.4,15.1,13.9,0.5,0.3,0.8,0.09,-2.2,-0.9,-3.0,-0.1,Tyler Cook
2020-21,23.0,BRK,NBA,PF,4.0,17.0,1.6,0.333,0.0,0.0,6.9,6.2,6.5,14.1,0.0,0.0,25.0,10.3,0.0,0.0,0.0,-0.047,-5.2,-1.0,-6.2,0.0,Tyler Cook
2020-21,23.0,DET,NBA,SF,28.0,421.0,13.2,0.667,0.02,0.35,7.1,17.6,12.3,5.6,0.9,0.4,14.8,14.1,0.5,0.3,0.8,0.096,-2.0,-0.8,-2.9,-0.1,Tyler Cook
2021-22,24.0,CHI,NBA,PF,20.0,200.0,13.0,0.643,0.0,0.842,9.1,20.7,14.9,2.0,1.0,1.7,11.8,13.0,0.4,0.2,0.5,0.127,-3.0,-1.1,-4.1,-0.1,Tyler Cook
2013-14,23.0,CLE,NBA,SG,72.0,1271.0,10.7,0.534,0.524,0.162,2.5,8.5,5.4,22.1,1.3,0.3,15.9,13.2,1.4,0.7,2.1,0.078,-1.6,-0.2,-1.8,0.1,Matthew Dellavedova
2014-15,24.0,CLE,NBA,SG,67.0,1380.0,8.5,0.493,0.544,0.124,3.1,7.3,5.2,21.1,0.9,0.1,15.9,12.6,1.4,0.5,1.9,0.067,-2.0,-0.8,-2.8,-0.3,Matthew Dellavedova
2015-16,25.0,CLE,NBA,PG,76.0,1867.0,11.3,0.527,0.468,0.129,2.0,7.8,4.9,26.2,1.2,0.4,17.7,15.9,2.2,1.6,3.8,0.098,-0.7,-0.5,-1.2,0.4,Matthew Dellavedova
2016-17,26.0,MIL,NBA,PG,76.0,1986.0,9.4,0.501,0.403,0.18,1.4,7.1,4.3,25.7,1.4,0.0,18.8,16.3,0.3,0.9,1.2,0.029,-2.5,-1.8,-4.2,-1.1,Matthew Dellavedova
2017-18,27.0,MIL,NBA,PG,38.0,712.0,8.6,0.5,0.513,0.178,2.3,8.2,5.3,27.4,1.0,0.0,23.0,13.5,0.3,0.2,0.5,0.032,-2.4,-2.0,-4.4,-0.4,Matthew Dellavedova
2018-19,28.0,TOT,NBA,PG,48.0,812.0,11.1,0.532,0.537,0.215,0.8,9.9,5.2,31.9,0.8,0.2,20.4,17.9,0.5,0.0,0.5,0.028,-1.7,-2.8,-4.4,-0.5,Matthew Dellavedova
2018-19,28.0,MIL,NBA,PG,12.0,97.0,7.5,0.482,0.579,0.211,0.0,9.9,5.2,35.7,1.0,0.0,34.6,13.7,0.0,0.1,0.1,0.043,-3.5,-0.6,-4.1,-0.1,Matthew Dellavedova
2018-19,28.0,CLE,NBA,PG,36.0,715.0,11.5,0.537,0.534,0.215,0.9,9.9,5.2,31.3,0.8,0.2,18.9,18.4,0.5,-0.1,0.4,0.026,-1.4,-3.0,-4.5,-0.4,Matthew Dellavedova
2019-20,29.0,CLE,NBA,PG,57.0,821.0,8.1,0.463,0.52,0.211,2.4,7.8,5.1,29.0,1.2,0.2,23.6,13.0,0.1,0.1,0.2,0.011,-3.6,-1.6,-5.2,-0.7,Matthew Dellavedova
2020-21,30.0,CLE,NBA,PG,13.0,224.0,7.3,0.312,0.446,0.071,2.9,9.2,6.0,35.3,0.9,0.4,9.4,12.4,-0.1,0.1,0.0,0.005,-4.5,-1.9,-6.4,-0.3,Matthew Dellavedova
2022-23,32.0,SAC,NBA,PG,32.0,213.0,6.7,0.443,0.54,0.14,0.5,6.4,3.5,23.4,1.6,0.0,15.9,12.7,0.0,0.1,0.1,0.021,-4.4,-0.8,-5.2,-0.2,Matthew Dellavedova
2012-13,19.0,DET,NBA,C,60.0,1243.0,21.6,0.578,0.006,0.465,15.4,27.2,21.2,4.1,2.5,6.1,12.2,17.2,2.2,2.3,4.5,0.172,1.0,1.5,2.5,1.4,Andre Drummond
2013-14,20.0,DET,NBA,C,81.0,2619.0,22.6,0.599,0.003,0.427,17.5,27.7,22.3,2.2,2.0,4.0,10.7,16.7,6.4,3.5,9.9,0.182,2.0,-0.6,1.4,2.3,Andre Drummond
2014-15,21.0,DET,NBA,C,82.0,2502.0,21.4,0.504,0.002,0.38,18.3,30.1,24.0,3.9,1.5,4.8,9.7,22.0,3.4,4.3,7.7,0.147,0.6,-0.7,-0.1,1.2,Andre Drummond
2015-16,22.0,DET,NBA,C,81.0,2666.0,21.2,0.499,0.006,0.553,15.6,34.2,24.5,4.4,2.3,3.2,10.5,24.1,2.0,5.5,7.4,0.133,0.8,0.3,1.1,2.0,Andre Drummond
2016-17,23.0,DET,NBA,C,81.0,2409.0,20.9,0.518,0.008,0.39,15.1,36.2,25.2,6.0,2.6,3.1,12.5,22.4,1.4,5.3,6.7,0.133,0.1,0.8,1.0,1.8,Andre Drummond
2017-18,24.0,DET,NBA,C,78.0,2625.0,22.9,0.555,0.012,0.448,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,4.6,5.7,10.3,0.189,1.5,1.7,3.2,3.4,Andre Drummond
2018-19,25.0,DET,NBA,C,79.0,2647.0,23.4,0.555,0.036,0.392,16.8,34.7,25.4,7.2,2.5,4.4,12.4,22.9,4.1,5.9,10.0,0.181,1.3,0.8,2.1,2.7,Andre Drummond
2019-20,26.0,TOT,NBA,C,57.0,1879.0,22.0,0.553,0.045,0.375,14.9,37.5,26.0,13.6,2.8,4.2,18.2,25.9,0.6,3.6,4.2,0.108,-0.1,1.1,0.9,1.4,Andre Drummond
2019-20,26.0,DET,NBA,C,49.0,1654.0,22.1,0.55,0.031,0.376,15.3,38.2,26.6,14.0,2.9,4.2,18.0,25.5,0.7,3.3,4.0,0.116,0.0,1.2,1.1,1.3,Andre Drummond
2019-20,26.0,CLE,NBA,C,8.0,225.0,21.1,0.573,0.133,0.371,11.7,32.4,22.0,10.8,2.6,4.2,19.2,28.7,-0.1,0.3,0.3,0.053,-0.9,0.4,-0.4,0.1,Andre Drummond
2020-21,27.0,TOT,NBA,C,46.0,1242.0,19.4,0.519,0.014,0.358,14.8,35.2,24.9,13.2,2.5,3.5,15.8,27.6,-0.6,2.5,2.0,0.077,-1.7,0.5,-1.2,0.3,Andre Drummond
2020-21,27.0,CLE,NBA,C,25.0,722.0,20.5,0.5,0.021,0.339,15.3,37.5,26.1,16.2,2.7,3.6,15.6,31.3,-0.8,1.3,0.6,0.037,-1.0,0.2,-0.8,0.2,Andre Drummond
2020-21,27.0,LAL,NBA,C,21.0,520.0,17.9,0.554,0.0,0.396,14.1,32.0,23.1,9.0,2.2,3.4,16.0,22.4,0.2,1.2,1.4,0.133,-2.7,1.0,-1.7,0.0,Andre Drummond
2021-22,28.0,TOT,NBA,C,73.0,1437.0,21.0,0.574,0.007,0.379,18.0,34.1,26.2,13.7,2.7,4.2,18.5,19.0,2.0,3.1,5.1,0.17,-0.1,1.4,1.3,1.2,Andre Drummond
2021-22,28.0,PHI,NBA,C,49.0,902.0,19.3,0.544,0.008,0.345,17.1,36.1,26.8,16.0,3.1,4.5,22.4,17.6,0.7,2.2,2.9,0.153,-1.2,2.5,1.3,0.7,Andre Drummond
2021-22,28.0,BRK,NBA,C,24.0,535.0,23.8,0.61,0.005,0.421,19.4,30.6,25.1,9.8,2.0,3.8,13.5,21.5,1.3,0.9,2.2,0.199,1.7,-0.5,1.2,0.4,Andre Drummond
2022-23,29.0,CHI,NBA,C,67.0,849.0,20.8,0.606,0.011,0.456,18.7,40.2,29.6,5.7,2.6,3.1,18.6,21.0,0.8,2.0,2.8,0.159,-1.2,0.5,-0.8,0.3,Andre Drummond
2014-15,19.0,UTA,NBA,PG,82.0,1817.0,5.7,0.457,0.635,0.077,1.7,6.6,4.2,16.6,1.2,0.6,21.5,13.8,-1.1,1.0,-0.1,-0.003,-3.6,-0.7,-4.3,-1.1,Dante Exum
2016-17,21.0,UTA,NBA,PG,66.0,1228.0,8.5,0.521,0.41,0.201,2.9,9.3,6.2,14.1,0.9,0.8,16.8,18.1,-0.1,1.3,1.2,0.046,-3.2,-0.1,-3.3,-0.4,Dante Exum
2017-18,22.0,UTA,NBA,PG,14.0,235.0,16.7,0.566,0.207,0.356,2.0,10.5,6.3,29.7,1.7,1.1,16.6,23.1,0.3,0.3,0.7,0.133,-0.3,0.4,0.1,0.1,Dante Exum
2018-19,23.0,UTA,NBA,PG,42.0,664.0,11.2,0.516,0.257,0.357,2.7,8.3,5.5,24.1,1.0,0.6,15.7,21.3,0.2,0.7,1.0,0.069,-2.0,-0.1,-2.1,0.0,Dante Exum
2019-20,24.0,TOT,NBA,SG,35.0,485.0,10.3,0.576,0.361,0.361,2.7,12.6,7.7,11.5,1.3,1.4,18.4,15.0,0.2,0.2,0.4,0.043,-2.5,-0.4,-2.9,-0.1,Dante Exum
2019-20,24.0,UTA,NBA,SG,11.0,83.0,4.8,0.503,0.261,0.087,4.1,11.5,8.0,11.9,0.6,2.0,29.5,17.8,-0.2,0.1,-0.1,-0.056,-5.2,-0.5,-5.7,-0.1,Dante Exum
2019-20,24.0,CLE,NBA,SG,24.0,402.0,11.5,0.592,0.385,0.427,2.5,12.8,7.6,11.4,1.5,1.3,15.6,14.4,0.4,0.2,0.5,0.063,-2.0,-0.4,-2.4,0.0,Dante Exum
2020-21,25.0,CLE,NBA,SG,6.0,116.0,5.9,0.428,0.423,0.077,1.9,14.8,8.2,15.8,1.7,1.5,20.7,12.7,-0.2,0.1,-0.1,-0.025,-5.4,1.6,-3.8,-0.1,Dante Exum
2019-20,20.0,CLE,NBA,SG,59.0,1824.0,8.5,0.498,0.423,0.103,1.6,5.2,3.4,18.5,1.1,0.2,17.1,20.7,-1.3,0.0,-1.3,-0.034,-2.7,-2.8,-5.5,-1.7,Darius Garland
2020-21,21.0,CLE,NBA,PG,54.0,1790.0,14.2,0.547,0.332,0.165,1.4,6.8,4.0,30.9,1.8,0.3,16.0,24.9,0.3,0.9,1.2,0.033,0.0,-2.1,-2.1,-0.1,Darius Garland
2021-22,22.0,CLE,NBA,PG,68.0,2430.0,19.0,0.576,0.387,0.205,1.8,8.2,5.1,39.9,1.8,0.3,16.2,27.8,3.8,2.5,6.3,0.125,3.4,-0.8,2.6,2.8,Darius Garland
2022-23,23.0,CLE,NBA,PG,69.0,2447.0,18.8,0.587,0.365,0.284,1.3,7.6,4.5,34.1,1.7,0.3,13.5,26.9,4.5,3.0,7.6,0.148,3.2,-0.7,2.4,2.7,Darius Garland
2012-13,22.0,MIL,NBA,PF,63.0,827.0,18.2,0.497,0.009,0.313,14.5,24.4,19.3,6.3,1.2,3.7,11.0,22.6,0.6,1.2,1.9,0.109,-0.7,-1.0,-1.7,0.1,John Henson
2013-14,23.0,MIL,NBA,PF,70.0,1856.0,17.9,0.543,0.002,0.277,10.2,20.8,15.3,10.9,1.2,5.1,13.7,20.3,1.7,1.5,3.3,0.084,-0.3,-0.2,-0.5,0.7,John Henson
2014-15,24.0,MIL,NBA,C,67.0,1228.0,18.0,0.578,0.0,0.396,11.7,17.4,14.5,7.8,1.2,9.3,17.6,18.1,1.3,2.4,3.6,0.142,-1.5,2.2,0.7,0.8,John Henson
2015-16,25.0,MIL,NBA,C,57.0,960.0,18.6,0.58,0.003,0.402,10.4,15.8,13.2,9.0,1.0,9.7,15.7,19.1,1.2,1.1,2.3,0.117,-1.2,1.3,0.2,0.5,John Henson
2016-17,26.0,MIL,NBA,C,58.0,1123.0,15.3,0.55,0.003,0.346,9.6,20.8,15.3,7.7,1.3,6.1,12.7,16.6,1.2,1.6,2.7,0.116,-2.3,0.7,-1.6,0.1,John Henson
2017-18,27.0,MIL,NBA,C,76.0,1970.0,15.7,0.582,0.014,0.315,9.0,21.5,15.3,8.6,1.1,4.7,12.8,15.0,2.8,2.2,4.9,0.12,-1.0,0.1,-0.9,0.5,John Henson
