SEASON,AGE,TEAM,LEAGUE,POS,G,MP,FG,LGFG,2P,LG2P,3P,LG3P,eFG%,LGeFG%,FT,LGFT,TS,LGTS,FTr,LGFTr,3PAr,LG3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,PLAYER
2017-18,20.0,MIA,NBA,C,69.0,1368.0,0.512,0.46,0.523,0.51,0.0,0.36200000000000004,0.512,0.521,0.721,0.767,0.57,0.556,0.526,0.252,0.021,0.337,111.0,102.0,0.0,98.0,94.0,102.0,209.0,6.0,-6.4,11.2,Bam Adebayo
2018-19,21.0,MIA,NBA,C,82.0,1913.0,0.5760000000000001,0.461,0.588,0.52,0.2,0.355,0.579,0.524,0.735,0.7659999999999999,0.623,0.56,0.465,0.259,0.031,0.359,125.0,113.0,56.0,110.0,96.0,111.0,180.0,9.0,53.5,73.8,Bam Adebayo
2019-20,22.0,MIA,NBA,PF,72.0,2417.0,0.557,0.46,0.564,0.524,0.14300000000000002,0.358,0.5579999999999999,0.529,0.691,0.773,0.598,0.565,0.484,0.26,0.018000000000000002,0.384,121.0,108.0,40.0,106.0,89.0,106.0,186.0,5.0,46.5,63.9,Bam Adebayo
2020-21,23.0,MIA,NBA,C,64.0,2143.0,0.57,0.466,0.573,0.53,0.25,0.36700000000000005,0.5710000000000001,0.5379999999999999,0.799,0.778,0.626,0.5720000000000001,0.44299999999999995,0.247,0.01,0.392,122.0,108.0,68.0,106.0,103.0,110.0,179.0,3.0,53.3,104.0,Bam Adebayo
2021-22,24.0,MIA,NBA,C,56.0,1825.0,0.557,0.461,0.562,0.5329999999999999,0.0,0.354,0.557,0.532,0.753,0.775,0.608,0.5660000000000001,0.466,0.248,0.008,0.39899999999999997,121.0,105.0,0.0,105.0,97.0,107.0,188.0,2.0,36.8,73.4,Bam Adebayo
2022-23,25.0,MIA,NBA,C,75.0,2598.0,0.54,0.475,0.545,0.5479999999999999,0.083,0.361,0.541,0.545,0.8059999999999999,0.782,0.5920000000000001,0.581,0.361,0.266,0.011000000000000001,0.387,114.0,100.0,23.0,99.0,103.0,102.0,135.0,3.0,-9.8,28.3,Bam Adebayo
2019-20,23.0,MIA,NBA,C,2.0,13.0,0.5,0.46,0.5,0.524,0.0,0.358,0.5,0.529,0.0,0.773,0.5,0.565,0.0,0.26,0.0,0.384,109.0,95.0,0.0,95.0,0.0,89.0,0.0,0.0,-0.1,-0.3,Kyle Alexander
2011-12,22.0,CHI,NBA,SG,42.0,359.0,0.405,0.44799999999999995,0.441,0.47700000000000004,0.182,0.349,0.418,0.48700000000000004,0.768,0.752,0.526,0.527,0.7090000000000001,0.276,0.139,0.226,90.0,93.0,52.0,86.0,102.0,100.0,257.0,62.0,-11.0,-0.3,Jimmy Butler
2012-13,23.0,CHI,NBA,SF,82.0,2134.0,0.467,0.45299999999999996,0.489,0.483,0.381,0.359,0.506,0.496,0.8029999999999999,0.753,0.574,0.535,0.455,0.27,0.205,0.243,103.0,101.0,106.0,102.0,107.0,107.0,168.0,84.0,9.7,47.9,Jimmy Butler
2013-14,24.0,CHI,NBA,SG,67.0,2591.0,0.397,0.45399999999999996,0.457,0.488,0.28300000000000003,0.36,0.446,0.501,0.769,0.7559999999999999,0.522,0.541,0.488,0.284,0.34600000000000003,0.259,87.0,94.0,79.0,89.0,102.0,96.0,172.0,133.0,-76.5,-32.5,Jimmy Butler
