2P,2P%,2PA,3P,3P%,3PA,AGE,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,LEAGUE,MP,ORB,PF,POS,PTS,SEASON,STL,TEAM,TOV,TRB,eFG%,PLAYER
201.0,0.489,411.0,92.0,0.352,261.0,19.0,313.0,18.0,239.0,293.0,0.436,672.0,125.0,0.758,165.0,51.0,31.0,NBA,1469.0,63.0,136.0,PG,803.0,2020-21,81.0,CHO,145.0,302.0,0.504,LaMelo Ball
318.0,0.462,689.0,220.0,0.389,565.0,20.0,571.0,30.0,393.0,538.0,0.429,1254.0,212.0,0.872,243.0,75.0,75.0,NBA,2422.0,108.0,237.0,PG,1508.0,2021-22,119.0,CHO,245.0,501.0,0.517,LaMelo Ball
152.0,0.45,338.0,144.0,0.376,383.0,21.0,304.0,11.0,189.0,296.0,0.411,721.0,102.0,0.836,122.0,36.0,36.0,NBA,1268.0,42.0,118.0,PG,838.0,2022-23,46.0,CHO,129.0,231.0,0.51,LaMelo Ball
129.0,0.464,278.0,0.0,0.0,0.0,19.0,27.0,115.0,255.0,129.0,0.464,278.0,69.0,0.483,143.0,63.0,41.0,NBA,1455.0,113.0,145.0,C,327.0,2011-12,20.0,CHA,71.0,368.0,0.464,Bismack Biyombo
156.0,0.451,346.0,0.0,0.0,0.0,20.0,35.0,143.0,388.0,156.0,0.451,346.0,74.0,0.521,142.0,80.0,65.0,NBA,2186.0,194.0,195.0,C,386.0,2012-13,28.0,CHA,82.0,582.0,0.451,Bismack Biyombo
88.0,0.611,144.0,0.0,0.0,0.0,21.0,8.0,86.0,261.0,88.0,0.611,144.0,46.0,0.517,89.0,77.0,9.0,NBA,1072.0,105.0,124.0,C,222.0,2013-14,7.0,CHA,40.0,366.0,0.611,Bismack Biyombo
101.0,0.543,186.0,0.0,0.0,0.0,22.0,16.0,99.0,248.0,101.0,0.543,186.0,102.0,0.583,175.0,64.0,21.0,NBA,1243.0,159.0,140.0,C,304.0,2014-15,18.0,CHO,52.0,407.0,0.543,Bismack Biyombo
156.0,0.544,287.0,0.0,0.0,1.0,23.0,29.0,133.0,473.0,156.0,0.542,288.0,142.0,0.628,226.0,82.0,22.0,NBA,1808.0,182.0,225.0,C,454.0,2015-16,19.0,TOR,71.0,655.0,0.542,Bismack Biyombo
179.0,0.528,339.0,0.0,0.0,0.0,24.0,74.0,91.0,410.0,179.0,0.528,339.0,125.0,0.534,234.0,81.0,27.0,NBA,1793.0,157.0,202.0,C,483.0,2016-17,25.0,ORL,95.0,567.0,0.528,Bismack Biyombo
183.0,0.521,351.0,0.0,0.0,1.0,25.0,66.0,95.0,324.0,183.0,0.52,352.0,102.0,0.65,157.0,82.0,25.0,NBA,1495.0,144.0,158.0,C,468.0,2017-18,21.0,ORL,84.0,468.0,0.52,Bismack Biyombo
89.0,0.571,156.0,0.0,0.0,0.0,26.0,33.0,41.0,166.0,89.0,0.571,156.0,58.0,0.637,91.0,54.0,32.0,NBA,783.0,81.0,103.0,C,236.0,2018-19,11.0,CHO,34.0,247.0,0.571,Bismack Biyombo
151.0,0.543,278.0,0.0,0.0,0.0,27.0,50.0,49.0,188.0,151.0,0.543,278.0,91.0,0.603,151.0,53.0,29.0,NBA,1029.0,120.0,116.0,C,393.0,2019-20,10.0,CHO,48.0,308.0,0.543,Bismack Biyombo
142.0,0.589,241.0,0.0,0.0,1.0,28.0,81.0,74.0,210.0,142.0,0.587,242.0,47.0,0.448,105.0,66.0,36.0,NBA,1349.0,137.0,141.0,C,331.0,2020-21,17.0,CHO,71.0,347.0,0.587,Bismack Biyombo
86.0,0.593,145.0,0.0,0.0,0.0,29.0,23.0,26.0,104.0,86.0,0.593,145.0,38.0,0.535,71.0,36.0,3.0,NBA,506.0,63.0,70.0,C,210.0,2021-22,12.0,PHO,25.0,167.0,0.593,Bismack Biyombo
119.0,0.578,206.0,0.0,0.0,0.0,30.0,56.0,88.0,171.0,119.0,0.578,206.0,25.0,0.357,70.0,61.0,14.0,NBA,874.0,89.0,114.0,C,263.0,2022-23,18.0,PHO,51.0,260.0,0.578,Bismack Biyombo
172.0,0.553,311.0,65.0,0.325,200.0,20.0,95.0,49.0,256.0,237.0,0.464,511.0,58.0,0.753,77.0,80.0,25.0,NBA,1696.0,67.0,111.0,SF,597.0,2018-19,55.0,CHO,50.0,323.0,0.527,Miles Bridges
220.0,0.486,453.0,99.0,0.33,300.0,21.0,114.0,48.0,274.0,319.0,0.424,753.0,106.0,0.809,131.0,65.0,64.0,NBA,1995.0,88.0,132.0,SF,843.0,2019-20,40.0,CHO,95.0,362.0,0.489,Miles Bridges
197.0,0.593,332.0,116.0,0.4,290.0,22.0,147.0,52.0,316.0,313.0,0.503,622.0,98.0,0.867,113.0,66.0,19.0,NBA,1932.0,81.0,143.0,PF,840.0,2020-21,44.0,CHO,106.0,397.0,0.596,Miles Bridges
442.0,0.59,749.0,154.0,0.331,465.0,23.0,300.0,67.0,469.0,596.0,0.491,1214.0,267.0,0.802,333.0,80.0,80.0,NBA,2837.0,90.0,193.0,PF,1613.0,2021-22,74.0,CHO,150.0,559.0,0.554,Miles Bridges
17.0,0.586,29.0,1.0,0.143,7.0,19.0,2.0,5.0,21.0,18.0,0.5,36.0,9.0,0.818,11.0,19.0,4.0,NBA,115.0,6.0,13.0,C,46.0,2020-21,1.0,CHO,5.0,27.0,0.514,Vernon Carey Jr.
7.0,0.538,13.0,0.0,0.0,0.0,20.0,0.0,1.0,4.0,7.0,0.538,13.0,6.0,0.462,13.0,7.0,1.0,NBA,44.0,8.0,4.0,C,20.0,2021-22,2.0,TOT,3.0,12.0,0.538,Vernon Carey Jr.
3.0,0.5,6.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,3.0,0.5,6.0,2.0,0.667,3.0,4.0,1.0,NBA,17.0,3.0,1.0,C,8.0,2021-22,1.0,CHO,1.0,5.0,0.5,Vernon Carey Jr.
4.0,0.571,7.0,0.0,0.0,0.0,20.0,0.0,1.0,2.0,4.0,0.571,7.0,4.0,0.4,10.0,3.0,0.0,NBA,27.0,5.0,3.0,C,12.0,2021-22,1.0,WAS,2.0,7.0,0.571,Vernon Carey Jr.
2.0,0.25,8.0,0.0,0.0,0.0,21.0,3.0,2.0,8.0,2.0,0.25,8.0,2.0,1.0,2.0,11.0,0.0,NBA,28.0,3.0,5.0,C,6.0,2022-23,2.0,WAS,2.0,11.0,0.25,Vernon Carey Jr.
0.0,0.0,0.0,2.0,0.286,7.0,22.0,1.0,1.0,0.0,2.0,0.286,7.0,3.0,1.0,3.0,7.0,0.0,NBA,26.0,1.0,1.0,SG,9.0,2020-21,0.0,CHO,1.0,1.0,0.429,Nate Darling
40.0,0.421,95.0,34.0,0.281,121.0,23.0,121.0,2.0,53.0,74.0,0.343,216.0,35.0,0.761,46.0,46.0,3.0,NBA,676.0,10.0,48.0,PG,217.0,2018-19,23.0,CHO,30.0,63.0,0.421,Devonte' Graham
150.0,0.397,378.0,218.0,0.373,585.0,24.0,471.0,15.0,170.0,368.0,0.382,963.0,191.0,0.82,233.0,63.0,53.0,NBA,2211.0,42.0,115.0,PG,1145.0,2019-20,62.0,CHO,181.0,212.0,0.495,Devonte' Graham
73.0,0.38,192.0,179.0,0.375,477.0,25.0,295.0,6.0,126.0,252.0,0.377,669.0,133.0,0.842,158.0,55.0,44.0,NBA,1659.0,22.0,77.0,PG,816.0,2020-21,48.0,CHO,84.0,148.0,0.51,Devonte' Graham
104.0,0.413,252.0,192.0,0.341,563.0,26.0,316.0,12.0,140.0,296.0,0.363,815.0,118.0,0.843,140.0,76.0,63.0,NBA,2162.0,37.0,95.0,PG,902.0,2021-22,71.0,NOP,105.0,177.0,0.481,Devonte' Graham
42.0,0.452,93.0,119.0,0.352,338.0,27.0,196.0,16.0,103.0,161.0,0.374,431.0,98.0,0.748,131.0,73.0,8.0,NBA,1338.0,19.0,79.0,PG,539.0,2022-23,45.0,TOT,53.0,122.0,0.512,Devonte' Graham
19.0,0.463,41.0,66.0,0.347,190.0,27.0,116.0,10.0,60.0,85.0,0.368,231.0,44.0,0.746,59.0,53.0,0.0,NBA,811.0,12.0,48.0,PG,280.0,2022-23,30.0,NOP,27.0,72.0,0.511,Devonte' Graham
23.0,0.442,52.0,53.0,0.358,148.0,27.0,80.0,6.0,43.0,76.0,0.38,200.0,54.0,0.75,72.0,20.0,8.0,NBA,527.0,7.0,31.0,PG,259.0,2022-23,15.0,SAS,26.0,50.0,0.513,Devonte' Graham
107.0,0.489,219.0,35.0,0.473,74.0,20.0,81.0,19.0,98.0,142.0,0.485,293.0,69.0,0.711,97.0,72.0,17.0,NBA,1218.0,41.0,106.0,SF,388.0,2010-11,30.0,UTA,70.0,139.0,0.544,Gordon Hayward
212.0,0.496,427.0,55.0,0.346,159.0,21.0,207.0,41.0,171.0,267.0,0.456,586.0,193.0,0.832,232.0,66.0,58.0,NBA,2015.0,59.0,106.0,SF,782.0,2011-12,53.0,UTA,109.0,230.0,0.503,Gordon Hayward
234.0,0.444,527.0,102.0,0.415,246.0,22.0,213.0,38.0,174.0,336.0,0.435,773.0,243.0,0.827,294.0,72.0,27.0,NBA,2104.0,51.0,125.0,SF,1017.0,2012-13,58.0,UTA,120.0,225.0,0.501,Gordon Hayward
341.0,0.453,752.0,85.0,0.304,280.0,23.0,400.0,40.0,329.0,426.0,0.413,1032.0,311.0,0.816,381.0,77.0,77.0,NBA,2800.0,62.0,155.0,SF,1248.0,2013-14,110.0,UTA,212.0,391.0,0.454,Gordon Hayward
364.0,0.481,757.0,120.0,0.364,330.0,24.0,313.0,30.0,319.0,484.0,0.445,1087.0,375.0,0.812,462.0,76.0,76.0,NBA,2618.0,54.0,131.0,SF,1463.0,2014-15,108.0,UTA,206.0,373.0,0.5,Gordon Hayward
378.0,0.477,792.0,143.0,0.349,410.0,25.0,296.0,27.0,336.0,521.0,0.433,1202.0,393.0,0.824,477.0,80.0,80.0,NBA,2893.0,61.0,183.0,SF,1578.0,2015-16,95.0,UTA,202.0,397.0,0.493,Gordon Hayward
396.0,0.506,782.0,149.0,0.398,374.0,26.0,252.0,20.0,345.0,545.0,0.471,1156.0,362.0,0.844,429.0,73.0,73.0,NBA,2516.0,49.0,117.0,SF,1601.0,2016-17,73.0,UTA,140.0,394.0,0.536,Gordon Hayward
