# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
2.0,0.0,0.198,0.103,0.345,0.707,0.06,0.293,0.265,0.017,0.565,0.333,0.35,0.242,0.402,0.286,0.5,0.294,0.333,23.0,1.0,16.3,0.371,61.0,NBA,267.0,SG,2012-13,GSW,Kent Bazemore
9.0,0.0,0.271,0.052,0.16,0.627,0.143,0.373,0.195,0.029,0.645,0.389,0.4,0.375,0.484,0.306,0.674,0.336,0.4,24.0,4.0,14.8,0.429,67.0,NBA,911.0,SG,2013-14,TOT,Kent Bazemore
2.0,0.0,0.227,0.021,0.237,0.598,0.113,0.402,0.179,0.031,0.636,0.0,0.348,0.231,0.448,0.364,0.4,0.256,0.143,24.0,3.0,17.4,0.371,44.0,NBA,268.0,SG,2013-14,GSW,Kent Bazemore
7.0,0.0,0.289,0.065,0.13,0.638,0.154,0.362,0.202,0.028,0.648,0.438,0.438,0.423,0.497,0.289,0.758,0.371,0.5,24.0,1.0,13.8,0.451,23.0,NBA,643.0,SG,2013-14,LAL,Kent Bazemore
17.0,0.0,0.329,0.057,0.063,0.601,0.151,0.399,0.485,0.066,0.606,0.158,0.381,0.624,0.467,0.32,0.938,0.364,0.422,25.0,0.0,12.4,0.426,75.0,NBA,1324.0,SG,2014-15,ATL,Kent Bazemore
15.0,0.0,0.39,0.026,0.083,0.579,0.08,0.421,0.384,0.029,0.594,0.368,0.333,0.536,0.502,0.276,0.927,0.357,0.41,26.0,1.0,12.7,0.441,75.0,NBA,2083.0,SF,2015-16,ATL,Kent Bazemore
13.0,0.0,0.272,0.062,0.198,0.631,0.1,0.369,0.327,0.021,0.566,0.311,0.434,0.522,0.446,0.222,0.848,0.346,0.414,27.0,1.0,14.8,0.409,73.0,NBA,1963.0,SF,2016-17,ATL,Kent Bazemore
19.0,0.0,0.226,0.08,0.149,0.595,0.139,0.405,0.285,0.031,0.608,0.333,0.396,0.472,0.438,0.266,0.833,0.394,0.436,28.0,1.0,14.7,0.42,65.0,NBA,1789.0,SG,2017-18,ATL,Kent Bazemore
15.0,0.0,0.279,0.078,0.1,0.566,0.109,0.434,0.353,0.023,0.611,0.296,0.464,0.478,0.465,0.213,0.844,0.32,0.34,29.0,4.0,15.0,0.402,67.0,NBA,1643.0,SG,2018-19,ATL,Kent Bazemore
14.0,0.0,0.268,0.069,0.067,0.543,0.139,0.457,0.459,0.026,0.531,0.297,0.306,0.491,0.4,0.243,0.952,0.344,0.313,30.0,5.0,14.9,0.375,68.0,NBA,1688.0,SF,2019-20,TOT,Kent Bazemore
