SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
2017-18,20.0,UTA,NBA,C,9.0,0.0,29.0,5.2,19.0,0.273,0.0,1.7,0.0,5.2,17.3,0.3,3.5,3.5,1.0,6.9,12.1,19.0,1.7,0.0,0.0,0.0,1.7,13.8,95.0,107.0,Tony Bradley
2018-19,21.0,UTA,NBA,C,3.0,0.0,36.0,10.6,21.3,0.5,0.0,0.0,0.0,10.6,21.3,0.5,1.3,2.7,0.5,12.0,8.0,19.9,1.3,2.7,2.7,4.0,8.0,22.6,105.0,101.0,Tony Bradley
2019-20,22.0,UTA,NBA,C,58.0,3.0,663.0,9.2,13.9,0.667,0.2,0.2,1.0,9.0,13.7,0.661,2.2,3.4,0.652,8.1,11.5,19.6,1.7,1.0,2.4,2.2,8.4,20.9,135.0,106.0,Tony Bradley
2020-21,23.0,TOT,NBA,C,42.0,8.0,684.0,9.2,13.8,0.665,0.0,0.2,0.0,9.2,13.6,0.675,2.7,3.8,0.691,5.9,10.8,16.7,2.6,1.0,2.1,2.3,4.3,21.0,131.0,109.0,Tony Bradley
2020-21,23.0,PHI,NBA,C,20.0,8.0,287.0,8.6,12.6,0.68,0.0,0.2,0.0,8.6,12.4,0.689,1.2,1.8,0.636,6.6,10.9,17.5,2.9,1.0,2.2,1.0,4.7,18.3,145.0,106.0,Tony Bradley
2020-21,23.0,OKC,NBA,C,22.0,0.0,397.0,9.6,14.6,0.656,0.0,0.2,0.0,9.6,14.4,0.667,3.7,5.3,0.705,5.5,10.7,16.2,2.4,1.1,2.0,3.2,4.0,22.9,123.0,111.0,Tony Bradley
2021-22,24.0,CHI,NBA,C,55.0,7.0,549.0,6.4,10.9,0.585,0.0,0.0,0.0,6.4,10.9,0.585,1.7,2.6,0.655,6.0,10.6,16.5,2.4,0.9,2.9,3.0,5.5,14.5,115.0,110.0,Tony Bradley
2022-23,25.0,CHI,NBA,C,12.0,0.0,33.0,8.9,17.7,0.5,4.4,7.4,0.6,4.4,10.3,0.429,5.9,5.9,1.0,1.5,14.8,16.2,1.5,1.5,1.5,1.5,3.0,28.0,132.0,107.0,Tony Bradley
2019-20,21.0,NYK,NBA,SF,9.0,0.0,53.0,5.5,20.2,0.273,0.9,8.3,0.111,4.6,11.9,0.385,3.7,4.6,0.8,1.8,2.8,4.6,3.7,0.0,0.9,1.8,2.8,15.6,82.0,119.0,Ignas Brazdeikis
2020-21,22.0,TOT,NBA,SF,13.0,0.0,249.0,6.8,16.2,0.422,2.2,5.5,0.393,4.7,10.8,0.436,2.0,2.7,0.714,2.2,6.6,8.8,3.3,0.8,0.6,2.3,4.3,17.8,101.0,116.0,Ignas Brazdeikis
