SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2017-18,20.0,TOR,NBA,SF,74.0,62.0,1481.0,4.0,8.4,0.471,1.8,4.8,0.371,2.2,3.6,0.604,0.9,1.5,0.629,1.1,3.4,4.5,1.3,1.3,0.3,1.1,3.2,10.6,OG Anunoby
2018-19,21.0,TOR,NBA,SF,67.0,6.0,1352.0,4.9,10.8,0.453,1.8,5.4,0.332,3.1,5.4,0.574,1.0,1.7,0.581,1.5,3.7,5.2,1.3,1.2,0.6,1.5,3.7,12.5,OG Anunoby
2019-20,22.0,TOR,NBA,SF,69.0,68.0,2066.0,5.0,9.9,0.505,1.6,4.0,0.39,3.4,5.9,0.583,1.3,1.8,0.706,1.4,4.9,6.3,1.9,1.7,0.8,1.4,2.9,12.8,OG Anunoby
2020-21,23.0,TOR,NBA,SF,43.0,43.0,1433.0,6.3,13.0,0.48,2.6,6.6,0.398,3.6,6.5,0.562,2.0,2.6,0.784,1.4,4.6,6.0,2.4,1.7,0.8,1.9,2.9,17.1,OG Anunoby
2021-22,24.0,TOR,NBA,SF,48.0,48.0,1728.0,6.4,14.5,0.443,2.4,6.6,0.363,4.0,7.9,0.511,1.9,2.5,0.754,1.5,4.0,5.5,2.6,1.5,0.5,1.7,2.7,17.1,OG Anunoby
2022-23,25.0,TOR,NBA,SF,67.0,67.0,2386.0,6.4,13.4,0.476,2.1,5.5,0.387,4.2,7.8,0.539,2.1,2.5,0.838,1.4,3.6,5.0,2.0,1.9,0.8,2.0,3.0,17.0,OG Anunoby
2012-13,26.0,SAS,NBA,C,16.0,0.0,141.0,4.6,9.2,0.5,0.0,0.3,0.0,4.6,8.9,0.514,1.8,3.1,0.583,3.1,5.1,8.2,1.3,0.3,1.5,2.8,5.9,11.0,Aron Baynes
2013-14,27.0,SAS,NBA,C,53.0,4.0,491.0,5.2,12.0,0.436,0.0,0.0,0.0,5.2,12.0,0.436,1.4,1.5,0.905,4.2,6.5,10.6,2.5,0.1,0.4,2.6,5.6,11.8,Aron Baynes
2014-15,28.0,SAS,NBA,C,70.0,17.0,1122.0,5.9,10.5,0.566,0.0,0.1,0.25,5.9,10.4,0.57,2.9,3.3,0.865,3.5,6.7,10.2,1.1,0.5,0.7,2.1,5.2,14.8,Aron Baynes
2015-16,29.0,DET,NBA,C,81.0,1.0,1233.0,5.7,11.2,0.505,0.0,0.1,0.0,5.7,11.2,0.508,3.7,4.8,0.764,4.1,7.1,11.2,1.5,0.6,1.5,2.0,4.4,15.0,Aron Baynes
2016-17,30.0,DET,NBA,C,75.0,2.0,1163.0,4.4,8.6,0.513,0.0,0.0,0.0,4.4,8.6,0.513,2.4,2.9,0.84,3.4,6.9,10.3,1.0,0.5,1.2,1.5,5.1,11.3,Aron Baynes
2017-18,31.0,BOS,NBA,C,81.0,67.0,1485.0,5.1,10.8,0.471,0.1,0.5,0.143,5.0,10.3,0.487,1.4,1.9,0.756,3.2,7.4,10.5,2.3,0.5,1.2,1.9,4.8,11.7,Aron Baynes
2018-19,32.0,BOS,NBA,C,51.0,18.0,821.0,4.6,9.8,0.471,0.9,2.7,0.344,3.7,7.1,0.519,2.3,2.7,0.855,3.9,6.7,10.5,2.5,0.5,1.5,1.8,5.5,12.5,Aron Baynes
2019-20,33.0,PHO,NBA,C,42.0,28.0,934.0,7.1,14.7,0.48,2.3,6.5,0.351,4.8,8.2,0.582,2.2,2.9,0.747,2.7,6.4,9.1,2.6,0.4,0.9,1.9,5.4,18.5,Aron Baynes
2020-21,34.0,TOR,NBA,C,53.0,31.0,980.0,4.9,11.2,0.441,1.0,3.8,0.262,3.9,7.4,0.532,1.1,1.5,0.707,3.2,6.8,10.0,1.7,0.6,0.8,1.7,4.4,11.9,Aron Baynes
2016-17,22.0,ATL,NBA,SF,38.0,1.0,371.0,4.6,9.5,0.48,0.1,1.7,0.056,4.5,7.8,0.575,0.6,1.6,0.375,1.4,4.4,5.7,2.7,0.8,0.5,1.6,2.0,9.8,DeAndre' Bembry
2017-18,23.0,ATL,NBA,SF,26.0,3.0,455.0,4.2,10.1,0.414,0.9,2.4,0.367,3.3,7.8,0.429,1.5,2.6,0.576,0.6,5.1,5.7,3.9,1.7,0.9,3.7,3.0,10.8,DeAndre' Bembry
2018-19,24.0,ATL,NBA,SG,82.0,15.0,1931.0,5.1,11.5,0.446,0.9,3.2,0.289,4.2,8.3,0.508,1.6,2.5,0.64,1.0,5.7,6.7,3.8,2.0,0.8,2.6,3.5,12.8,DeAndre' Bembry
2019-20,25.0,ATL,NBA,SG,43.0,4.0,915.0,4.1,9.0,0.456,0.6,2.6,0.231,3.5,6.4,0.546,1.0,1.9,0.542,1.3,4.6,6.0,3.2,2.2,0.7,2.4,3.3,9.8,DeAndre' Bembry
2020-21,26.0,TOR,NBA,SF,51.0,12.0,972.0,4.3,8.4,0.513,0.5,2.0,0.264,3.8,6.5,0.589,1.7,2.4,0.682,1.2,4.2,5.4,4.0,2.0,0.7,2.6,3.2,10.9,DeAndre' Bembry
